date,open,high,low,close,volume
2017-01-03,41.319,41.7016,40.7342,41.1746,690124
2017-01-04,41.3984,42.0915,41.319,42.0265,698077
2017-01-05,41.911,42.7269,41.8172,42.1854,794897
2017-01-06,42.2142,42.4308,41.911,42.106,669495
2017-01-09,42.0843,42.4381,41.7666,41.8388,623359
2017-01-10,41.9399,42.0771,41.4417,41.6583,743161
2017-01-11,41.745,42.4092,41.5717,42.402,797959
2017-01-12,42.5391,42.8496,42.0049,42.8063,779282
2017-01-13,42.8568,42.994,42.6691,42.7918,747783
2017-01-17,42.8135,42.929,42.1998,42.4164,535584
2017-01-18,42.4742,42.8279,42.207,42.272,515419
2017-01-19,42.7918,43.0517,42.5608,42.8424,940055
2017-01-20,43.0373,44.0264,42.9579,43.5427,2404475
2017-01-23,43.3333,43.9037,43.3189,43.8531,899858
2017-01-24,43.9975,44.9578,43.8531,44.4957,1832039
2017-01-25,44.7628,45.1383,44.5029,45.03,915196
2017-01-26,45.1311,45.3693,44.6112,44.8711,1163691
2017-01-27,44.8423,45.0228,44.3946,44.5823,809075
2017-01-30,44.4668,44.4668,43.2467,43.6799,1260648
2017-01-31,43.6366,43.9037,43.2611,43.4344,1096006
2017-02-01,43.5932,43.9326,43.2322,43.7521,820204
2017-02-02,43.7593,43.9796,43.2178,43.6654,779334
2017-02-03,43.7954,43.9759,43.3622,43.5355,947207
2017-02-06,43.5355,43.9542,43.2395,43.8026,1504722
2017-02-07,42.106,42.9507,40.9075,41.1746,3778070
2017-02-08,41.9255,41.9255,40.8136,41.3262,1899495
2017-02-09,41.5861,41.7955,41.1963,41.3623,1127815
2017-02-10,41.6294,41.8316,41.2107,41.7594,1600232
2017-02-13,41.9904,42.8207,41.9904,42.4164,1502155
2017-02-14,42.1709,42.503,41.7883,41.9182,1372280
2017-02-15,41.6872,42.2648,41.6078,41.8027,1464712
2017-02-16,41.8244,42.3381,41.6006,41.7522,1259382
2017-02-17,41.8749,42.207,41.5789,42.041,2525877
2017-02-21,42.1348,42.3956,41.6367,41.8099,1336002
