date,open,high,low,close,volume
2017-01-03,35.0562,35.406,34.8424,35.3574,4612245
2017-01-04,35.2602,35.7461,35.0465,35.6878,2645623
2017-01-05,35.5129,35.9112,35.2991,35.5712,4048772
2017-01-06,35.1339,35.6878,34.8813,35.3671,3645988
2017-01-09,35.0659,35.406,34.7453,34.8716,4640538
2017-01-10,35.3088,35.3088,34.6967,34.7744,2693705
2017-01-11,34.959,35.7655,34.891,35.6295,3923489
2017-01-12,35.9792,36.0375,34.9153,34.9785,7202754
2017-01-13,34.6093,34.9299,34.1276,34.8327,40555699
2017-01-17,34.8716,35.1145,33.9291,34.3469,52984015
2017-01-18,33.8708,34.2206,33.4725,33.9291,12650633
2017-01-19,33.7348,33.9097,33.2004,33.2296,6208037
2017-01-20,33.3267,33.4822,33.0644,33.1713,6782546
2017-01-23,32.8798,32.8798,32.2288,32.5203,6883464
2017-01-24,32.7729,33.6668,32.7049,33.2393,4182370
2017-01-25,33.5308,34.3323,33.5113,34.2692,6108491
2017-01-26,34.0651,34.4344,34.0457,34.2498,4287193
2017-01-27,34.687,34.7161,34.1477,34.2983,2923457
2017-01-30,33.6279,33.7154,32.2385,32.3551,4577176
2017-01-31,32.4814,32.7049,31.9033,32.666,5311646
2017-02-01,32.734,32.9478,32.3745,32.7535,4302104
2017-02-02,32.5008,32.5105,31.777,31.9859,3096762
2017-02-03,31.6361,32.462,31.6361,32.462,3489501
2017-02-06,31.8304,31.8984,31.0677,31.1211,3830318
2017-02-07,30.5867,30.8685,30.2321,30.577,5801520
2017-02-08,29.9163,30.5916,29.7414,30.3341,3921162
2017-02-09,30.271,30.611,30.1106,30.3633,4592329
2017-02-10,30.305,30.8782,30.2952,30.8588,5283703
2017-02-13,31.024,31.1454,30.7228,30.9462,2764096
2017-02-14,31.2572,31.4223,30.7713,31.4126,3555165
2017-02-15,31.3252,31.8936,31.3057,31.7527,5785285
2017-02-16,31.5195,31.8498,31.364,31.5584,4144532
2017-02-17,31.2669,31.4126,31.1211,31.1891,2275867
2017-02-21,31.4903,31.8207,31.4418,31.7818,2839418
2017-02-22,31.6264,31.9033,31.3592,31.7624,4301004
2017-02-23,32.2871,32.4037,31.6652,31.947,4382275
2017-02-24,30.9754,31.4223,30.9754,31.3835,4322762
2017-02-27,31.1308,32.4571,31.092,32.0928,5143808
2017-02-28,31.6361,31.6555,31.2766,31.4029,5773517
2017-03-01,31.6069,32.4037,31.5972,32.2482,3061905
2017-03-02,32.2288,32.7632,32.1608,32.1996,2669125
2017-03-03,32.3259,32.4037,31.5049,31.5972,1844156
2017-03-06,31.2863,31.432,31.1211,31.364,2303271
2017-03-07,31.1211,31.1891,30.7616,30.9948,2615677
2017-03-08,30.713,31.0531,30.5867,30.6936,5051399
2017-03-09,30.3924,30.6936,29.858,30.6062,5913868
2017-03-10,30.645,30.8977,30.5382,30.8005,3279249
2017-03-13,30.8199,31.1308,30.7616,30.8879,2516196
2017-03-14,30.4021,30.5964,30.0815,30.4799,3116262
2017-03-15,30.6159,31.2037,30.4604,31.1308,3430685
2017-03-16,31.1989,31.2183,30.6353,30.9171,3102917
2017-03-17,30.8491,31.024,30.3633,30.7908,11683093
2017-03-20,30.441,30.6256,30.2952,30.4993,4672063
2017-03-21,30.645,31.1163,30.5236,30.956,5572912
2017-03-22,30.713,31.3349,30.713,31.1503,4573384
2017-03-23,30.7908,30.8307,30.3924,30.5187,5421728
2017-03-24,30.5576,30.8248,30.3341,30.4118,3166024
2017-03-27,30.441,30.6645,30.3244,30.5187,3408984
2017-03-28,30.6256,31.1211,30.577,31.0628,4154408
2017-03-29,31.0045,32.0928,30.9657,32.0442,3215648
2017-03-30,32.2482,32.2676,31.2183,31.2669,13628232
2017-03-31,31.5972,31.9567,31.5292,31.5778,3176905
2017-04-03,31.8984,31.8984,31.2523,31.5389,3370657
2017-04-04,31.5389,31.9081,31.3252,31.7041,2522052
2017-04-05,32.5203,32.802,32.015,32.0247,4227615
2017-04-06,32.7535,33.1032,32.4717,32.6757,3453238
2017-04-07,33.0158,33.0352,32.4717,32.5494,2160459
2017-04-10,32.5203,32.8409,32.4037,32.6854,1635979
2017-04-11,32.8118,32.8312,32.2579,32.5786,1908111
2017-04-12,32.6757,32.8894,32.2774,32.3842,2779408
2017-04-13,32.1705,32.2774,31.5778,31.5972,2038681
2017-04-17,31.8207,31.9081,31.3932,31.6458,2449859
2017-04-18,31.5292,31.7818,31.4029,31.5389,1985141
2017-04-19,31.5486,31.6167,31.0725,31.1308,3214041
2017-04-20,31.4418,31.7041,31.1648,31.2474,3187052
2017-04-21,30.9851,31.1211,30.6159,30.8102,3553450
2017-04-24,31.8693,31.8693,30.9462,30.9851,5049313
2017-04-25,31.2766,31.3349,30.9754,31.2086,4705567
2017-04-26,30.9657,31.5438,30.9657,31.3446,3000825
2017-04-27,29.2362,29.654,29.0127,29.3431,9622325
2017-04-28,29.3431,29.4596,29.0613,29.275,2858219
