date,open,high,low,close,volume
2017-01-03,30.56,30.66,29.9,30.12,2441264
2017-01-04,30.15,30.54,30.0753,30.42,2322238
2017-01-05,30.26,30.915,30.23,30.83,3113653
2017-01-06,30.8,31.22,30.52,31.01,1926191
2017-01-09,31.0,31.49,30.81,31.31,2025985
2017-01-10,31.46,32.06,31.4511,31.96,1845083
2017-01-11,32.25,32.89,31.89,32.12,2360981
2017-01-12,32.05,32.17,31.435,31.85,1337615
2017-01-13,31.83,32.33,31.8118,32.29,743303
2017-01-17,32.29,32.47,31.42,31.7,7723588
2017-01-18,31.65,31.96,31.36,31.85,2121932
2017-01-19,32.33,32.74,32.215,32.35,5443720
2017-01-20,32.35,32.59,32.18,32.32,2651978
2017-01-23,32.3,32.46,31.86,32.19,2769898
2017-01-24,32.25,32.7,32.1763,32.66,1464341
2017-01-25,32.97,33.36,32.6,32.81,1343234
2017-01-26,32.97,33.13,32.35,32.57,1463237
2017-01-27,32.55,32.85,32.27,32.78,1208485
2017-01-30,32.73,32.84,32.05,32.81,1599906
2017-01-31,32.84,33.39,32.57,33.26,2207430
2017-02-01,33.26,33.43,32.72,33.1,1784460
2017-02-02,33.03,33.49,32.78,33.18,4434397
2017-02-03,37.15,38.01,36.1,37.72,12706154
2017-02-06,37.66,38.325,36.8,37.83,3762949
2017-02-07,38.0,38.235,37.57,37.76,1934417
2017-02-08,37.7,37.8601,37.21,37.42,2624541
2017-02-09,37.38,38.24,37.28,37.99,1551267
2017-02-10,37.75,38.13,37.59,37.68,1521512
2017-02-13,37.72,38.01,37.55,37.8,1353971
2017-02-14,37.7,37.96,37.41,37.77,2861511
2017-02-15,37.81,38.0699,37.57,37.95,1168399
2017-02-16,37.92,38.09,37.03,37.24,1561924
2017-02-17,37.05,37.58,36.9,37.455,1249866
2017-02-21,37.26,37.76,37.2077,37.38,1268319
2017-02-22,37.3,37.64,37.2,37.24,1093764
2017-02-23,37.22,37.27,36.81,37.23,1620528
2017-02-24,36.93,37.21,36.56,37.15,1003507
2017-02-27,37.12,37.5,36.91,37.44,1944190
2017-02-28,37.27,37.395,37.05,37.35,2678637
2017-03-01,36.77,37.37,36.65,37.31,3190582
2017-03-02,37.15,37.36,36.67,36.74,1931900
2017-03-03,36.59,36.67,36.17,36.28,2340531
2017-03-06,36.16,36.61,36.0,36.34,1886118
