date,open,high,low,close,volume
2017-01-03,10.5959,10.9433,10.5351,10.9346,40510821
2017-01-04,11.0909,11.5252,11.0649,11.4383,77638075
2017-01-05,11.4731,11.4817,10.9693,11.0909,75628443
2017-01-06,11.117,11.1517,10.978,11.0822,40315887
2017-01-09,11.1083,11.1691,10.9693,10.9693,39438393
2017-01-10,11.0301,11.308,10.9954,11.1604,58703537
2017-01-11,11.0388,11.0475,10.8651,11.0041,49718725
2017-01-12,10.9954,11.0127,10.7261,10.9346,36493266
2017-01-13,10.9606,11.0041,10.8564,10.9693,29197105
2017-01-17,10.9867,11.0562,10.8912,10.9519,49069459
2017-01-18,10.9691,10.9867,10.8543,10.9514,33830795
2017-01-19,10.9426,11.0838,10.8896,10.9691,30135566
2017-01-20,10.9867,11.0132,10.8632,10.9073,29269964
2017-01-23,10.8985,10.9249,10.7837,10.8632,31670705
2017-01-24,10.8985,11.1279,10.8852,11.1279,34625204
2017-01-25,11.2162,11.2956,11.1544,11.2868,46747840
2017-01-26,11.1632,11.1897,10.8985,10.9161,55672778
2017-01-27,11.0132,11.0661,10.9249,11.022,34613088
2017-01-30,10.9955,10.9955,10.8367,10.9161,39254173
2017-01-31,10.8632,10.9338,10.7573,10.9073,46974479
2017-02-01,10.9867,11.1014,10.7837,10.872,44396812
2017-02-02,10.8543,10.9161,10.7926,10.8367,29035383
2017-02-03,10.9602,11.1367,10.9338,11.0838,38245251
2017-02-06,11.075,11.1323,10.9955,11.0485,26916768
2017-02-07,11.0308,11.0485,10.8632,10.8896,32914413
2017-02-08,10.8896,10.9867,10.8279,10.9249,26411417
2017-02-09,10.9426,11.0044,10.8985,10.9249,32924624
2017-02-10,10.9779,11.0397,10.9161,11.0397,32996465
2017-02-13,11.0661,11.1367,11.0132,11.0838,24473996
2017-02-14,11.1544,11.2073,11.1103,11.1632,28355725
2017-02-15,11.1367,11.1544,11.075,11.1456,25114438
2017-02-16,11.1279,11.1544,11.0132,11.0661,22896525
2017-02-17,11.0308,11.1014,10.9602,11.1014,26407405
2017-02-21,11.1279,11.225,11.1279,11.1985,29156181
2017-02-22,11.172,11.2647,11.1632,11.1809,24787512
2017-02-23,11.2073,11.2206,11.075,11.0838,22520597
2017-02-24,11.0397,11.0397,10.9249,11.0044,40817305
2017-02-27,11.022,11.1897,10.9691,11.172,41713096
2017-02-28,11.1456,11.1712,10.9867,11.0573,36089848
2017-03-01,11.172,11.2515,11.1632,11.1985,36178588
2017-03-02,11.225,11.247,11.1014,11.172,33245050
2017-03-03,11.172,11.2162,11.0573,11.1632,30493532
2017-03-06,11.1014,11.1191,11.0308,11.0485,28753623
2017-03-07,11.0397,11.0529,10.9602,10.9955,25906933
2017-03-08,11.0308,11.1544,10.9955,11.0573,27327834
2017-03-09,11.0661,11.0661,10.9426,11.0308,29149095
2017-03-10,11.075,11.1456,11.0044,11.0573,34866054
2017-03-13,11.0838,11.1456,11.0308,11.0661,22625831
2017-03-14,11.0397,11.0838,10.9867,11.075,26956658
2017-03-15,11.0838,11.1632,11.0485,11.1632,34296197
2017-03-16,11.1632,11.225,11.1103,11.2073,28954694
2017-03-17,11.2426,11.2426,10.9867,11.0132,54929115
2017-03-20,11.0132,11.022,10.8102,10.8367,45329650
2017-03-21,10.8543,10.872,10.3249,10.3425,101559879
