date,open,high,low,close,volume
2017-01-03,55.8855,56.0205,55.2285,55.8855,2327949
2017-01-04,55.8495,56.3086,55.7595,55.8675,2137222
2017-01-05,55.8045,56.2276,55.5435,56.0295,2558494
2017-01-06,55.9842,56.0749,55.6576,55.7574,2282018
2017-01-09,55.6576,55.8382,54.8957,54.932,3408890
2017-01-10,54.9683,55.0898,54.6689,54.8322,3244256
2017-01-11,54.8322,55.4309,54.7052,55.313,3374041
2017-01-12,55.2585,56.1293,55.2041,55.576,2961772
2017-01-13,55.5216,55.7574,55.2631,55.4037,1853784
2017-01-17,55.2948,56.2881,55.2948,56.22,2775139
2017-01-18,56.1293,56.4921,56.0749,56.3107,2116360
2017-01-19,56.3379,56.3561,55.8935,55.9207,2421539
2017-01-20,56.2382,56.8913,56.1656,56.6191,3103966
2017-01-23,56.4105,56.5556,55.83,56.347,2837433
2017-01-24,56.3017,57.0455,56.2962,56.8459,2632543
2017-01-25,57.0001,57.245,56.6191,57.1543,2681435
2017-01-26,57.0455,57.1815,56.6191,56.8731,1957115
2017-01-27,56.9185,57.0182,56.4921,56.8913,1845209
2017-01-30,56.7461,57.0908,56.5375,56.7824,1692258
2017-01-31,56.7824,57.0999,56.5284,56.6736,3543633
2017-02-01,56.5284,56.6495,55.6576,55.6667,2644077
2017-02-02,55.9116,56.2563,55.7846,55.9842,2167891
2017-02-03,56.3561,57.1362,56.1202,56.9003,2532374
2017-02-06,56.728,56.7915,55.6939,55.7302,2335624
2017-02-07,55.9479,56.1339,55.8028,56.0749,1622773
2017-02-08,56.0023,56.5375,55.9026,56.4377,1682336
2017-02-09,56.5284,57.3539,56.2463,57.1997,2509411
2017-02-10,57.0182,57.4491,56.8096,56.9275,1977886
2017-02-13,56.9366,57.1724,56.6373,57.0455,1843621
2017-02-14,56.9729,57.8074,56.728,57.2269,3639684
2017-02-15,56.855,57.4627,56.2472,57.3176,2651381
2017-02-16,57.2087,57.3901,55.6803,55.8209,6020290
2017-02-17,53.4172,54.5873,53.2448,53.7256,11680881
2017-02-21,55.2585,55.8663,54.4512,55.3492,7527707
2017-02-22,55.1043,55.322,54.6417,54.9592,3327033
2017-02-23,55.2313,55.3099,54.8413,55.1315,2499938
2017-02-24,55.1769,55.6758,55.1134,55.6667,2594311
2017-02-27,55.4309,55.4309,54.2336,54.3696,3804156
2017-02-28,54.4966,55.0227,54.415,54.7597,3654114
2017-03-01,55.1315,55.2767,54.5147,54.9229,3178723
2017-03-02,54.9683,55.3039,54.7324,55.2495,3826705
2017-03-03,55.313,55.3311,54.8776,55.0862,1893398
2017-03-06,54.8413,54.9955,54.5147,54.8141,2246082
2017-03-07,54.8685,55.2404,54.6054,54.6508,2282442
2017-03-08,54.6962,54.7506,54.3741,54.4875,2114849
2017-03-09,54.6508,55.0408,54.4195,54.9955,2272068
2017-03-10,55.2495,55.4218,54.873,54.9411,2745256
2017-03-13,54.8504,54.932,54.5601,54.8957,2988257
2017-03-14,54.8957,54.9592,54.6599,54.8413,1710490
2017-03-15,54.8141,55.6395,54.7778,55.4762,4713132
2017-03-16,55.322,55.4672,54.8821,55.1588,4250091
2017-03-17,55.3946,55.4626,54.9955,55.0227,10957793
2017-03-20,55.1225,55.2857,54.6599,54.6599,4817602
2017-03-21,54.1156,55.1043,53.9796,54.2063,5442283
2017-03-22,53.9524,54.0612,53.1451,53.4625,5135274
2017-03-23,53.4353,54.1519,53.4353,53.8526,2982084
2017-03-24,54.0975,54.1973,53.526,53.6621,3070851
2017-03-27,53.526,53.78,53.2993,53.3265,3263805
2017-03-28,53.3083,53.7165,53.1632,53.526,2517893
2017-03-29,53.6802,54.034,53.4807,53.9161,2505472
2017-03-30,53.8889,54.0159,53.5442,53.5805,1936554
2017-03-31,53.6077,53.9251,53.517,53.526,2506787
2017-04-03,53.5623,53.7165,52.9546,53.1088,3398973
2017-04-04,53.1451,53.3718,52.7006,52.9546,3430254
2017-04-05,53.009,53.3718,52.8367,52.8367,3185042
2017-04-06,52.9464,53.0744,52.5897,52.7635,3471762
2017-04-07,52.8824,52.9647,52.6949,52.7269,2217216
2017-04-10,52.7543,52.9373,52.544,52.608,2483361
2017-04-11,52.5623,52.6903,52.2604,52.5165,2494685
2017-04-12,52.3611,52.8824,52.3519,52.6629,3230473
2017-04-13,52.6171,52.8641,52.2879,52.2879,2226435
2017-04-17,52.3702,52.7909,52.3153,52.6812,2333327
2017-04-18,52.7726,53.5958,52.6812,53.1933,3223784
2017-04-19,53.2299,53.422,52.7635,52.9007,2464089
2017-04-20,52.9098,53.1659,52.5575,52.9373,2967005
2017-04-21,52.8915,53.0927,52.7086,52.8001,2219659
2017-04-24,53.0744,53.294,52.9464,53.1751,2638924
2017-04-25,53.2025,53.3763,53.0653,53.2665,2549773
2017-04-26,53.3122,53.3488,52.8184,52.9373,2401899
2017-04-27,53.0836,53.1019,52.4342,52.5074,2393616
2017-04-28,52.5897,52.64,52.2604,52.5989,3564917
2017-05-01,52.6446,52.7178,51.7574,51.7666,3036714
2017-05-02,52.0409,52.0409,51.0349,51.1446,4419850
2017-05-03,51.2087,51.4373,50.916,51.2635,3473904
2017-05-04,51.3184,55.0683,51.1812,52.1781,19747255
2017-05-05,52.4342,52.544,52.1873,52.4068,3745869
2017-05-08,52.4708,52.8092,52.2147,52.4982,2983010
2017-05-09,52.4982,52.5806,51.3367,51.5562,4154626
2017-05-10,51.5562,51.7208,51.4099,51.5288,3914519
2017-05-11,51.5836,51.6202,51.1126,51.4556,3963670
2017-05-12,51.3641,51.5075,51.291,51.4465,2316171
2017-05-15,51.5105,51.7574,51.3824,51.5471,2239528
2017-05-16,51.6202,51.6294,51.2452,51.3001,2303385
2017-05-17,50.9434,51.4821,50.8245,51.2452,2786669
2017-05-18,51.2178,51.3642,50.9891,51.1355,3304447
2017-05-19,51.1446,51.515,50.8794,51.4282,3748612
2017-05-22,51.3001,52.0044,51.3001,51.8672,3702967
2017-05-23,51.8763,52.105,51.7391,51.8489,2544260
2017-05-24,51.8397,52.0867,51.73,52.0501,2390287
2017-05-25,52.0318,52.1507,51.8489,51.9769,2115477
2017-05-26,52.105,52.4251,51.922,52.4251,2920442
2017-05-30,52.1964,52.233,51.4556,51.7391,5513651
2017-05-31,51.6751,52.1598,51.6111,51.8946,6567464
2017-06-01,52.0318,52.6354,51.7849,52.6354,3283936
2017-06-02,52.7635,52.7909,52.3519,52.6354,3544939
2017-06-05,52.5623,52.672,52.2147,52.5348,2734209
2017-06-06,52.5257,52.7863,52.3153,52.6171,3384183
2017-06-07,52.6812,52.8915,52.4525,52.7726,3034668
2017-06-08,52.7543,52.8915,52.2879,52.3153,3650840
2017-06-09,52.1964,52.5531,51.9998,52.2147,2866227
2017-06-12,52.0958,52.6812,52.0958,52.3519,3851762
2017-06-13,52.3428,53.3031,51.8672,53.2025,4012875
2017-06-14,53.3763,54.4921,53.3214,53.733,6702685
2017-06-15,53.7238,53.9067,53.376,53.8061,4683595
2017-06-16,53.6049,53.7695,51.8397,52.2239,7376746
