date,open,high,low,close,volume
2017-01-03,44.4951,45.2561,44.4951,45.1002,1146335
2017-01-04,45.1552,45.8887,45.1552,45.687,1524929
2017-01-05,45.6778,45.6778,44.9718,45.3753,886877
2017-01-06,45.2836,45.6503,44.7793,44.9627,1013822
2017-01-09,44.9443,44.9627,44.0733,44.0917,1507149
2017-01-10,44.0642,44.3392,43.6974,43.945,1461518
2017-01-11,43.7708,44.2659,43.7708,44.2475,917141
2017-01-12,44.0366,44.5868,43.7533,44.3484,895519
2017-01-13,44.5226,44.7793,44.3209,44.4859,754525
2017-01-17,44.4217,44.5959,43.7341,43.9541,743638
2017-01-18,43.945,44.1833,43.7066,43.7891,754164
2017-01-19,43.8533,44.165,43.5141,43.6516,594272
2017-01-20,43.7708,44.0733,43.459,43.8899,869417
2017-01-23,43.9358,44.2475,43.7524,44.1742,1215502
2017-01-24,44.6005,45.036,44.2108,44.9993,1250331
2017-01-25,44.9535,45.7602,44.9535,45.6136,1434700
2017-01-26,45.6503,45.7512,44.9627,44.9993,1070672
2017-01-27,45.0269,45.1644,44.6601,44.926,858873
2017-01-30,44.6784,44.6784,43.2298,43.4132,1757037
2017-01-31,43.5232,44.2934,43.1198,44.275,4925376
2017-02-01,44.3942,44.6692,43.8258,44.1283,1377064
2017-02-02,44.1925,45.6778,44.11,45.6595,1886281
2017-02-03,45.632,45.8795,45.3936,45.6962,1306465
2017-02-06,45.2377,46.1271,45.2377,46.0812,1325623
2017-02-07,46.1638,46.3013,45.3111,45.4119,1040013
2017-02-08,45.3844,45.3844,44.5776,44.7885,1492989
2017-02-09,44.6968,45.1598,44.6326,45.0452,738913
2017-02-10,45.0177,45.8933,44.926,45.6411,913743
2017-02-13,45.8429,46.6405,45.6411,46.1546,849307
2017-02-14,46.1362,46.2554,45.852,46.0721,772351
2017-02-15,46.0629,46.613,45.8887,46.5947,1008501
2017-02-16,46.5122,46.723,46.3013,46.7139,965817
2017-02-17,46.4755,46.8422,46.2554,46.5855,1309677
2017-02-21,46.5947,47.1906,46.1179,46.2554,3161630
2017-02-22,49.7853,51.1056,48.6943,49.6478,10284795
2017-02-23,49.9687,50.3446,47.8691,47.9608,2547240
2017-02-24,47.8416,48.6759,47.3557,48.6209,1299733
2017-02-27,48.6026,48.6026,47.6399,48.2359,1175579
2017-02-28,48.1258,48.3642,46.9156,47.319,1546035
2017-03-01,48.0066,48.19,47.3557,47.9883,1106924
2017-03-02,48.0433,48.0433,47.4107,47.4198,801522
2017-03-03,47.3648,47.5409,47.0164,47.2365,579832
2017-03-06,47.5207,47.8416,47.209,47.4565,1267141
2017-03-07,47.4749,47.6582,47.0348,47.2273,1035138
2017-03-08,47.319,47.7407,47.0073,47.6674,1044934
2017-03-09,47.6582,47.9791,47.4198,47.7774,923909
2017-03-10,47.6032,48.2725,47.5069,48.1442,1072845
2017-03-13,48.2367,48.4636,47.8108,48.0053,1007386
2017-03-14,47.9405,48.0701,47.2646,47.6072,1058621
2017-03-15,47.6442,48.2552,47.3201,48.0516,938884
2017-03-16,48.1441,48.5237,47.8386,48.4774,863706
2017-03-17,48.5793,48.82,48.1349,48.4774,3170791
2017-03-20,48.5608,48.9219,48.3432,48.7459,916897
2017-03-21,48.82,48.9404,47.5979,47.6997,941514
2017-03-22,47.8571,47.8942,47.135,47.4127,740321
2017-03-23,47.4775,47.9497,47.4312,47.6627,837621
2017-03-24,47.6905,47.9127,47.135,47.3109,690763
2017-03-27,46.8572,47.3294,46.4732,47.0054,935522
2017-03-28,47.0702,47.4127,46.5517,47.2276,1035144
2017-03-29,47.2738,47.4868,46.9405,47.1813,768076
2017-03-30,47.172,47.4868,46.8757,47.3016,716044
