date,open,high,low,close,volume
2017-01-03,235.4731,237.6755,230.8839,234.3767,4384246
2017-01-04,234.2506,236.0746,232.8826,235.8902,2728709
2017-01-05,235.4925,235.9896,229.7293,234.1341,3562618
2017-01-06,235.0753,238.8688,234.1827,237.6075,3591079
2017-01-09,236.0067,237.4038,234.2797,235.6574,3022766
2017-01-10,233.6975,236.191,231.9317,235.3469,3432904
2017-01-11,235.541,238.5195,234.7939,238.4419,3532563
2017-01-12,237.7628,238.1576,234.3767,236.5791,4022328
2017-01-13,238.1218,240.3921,235.6768,237.0254,4186076
2017-01-17,235.7059,235.8223,228.5942,228.7203,6277192
2017-01-18,228.9726,230.6122,224.626,227.3135,7590482
2017-01-19,227.1,227.7598,223.7528,224.5192,4561821
2017-01-20,224.723,226.285,223.6751,225.2857,5211836
2017-01-23,224.9558,226.7915,223.8789,225.7417,3136161
2017-01-24,224.9558,229.0308,223.9662,226.7216,4448152
2017-01-25,228.5166,230.263,227.5027,230.1853,3716771
2017-01-26,230.3988,233.6199,230.3988,232.446,4195574
2017-01-27,229.8458,230.8839,228.9823,229.8943,3253002
2017-01-30,228.5651,229.2539,224.626,226.9351,3803259
2017-01-31,225.9164,227.3717,221.366,222.4915,5156419
2017-02-01,223.646,225.9261,222.6855,223.8013,4024490
2017-02-02,221.7056,225.4118,220.2891,223.549,2775736
2017-02-03,227.5366,233.9304,227.2262,233.7752,7381005
2017-02-06,232.4654,236.3948,232.0482,232.834,4639232
2017-02-07,233.9692,234.2506,232.2616,232.4848,2660247
2017-02-08,231.2041,231.825,229.2733,230.651,2744667
2017-02-09,231.6892,236.0461,230.3503,234.3573,3550836
2017-02-10,236.1231,236.8896,234.0468,235.4925,3072771
2017-02-13,237.2098,240.1107,237.2098,238.9367,2998225
2017-02-14,238.6845,242.5557,238.374,242.0318,4141460
2017-02-15,243.1184,244.4476,241.11,243.0796,4296636
2017-02-16,242.8467,243.3125,241.0421,242.0124,2286305
2017-02-17,240.1398,243.099,239.7517,242.9244,3262325
2017-02-21,243.5259,245.1268,243.2445,244.2633,2794893
2017-02-22,242.6139,244.8357,242.5557,244.2342,2378769
