date,open,high,low,close,volume
2017-01-03,12.5476,12.6082,12.3192,12.4171,10926162
2017-01-04,12.4171,12.6315,12.4171,12.5663,12001891
2017-01-05,12.529,12.6595,12.268,12.3612,12436094
2017-01-06,12.4544,12.5663,12.3239,12.3892,12037329
2017-01-09,12.3146,12.4731,12.2307,12.4171,18797387
2017-01-10,12.4451,12.5476,12.3892,12.4265,13107377
2017-01-11,12.4265,12.6222,12.3472,12.529,11257996
2017-01-12,12.4078,12.529,12.2493,12.4171,8551921
2017-01-13,12.4824,12.7434,12.4591,12.557,10808556
2017-01-17,12.4358,12.4544,12.0536,12.0722,12562496
2017-01-18,12.1281,12.268,11.9883,12.2587,12260043
2017-01-19,12.3146,12.3892,12.0722,12.1281,10144540
2017-01-20,12.1841,12.3426,12.1281,12.2307,7818084
2017-01-23,12.1934,12.2866,12.0769,12.1748,10099155
2017-01-24,12.2214,12.3985,12.1654,12.3519,14195652
2017-01-25,12.6782,13.0883,12.5383,13.0697,18265922
2017-01-26,13.1536,13.2095,13.0184,13.0604,16825758
2017-01-27,13.0324,13.0604,12.7574,12.846,10164457
2017-01-30,12.7621,12.7714,12.4777,12.6968,8551920
2017-01-31,12.6036,12.7527,12.4731,12.6129,11979963
2017-02-01,12.7714,12.9485,12.5383,12.5849,9740112
2017-02-02,12.4731,12.5243,12.268,12.3426,12209500
2017-02-03,12.501,12.7434,12.4171,12.6875,16564666
2017-02-06,12.557,12.6968,12.4917,12.6129,7300779
2017-02-07,12.6502,12.6688,12.501,12.5663,13113033
2017-02-08,12.4824,12.501,12.3053,12.4917,10240880
2017-02-09,12.557,12.6875,12.4637,12.6315,7830238
2017-02-10,12.6688,12.7341,12.5849,12.6968,6862635
2017-02-13,12.79,12.9951,12.7714,12.8739,11977001
2017-02-14,12.8926,13.1815,12.8021,13.1629,10105421
2017-02-15,13.2841,13.3121,13.1396,13.2561,8533307
2017-02-16,13.2095,13.2748,13.0697,13.2095,6351308
2017-02-17,13.0697,13.1815,12.9765,13.1722,6958891
2017-02-21,13.2468,13.368,13.1349,13.2282,7918125
2017-02-22,13.1256,13.2934,13.1256,13.2282,5587261
2017-02-23,13.2561,13.2841,13.0977,13.2188,6013282
2017-02-24,13.051,13.2188,13.0044,13.2188,8740036
2017-02-27,13.2002,13.2654,13.1396,13.2468,4843183
2017-02-28,13.2188,13.2468,13.0417,13.1815,9723448
2017-03-01,13.4985,13.7409,13.4892,13.6663,10392468
2017-03-02,13.7409,13.7409,13.3121,13.3214,7967296
2017-03-03,13.3307,13.4892,13.3074,13.4239,5936216
2017-03-06,13.2654,13.4053,13.2188,13.34,6991869
2017-03-07,13.5731,13.5731,13.2282,13.2748,6513901
2017-03-08,13.4053,13.4426,13.1723,13.2188,8919963
2017-03-09,13.2748,13.3631,13.1815,13.2468,9858805
2017-03-10,13.368,13.3866,13.051,13.2282,10345754
2017-03-13,13.2188,13.2748,13.1256,13.2468,6303661
2017-03-14,13.1815,13.1815,12.9485,13.1256,7603856
2017-03-15,13.1815,13.2375,12.9019,12.9858,13096323
2017-03-16,13.117,13.1358,12.9602,13.0514,10064818
2017-03-17,13.0514,13.0983,12.7889,12.8733,26068162
2017-03-20,12.8545,12.892,12.6576,12.6764,9308900
2017-03-21,12.6764,12.7889,11.8794,11.9075,21459407
2017-03-22,11.8138,12.1794,11.5981,11.9826,18859468
2017-03-23,11.945,12.3388,11.9357,12.2076,24181086
2017-03-24,12.3107,12.3482,12.1701,12.292,13203758
2017-03-27,11.9075,12.2076,11.7763,12.2076,16548876
2017-03-28,12.1419,12.4664,12.1419,12.3951,10633180
2017-03-29,12.3951,12.4935,12.3107,12.3951,13044010
2017-03-30,12.3763,12.7701,12.3482,12.742,9723063
2017-03-31,12.667,12.742,12.5264,12.5545,10820209
2017-04-03,12.6764,12.6764,12.3201,12.517,15629943
2017-04-04,12.442,12.531,12.3763,12.4795,7911365
2017-04-05,12.6014,12.6764,12.2451,12.2545,8066133
2017-04-06,12.2263,12.442,12.1232,12.3763,7684666
2017-04-07,12.2826,12.4045,12.1888,12.3013,7942542
2017-04-10,12.2638,12.3951,12.1232,12.1888,6331108
2017-04-11,12.1044,12.1888,11.945,12.1888,8248465
2017-04-12,12.1419,12.1888,11.9638,12.0576,15162582
2017-04-13,11.9919,12.0951,11.8044,11.8044,9686184
2017-04-17,11.8325,12.1232,11.7763,12.1044,9116258
2017-04-18,12.0107,12.1138,11.87,12.0013,14466043
2017-04-19,11.7669,11.9826,11.7388,11.8044,21970773
2017-04-20,11.8513,12.0107,11.7388,11.9263,20334437
2017-04-21,11.945,12.0107,11.7763,11.8138,8948771
2017-04-24,12.1138,12.2263,12.0576,12.1794,11841276
2017-04-25,12.3295,12.3576,12.2076,12.2263,9917698
2017-04-26,12.1888,12.3951,12.1794,12.3013,7703218
2017-04-27,12.3295,12.3295,12.1044,12.1794,6528816
2017-04-28,12.1982,12.2826,12.0482,12.0576,12050153
2017-05-01,12.1326,12.292,12.0107,12.2732,9195375
2017-05-02,12.2732,12.2966,12.0576,12.1419,10160321
2017-05-03,12.0857,12.3576,12.0482,12.3201,12769609
2017-05-04,12.4045,12.4982,12.2076,12.2357,10433597
2017-05-05,12.2638,12.2638,12.1373,12.1794,5661424
2017-05-08,12.1701,12.2638,12.1326,12.2357,6625634
2017-05-09,12.2638,12.3482,12.0904,12.1232,7442469
2017-05-10,12.0951,12.1419,12.0201,12.0951,7839944
2017-05-11,12.0294,12.1232,11.9075,11.9919,8402804
