date,open,high,low,close,volume
2017-01-03,20.4254,20.6772,20.3321,20.6305,5222901
2017-01-04,20.7052,21.2321,20.7052,21.0782,6466085
2017-01-05,20.929,21.1155,20.6305,21.0875,5411738
2017-01-06,21.0782,21.1249,20.8077,20.9476,4832189
2017-01-09,20.957,20.985,20.6725,20.7238,3441052
2017-01-10,20.8171,21.1342,20.7704,20.9197,6031115
2017-01-11,20.9197,20.963,20.4254,20.4533,4907840
2017-01-12,20.3787,20.5746,20.1269,20.444,3125704
2017-01-13,20.4533,20.6492,20.4533,20.5746,3141755
2017-01-17,20.6772,21.358,20.6772,21.3207,5966174
2017-01-18,21.358,21.4513,20.4533,20.5279,6623038
2017-01-19,20.6492,20.7984,20.5279,20.5932,4074143
2017-01-20,20.6212,20.873,20.5186,20.8637,3044572
2017-01-23,20.7984,21.1155,20.6772,21.0129,4560560
2017-01-24,21.0502,21.2088,20.985,21.1062,3233063
2017-01-25,21.4326,22.3373,21.4326,22.2254,8814401
2017-01-26,22.1974,22.3653,22.0202,22.0482,6951683
2017-01-27,22.0109,22.1321,21.3347,21.3394,7956191
2017-01-30,21.3487,21.8617,21.0353,21.7591,6796916
2017-01-31,21.4326,22.1461,21.1715,22.1135,11092758
2017-02-01,22.1321,22.1368,21.5167,21.6658,5840259
2017-02-02,21.5539,21.6565,21.0502,21.1808,7459082
2017-02-03,18.6533,18.6533,17.6367,17.702,36597006
2017-02-06,17.8232,18.428,17.7766,18.0191,19807690
2017-02-07,18.0191,18.3688,17.9072,18.0004,11589785
2017-02-08,18.1683,18.6999,18.1151,18.5507,13787775
2017-02-09,18.6067,19.1196,18.6067,18.8771,10000452
2017-02-10,19.1402,19.6523,19.0557,19.5912,8495744
2017-02-13,19.751,19.7698,19.1402,19.2154,8045167
2017-02-14,19.4127,19.8449,19.4127,19.5912,6750365
2017-02-15,19.5537,19.9248,19.4785,19.8543,7131568
2017-02-16,19.8919,20.0235,19.5067,19.5912,5091554
2017-02-17,19.5161,19.751,19.4597,19.751,8313718
2017-02-21,19.751,19.9671,19.5865,19.7134,5630290
2017-02-22,19.8168,20.0423,19.704,19.9859,5607265
2017-02-23,19.8825,20.1832,19.6194,19.657,7871465
2017-02-24,19.6664,20.2302,19.5443,20.0892,8587251
2017-02-27,19.7416,19.9671,19.1778,19.4033,12525949
2017-02-28,19.3939,19.5349,18.755,18.802,8465068
2017-03-01,18.9053,18.9993,18.6516,18.8865,6582909
2017-03-02,19.0651,19.253,18.9523,19.1214,6146247
2017-03-03,19.2248,19.4221,19.0745,19.3,6729701
2017-03-06,19.1966,19.3375,18.9993,19.1966,4666812
2017-03-07,18.7174,19.0369,18.6046,18.7738,7823534
2017-03-08,18.7926,19.0557,18.6892,18.9993,4630336
2017-03-09,19.0651,19.0651,18.7644,18.7832,3212762
2017-03-10,18.8301,18.9805,18.6516,18.7644,4188144
2017-03-13,18.8114,18.9429,18.7362,18.9335,3112793
2017-03-14,18.9993,19.2906,18.9523,19.0369,3048261
2017-03-15,18.9711,19.1637,18.7174,19.1026,3371736
2017-03-16,19.1026,19.4127,18.9993,19.2718,3089448
2017-03-17,19.2718,19.2812,18.8865,19.0557,6680206
2017-03-20,19.1402,19.1778,18.8301,18.9711,4570505
2017-03-21,19.0087,19.0463,18.5671,18.9053,6268750
2017-03-22,18.7738,19.0087,18.6422,18.9899,3616254
2017-03-23,19.0557,19.2342,19.0087,19.0932,4425420
2017-03-24,19.0838,19.3282,18.8301,19.1872,2961294
2017-03-27,18.9711,19.4691,18.9241,19.2248,3973244
2017-03-28,19.0275,19.6288,19.0087,19.5819,3282319
2017-03-29,19.4221,19.8262,19.2624,19.8168,3618698
2017-03-30,19.657,19.704,19.3657,19.4597,2917959
2017-03-31,19.4973,19.5912,19.3047,19.5067,2726936
2017-04-03,19.5349,19.5912,19.3094,19.4503,3540663
2017-04-04,19.3751,19.4033,18.8301,19.0181,3783699
2017-04-05,19.0087,19.3282,18.8583,19.112,2630463
2017-04-06,19.1308,19.6382,19.1214,19.4691,2791884
2017-04-07,19.4503,19.6711,19.3422,19.5631,5360378
2017-04-10,19.5631,19.9577,19.5255,19.5349,3596947
2017-04-11,19.5443,19.6617,19.4315,19.5912,3071404
2017-04-12,19.5912,19.8731,19.5161,19.8355,2812088
2017-04-13,20.0517,20.4839,19.7416,19.9765,9520632
2017-04-17,20.108,20.1127,19.8919,20.0423,5120441
2017-04-18,19.9765,20.0141,19.798,19.9765,2702830
2017-04-19,20.0517,20.606,20.0047,20.3711,4345570
2017-04-20,20.3617,20.8222,20.3242,20.8034,4340672
2017-04-21,20.794,20.8034,20.2772,20.3805,3651344
2017-04-24,20.6906,20.8128,20.3101,20.4651,4084968
2017-04-25,20.5591,20.6812,20.4369,20.6342,2723452
2017-04-26,20.7094,20.841,20.5497,20.653,3481296
2017-04-27,20.8128,21.0289,20.6906,21.0195,2402925
2017-04-28,21.0007,21.0007,20.4698,20.4933,5143393
2017-05-01,20.5497,20.6107,20.3805,20.4933,4702382
2017-05-02,20.5779,20.7282,20.4933,20.7282,4751575
2017-05-03,20.9349,21.0383,19.0651,19.4691,13380916
2017-05-04,19.6006,19.8731,19.4973,19.6194,5982824
2017-05-05,19.6758,20.1738,19.6664,20.1644,4849493
2017-05-08,20.1738,20.4463,20.0611,20.3242,3985627
2017-05-09,20.3711,21.2168,20.2678,21.1322,9417738
2017-05-10,21.0759,21.4141,20.8034,21.3765,4232976
2017-05-11,21.2732,21.3671,20.5591,20.9349,4693331
2017-05-12,20.8876,20.8876,20.1876,20.2822,5434688
2017-05-15,20.3389,20.4997,20.1024,20.197,3259557
2017-05-16,20.093,20.1686,19.497,19.5727,5238976
2017-05-17,19.4591,19.6199,19.251,19.3173,5028742
2017-05-18,19.3551,19.5443,19.1659,19.2605,3245791
2017-05-19,19.2983,19.7429,19.0902,19.601,3580212
2017-05-22,19.601,19.847,19.5679,19.6294,2525506
2017-05-23,19.7146,19.7335,19.4024,19.4308,2781370
