date,open,high,low,close,volume
2017-01-03,30.93,31.9452,30.632,31.2653,3075907
2017-01-04,31.7869,32.3923,31.3119,31.9452,4063523
2017-01-05,31.8428,31.8986,31.0046,31.433,3319815
2017-01-06,31.4609,31.568,29.7845,29.8124,3791794
2017-01-09,29.533,29.5703,28.7414,28.8252,3569887
2017-01-10,28.7786,29.6541,28.5644,28.6017,3829141
2017-01-11,28.6203,29.2722,28.5551,28.9183,2231700
2017-01-12,29.235,29.3654,28.2198,28.4527,1979659
2017-01-13,28.0522,28.4433,27.9218,27.9684,2114723
2017-01-17,28.2478,28.6762,27.7076,27.987,2223165
2017-01-18,27.8752,28.3223,27.8287,28.136,1836803
2017-01-19,28.1826,28.1826,27.5679,27.8007,2450891
2017-01-20,28.2012,28.313,27.6703,27.9218,2020580
2017-01-23,27.7076,27.9684,27.1953,27.2885,2547915
2017-01-24,27.5586,28.4992,27.3537,28.4899,3348704
2017-01-25,28.5551,28.8158,27.8939,28.7414,2520972
2017-01-26,28.7228,28.8718,27.6005,27.661,2744637
2017-01-27,27.7541,27.9311,26.9718,27.0929,3142535
2017-01-30,26.9904,27.4096,26.6924,27.3723,3152618
2017-01-31,27.512,27.5586,26.4735,26.9811,4132043
2017-02-01,27.4189,27.4654,25.938,26.1895,3446663
2017-02-02,26.3012,26.5481,25.7611,26.2361,3668927
2017-02-03,26.3106,26.6924,25.966,26.6924,1804577
2017-02-06,26.7017,27.0091,26.4875,26.6272,1955011
2017-02-07,26.7762,26.8973,26.3478,26.4782,1646424
2017-02-08,26.3106,27.5586,26.1709,27.5213,3802329
2017-02-09,27.8193,28.313,27.7076,28.1081,2547911
2017-02-10,28.3968,28.5179,27.838,28.0801,1648904
2017-02-13,27.7821,28.0522,27.4841,27.6238,2745119
2017-02-14,27.5027,27.8845,27.2047,27.8659,1598128
2017-02-15,27.7914,28.1267,27.6051,28.0801,1983582
2017-02-16,28.0987,28.2478,27.7635,27.9404,2566277
