date,open,high,low,close,volume
2017-01-03,179.8003,183.8531,179.6108,183.7365,378636
2017-01-04,184.6598,186.5647,184.028,186.4772,598494
2017-01-05,186.7105,191.7352,185.8124,190.1121,850744
2017-01-06,190.4911,190.5883,186.8757,188.11,480784
2017-01-09,188.4502,188.7028,184.9319,185.0971,401808
2017-01-10,185.8746,187.9083,184.5043,185.9232,446659
2017-01-11,186.0107,186.5161,183.1922,184.9902,400032
2017-01-12,188.3238,189.1984,185.1846,185.6997,547405
2017-01-13,186.7882,188.489,186.0884,186.1954,343873
2017-01-17,186.6036,186.6036,182.9735,184.2807,340458
2017-01-18,184.4168,186.1954,183.5907,185.5733,289189
2017-01-19,187.0312,189.6746,186.6036,189.3443,439078
2017-01-20,190.1898,190.773,189.1596,190.2093,480912
2017-01-23,190.7341,191.1812,187.1673,188.1003,392933
2017-01-24,187.6338,189.8837,186.7007,189.286,324629
2017-01-25,189.9177,190.1607,186.9437,187.3033,381169
2017-01-26,187.3616,188.868,185.3887,188.8389,289439
2017-01-27,188.4793,189.7525,185.9621,186.1468,429194
2017-01-30,186.7493,187.2547,184.0669,187.1964,228370
2017-01-31,187.2936,188.7514,184.3974,188.5085,264477
2017-02-01,189.4901,189.5095,184.4751,187.3713,409328
2017-02-02,186.934,189.3637,185.4178,189.2763,341608
2017-02-03,189.8108,193.8246,189.4415,193.6789,305863
2017-02-06,194.2912,195.1222,193.4068,193.8442,331753
2017-02-07,194.6314,195.4478,192.9111,193.4165,311901
2017-02-08,193.3679,193.9608,192.4252,193.0569,260852
2017-02-09,193.2221,194.5828,192.9889,193.2805,387770
2017-02-10,193.6595,195.1076,193.3096,194.7189,352630
2017-02-13,195.2242,195.9337,194.3884,195.5353,414525
2017-02-14,194.6897,197.9067,193.6984,196.8959,411172
2017-02-15,197.722,201.007,196.3225,199.9185,517324
2017-02-16,203.0771,205.8373,198.531,204.0393,691166
2017-02-17,205.0695,207.6402,203.1257,205.954,548086
2017-02-21,205.954,207.4118,204.2045,206.6829,536060
2017-02-22,207.7714,209.6374,207.0911,209.2098,328729
2017-02-23,210.1428,210.2497,207.3339,208.3254,362862
2017-02-24,208.2768,211.8242,207.0813,210.8815,415365
2017-02-27,209.8998,212.5771,209.0349,211.9991,404592
2017-02-28,212.7378,213.6222,211.2411,212.3587,563784
2017-03-01,212.9532,214.5759,212.3685,213.8888,531775
2017-03-02,213.4308,215.0679,212.3197,212.7681,479562
2017-03-03,212.7973,213.6841,211.4816,213.2553,344847
2017-03-06,212.6706,213.3041,210.7507,212.4854,425271
2017-03-07,212.388,214.2884,212.1053,212.232,528126
2017-03-08,212.1931,212.8947,209.5032,209.9028,389425
2017-03-09,209.7566,210.1757,206.6877,208.2655,376653
2017-03-10,208.363,208.4605,204.4745,206.3164,514460
2017-03-13,206.3067,207.9342,205.761,207.827,264089
2017-03-14,206.9401,207.0766,202.9152,206.1117,281232
2017-03-15,207.0961,207.33,204.3283,206.2482,442664
2017-03-16,206.8817,207.3387,203.9872,204.8156,266695
2017-03-17,205.3808,210.0295,205.3808,208.285,1303346
2017-03-20,208.285,209.2986,205.3808,205.9363,262692
2017-03-21,206.1215,206.4803,200.7614,201.8529,424946
2017-03-22,201.8431,204.4014,201.5118,203.5486,336468
2017-03-23,203.5486,203.7727,202.155,202.652,225960
2017-03-24,202.2427,203.2952,199.0266,199.7186,271568
2017-03-27,197.594,197.8279,195.2161,196.941,442259
2017-03-28,196.2101,198.7537,195.8203,197.3114,633018
2017-03-29,197.3114,197.697,195.4597,196.9898,345897
2017-03-30,196.6584,198.159,196.2783,197.2432,300404
2017-03-31,197.3016,197.9546,195.1381,195.1478,371746
2017-04-03,194.9919,197.2968,194.9139,196.7071,419465
2017-04-04,196.8338,198.208,196.4343,196.9215,300100
2017-04-05,197.2821,198.2762,193.1402,193.6178,419853
2017-04-06,193.53,196.1321,192.4775,195.3427,516388
2017-04-07,196.8631,200.888,195.9081,198.6173,406806
2017-04-10,199.2118,199.9135,198.0335,198.705,242870
2017-04-11,198.8999,200.5275,197.1067,200.391,262837
2017-04-12,202.4766,202.4766,198.0326,198.4711,247800
2017-04-13,197.7304,200.1376,197.555,197.8084,243323
