date,open,high,low,close,volume
2017-01-03,17.1192,17.3259,16.9642,17.1266,8056583
2017-01-04,17.2004,17.5031,17.1561,17.3111,6956529
2017-01-05,17.3111,17.4071,17.2225,17.3923,11556223
2017-01-06,17.3997,17.3997,16.5434,17.0527,14541596
2017-01-09,17.0823,17.1142,16.6172,16.6541,14292746
2017-01-10,16.7501,16.9863,16.6172,16.942,13491465
2017-01-11,16.9199,16.9642,16.691,16.8017,9276997
2017-01-12,16.7796,16.8608,16.5544,16.7944,8273242
2017-01-13,16.7944,17.0158,16.787,16.9346,5757032
2017-01-17,16.8534,16.9715,16.7095,16.7501,5902467
2017-01-18,16.8091,16.9715,16.6763,16.8756,8449101
2017-01-19,16.8239,16.8903,16.7427,16.8091,5798493
2017-01-20,16.8239,16.9051,16.7132,16.8903,9054790
2017-01-23,16.846,16.9272,16.5286,16.6615,9075315
2017-01-24,16.7648,17.0454,16.7279,16.8977,8221029
2017-01-25,16.9937,17.0823,16.8571,16.9642,7295879
2017-01-26,16.9494,17.0454,16.6984,16.6984,6134510
2017-01-27,16.7796,16.8313,16.5951,16.6467,6810009
2017-01-30,16.6024,16.6024,16.2333,16.3514,9345204
2017-01-31,16.3441,16.7501,16.1226,16.7427,12485377
2017-02-01,16.7796,16.8165,16.5138,16.6763,9739734
2017-02-02,16.4326,16.7833,16.4326,16.7501,8296898
2017-02-03,16.7944,17.4071,16.7944,17.348,13433295
2017-02-06,17.2373,17.4661,17.2078,17.3776,5493291
2017-02-07,17.3776,17.5658,17.3628,17.4883,6505100
2017-02-08,17.4366,17.6286,17.3849,17.444,6084922
2017-02-09,17.4883,17.8057,17.3923,17.7762,7010194
2017-02-10,17.7762,17.9091,17.7024,17.7098,8311147
2017-02-13,17.7319,17.8869,17.6876,17.8057,6467918
2017-02-14,17.7762,17.8279,17.6876,17.8205,9756502
2017-02-15,17.8795,18.0419,17.7836,17.9977,6836444
2017-02-16,17.9903,18.0715,17.8722,17.9607,6849111
2017-02-17,17.9017,18.0272,17.8131,18.0124,7583435
2017-02-21,18.0124,18.2339,17.9829,18.2044,9465196
2017-02-22,18.1158,18.3668,18.0862,18.2929,7642602
2017-02-23,18.3299,18.352,18.0862,18.2044,13305792
2017-02-24,16.333,16.9642,16.3145,16.9494,46881768
2017-02-27,16.8017,16.8017,16.44,16.4696,19012500
2017-02-28,16.2924,16.8866,16.2407,16.846,18360146
2017-03-01,16.9863,17.2004,16.9272,17.1118,13272324
2017-03-02,17.0675,17.1339,16.8608,16.942,10778125
2017-03-03,16.9125,17.1782,16.8903,17.0158,11568060
2017-03-06,16.8682,17.0749,16.8534,17.0306,15560509
2017-03-07,16.9568,17.1192,16.7575,16.846,13897601
2017-03-08,16.8313,16.8682,16.6615,16.6984,12704973
2017-03-09,16.632,16.7501,16.5212,16.5877,11029658
2017-03-10,16.632,16.7501,16.3884,16.5138,11153683
2017-03-13,16.4287,16.6064,16.4139,16.525,10088381
2017-03-14,16.4657,16.5324,16.3028,16.4583,10088371
2017-03-15,16.4583,16.9174,16.3695,16.7989,14013911
2017-03-16,16.8063,16.9248,16.6582,16.7619,10297833
2017-03-17,16.7693,17.021,16.6656,16.9174,12379737
2017-03-20,16.8581,17.0765,16.7767,16.9914,8572873
2017-03-21,16.9914,17.0876,16.4361,16.4731,16223977
2017-03-22,16.4509,16.6952,16.3621,16.6582,9092632
2017-03-23,16.6212,16.9988,16.5694,16.8803,9762148
2017-03-24,16.9248,17.2061,16.7545,16.8581,9174040
2017-03-27,16.6952,16.9174,16.5694,16.8211,6688789
2017-03-28,16.7989,17.1839,16.7545,17.0358,8425849
2017-03-29,17.0284,17.7169,16.9581,17.5245,17229456
2017-03-30,17.4726,17.6355,17.4134,17.4874,8948331
2017-03-31,17.3468,17.7688,17.3468,17.5467,14225838
2017-04-03,13.3266,13.371,12.8157,13.0082,32015556
2017-04-04,12.8824,13.2599,12.8453,13.2525,19049173
2017-04-05,13.3118,13.4006,13.1637,13.2525,19009037
2017-04-06,13.3118,13.4228,13.2599,13.3414,12394962
2017-04-07,13.2896,13.6597,13.2599,13.5339,28146637
2017-04-10,13.5783,13.7042,13.5043,13.5487,22041193
2017-04-11,13.5191,13.5857,13.3932,13.4598,11342890
2017-04-12,13.5709,13.5783,13.2822,13.3636,13722972
2017-04-13,13.334,13.445,13.2822,13.3192,16281369
2017-04-17,13.3414,13.4228,13.3118,13.408,7940003
2017-04-18,13.3858,13.4747,13.315,13.4228,8009906
2017-04-19,13.4376,13.5413,13.3932,13.445,7302954
2017-04-20,13.4969,13.6301,13.4561,13.5709,10243907
2017-04-21,13.5487,13.5598,13.3414,13.4302,12252832
2017-04-24,13.5117,13.7264,13.4784,13.6523,14046458
2017-04-25,13.6894,13.7634,13.6375,13.7116,8534762
2017-04-26,13.6968,13.9041,13.6375,13.7782,10930195
2017-04-27,13.7708,13.8152,13.6449,13.793,13814765
