date,open,high,low,close,volume
2017-01-03,14.0577,14.2363,13.7474,13.9636,12502230
2017-01-04,14.0295,14.3022,13.9636,14.1799,9127833
2017-01-05,14.1987,14.2551,14.0107,14.1705,13221052
2017-01-06,14.2457,14.2551,14.0765,14.1047,7494227
2017-01-09,14.0859,14.1893,13.7944,13.8038,12909046
2017-01-10,13.7756,14.0765,13.5405,13.8132,15888327
2017-01-11,13.832,14.0765,13.7474,14.0483,15009251
2017-01-12,14.0013,14.0671,13.6863,13.9072,11507926
2017-01-13,13.9072,14.0483,13.8132,13.8884,9336199
2017-01-17,13.8038,14.0013,13.691,13.7098,11976835
2017-01-18,13.738,13.8251,13.6345,13.7098,13664983
2017-01-19,13.926,14.1235,13.8696,13.9731,15081845
2017-01-20,14.0671,14.0912,13.7286,13.8508,14687037
2017-01-23,13.832,13.8461,13.5499,13.7944,15250469
2017-01-24,13.8226,14.3351,13.7944,14.2645,12369680
2017-01-25,14.3492,14.4338,14.2175,14.2834,16223333
2017-01-26,14.3116,14.3962,13.8884,13.9072,14419181
2017-01-27,13.9448,14.2081,13.8978,13.9166,14921530
2017-01-30,13.9448,13.9636,13.7474,13.9542,11239675
2017-01-31,13.8884,14.2081,13.7004,14.1517,14889607
2017-02-01,14.2175,14.2551,13.9542,14.0953,12433763
2017-02-02,14.0013,14.3116,13.9825,14.3022,15599575
2017-02-03,14.3116,14.4056,14.2175,14.3586,11659495
2017-02-06,14.2645,14.3868,14.1893,14.3492,7975431
2017-02-07,14.3492,14.5184,14.2551,14.509,12330319
2017-02-08,14.4902,14.7065,14.4714,14.5843,13204263
2017-02-09,14.5843,14.8287,14.5278,14.7065,7709448
2017-02-10,14.7159,14.8005,14.6219,14.7817,10006365
2017-02-13,14.8099,15.1484,14.7629,15.0826,16142564
2017-02-14,15.0074,15.4305,14.998,15.1014,17086210
2017-02-15,15.0826,15.1767,14.9416,15.0262,14448341
2017-02-16,15.0356,15.0732,14.9416,14.9698,12560613
2017-02-17,14.9322,14.998,14.7817,14.998,17366721
2017-02-21,14.9792,15.2519,14.9792,15.1672,17318051
2017-02-22,15.1296,15.2707,15.1296,15.2331,16654221
2017-02-23,15.5246,16.7376,15.4964,16.5495,37118842
2017-02-24,16.305,16.6247,16.2768,16.5965,19816072
2017-02-27,16.5965,16.747,16.4367,16.5965,12287497
2017-02-28,16.5871,16.6152,16.3332,16.3332,13940117
2017-03-01,16.5965,16.6529,16.4085,16.5683,9818715
2017-03-02,16.6059,16.6341,16.2768,16.2862,12229182
2017-03-03,16.2674,16.3614,16.0982,16.3144,17289361
2017-03-06,16.5254,16.5254,16.2317,16.3928,11163064
2017-03-07,16.3644,16.5065,16.1559,16.3644,11527985
2017-03-08,16.3928,16.4875,16.317,16.4117,6745671
2017-03-09,16.3454,16.5018,16.2743,16.4496,8505402
2017-03-10,16.3454,16.6771,16.3454,16.4781,7840676
2017-03-13,16.497,16.5728,16.4402,16.5728,6966599
2017-03-14,16.5444,16.6581,16.497,16.5539,6334411
2017-03-15,16.5254,16.7244,16.3738,16.6486,13418063
2017-03-16,16.6771,16.7813,16.5633,16.7244,9143985
2017-03-17,16.7244,16.7718,16.6392,16.6392,14282500
2017-03-20,16.6486,16.7529,16.6012,16.6392,8847764
2017-03-21,16.696,16.7623,16.2507,16.2507,11252314
2017-03-22,16.317,16.3928,16.2033,16.3265,10654578
2017-03-23,16.3265,16.4686,16.2412,16.3075,9157123
2017-03-24,16.3738,16.4875,16.2317,16.3265,6633818
2017-03-27,16.1938,16.4023,16.1369,16.298,5698091
2017-03-28,16.3265,16.497,16.298,16.3549,8741713
2017-03-29,16.298,16.4686,16.2696,16.3549,5477399
2017-03-30,16.3454,16.7623,16.317,16.7244,10806000
2017-03-31,16.6865,17.0182,16.6392,16.9424,19240579
2017-04-03,16.9897,17.0087,16.516,16.6676,10538321
2017-04-04,16.6012,16.8097,16.5823,16.7908,6781165
2017-04-05,16.8666,16.9992,16.6771,16.7623,10310708
2017-04-06,16.7623,16.7908,16.516,16.6392,8368740
2017-04-07,16.6202,16.7055,16.3738,16.4591,13464895
2017-04-10,16.4875,16.6202,16.3843,16.4496,6694136
2017-04-11,16.4875,16.6297,16.3833,16.6202,14400769
2017-04-12,17.4067,17.4067,16.9139,17.075,19363874
2017-04-13,17.0466,17.3877,16.9992,17.2456,12854122
2017-04-17,17.2172,17.3593,17.1224,17.2456,8213848
2017-04-18,17.2551,17.3973,17.1319,17.2645,10177098
2017-04-19,17.4541,17.6341,17.3403,17.4161,12351959
2017-04-20,17.473,17.5914,17.3309,17.5488,6786300
2017-04-21,17.5393,17.5488,17.3072,17.3309,9953227
2017-04-24,17.5488,17.6246,17.3972,17.5678,8054640
2017-04-25,17.5962,17.7288,17.5204,17.6341,10425760
2017-04-26,17.5299,17.7525,17.4541,17.653,7950652
2017-04-27,17.7194,17.8426,17.6578,17.7857,9193686
2017-04-28,17.7573,17.8426,17.5535,17.8331,7956877
2017-05-01,17.8615,18.0036,17.8141,17.9373,7958624
2017-05-02,17.9942,18.0321,17.8236,17.9089,11526647
2017-05-03,17.852,17.9184,17.7573,17.8236,6996238
2017-05-04,17.852,17.8899,17.7099,17.8046,7204792
2017-05-05,17.8426,17.9278,17.7288,17.9184,11898040
2017-05-08,17.9184,18.3732,17.8994,18.2974,10053269
2017-05-09,18.3258,18.3258,18.1647,18.2311,6673609
2017-05-10,18.2405,18.3542,18.1552,18.3448,7252434
2017-05-11,18.2974,18.3305,18.1647,18.25,8233419
2017-05-12,18.2405,18.4016,18.1268,18.2879,6417197
