date,open,high,low,close,volume
2017-01-03,99.4243,99.8763,98.5299,98.7895,698139
2017-01-04,99.0588,99.6262,98.5683,99.3281,660313
2017-01-05,99.1646,99.9532,98.7607,99.4531,638858
2017-01-06,99.5493,100.7034,99.5108,100.5495,683692
2017-01-09,100.2033,100.386,98.2125,98.2317,602501
2017-01-10,98.3279,98.3471,97.2892,97.8182,477941
2017-01-11,97.5393,98.049,97.1834,97.8951,427726
2017-01-12,97.8759,98.1596,97.145,97.8951,383210
2017-01-13,97.9721,98.0971,97.3181,97.8663,377561
2017-01-17,97.3277,97.496,96.0644,96.3467,527513
2017-01-18,96.4525,97.52,96.2602,96.9911,698692
2017-01-19,97.193,97.8182,95.9765,96.164,579762
2017-01-20,96.6064,96.8468,96.0678,96.3563,478329
2017-01-23,96.2698,97.0776,95.3369,96.8564,548765
2017-01-24,96.8757,98.4914,96.7314,98.1644,436020
2017-01-25,98.4529,98.4529,96.9719,97.2508,463000
2017-01-26,97.145,97.7605,97.1257,97.3565,377715
2017-01-27,97.5777,99.6455,97.1642,98.6068,720419
2017-01-30,100.2995,100.2995,97.9817,98.4625,555398
2017-01-31,98.2606,98.7991,96.7603,98.7799,658118
2017-02-01,98.8857,99.3858,97.6162,97.9336,749163
2017-02-02,96.9526,101.29,96.9341,100.9631,1395652
2017-02-03,101.1843,101.4343,100.2514,100.3091,1023580
2017-02-06,100.1648,101.8479,100.035,101.1073,1410774
2017-02-07,100.915,101.4343,100.059,101.3093,863989
2017-02-08,100.9631,101.5689,100.5784,100.8957,2215010
2017-02-09,101.2997,101.7613,100.4726,100.4918,878039
2017-02-10,100.9919,101.8767,100.1744,101.694,709213
2017-02-13,101.9536,102.9346,101.7517,102.9154,676842
2017-02-14,102.2902,103.8386,101.944,103.8098,708821
2017-02-15,103.3578,103.9541,103.0116,103.2135,1004509
2017-02-16,103.454,104.6561,103.4011,104.4926,1107194
2017-02-17,104.4157,105.2812,103.8675,105.2716,609867
2017-02-21,105.3486,106.9451,105.3486,106.7719,727357
2017-02-22,106.2815,106.4642,105.4351,106.2141,714817
2017-02-23,106.2237,106.5027,105.3967,105.6371,1252924
2017-02-24,105.3967,106.8489,105.3101,106.8489,742831
2017-02-27,106.8681,107.3971,106.695,107.1085,1609650
2017-02-28,106.7142,107.349,105.3197,105.6948,882152
2017-03-01,106.5604,107.0028,106.1564,106.6661,860006
2017-03-02,106.57,107.0076,105.8391,106.0795,754480
2017-03-03,106.2718,106.3584,105.7717,106.2334,822248
2017-03-06,105.4832,105.9737,105.137,105.6948,719116
2017-03-07,105.4351,106.2863,105.3245,105.5313,556825
2017-03-08,105.5313,105.9352,105.1178,105.8198,759899
2017-03-09,105.7044,106.57,105.4255,105.7814,1056602
2017-03-10,105.7814,106.9217,105.5301,106.9024,765697
2017-03-13,106.6318,107.4822,106.081,107.0667,757922
2017-03-14,106.3032,106.9797,106.1873,106.8444,547760
2017-03-15,107.1247,108.1587,106.8541,107.9944,802211
2017-03-16,108.1587,108.5646,107.7045,107.8978,543483
2017-03-17,108.2167,108.9028,107.8205,108.5356,1487458
2017-03-20,108.6323,109.0275,108.3713,108.7675,448385
2017-03-21,108.8062,109.1976,107.0377,107.173,1125574
2017-03-22,107.1827,107.4919,106.5545,107.26,461448
2017-03-23,107.115,108.1974,107.0087,107.6755,569985
2017-03-24,107.4726,108.3907,106.7381,107.1633,514334
2017-03-27,106.3516,107.2406,105.7485,107.0667,1134355
2017-03-28,107.0184,108.2264,106.7864,107.9364,440763
2017-03-29,107.7915,108.0041,106.6898,107.3953,553055
2017-03-30,107.4629,108.2844,107.1537,108.0331,680513
2017-03-31,107.8495,107.8495,107.0184,107.5306,812779
2017-04-03,107.6369,107.9364,106.1003,106.5642,1366920
2017-04-04,106.5255,107.2221,106.0037,106.4095,601881
2017-04-05,106.8348,106.9314,105.3465,105.3852,800875
2017-04-06,105.6171,106.3709,105.3567,105.8104,687127
2017-04-07,106.1969,107.0401,105.8877,106.4675,776978
2017-04-10,106.6898,107.1054,106.081,106.3612,589435
2017-04-11,106.023,106.2453,105.5784,106.2453,426301
2017-04-12,106.8348,107.6175,106.2325,106.5835,439733
2017-04-13,106.4385,107.0425,106.2743,106.3226,655560
2017-04-17,106.8251,106.8638,106.1003,106.5062,1067969
2017-04-18,106.0327,106.6222,105.6461,105.878,906108
2017-04-19,106.3709,106.5448,105.6944,105.7427,868672
2017-04-20,106.052,106.7961,105.8104,106.2549,1374605
2017-04-21,106.4675,107.5692,106.3129,106.5642,829048
2017-04-24,107.7818,108.3133,107.5306,107.9364,646714
2017-04-25,108.2554,108.4196,107.4726,107.4726,894905
2017-04-26,107.5885,108.0621,107.144,107.3953,976917
2017-04-27,107.8108,109.5213,107.69,109.4827,731112
2017-04-28,109.1928,109.7629,107.9654,108.1297,1340477
2017-05-01,107.8108,107.8108,105.5301,106.023,1082168
2017-05-02,105.8877,106.2453,105.4528,105.8587,1062086
2017-05-03,105.6171,106.7091,104.7087,105.5784,953835
2017-05-04,106.0423,106.7768,105.82,106.3032,847093
2017-05-05,106.5738,108.0428,106.5255,106.999,970620
2017-05-08,107.0957,107.3663,104.2294,104.3705,1382274
2017-05-09,104.1675,104.8826,103.6167,104.8537,1279784
2017-05-10,104.844,105.2982,104.5347,105.2982,716416
2017-05-11,104.8633,105.3852,104.4091,105.3079,571824
2017-05-12,105.4818,105.4818,103.987,104.1385,551505
2017-05-15,104.2642,105.1629,104.1095,104.9793,623182
2017-05-16,105.1339,105.3272,104.7377,104.989,637665
2017-05-17,103.9163,104.3125,103.462,103.578,1216605
2017-05-18,103.491,104.0226,102.6116,103.8293,912136
2017-05-19,104.3221,104.815,103.8486,104.1868,2390847
2017-05-22,104.6894,105.6171,104.4381,104.902,788067
2017-05-23,105.0083,105.5398,104.2835,105.2789,515086
2017-05-24,105.0469,106.3032,104.989,106.1873,775252
2017-05-25,106.3032,107.6079,105.936,107.318,602537
2017-05-26,107.202,107.4243,106.4482,106.8444,801459
2017-05-30,106.8444,107.5402,106.1679,106.8154,912660
2017-05-31,107.2038,108.9809,106.7766,108.9129,1276479
2017-06-01,109.01,110.0781,108.7672,110.0781,668311
2017-06-02,110.2724,111.0104,110.1558,110.5248,662109
2017-06-05,110.1558,110.3889,109.4227,109.4761,811492
2017-06-06,109.2625,109.2625,107.4757,107.6797,1400743
2017-06-07,107.5146,108.5633,107.0291,107.2524,1314283
2017-06-08,107.0873,108.0714,106.8154,107.9904,649226
2017-06-09,108.0681,108.3108,105.6113,105.9026,1908193
2017-06-12,106.0192,106.1163,104.6597,105.388,1090045
2017-06-13,105.8638,106.3687,105.5919,106.1454,831883
2017-06-14,106.1551,106.7863,105.6405,106.2037,739411
2017-06-15,105.6987,106.7086,105.1258,106.3299,906262
2017-06-16,106.5921,107.3981,105.9706,107.3398,2234185
2017-06-19,107.5243,109.0488,107.1941,109.0294,713280
2017-06-20,108.7672,109.4275,108.6022,108.6313,544580
2017-06-21,108.573,109.078,108.2623,108.4759,424228
2017-06-22,108.3885,109.0003,107.7768,107.7768,408156
2017-06-23,107.8059,108.3691,107.4563,108.1652,1451907
2017-06-26,108.2914,109.1702,107.5049,107.6991,582901
2017-06-27,107.5923,107.8787,106.1454,106.1842,478669
2017-06-28,106.8348,107.6214,106.359,107.2233,514937
2017-06-29,107.1067,107.1067,105.1549,105.8347,949601
2017-06-30,106.0483,107.0193,105.5531,105.9221,467173
2017-07-03,106.6212,107.0193,105.9221,106.495,466385
2017-07-05,106.4853,107.7379,106.3882,107.6214,713913
2017-07-06,107.1844,107.801,107.0096,107.0873,647913
2017-07-07,107.9418,109.7577,107.4563,109.5441,1010077
2017-07-10,109.5538,110.9133,109.1459,110.6025,1608745
2017-07-11,110.6025,111.6415,110.35,111.3988,795685
2017-07-12,112.0979,112.7291,111.6707,112.2436,555171
2017-07-13,112.3116,112.4378,111.4668,111.8066,664459
2017-07-14,111.8843,112.0882,110.7676,111.8455,1047906
2017-07-17,111.6707,111.8163,110.1073,110.2044,1058209
2017-07-18,109.816,110.5054,109.6557,110.486,599056
2017-07-19,110.8356,111.3318,110.8356,111.1172,523294
2017-07-20,111.2725,111.4376,110.6511,110.923,519469
2017-07-21,110.6219,111.2046,110.3549,110.6414,1050533
2017-07-24,110.7773,111.0978,110.3792,110.6414,675277
2017-07-25,111.1075,111.7678,110.7485,111.6415,350989
2017-07-26,111.9329,112.1844,111.2531,111.894,419528
2017-07-27,112.2921,112.2921,110.0005,110.5831,715431
2017-07-28,110.5248,111.156,110.4083,111.0978,374642
2017-07-31,111.4765,111.6415,110.6705,111.156,787893
2017-08-01,113.8652,114.3022,113.0107,113.3117,390620
2017-08-02,112.6903,113.5399,112.6126,112.8845,1008979
2017-08-03,112.6029,113.5642,112.5941,113.5254,592606
2017-08-04,113.8652,114.3022,113.0107,113.3117,390620
2017-08-07,113.3117,114.0206,113.2438,113.9818,575024
2017-08-08,113.8652,114.3993,113.3506,113.506,646884
2017-08-09,113.37,115.1567,113.3506,115.1179,602343
2017-08-10,114.4479,115.5452,114.4479,114.8072,949839
2017-08-11,114.846,115.6228,114.7586,114.9431,531966
2017-08-14,115.5549,116.8075,115.5403,116.3705,823400
2017-08-15,116.555,117.0503,116.2249,116.322,587614
2017-08-16,116.5162,117.7592,116.5065,116.7687,510183
2017-08-17,115.8947,117.1571,115.6617,115.6617,565370
2017-08-18,115.5257,115.885,115.2199,115.2733,527896
2017-08-21,115.2636,115.6228,114.0595,115.1276,462557
2017-08-22,115.4189,116.8561,115.181,116.5162,478308
2017-08-23,116.2152,116.5114,115.4966,115.6326,501912
2017-08-24,115.8656,116.0695,115.3024,115.3995,339552
2017-08-25,115.8462,116.5939,115.6131,116.1958,333506
2017-08-28,116.7978,118.8273,116.7978,117.8174,1433525
2017-08-29,117.2639,118.1767,117.0794,117.9922,779843
2017-08-30,118.0408,118.8467,117.6523,118.7982,938593
2017-08-31,118.905,119.6915,118.7982,119.342,881750
2017-09-01,119.944,119.9926,119.0021,119.5847,453130
2017-09-05,119.4391,119.7401,118.4971,119.3323,670913
2017-09-06,119.8081,119.8081,118.5651,119.1672,795705
2017-09-07,119.6452,119.7623,118.6404,119.4599,598574
2017-09-08,119.1574,120.0257,118.416,119.5184,516928
2017-09-11,120.0745,120.455,119.8989,120.2599,655882
2017-09-12,120.4842,120.7281,120.0062,120.6501,411854
2017-09-13,120.3672,120.7379,119.8111,120.2794,583551
2017-09-14,119.9964,121.3135,119.616,121.2159,911672
2017-09-15,121.7037,123.8793,121.7037,123.7719,1501023
2017-09-18,124.2207,125.8304,123.8695,125.8304,1007077
2017-09-19,126.0451,127.7718,125.4792,127.7133,1066023
2017-09-20,127.9182,128.4157,127.4499,128.3864,751168
2017-09-21,128.2206,128.6791,127.5279,127.8596,648298
2017-09-22,128.2011,128.6694,127.8596,128.5816,553767
2017-09-25,128.3084,128.4938,126.6889,127.5572,753915
2017-09-26,127.8011,128.484,127.5572,128.3084,358122
2017-09-27,128.3962,128.7767,127.5962,128.1523,609497
2017-09-28,127.9279,128.2986,126.9914,127.7523,522505
2017-09-29,127.6743,128.523,127.1962,128.4645,455310
2017-10-02,128.6011,129.5864,128.3084,129.5669,499241
2017-10-03,129.7523,130.5327,129.0157,130.0547,491548
2017-10-04,129.762,130.7376,129.3523,130.7278,412923
2017-10-05,130.8644,131.7034,130.7278,131.4985,411714
2017-10-06,131.1766,132.4331,130.9132,132.3473,419738
2017-10-09,132.679,132.8839,132.24,132.5619,424974
