date,open,high,low,close,volume
2017-01-03,17.217,17.2984,17.0181,17.2984,8866517
2017-01-04,17.3165,17.6149,17.2442,17.4883,15373956
2017-01-05,17.4521,17.5064,16.5886,16.7287,19884178
2017-01-06,16.7287,16.792,16.4122,16.5027,14827069
2017-01-09,16.5298,16.566,16.2223,16.4574,12431918
2017-01-10,16.5388,16.7287,16.2766,16.3037,10723109
2017-01-11,16.3941,16.5795,16.2404,16.4394,10568658
2017-01-12,16.3851,16.3851,15.9465,16.2947,10585258
2017-01-13,16.3761,16.5524,16.3218,16.5117,7907372
2017-01-17,16.3309,16.575,16.2495,16.4122,10133688
2017-01-18,16.4484,16.6383,16.3761,16.5569,6615221
2017-01-19,16.3851,16.6383,16.2495,16.4755,8253714
2017-01-20,16.4936,16.7242,16.4574,16.575,8037312
2017-01-23,16.5207,16.5569,16.3851,16.4936,5364211
2017-01-24,16.5388,16.6293,16.4032,16.5207,11474984
2017-01-25,16.5569,16.7197,16.4665,16.7106,10628059
2017-01-26,16.6926,16.9819,16.6699,16.8282,14066855
2017-01-27,16.8644,16.9186,16.5569,16.8101,9411467
2017-01-30,16.7739,16.792,16.0415,16.2223,11599420
2017-01-31,16.2404,16.4484,16.1048,16.3399,17109179
2017-02-01,16.4122,16.6202,16.1319,16.159,7372695
2017-02-02,16.1229,16.2766,16.0867,16.1952,7878891
2017-02-03,16.3128,16.4665,16.2856,16.358,6409409
2017-02-06,16.3218,16.4484,16.1048,16.1681,6036942
2017-02-07,16.2404,16.5117,16.1952,16.2856,9013093
2017-02-08,16.2404,16.6293,16.15,16.575,12920876
2017-02-09,16.5931,16.7106,16.4665,16.5931,10365502
2017-02-10,16.6021,16.6745,16.5207,16.6021,5676607
2017-02-13,16.6835,16.8237,16.6112,16.783,6125583
2017-02-14,16.7468,16.9638,16.4936,16.9548,7873216
2017-02-15,16.8644,16.9277,16.5072,16.8372,9731675
2017-02-16,16.8644,17.1085,16.783,16.8011,8981847
2017-02-17,16.792,16.792,16.3806,16.6293,8353824
2017-02-21,16.5931,16.9186,16.5931,16.9005,11591941
2017-02-22,17.8229,18.275,16.4213,16.5931,14828025
2017-02-23,16.6473,16.7016,16.1229,16.3037,11413585
2017-02-24,16.2585,16.3489,15.9556,16.2856,10378041
2017-02-27,16.2947,16.5479,16.1952,16.4665,8180393
2017-02-28,16.3941,16.4258,16.0867,16.2676,9767961
2017-03-01,16.4032,16.887,16.3489,16.6293,10698428
2017-03-02,16.584,16.8282,16.4032,16.8282,12586056
2017-03-03,16.8191,16.8644,16.4032,16.6202,9319353
2017-03-06,16.4484,16.7649,16.4213,16.7287,7777420
2017-03-07,16.6383,16.7106,16.3489,16.4394,5571262
2017-03-08,16.3761,16.6654,16.2676,16.3941,5571922
2017-03-09,16.4394,16.5298,16.0144,16.1319,7042112
2017-03-10,16.2585,16.358,16.0324,16.1952,5559677
2017-03-13,16.2223,16.3761,16.0867,16.159,5737542
2017-03-14,16.159,16.2269,16.0324,16.0505,6863366
2017-03-15,16.159,16.6383,16.0777,16.584,9126403
2017-03-16,16.6202,16.7016,16.4846,16.4936,6303571
2017-03-17,16.5569,16.688,16.4846,16.6745,9402719
2017-03-20,16.6835,16.7423,16.5207,16.6202,3858428
2017-03-21,16.6564,16.7739,16.2133,16.2495,6489972
2017-03-22,16.2495,16.4077,15.9872,16.358,6131796
2017-03-23,16.3941,16.6021,16.2766,16.2947,6664571
2017-03-24,16.3941,16.5117,16.2676,16.3218,5439267
2017-03-27,16.2314,16.358,16.1229,16.2947,5334043
2017-03-28,16.2676,16.4755,16.1048,16.4303,6223703
2017-03-29,16.412,16.7595,16.348,16.6772,7251920
2017-03-30,16.6589,16.9515,16.5766,16.9515,5239575
2017-03-31,16.9332,17.1709,16.8783,17.0612,9386042
2017-04-03,17.0521,17.0612,16.6406,16.796,5143483
2017-04-04,16.7046,16.8509,16.6223,16.732,5680561
2017-04-05,16.8326,17.0795,16.6406,16.6955,6556821
2017-04-06,16.7138,16.9789,16.5309,16.9332,7858638
2017-04-07,16.86,16.9743,16.7229,16.732,6334739
2017-04-10,16.8418,16.9972,16.732,16.8509,5348159
2017-04-11,16.8692,16.9972,16.7138,16.9789,6556451
2017-04-12,16.9881,16.9881,16.6772,16.8052,5992016
2017-04-13,16.8052,16.9789,16.7229,16.8692,5567772
2017-04-17,16.9149,17.0155,16.8235,16.8875,7527213
2017-04-18,16.86,17.0429,16.828,17.0155,6881920
2017-04-19,17.0886,17.3995,17.0612,17.3721,11697084
2017-04-20,17.3904,17.5229,16.9698,17.4178,10641585
2017-04-21,17.3995,17.4269,17.1709,17.2075,5606576
2017-04-24,17.4086,17.4635,17.2075,17.3721,7469271
2017-04-25,17.4726,17.6189,17.3721,17.4178,6283399
2017-04-26,17.3812,17.7744,17.3264,17.6189,9286157
2017-04-27,17.6646,17.6829,17.4361,17.5915,7379197
2017-04-28,17.7469,17.7927,16.22,16.412,27336197
