date,open,high,low,close,volume
2017-01-03,98.0253,98.5539,97.4778,98.1008,686290
2017-01-04,98.3179,98.8371,98.0253,98.2896,844226
2017-01-05,97.3456,98.4218,97.2418,97.6571,1581821
2017-01-06,98.6011,99.3327,97.9026,98.6578,916500
2017-01-09,98.6578,98.8655,97.7421,98.0725,890189
2017-01-10,98.5351,99.2525,98.0367,98.9599,1126110
2017-01-11,98.6295,99.6773,98.5634,99.0731,940975
2017-01-12,98.8749,99.5735,98.469,98.8183,763127
2017-01-13,98.7333,99.3469,98.5067,98.9787,679908
2017-01-17,98.9504,99.5074,98.5728,99.2808,902355
2017-01-18,99.3375,100.3287,99.092,99.734,1184670
2017-01-19,99.7245,99.7812,98.9787,99.328,462958
2017-01-20,99.8661,100.2532,99.092,99.6584,623496
2017-01-23,99.649,99.7245,99.0967,99.4035,696101
2017-01-24,99.5357,101.2444,99.2431,100.5552,849684
2017-01-25,100.6308,100.8196,100.0644,100.3476,699751
2017-01-26,100.036,100.2532,99.649,99.7528,767207
2017-01-27,100.0455,100.0832,98.7427,99.6018,1035277
2017-01-30,99.8661,100.1493,98.6955,99.1864,1321827
2017-01-31,99.8661,100.3476,99.1676,99.564,1702805
2017-02-01,99.3941,100.0077,98.6578,99.2336,1233994
2017-02-02,99.5546,100.1304,99.0448,99.6773,1520776
2017-02-03,97.7987,101.4237,95.9202,100.9895,2708558
2017-02-06,101.0084,101.6692,100.3676,101.3954,1095059
2017-02-07,101.4332,102.009,101.065,101.1877,1447611
2017-02-08,101.0084,101.4804,100.7346,100.9895,893758
2017-02-09,101.2255,103.4439,101.2255,102.0562,1935487
2017-02-10,102.1789,102.5282,101.4237,101.5936,979445
2017-02-13,101.4804,102.33,101.3104,102.1506,654517
2017-02-14,101.9429,102.33,101.4237,102.2733,686518
2017-02-15,101.9618,102.9719,101.6503,102.7076,1058125
2017-02-16,103.1135,103.4344,101.3482,101.622,1465139
2017-02-17,100.8479,101.7258,100.5458,101.2444,1749503
2017-02-21,101.4804,102.7736,101.1216,102.4055,1906925
2017-02-22,102.3371,102.6884,102.1378,102.489,839770
2017-02-23,102.622,103.7802,102.508,103.1536,880584
2017-02-24,103.2011,103.4764,102.7074,103.391,1055640
2017-02-27,103.1916,103.4859,102.2802,102.3466,744433
2017-02-28,102.7074,103.5714,102.6504,102.8688,1554322
2017-03-01,103.1062,104.3404,102.3656,103.8657,1708971
2017-03-02,104.0366,104.1125,103.0872,103.6093,1059419
2017-03-03,103.2865,103.5904,102.622,103.1631,883788
2017-03-06,102.508,103.2106,102.4321,103.1062,775203
2017-03-07,103.1726,103.372,102.6125,102.6789,803242
2017-03-08,102.546,103.2486,101.8909,103.0777,1696757
2017-03-09,103.296,104.0081,102.8023,103.8277,993657
2017-03-10,104.2455,104.2929,103.2201,103.4195,735630
2017-03-13,103.1441,103.4195,102.8973,103.2011,768833
2017-03-14,103.2011,103.3483,102.8023,103.0302,679388
2017-03-15,103.1157,104.0176,103.0397,103.7613,857571
2017-03-16,103.7043,103.9606,103.0112,103.9321,604342
2017-03-17,104.2075,104.2075,103.4479,103.4954,1361844
2017-03-20,103.4954,103.6473,103.0017,103.3435,946504
2017-03-21,102.9353,103.4195,102.5175,102.6409,1196582
2017-03-22,102.9163,103.2106,101.701,102.4795,1173764
2017-03-23,102.4606,103.2343,102.2042,102.6315,707552
2017-03-24,102.8973,103.1251,102.0428,102.5175,794527
2017-03-27,102.2137,103.0397,102.0143,102.7834,854412
2017-03-28,102.565,104.3404,102.2707,103.6283,1338894
2017-03-29,103.5809,104.179,103.1821,104.0651,792894
2017-03-30,103.8562,104.0698,103.0492,103.391,933402
2017-03-31,103.3815,104.1315,102.7739,103.7233,1034433
2017-04-03,103.4195,103.7992,103.1631,103.41,1008205
2017-04-04,102.9448,103.0587,102.2897,102.9068,935417
2017-04-05,103.0302,104.2455,102.7549,103.5524,912700
2017-04-06,103.5524,103.7423,103.0302,103.372,535534
2017-04-07,103.5049,104.2455,103.1157,103.9796,961085
2017-04-10,104.0746,104.236,102.5745,102.8403,1426049
2017-04-11,102.6599,102.9922,102.3181,102.9258,737166
2017-04-12,102.9543,103.5809,102.5555,103.5334,596112
2017-04-13,103.4385,103.4479,102.6789,102.7264,571882
2017-04-17,102.8308,103.3435,102.6979,103.2011,557401
2017-04-18,103.2106,104.4353,103.1346,103.9321,857363
2017-04-19,104.0176,104.2265,102.8783,103.1346,656399
2017-04-20,103.2391,103.5714,102.622,103.296,940267
2017-04-21,103.1062,103.2391,101.9479,101.9669,1075170
2017-04-24,102.1947,103.1251,102.1947,102.9543,864822
2017-04-25,103.0492,103.3815,102.8118,102.9732,941515
2017-04-26,103.1251,103.2106,101.1219,102.0618,1788521
2017-04-27,102.3371,103.0017,101.815,101.9479,897814
2017-04-28,101.5776,102.7834,101.4352,102.7264,1067208
2017-05-01,102.5365,102.7264,101.6346,101.6346,893797
2017-05-02,101.701,101.9906,101.3118,101.6441,879950
2017-05-03,101.4162,101.6061,100.6377,101.3403,1231008
2017-05-04,101.9574,102.6789,101.3023,101.8529,1136872
2017-05-05,102.2042,102.2042,101.7741,102.1093,684657
2017-05-08,101.9574,102.0493,101.3877,101.5871,1342086
2017-05-09,101.5586,101.8529,100.7801,101.0269,732489
2017-05-10,101.0554,101.701,100.8086,101.2358,791243
2017-05-11,100.951,101.3403,100.6567,101.1599,768702
2017-05-12,101.0649,101.8055,101.0459,101.6536,590242
2017-05-15,101.5776,102.527,101.3972,102.3941,802164
2017-05-16,102.527,102.5365,101.663,101.7865,595437
2017-05-17,101.4827,104.103,101.3308,103.2676,1258063
2017-05-18,103.2011,105.5556,102.7834,105.1569,1779578
2017-05-19,105.1569,106.4789,104.5113,106.3152,1573202
2017-05-22,106.1917,107.6254,106.1917,107.0652,1359819
2017-05-23,107.2924,108.6575,107.0728,108.0084,1254190
2017-05-24,107.9702,109.2781,107.9129,109.173,1200596
2017-05-25,109.0776,110.4904,108.858,110.08,1884426
2017-05-26,110.08,111.2064,109.4845,110.7005,992973
2017-05-30,110.6336,110.6336,109.8317,110.2804,729956
2017-05-31,110.4809,110.8914,109.9845,110.0418,1652033
2017-06-01,110.3473,110.5668,109.6313,110.5668,1279299
2017-06-02,110.0418,110.7387,109.5566,110.6241,1058753
2017-06-05,110.4714,110.5095,109.9654,110.1945,1320200
2017-06-06,110.1945,110.7577,109.8795,110.2422,650021
2017-06-07,109.9368,110.3091,109.679,110.2422,711251
2017-06-08,110.2804,110.2804,108.3425,108.648,1222562
2017-06-09,108.7053,108.9821,108.1229,108.8485,833194
2017-06-12,109.0394,109.2781,108.1134,108.4475,677647
2017-06-13,108.0466,109.0776,107.5501,109.0298,721428
2017-06-14,109.1635,110.099,109.0108,109.2017,745223
2017-06-15,108.8676,110.1086,108.3616,109.6695,1356778
2017-06-16,109.784,109.9463,105.6981,106.7578,2287761
2017-06-19,106.8819,107.5501,105.9463,107.2065,1259013
2017-06-20,107.2447,107.3497,106.3664,106.5287,780527
2017-06-21,106.7769,107.426,106.2327,106.5096,842832
2017-06-22,106.3187,106.5287,105.4786,105.5072,763270
2017-06-23,105.2876,105.6819,104.4094,104.8294,1264502
2017-06-26,105.1158,105.679,104.7149,105.2781,1089535
2017-06-27,105.0394,105.1077,103.1492,103.2733,1025177
2017-06-28,103.722,103.9225,102.7196,102.7865,825865
2017-06-29,102.7674,102.7674,101.24,101.7841,917348
2017-06-30,101.9368,103.7984,101.9368,102.5001,1620924
2017-07-03,102.1946,102.7006,101.4691,101.8032,716407
2017-07-05,101.8032,101.9464,101.049,101.4882,1715041
2017-07-06,101.555,102.4237,101.2161,101.6027,1198316
2017-07-07,101.8223,102.0132,101.0586,101.1063,751731
2017-07-10,101.3068,101.4404,100.1803,100.2089,948674
2017-07-11,100.228,100.3903,99.0634,99.3402,1672568
2017-07-12,99.7889,100.2471,99.6266,100.0753,951978
2017-07-13,100.0848,100.2758,99.6648,100.0466,644819
2017-07-14,100.3139,100.839,100.2853,100.6863,570742
2017-07-17,100.6672,101.617,100.524,101.4691,843398
