date,open,high,low,close,volume
2017-01-03,199.4011,200.5118,191.6657,194.231,2784725
2017-01-04,195.0174,196.0297,192.5601,194.3981,1512434
2017-01-05,195.0567,198.143,193.8182,197.2977,1826781
2017-01-06,197.0716,199.4207,196.2018,198.2806,1139757
2017-01-09,197.6122,199.9908,196.3344,199.519,1063795
2017-01-10,198.8301,200.0802,197.521,197.7966,1352707
2017-01-11,197.3536,200.6117,196.6745,200.2869,1809321
2017-01-12,200.5723,202.6689,199.8144,202.0291,1470409
2017-01-13,201.783,203.3481,199.2534,199.7357,1297840
2017-01-17,199.9325,201.4976,198.2986,200.8381,903399
2017-01-18,201.3991,203.1807,199.2337,202.8756,1924734
2017-01-19,203.0823,205.4151,199.529,202.7673,2434482
2017-01-20,204.1454,204.1454,197.1961,197.3832,2596025
2017-01-23,197.7375,202.6,183.3273,201.8027,8935423
2017-01-24,200.7987,201.2909,196.1823,196.8024,3256214
2017-01-25,196.832,199.5585,195.3816,198.5742,1717718
2017-01-26,199.7849,199.7849,196.4973,196.9894,767981
2017-01-27,198.6037,199.086,195.9559,198.4954,1732470
2017-01-30,199.7652,199.7652,195.0602,196.1331,1217749
2017-01-31,196.6252,198.2887,194.5287,195.385,894667
2017-02-01,195.4638,196.6942,194.632,195.3653,971754
2017-02-02,195.2472,196.9993,192.9833,196.2611,1285127
2017-02-03,196.6548,197.5603,194.7403,195.1291,799191
2017-02-06,194.6862,195.1389,191.31,193.3869,804418
2017-02-07,193.3377,194.509,190.7489,192.1762,1111831
2017-02-08,190.1091,196.832,186.0439,196.5071,1613969
2017-02-09,196.389,204.9574,194.8358,203.7812,2527758
2017-02-10,203.7123,204.7261,200.9464,202.2063,1109720
2017-02-13,202.2063,204.5686,201.8716,203.4563,776559
2017-02-14,204.2339,204.3572,201.6452,202.7378,2230191
2017-02-15,202.974,208.9094,201.2318,202.098,3004566
2017-02-16,202.0783,205.8187,200.9907,205.4643,3118597
2017-02-17,203.5548,203.7615,200.4444,201.3893,3097364
2017-02-21,201.3893,203.6532,200.3853,202.1177,1702349
2017-02-22,200.8184,202.9839,200.1688,202.472,1028424
2017-02-23,201.6747,202.7673,201.0842,201.7929,1351611
2017-02-24,201.7535,204.2487,200.4542,204.0272,1687157
