date,open,high,low,close,volume
2017-01-03,152.0362,152.8283,151.1349,152.2092,2934299
2017-01-04,152.7372,154.6491,152.364,154.0937,3381432
2017-01-05,154.0846,154.2121,152.2729,153.5839,2682301
2017-01-06,153.5748,154.6946,152.5096,154.3395,2945536
2017-01-09,154.2849,154.5853,152.6007,152.628,3189891
2017-01-10,152.9284,153.0286,150.525,150.6888,4118694
2017-01-11,151.1713,152.7281,150.7617,152.719,3599464
2017-01-12,152.7372,152.9557,150.7252,152.9011,2927973
2017-01-13,152.9193,153.3836,151.9224,152.3458,2875433
2017-01-17,151.754,153.1105,151.2352,152.8465,3315655
2017-01-18,152.4459,153.4837,151.754,151.8541,4007779
2017-01-19,151.9998,152.4459,150.9437,151.8632,6963386
2017-01-20,152.7736,155.3501,151.1258,155.2681,12690029
2017-01-23,154.8402,155.9054,154.7765,155.7051,5478224
2017-01-24,156.0055,160.2298,155.8235,160.1388,6952369
2017-01-25,160.4665,163.1886,160.3481,162.3146,5922462
2017-01-26,162.1052,162.8517,161.6045,162.6514,3063924
2017-01-27,162.4785,163.1431,161.4133,161.4133,3482105
2017-01-30,161.122,161.2039,158.9341,160.0477,4094755
2017-01-31,159.3649,159.8474,158.0539,158.8824,4138962
2017-02-01,159.3194,159.9589,157.3985,158.673,2795745
2017-02-02,158.6184,159.2921,157.9993,158.937,2620526
2017-02-03,159.3194,160.5393,159.2193,160.0659,3309288
2017-02-06,159.6016,160.2116,158.7549,160.1023,2650785
2017-02-07,160.2298,162.615,160.1388,162.4694,3873455
2017-02-08,162.8731,162.8731,161.3866,161.6527,2913126
2017-02-09,161.6527,163.1484,161.4141,162.607,3090710
2017-02-10,162.7538,164.1303,162.1941,163.9559,2930710
2017-02-13,164.4697,165.0754,164.1027,164.5799,3093372
2017-02-14,163.855,165.2864,163.6531,165.2864,2776528
2017-02-15,165.3506,166.9289,164.9928,166.7087,2914292
2017-02-16,166.4976,167.7272,165.9654,166.4793,3251547
2017-02-17,166.3141,166.6077,165.1671,165.7819,3552495
2017-02-21,165.7177,165.892,164.3596,165.4057,4480299
2017-02-22,165.2497,166.3967,165.2497,166.2223,3020540
2017-02-23,167.0023,167.4611,166.0113,166.6811,2282526
2017-02-24,165.3598,166.5343,165.0662,166.4059,3300093
2017-02-27,166.2591,166.3141,164.5064,164.6166,3691327
2017-02-28,164.5982,165.7452,164.5707,165.0019,3273420
2017-03-01,165.6076,167.507,165.1946,166.9564,3005564
2017-03-02,166.8922,166.8922,165.5617,165.6534,2918183
2017-03-03,165.2038,166.3783,164.9514,165.213,1825048
2017-03-06,164.9102,166.0755,164.7725,165.5984,3204434
2017-03-07,165.8186,166.3508,165.3504,165.5158,2980516
2017-03-08,165.8553,166.0388,164.5248,164.6624,3557396
2017-03-09,164.3872,164.4789,161.3866,162.5795,5444076
2017-03-10,163.5246,164.6991,162.7997,163.1759,3100326
2017-03-13,163.1943,163.387,161.8775,161.9188,3482189
