date,open,high,low,close,volume
2017-01-03,54.9772,55.0352,53.9096,54.3202,2595463
2017-01-04,54.5521,55.5183,54.4168,55.2768,3074938
2017-01-05,55.0932,55.7695,54.784,55.0449,1636823
2017-01-06,55.1125,55.5956,54.9772,55.4024,1490113
2017-01-09,55.3444,55.7405,54.9676,55.0932,1472093
2017-01-10,55.1801,55.2285,54.7647,54.8516,1647109
2017-01-11,54.9869,55.0352,54.1463,54.9193,3852066
2017-01-12,54.6197,55.0545,53.9144,54.8033,4289626
2017-01-13,55.1318,55.499,54.755,54.9096,1963286
2017-01-17,54.813,54.8613,54.2719,54.5521,1998509
2017-01-18,54.8323,55.4797,54.3106,55.3734,2072860
2017-01-19,55.4217,55.499,55.0256,55.0352,1887362
2017-01-20,55.1898,55.557,55.0062,55.4603,2001840
2017-01-23,55.2574,55.499,54.7743,54.9193,1545761
2017-01-24,55.0642,55.7309,54.9917,55.5183,1701609
2017-01-25,55.8855,56.2237,55.7985,56.0014,2531883
2017-01-26,56.185,56.8807,55.0671,56.2043,1927582
2017-01-27,56.1947,56.2237,55.6681,55.9241,1309195
2017-01-30,55.9241,56.0111,55.3154,55.9821,1309474
2017-01-31,56.0304,56.4169,55.8662,56.3879,2458370
2017-02-01,56.4459,56.9676,56.1753,56.3782,2952113
2017-02-02,56.0594,56.813,55.8758,56.4169,3733279
2017-02-03,56.8903,57.0063,56.4749,56.5618,3092586
2017-02-06,56.2816,56.5908,56.156,56.5328,2879846
2017-02-07,57.2768,58.4942,57.2768,57.9049,7162773
2017-02-08,57.4894,57.4894,55.0594,55.1125,5603496
2017-02-09,55.1512,55.7116,54.8806,55.6343,3657180
2017-02-10,55.6826,55.9096,55.2043,55.7019,2975157
2017-02-13,56.156,57.1126,55.8662,57.0353,2558596
2017-02-14,57.0353,57.1416,56.4749,56.6681,2914943
2017-02-15,56.7454,57.1222,56.3589,57.0159,3397366
2017-02-16,56.9483,56.9483,56.2768,56.6681,1809433
2017-02-17,56.5522,56.813,56.3299,56.4266,2962911
2017-02-21,56.4459,56.5908,55.8565,56.0014,3150487
2017-02-22,55.6439,56.0304,55.5183,55.7792,2784472
2017-02-23,55.9048,56.3422,55.8447,56.1464,2973783
2017-02-24,55.8178,56.6391,55.7212,56.3299,2026310
2017-02-27,56.2816,56.4266,55.2188,55.7502,3092191
2017-02-28,55.5376,55.6922,55.0449,55.1995,3392352
2017-03-01,55.8758,57.1029,55.6633,56.9386,3869230
2017-03-02,56.9,56.9841,56.4013,56.5425,2981630
2017-03-03,56.5425,56.8614,56.1077,56.7551,2992025
2017-03-06,56.4459,57.2189,56.1367,57.0256,3646305
2017-03-07,56.958,57.0546,56.5715,56.6488,2656096
2017-03-08,56.871,57.4701,56.6681,57.3831,3465894
2017-03-09,57.5184,58.4073,57.4507,58.0305,5102383
2017-03-10,58.2913,58.8034,57.7503,58.2237,3584536
2017-03-13,58.4459,58.6488,58.1657,58.359,4264014
2017-03-14,58.359,58.8243,58.1796,58.3687,3413762
2017-03-15,58.6304,58.6837,58.3977,58.5528,2791394
2017-03-16,58.7176,59.6968,58.6498,59.6677,3933178
2017-03-17,59.5901,60.0845,59.4156,59.5223,4871186
2017-03-20,59.3865,59.5901,59.1054,59.1345,2321124
2017-03-21,59.3962,59.4835,58.1069,58.1942,3332353
2017-03-22,58.1942,58.3687,57.7094,57.9712,2120709
2017-03-23,58.0294,58.5577,57.8839,58.0391,2433474
2017-03-24,58.1554,58.4268,57.8743,58.0197,2536089
2017-03-27,57.3895,57.7385,57.0502,57.5834,1922738
2017-03-28,57.3895,58.2039,57.3702,58.0003,2076526
2017-03-29,57.8549,57.8646,57.2247,57.4865,1890686
2017-03-30,57.535,58.2911,57.4099,58.1942,2030398
2017-03-31,57.913,58.4656,57.7773,58.0391,2099490
2017-04-03,58.2135,58.3396,57.0018,57.5059,2561247
2017-04-04,57.5834,57.787,57.3023,57.5931,2445652
2017-04-05,57.9615,58.7962,57.7288,58.136,3067275
2017-04-06,58.1263,58.6013,57.8646,58.3977,3361025
2017-04-07,58.1651,59.183,58.0294,58.9212,3876495
2017-04-10,59.0182,59.2411,58.5238,58.5528,2667200
2017-04-11,58.3687,58.6062,58.0681,58.4462,3242017
2017-04-12,58.1748,58.485,57.9518,58.0003,2386463
2017-04-13,57.8743,58.1845,57.6028,57.6028,1644556
2017-04-17,57.7094,58.3202,57.2635,58.262,1217043
2017-04-18,58.0972,58.5335,57.9712,58.4268,1673530
2017-04-19,58.6401,58.7758,58.0487,58.1166,1993288
2017-04-20,58.3783,58.8437,58.0778,58.7758,3083887
2017-04-21,58.7176,59.0085,58.3105,58.5625,1856852
2017-04-24,59.5029,59.6677,58.6546,58.7273,2996070
2017-04-25,59.2411,59.5223,59.0957,59.1054,1854453
2017-04-26,59.2024,59.5901,59.1151,59.2314,1719192
2017-04-27,59.3187,59.3187,58.299,58.3687,2651836
2017-04-28,58.3687,58.8049,58.1942,58.359,2961129
2017-05-01,58.6498,58.8728,58.3783,58.5528,3246615
2017-05-02,58.7661,58.9018,58.359,58.7661,3602655
2017-05-03,58.136,59.1539,57.9276,58.485,3891859
2017-05-04,58.7176,59.1296,58.4171,59.0085,3288441
2017-05-05,59.1151,59.1345,58.4365,58.611,2152778
2017-05-08,58.5528,58.7854,57.0987,57.2829,2502356
2017-05-09,57.4186,57.4186,57.0018,57.1084,3735485
2017-05-10,57.0987,57.2344,56.6334,57.1957,2443271
