date,open,high,low,close,volume
2017-01-03,111.6242,112.5614,111.3899,112.0245,1434186
2017-01-04,111.9854,112.8836,111.5852,112.249,871728
2017-01-05,112.0538,112.9909,111.7804,112.9421,1051677
2017-01-06,113.1869,114.5871,112.7953,114.4206,997199
2017-01-09,114.45,114.5381,113.373,114.0779,706442
2017-01-10,114.0094,114.1954,112.854,113.6863,925509
2017-01-11,113.6765,114.2542,113.0694,113.9506,838513
2017-01-12,113.8136,114.7046,112.9617,114.5969,708052
2017-01-13,114.5871,114.8221,114.0779,114.6556,616349
2017-01-17,114.5185,114.8612,113.1771,113.6667,754380
2017-01-18,114.1661,114.4206,113.2114,113.373,843087
2017-01-19,113.6471,113.9702,112.668,113.5296,961792
2017-01-20,114.0486,114.7633,113.3632,114.6556,1376842
2017-01-23,114.6067,114.9983,113.8038,114.6556,1053798
2017-01-24,115.2627,116.3691,114.8221,116.2712,964560
2017-01-25,117.1426,118.0336,116.5943,117.5049,1442658
2017-01-26,117.4951,117.6028,115.9089,115.9872,1041571
2017-01-27,116.6335,116.7705,115.7425,116.1145,703010
2017-01-30,116.0166,116.0754,114.8612,116.0558,808377
2017-01-31,115.9481,116.1047,115.1628,116.1047,1207227
2017-02-01,116.0166,116.5062,114.9396,115.2529,922747
2017-02-02,114.7633,115.7229,113.9996,115.3704,743836
2017-02-03,116.0656,116.7607,115.8502,115.8991,828160
2017-02-06,115.625,115.7033,114.8319,115.4291,757166
2017-02-07,115.7718,116.1145,114.7535,115.0277,790924
2017-02-08,109.5642,115.2039,109.5642,114.1171,2964334
2017-02-09,114.1856,114.8221,113.3828,113.6667,1718336
2017-02-10,114.1269,115.0962,113.4709,115.0766,1428133
2017-02-13,115.7229,116.2026,114.7633,115.9285,1357838
2017-02-14,115.6935,116.3887,115.0815,116.3593,1475192
2017-02-15,116.0656,116.4768,115.4683,116.467,1031135
2017-02-16,116.516,116.8381,115.8991,116.7509,874967
2017-02-17,116.7509,117.3678,115.7278,117.358,2113438
2017-02-21,116.9272,118.0238,116.3299,117.3678,1505708
2017-02-22,117.2699,117.6517,116.6237,116.937,1254804
2017-02-23,116.9957,118.4546,116.5747,118.1805,1635059
2017-02-24,123.8594,125.7687,121.2843,125.3379,3478488
2017-02-27,124.3,124.9169,122.753,123.223,2245847
2017-02-28,123.0957,123.2328,121.7978,122.8215,1932311
2017-03-01,123.2621,123.2621,121.5878,121.9305,2503414
2017-03-02,121.3528,122.8019,121.2745,122.5572,1543117
2017-03-03,122.7628,124.0259,122.1068,123.8104,1500620
2017-03-06,123.1153,123.9084,122.8117,123.4677,1045487
2017-03-07,123.8007,123.8496,122.6747,122.7824,1121920
2017-03-08,122.4397,123.0271,122.2438,122.9782,1469691
2017-03-09,123.3013,123.3698,121.676,122.1557,1294830
2017-03-10,123.0663,123.0663,122.0578,122.332,1282107
2017-03-13,122.1655,122.469,121.8522,122.3418,2094595
2017-03-14,122.2732,122.4201,121.2647,121.7151,2018531
2017-03-15,122.3222,122.7432,121.5829,122.0676,1358309
2017-03-16,122.0382,122.332,121.3137,121.7543,1259890
2017-03-17,121.9012,122.0284,121.1081,121.3333,1668084
2017-03-20,120.9906,121.5976,120.2073,120.8241,1380501
2017-03-21,120.9514,121.2147,118.4253,118.5232,1754168
2017-03-22,118.7288,118.954,118.2947,118.5917,1571485
2017-03-23,118.7679,119.5219,117.3972,117.4853,1485320
2017-03-24,117.9161,118.1168,116.6139,117.2209,1890141
2017-03-27,116.3691,116.5747,115.3312,115.9774,2110567
2017-03-28,116.2712,116.418,115.1795,115.5368,2695308
2017-03-29,115.3704,115.6739,114.3325,115.4193,4294900
2017-03-30,115.0962,115.3312,113.0205,113.2065,2093390
2017-03-31,113.089,113.9604,112.8932,113.5688,4699786
2017-04-03,113.6275,114.0877,112.4036,113.745,4074497
2017-04-04,113.2751,114.3423,113.2751,113.608,1718284
2017-04-05,114.1367,114.8319,113.6275,114.1171,1881654
2017-04-06,113.9501,115.7374,113.4788,115.6883,3653592
2017-04-07,115.865,116.8175,115.6883,116.3266,2561839
2017-04-10,116.4149,117.1514,115.9141,116.4837,2147198
2017-04-11,116.2284,116.6064,115.266,116.5426,1673345
2017-04-12,116.1007,116.248,115.3937,115.7079,1668004
2017-04-13,115.9239,116.7488,115.5999,115.7668,1115890
2017-04-17,116.1596,116.5279,115.8061,116.5033,940191
2017-04-18,116.2971,117.3282,116.14,117.2005,1719169
2017-04-19,117.5049,117.5737,116.5622,116.8274,1434399
2017-04-20,116.9648,116.9845,115.7177,116.14,2790692
2017-04-21,116.3462,116.5917,115.8012,116.2284,2409515
2017-04-24,117.2693,117.2693,116.1203,116.6212,1748065
2017-04-25,116.7783,117.23,116.4739,116.9354,2072290
2017-04-26,116.7586,116.8765,113.5377,113.7243,3963359
2017-04-27,121.1187,123.4754,120.9321,123.3478,4945719
2017-04-28,123.8093,123.8093,122.572,122.955,1943288
2017-05-01,123.2889,123.4067,122.4738,123.2594,1382038
2017-05-02,123.4853,123.9173,122.7684,123.6424,1427922
2017-05-03,123.7308,123.7308,122.8372,123.338,936600
2017-05-04,123.662,123.8486,123.2103,123.6817,971341
2017-05-05,124.2021,124.2021,123.4362,123.8682,755251
2017-05-08,123.8781,124.0744,123.2889,123.8977,974734
2017-05-09,123.9468,124.7913,123.6375,124.4476,1096983
2017-05-10,124.1727,125.1645,124.1727,124.8011,1378333
2017-05-11,124.5556,124.8993,123.8093,124.5949,978616
2017-05-12,124.5851,124.5851,123.8682,124.2316,793577
2017-05-15,124.0548,125.3412,123.7406,125.3314,1346496
2017-05-16,125.2823,125.3118,124.8209,125.2037,930721
2017-05-17,124.4771,125.1251,123.0335,123.0925,1472074
2017-05-18,122.9452,123.5638,121.9828,122.8961,1697268
