date,open,high,low,close,volume
2017-01-03,28.2933,28.552,27.8277,28.5434,1812084
2017-01-04,28.6296,29.285,28.3451,29.2419,1346347
2017-01-05,29.0781,29.3799,28.9746,29.3023,1465313
2017-01-06,29.3023,29.3195,28.7676,28.8883,1101969
2017-01-09,28.9746,28.9746,28.4831,28.6814,1271662
2017-01-10,28.5865,28.759,28.1899,28.7159,1076952
2017-01-11,28.7504,28.9228,28.5072,28.621,1220504
2017-01-12,28.6124,29.0738,28.5563,29.0522,842330
2017-01-13,28.966,29.1039,28.5607,28.8021,863693
2017-01-17,28.8883,29.3195,28.8021,29.2764,799064
2017-01-18,29.1471,29.6127,29.0867,29.4058,880955
2017-01-19,29.3626,29.4058,28.9573,29.2505,932002
2017-01-20,29.2764,29.9404,29.1815,29.9059,1610565
2017-01-23,29.7852,30.2164,29.6817,30.156,1169698
2017-01-24,30.1819,30.5095,30.1301,30.4492,1508835
2017-01-25,30.4923,30.5182,30.2336,30.4492,1547146
2017-01-26,30.3802,31.1908,30.3802,31.1908,1561765
2017-01-27,31.2684,31.2857,31.0183,31.1994,1313267
2017-01-30,31.1132,31.1132,30.6561,30.8631,1976642
2017-01-31,30.889,31.1132,30.8027,30.8717,3226422
2017-02-01,30.8631,31.1046,30.4406,31.0269,2156817
2017-02-02,31.0011,31.277,30.8976,31.2167,935877
2017-02-03,31.3805,31.6737,31.3115,31.553,1249174
2017-02-06,31.5444,31.6478,31.3762,31.622,1407580
2017-02-07,31.6392,31.8117,31.5702,31.6565,1635416
2017-02-08,31.553,31.7599,31.4667,31.7341,1239743
2017-02-09,31.7341,32.0618,31.622,31.9324,1261553
2017-02-10,31.9065,32.3377,31.7427,32.2428,899071
2017-02-13,32.2687,32.5533,32.1049,32.4412,1110822
2017-02-14,32.3377,32.4412,31.9238,31.9497,1199698
2017-02-15,31.8031,32.217,31.7858,32.1307,932378
2017-02-16,32.0359,32.3089,31.8289,31.9065,1776259
2017-02-17,31.8893,32.1307,31.7858,32.0359,1762725
2017-02-21,32.0359,32.5274,31.9841,32.5188,1512899
2017-02-22,32.4498,32.5102,31.941,32.0273,1993823
2017-02-23,32.2084,32.5102,31.6565,31.8548,1906347
2017-02-24,31.6823,31.9583,31.6737,31.8203,1405525
2017-02-27,31.8203,31.8979,31.484,31.6047,1588932
2017-02-28,31.5271,31.6651,31.3245,31.346,2419056
2017-03-01,31.4667,31.5444,31.1908,31.4581,1443846
2017-03-02,31.4064,31.484,31.1563,31.3633,1449128
2017-03-03,31.3546,31.3633,31.0183,31.3546,1265288
2017-03-06,31.2598,31.3029,31.0011,31.1477,1362300
2017-03-07,31.0269,31.1477,30.7122,30.8631,1065619
2017-03-08,30.6216,30.6475,29.9533,29.9749,1190743
2017-03-09,29.9835,30.0611,29.2678,29.4058,1777607
2017-03-10,29.5351,29.7938,28.9918,29.5265,1585371
2017-03-13,29.6141,29.842,29.5177,29.8069,1287386
2017-03-14,29.5528,29.7982,29.2986,29.7631,1352620
2017-03-15,29.693,30.381,29.693,30.2276,1107637
2017-03-16,30.2364,30.4117,30.0523,30.2977,1535970
2017-03-17,30.4117,30.7622,30.2977,30.7272,2214581
2017-03-20,30.7009,30.8323,30.473,30.5607,1043834
2017-03-21,30.7184,30.8845,30.2627,30.2802,1245795
2017-03-22,30.3591,30.8937,30.1838,30.6921,1673864
2017-03-23,30.6308,31.0996,30.4993,30.7272,1352840
2017-03-24,30.7447,31.0252,30.4029,30.438,1331940
2017-03-27,30.3678,30.5957,30.0786,30.3065,1226475
2017-03-28,30.324,30.7885,30.2188,30.7622,1019697
2017-03-29,30.7798,31.0427,30.7184,31.0164,867035
2017-03-30,30.9112,31.1216,30.7798,31.0164,1078882
2017-03-31,30.955,31.4108,30.8937,31.2618,1095048
2017-04-03,31.1566,31.551,30.8323,30.9638,1052483
2017-04-04,30.9112,30.9112,30.5694,30.7622,894115
2017-04-05,30.8499,31.0252,30.5869,30.622,1297537
2017-04-06,30.6834,30.955,30.5344,30.9375,849585
2017-04-07,30.955,31.2267,30.8586,31.1303,1331684
2017-04-10,31.1216,31.1478,30.806,31.0602,1218768
2017-04-11,31.1128,31.2237,30.955,31.1128,1302119
2017-04-12,31.1128,31.1917,30.8762,30.9726,1088852
2017-04-13,30.9726,31.1303,30.771,30.9287,1380731
2017-04-17,31.0514,31.4634,31.0076,31.4546,1480287
2017-04-18,31.4195,32.1645,31.3494,32.0243,1382525
2017-04-19,32.1119,32.1119,31.6562,31.7263,1164510
2017-04-20,31.7964,32.1294,31.6649,32.0067,822768
2017-04-21,31.9717,32.1154,31.7088,31.849,1223633
2017-04-24,32.0769,32.1207,31.4897,31.9629,1144161
2017-04-25,32.033,32.0769,31.8402,32.0243,708705
2017-04-26,31.9629,31.9892,31.6386,31.6386,1046537
2017-04-27,31.551,31.6737,30.473,30.5519,1553895
2017-04-28,30.4993,30.5168,30.2977,30.4642,1209009
2017-05-01,30.6308,30.9638,30.5519,30.8411,1059803
2017-05-02,30.9025,31.2004,30.9025,30.9638,1183816
2017-05-03,31.1478,31.1478,30.3766,30.4029,813353
2017-05-04,30.473,30.4993,30.0611,30.4555,1215346
2017-05-05,30.5869,30.9112,30.5694,30.9025,773002
2017-05-08,30.9375,30.9638,30.4467,30.5869,797256
2017-05-09,30.5869,30.7316,30.2714,30.4993,836781
2017-05-10,30.5344,30.8148,30.5344,30.7447,763248
2017-05-11,30.6308,30.6629,30.4467,30.5519,641448
2017-05-12,30.6045,30.6045,30.2364,30.2977,851568
2017-05-15,30.324,30.6746,30.175,30.3854,1356273
2017-05-16,30.4993,30.6658,30.2451,30.6308,1185898
2017-05-17,30.5344,31.0355,30.5344,30.9025,1918465
2017-05-18,30.7973,31.2793,30.5431,31.0339,2426711
2017-05-19,31.104,31.104,30.5869,30.6571,1183797
2017-05-22,30.6746,30.7798,30.2276,30.5081,1247393
2017-05-23,30.5694,30.679,30.3854,30.4292,703167
2017-05-24,30.5081,30.8192,30.324,30.4993,1350103
2017-05-25,30.5957,30.7885,30.4555,30.7447,949873
2017-05-26,30.771,30.8937,30.6658,30.8236,708876
2017-05-30,30.806,31.0164,30.6834,30.7096,658165
2017-05-31,30.8148,30.9463,30.5256,30.6045,1590800
2017-06-01,30.6658,30.7096,30.3547,30.6658,1202430
2017-06-02,30.8674,31.2793,30.8148,30.9025,946766
2017-06-05,30.7973,30.9813,30.4642,30.5081,955430
2017-06-06,30.6658,30.7622,30.4117,30.6746,689255
2017-06-07,30.2364,30.324,28.5098,29.5265,4726919
2017-06-08,29.395,29.4914,28.9743,29.3161,2320681
2017-06-09,29.1321,29.3249,28.948,29.1934,1414681
2017-06-12,29.1934,30.0655,29.1934,30.0611,1482012
2017-06-13,30.0344,30.6579,30.0166,30.4708,1491740
2017-06-14,30.7291,30.8627,30.355,30.453,911771
