date,open,high,low,close,volume
2017-01-03,117.4542,117.777,115.5461,116.3056,1299192
2017-01-04,116.8087,117.0365,116.1822,116.7517,1135010
2017-01-05,116.7138,117.3593,114.5779,115.4417,1480523
2017-01-06,115.7265,116.9606,115.2424,116.6473,958611
2017-01-09,116.4575,116.9796,115.9923,116.0777,980874
2017-01-10,116.1537,116.6616,115.6126,116.353,1560537
2017-01-11,116.2866,117.027,115.8309,116.9131,1139016
2017-01-12,116.7517,116.932,113.9703,116.391,1287141
2017-01-13,116.391,117.3877,116.391,117.1314,1021616
2017-01-17,116.5144,117.0033,116.0493,116.5904,964728
2017-01-18,116.7043,117.739,116.7043,117.3877,989597
2017-01-19,117.3308,117.9573,116.391,117.1125,1145641
2017-01-20,117.4732,118.1092,117.0365,117.4637,1109701
2017-01-23,117.3308,117.8339,116.9036,117.758,1145748
2017-01-24,118.1187,121.033,117.5776,120.6153,2431157
2017-01-25,122.5613,123.5581,118.5079,122.0487,3539395
2017-01-26,122.2101,123.4441,120.7292,121.707,1915635
2017-01-27,121.7639,123.0644,121.7639,122.324,1175972
2017-01-30,122.286,122.324,121.2418,122.2575,1483926
2017-01-31,121.9728,122.1057,120.1407,120.7482,1664175
2017-02-01,120.6912,121.4274,119.5711,120.4444,1371432
2017-02-02,120.1786,120.8906,119.666,120.5394,964428
2017-02-03,121.1279,121.1849,120.0552,120.7577,1486894
2017-02-06,120.6153,121.2988,120.3875,120.8336,741044
2017-02-07,121.071,121.4886,120.378,120.5014,1114630
2017-02-08,120.4824,120.9286,120.1027,120.6723,759251
2017-02-09,120.8431,121.7544,120.7007,120.8052,1164117
2017-02-10,121.1659,121.6025,120.7292,121.5076,725736
2017-02-13,121.8304,123.0644,121.8304,122.8081,897696
2017-02-14,122.7417,123.1309,122.0202,123.0265,960954
2017-02-15,122.6373,123.3872,122.362,123.1783,838350
2017-02-16,123.2448,123.6957,122.8271,123.653,1185592
2017-02-17,122.6183,123.7479,121.5361,123.7005,1939513
2017-02-21,123.3587,124.2625,123.0266,123.7954,1502850
2017-02-22,123.1689,124.2131,123.0739,123.5201,1299572
2017-02-23,123.8618,124.2226,122.8081,123.8049,1588962
2017-02-24,123.4062,125.001,122.998,125.001,1661291
2017-02-27,124.8111,125.3142,124.4219,125.1908,1125107
2017-02-28,124.9345,125.4946,124.6592,125.3142,2274674
2017-03-01,126.5198,128.3804,126.4723,128.0766,1884027
2017-03-02,127.6874,128.0576,127.0799,127.4311,1661050
2017-03-03,127.2602,127.621,126.5768,127.5165,1033857
2017-03-06,126.7476,127.621,126.6717,127.3362,1256224
2017-03-07,127.0039,127.545,126.6147,127.1084,1167032
2017-03-08,127.0894,127.8245,126.947,127.0894,869808
2017-03-09,126.89,127.2602,125.637,126.2065,1154358
2017-03-10,127.1179,127.2792,126.2255,127.2223,976664
2017-03-13,127.2223,127.621,126.8236,127.4596,890487
2017-03-14,126.8426,126.9755,125.9882,126.4818,913638
2017-03-15,127.1179,129.0354,126.928,128.5892,1002036
2017-03-16,128.257,129.1208,127.2982,127.6589,1001661
2017-03-17,128.1526,128.9025,127.6969,128.6272,2867715
2017-03-20,128.836,129.1303,128.1716,128.3614,915564
2017-03-21,128.836,129.0734,126.4818,126.7097,1109137
2017-03-22,126.6717,127.2413,126.1496,127.0609,819626
2017-03-23,126.9375,127.5735,126.311,126.6717,1207766
2017-03-24,126.6907,127.3837,125.637,126.0357,1215419
2017-03-27,124.27,125.4092,122.6183,124.963,1734689
2017-03-28,125.1339,126.7002,124.232,126.1686,1476121
2017-03-29,125.9969,126.1973,125.4532,125.8729,947625
2017-03-30,125.663,126.9413,125.5867,126.5025,752485
2017-03-31,126.2449,127.2275,126.0256,126.369,1096051
2017-04-03,126.8459,127.2371,124.69,125.52,1945541
2017-04-04,125.52,125.8252,124.9095,125.5486,981306
2017-04-05,126.1114,127.0463,124.938,125.0239,1190353
2017-04-06,125.2338,126.2545,124.8045,125.5581,958898
2017-04-07,125.4055,126.2259,125.3864,125.663,725327
2017-04-10,125.644,126.6647,125.644,126.1496,927499
2017-04-11,125.8443,126.7219,125.3101,126.6933,1400056
2017-04-12,126.6742,126.6742,124.7711,124.8427,1453882
2017-04-13,124.69,125.5104,124.1749,124.1749,747438
2017-04-17,124.6232,125.4102,124.1749,125.3196,862223
2017-04-18,124.566,126.8746,124.566,126.2926,1610400
2017-04-19,126.6838,127.0558,125.7155,126.0351,1098992
2017-04-20,126.6742,128.7061,126.4167,128.3818,1276394
2017-04-21,128.6584,129.4597,128.3913,128.6584,2193397
2017-04-24,132.3979,136.2423,132.2453,133.3232,4098904
2017-04-25,132.5124,134.4965,132.3311,132.8462,2972727
2017-04-26,133.0752,133.4568,132.6039,132.7318,1938557
2017-04-27,132.8749,133.7525,132.6268,132.9989,1230594
2017-04-28,132.9226,133.1897,131.5584,131.7301,1535499
2017-05-01,131.5298,131.7206,130.2897,131.3104,1626768
2017-05-02,132.0831,132.5219,130.366,130.9002,1675307
2017-05-03,130.7476,131.7206,130.1943,131.5966,1223004
2017-05-04,131.8828,132.1785,131.1005,131.9018,1541557
2017-05-05,132.4551,133.2087,132.0163,133.1706,924648
2017-05-08,132.9226,133.3423,132.6936,133.1133,874009
2017-05-09,132.9989,133.3518,132.2071,132.5505,792917
2017-05-10,132.4742,132.8462,131.2627,131.9305,893257
2017-05-11,131.9686,131.9686,130.1847,131.6443,1084897
2017-05-12,131.3772,131.6252,130.8,131.0528,961038
2017-05-15,131.2055,131.8255,131.0337,131.3485,776830
2017-05-16,131.692,131.711,130.6999,131.3772,773431
2017-05-17,130.1752,130.5186,128.5058,128.5726,1625840
2017-05-18,128.7443,129.951,127.7331,129.1163,1216365
2017-05-19,130.862,131.4726,129.0782,130.6903,1085272
2017-05-22,131.1864,131.6824,130.8716,131.5107,817759
2017-05-23,131.6443,132.6459,131.1673,132.3883,1064127
2017-05-24,132.8844,133.2755,132.1117,133.0943,869585
2017-05-25,133.5331,134.2485,132.7508,134.0291,891227
2017-05-26,133.6094,134.2962,133.5808,133.9051,693895
2017-05-30,133.6571,134.902,133.3518,134.6015,972507
