date,open,high,low,close,volume
2017-01-03,28.1293,28.3654,27.748,28.0839,3483548
2017-01-04,28.1838,28.892,28.1021,28.8466,3470424
2017-01-05,28.656,28.8739,28.202,28.6196,2797536
2017-01-06,28.6923,28.715,28.3109,28.6287,3522546
2017-01-09,28.3745,28.6469,28.0022,28.0113,3525069
2017-01-10,28.0113,28.1566,27.8206,27.8479,2895969
2017-01-11,27.7934,28.2655,27.7661,28.2474,2361445
2017-01-12,28.0476,28.2837,27.6572,28.1929,2984667
2017-01-13,28.2746,28.6469,28.202,28.2383,2411160
2017-01-17,28.0567,28.093,27.6481,27.7389,2834097
2017-01-18,27.6299,27.7571,27.4529,27.7389,3512493
2017-01-19,27.8206,27.984,27.3439,27.3939,3964772
2017-01-20,27.5028,27.7207,27.4211,27.7117,3855508
2017-01-23,27.5845,27.7026,27.3393,27.6572,1988474
2017-01-24,27.7934,28.4199,27.7571,28.0113,3467741
2017-01-25,28.3926,28.5924,28.0113,28.2292,3511634
2017-01-26,28.547,28.6287,27.1396,27.2395,4882343
2017-01-27,27.2032,27.2667,26.6312,26.7946,4015258
2017-01-30,26.722,26.722,26.1862,26.5313,4102332
2017-01-31,26.4405,26.495,26.1045,26.2589,4944754
2017-02-01,26.4768,26.9671,26.4132,26.8672,3632551
2017-02-02,26.5494,26.9308,26.3973,26.8309,3505304
2017-02-03,27.3848,28.0879,27.3575,28.0567,5353947
2017-02-06,27.7752,28.1293,27.6118,27.6572,2567327
2017-02-07,27.8297,27.8615,27.3575,27.6299,2405968
2017-02-08,27.4302,27.7843,27.2213,27.7117,2658764
2017-02-09,27.866,28.6378,27.8615,28.6015,3904513
2017-02-10,28.8194,29.2247,28.7922,28.9102,3905275
2017-02-13,29.0827,29.2643,28.9011,29.1553,2251481
2017-02-14,29.0912,29.4393,28.9996,29.3111,2231231
2017-02-15,29.65,30.0622,29.4118,29.9614,2972915
2017-02-16,29.9431,30.0037,29.6866,29.8148,2188535
2017-02-17,29.3569,29.8332,29.3269,29.8057,2121062
2017-02-21,29.998,30.4285,29.9889,30.3644,3064603
2017-02-22,30.1538,30.6255,30.1263,30.5476,3770483
2017-02-23,30.6484,30.6484,30.1996,30.227,3407394
2017-02-24,29.824,30.0805,29.7965,29.9156,3424879
2017-02-27,29.879,30.053,29.7965,29.9064,2425093
2017-02-28,29.7324,29.7782,29.2195,29.4851,5043308
2017-03-01,30.1629,30.3879,29.6866,29.7232,5487957
2017-03-02,29.7507,29.879,29.4668,29.6591,3480210
2017-03-03,29.7141,29.8148,29.3843,29.6133,2671470
2017-03-06,29.4576,29.6637,29.3752,29.4851,2590906
2017-03-07,29.4485,29.6454,29.1828,29.2744,3799723
2017-03-08,29.5675,29.6775,29.421,29.5034,2299990
2017-03-09,29.595,29.7232,29.4027,29.5492,2635845
2017-03-10,29.7141,29.7599,28.9905,29.1187,3616958
2017-03-13,29.2378,29.2378,28.821,29.0088,2729693
2017-03-14,28.8806,28.9447,28.4958,28.9264,2959373
2017-03-15,29.4118,29.8332,29.334,29.769,3014786
2017-03-16,30.0255,30.053,29.769,29.9339,2005161
2017-03-17,29.9706,29.9706,28.56,28.6058,5448075
2017-03-20,28.56,28.7065,28.2119,28.4775,2711317
2017-03-21,28.6974,29.0637,27.6623,27.7356,3662503
2017-03-22,27.5982,27.6715,27.2043,27.5707,3305702
2017-03-23,27.5616,28.2027,27.4974,27.6806,3201352
2017-03-24,27.7722,27.9646,27.4287,27.5707,3466527
2017-03-27,27.1402,27.5158,26.8929,27.4791,3811042
2017-03-28,27.4425,28.3768,27.36,28.1844,3481582
2017-03-29,28.1203,28.2348,27.9646,28.0195,2165932
2017-03-30,27.9737,28.2669,27.8638,28.1386,2402985
2017-03-31,27.9921,28.276,27.9096,28.0562,2970673
2017-04-03,28.0379,28.148,27.5982,28.0195,2513185
2017-04-04,27.8638,28.1111,27.8547,27.9279,1849542
2017-04-05,28.1753,28.4134,27.7173,27.7356,1967647
2017-04-06,27.8272,28.102,27.6257,28.0195,1870704
2017-04-07,27.7722,28.0104,27.6663,27.818,2791163
2017-04-10,27.818,28.3997,27.7631,28.1661,3003905
2017-04-11,28.0104,28.276,27.6208,28.2211,2834825
2017-04-12,28.2394,28.3218,27.8089,27.9188,3275366
2017-04-13,27.7539,28.0287,27.4974,27.5066,2472579
2017-04-17,27.589,28.1844,27.5707,28.1478,2266256
2017-04-18,27.9921,28.2485,27.818,28.0653,3066763
