date,open,high,low,close,volume
2017-01-03,95.8625,97.3618,93.9615,94.8238,1065780
2017-01-04,94.6377,96.4407,94.3143,95.8527,1036827
2017-01-05,95.4608,95.598,94.6181,95.2354,985778
2017-01-06,95.4706,96.4799,94.961,95.7253,751461
2017-01-09,95.0492,95.2942,94.3731,94.9218,774837
2017-01-10,95.0198,96.2643,94.4574,95.7547,714200
2017-01-11,95.8527,96.8816,95.3432,96.7346,689456
2017-01-12,96.4897,97.3324,96.0487,97.058,835160
2017-01-13,97.254,97.6263,96.9306,97.2834,758934
2017-01-17,97.1364,97.4206,95.6861,96.0095,816834
2017-01-18,96.3133,96.6366,95.1503,96.0585,1301281
2017-01-19,95.5392,95.9311,91.698,92.4623,2373390
2017-01-20,92.2565,92.9131,91.453,92.6191,1025477
2017-01-23,92.7465,93.1188,91.8254,92.5995,700139
2017-01-24,92.9915,94.7258,92.6975,94.5397,690061
2017-01-25,94.8336,96.6366,94.0301,96.5583,916583
2017-01-26,96.3231,96.8914,95.3628,96.7738,782070
2017-01-27,96.9306,96.9894,95.8086,96.8816,605190
2017-01-30,96.1173,97.0384,95.9311,96.9404,594822
2017-01-31,97.254,98.1947,96.6856,97.0874,1312651
2017-02-01,97.4891,97.6263,95.6959,96.3427,857480
2017-02-02,95.7841,97.0874,94.7161,95.2844,942821
2017-02-03,95.4216,97.7439,95.1227,97.6557,1011076
2017-02-06,97.4695,98.4788,97.058,97.5185,3331142
2017-02-07,97.7929,98.1065,96.2545,96.5289,879163
2017-02-08,96.1949,96.7057,94.7904,96.4405,746843
2017-02-09,96.578,97.8254,96.5191,97.0593,416071
2017-02-10,96.8039,98.7486,96.8039,98.5816,561008
2017-02-13,98.8075,99.4263,97.9825,98.5718,661987
2017-02-14,98.5915,98.945,97.6486,97.7271,557286
2017-02-15,97.678,98.9942,97.678,98.8763,754144
2017-02-16,98.9352,99.1709,97.9825,98.9156,414318
2017-02-17,98.8468,99.2692,98.0513,99.2397,443580
2017-02-21,99.2004,99.4263,98.6774,99.0236,496518
2017-02-22,98.9942,99.4165,96.3324,96.5878,1840400
2017-02-23,96.7253,97.0593,95.311,95.5762,1254838
2017-02-24,95.3601,98.395,94.9338,98.0414,1173609
2017-02-27,97.6584,98.3852,97.236,98.3361,737629
2017-02-28,98.4736,98.4736,96.3717,96.4208,740014
2017-03-01,97.0593,98.5423,97.0593,98.3557,781380
2017-03-02,98.0905,98.1789,95.8806,96.1065,771331
2017-03-03,96.1851,96.4375,95.4976,96.1065,705706
2017-03-06,95.9101,96.9807,95.6646,96.7941,566567
2017-03-07,96.4405,96.8235,94.7904,94.8788,934088
2017-03-08,94.7806,95.527,94.2993,95.0458,1030551
2017-03-09,95.1244,95.6449,94.0047,94.4663,1159526
2017-03-10,95.0654,95.3601,94.3288,94.9279,919104
2017-03-13,94.8886,95.252,93.3662,93.5529,1319203
2017-03-14,93.3662,93.3662,91.6965,92.7573,1334102
2017-03-15,93.0814,93.7807,92.7082,93.3957,860133
2017-03-16,93.3957,93.71,92.6001,92.7769,655618
2017-03-17,93.2386,93.2386,91.7555,92.276,1401850
2017-03-20,92.3153,92.3153,90.9795,91.2546,796648
2017-03-21,91.5099,91.5296,89.6745,89.9777,1163622
2017-03-22,90.2822,90.6652,89.5652,90.0661,954786
2017-03-23,89.9777,90.2134,89.0938,89.192,765878
2017-03-24,89.5357,90.1152,88.3178,88.6616,918405
2017-03-27,87.4535,89.0473,87.1196,88.9366,1361534
2017-03-28,88.9857,91.2938,87.8267,90.6947,1093783
2017-03-29,90.2134,90.6161,88.7991,89.5357,1413021
2017-03-30,89.2607,90.3608,89.2607,90.2626,656266
2017-03-31,89.7911,90.5179,89.3688,90.1054,701600
2017-04-03,90.4001,90.8764,88.75,88.7696,1055893
2017-04-04,88.6812,90.3608,88.6027,90.3215,1127319
2017-04-05,90.6456,91.618,90.3951,90.7144,1634189
2017-04-06,90.6947,91.4019,89.9384,90.6063,1511826
2017-04-07,90.4688,90.4688,89.3982,89.4572,1088589
2017-04-10,89.9581,92.4037,89.9581,91.559,1040923
2017-04-11,89.8009,90.0072,88.6027,89.9777,1209949
2017-04-12,90.017,90.2527,88.4848,88.5536,1308474
2017-04-13,88.6223,89.2607,87.3553,87.5517,1455579
2017-04-17,86.6972,89.1625,86.432,87.5223,1861874
2017-04-18,87.1883,87.7089,86.6776,87.3553,1084494
2017-04-19,87.8366,88.2393,87.2571,87.3356,1028843
2017-04-20,87.9348,88.5928,87.5223,88.1705,1240776
2017-04-21,88.5437,89.3982,88.0035,89.3295,1008342
2017-04-24,90.7045,91.284,89.961,90.7144,964266
2017-04-25,90.5474,91.8046,89.7813,90.4885,933166
2017-04-26,90.6554,90.6554,88.9661,89.1429,1303990
2017-04-27,89.2902,89.9384,89.2116,89.4277,1077734
2017-04-28,89.2214,89.4866,87.4928,88.0625,956845
2017-05-01,88.4848,88.75,86.9231,87.0312,1182923
2017-05-02,87.2767,88.1116,86.6776,88.0526,2078557
2017-05-03,88.0921,88.4687,87.0384,87.905,1515710
2017-05-04,87.9936,88.1654,86.1719,87.196,1163117
2017-05-05,87.196,87.6046,86.7923,87.3732,804926
2017-05-08,87.3338,87.4717,86.3491,86.5362,612414
2017-05-09,86.359,86.7529,85.8469,86.2704,705624
2017-05-10,85.9257,86.0143,84.5471,85.3644,1642113
2017-05-11,85.1773,85.3398,84.3699,84.7539,1118777
2017-05-12,84.488,85.2758,84.2812,84.557,1638969
