date,open,high,low,close,volume
2017-01-03,22.4678,22.6024,22.2466,22.4101,2115901
2017-01-04,22.5447,22.814,22.5351,22.7467,1522989
2017-01-05,22.6986,22.7515,22.3428,22.5544,1243247
2017-01-06,22.6313,22.7371,22.4149,22.6313,1218116
2017-01-09,22.5351,22.564,22.2947,22.3331,1055485
2017-01-10,22.362,22.7467,22.3428,22.7082,1287727
2017-01-11,22.6024,22.891,22.5159,22.8814,1372804
2017-01-12,22.7371,22.7852,22.2562,22.4486,1124167
2017-01-13,22.5928,22.6986,22.4101,22.564,1070561
2017-01-17,22.4197,22.4197,21.8811,21.9773,1159809
2017-01-18,22.035,22.3331,21.8234,22.3139,1319239
2017-01-19,22.362,22.4486,21.9965,22.0542,1418511
2017-01-20,22.1696,22.3139,22.1023,22.2466,959173
2017-01-23,22.1023,22.237,21.8619,22.035,868433
2017-01-24,22.1985,22.6217,22.16,22.487,1274477
2017-01-25,22.7179,23.1218,22.6794,23.093,1813129
2017-01-26,23.1122,23.3575,23.0449,23.3238,1633582
2017-01-27,23.3527,23.3527,22.8814,23.0064,867648
2017-01-30,22.9487,22.9583,22.5255,22.8333,996229
2017-01-31,22.7179,22.9775,22.5832,22.9391,1272338
2017-02-01,23.1122,23.2949,22.8814,23.0256,1212038
2017-02-02,22.8237,23.0256,22.689,22.8237,1545851
2017-02-03,23.2757,23.545,23.1026,23.42,1392391
2017-02-06,23.2469,23.5834,23.194,23.4777,1144400
2017-02-07,23.622,23.6604,22.5159,22.7371,3145760
2017-02-08,22.6024,22.6409,22.3043,22.5255,1429295
2017-02-09,22.6409,23.1218,22.5928,22.9872,1577349
2017-02-10,23.1699,23.2372,22.9679,23.093,914165
2017-02-13,23.2661,23.5258,23.2661,23.3527,1045914
2017-02-14,23.2565,23.9874,23.2565,23.9586,3362079
2017-02-15,24.0452,24.0644,23.7903,24.0452,2224185
2017-02-16,24.0452,24.401,23.9945,24.3625,2444695
2017-02-17,24.2856,24.603,23.9297,24.5838,2498122
2017-02-21,24.5934,24.8585,24.478,24.728,1517461
2017-02-22,24.603,24.7761,24.479,24.728,2357510
2017-02-23,24.7761,24.9108,24.4924,24.7377,1673492
2017-02-24,24.4395,24.7377,24.3241,24.7088,1645604
2017-02-27,24.8338,25.3244,24.7665,25.1416,2467119
2017-02-28,25.1416,25.6225,25.0358,25.6033,3116667
2017-03-01,26.0072,26.291,25.9688,26.1611,3604084
2017-03-02,26.1611,26.1611,25.5167,25.536,3381066
2017-03-03,25.4782,25.9591,25.3917,25.6514,2980981
2017-03-06,25.4494,25.6081,25.257,25.5167,2309962
2017-03-07,25.584,25.7379,25.4686,25.6417,2278360
2017-03-08,25.8533,25.8822,25.6417,25.7187,2011958
2017-03-09,25.8245,25.9591,25.6241,25.7283,1910785
2017-03-10,25.8726,25.9591,25.4542,25.7283,1515121
2017-03-13,25.7475,26.0072,25.6514,25.9014,1777073
2017-03-14,25.9014,25.9014,25.3532,25.7668,1893449
2017-03-15,25.8437,26.0361,25.7283,25.9111,1901243
2017-03-16,26.0292,26.1448,25.5664,25.7014,1888536
2017-03-17,25.711,25.7303,25.3254,25.3929,2844042
2017-03-20,25.3447,25.5278,25.2001,25.335,1968101
2017-03-21,25.4314,25.4893,24.8241,24.9205,2288993
2017-03-22,24.8048,25.1808,24.6409,24.8434,1941372
2017-03-23,24.8434,25.1037,24.7518,24.853,2086905
2017-03-24,24.988,25.0747,24.6409,24.7952,1794293
2017-03-27,24.3903,24.7952,24.2168,24.6988,2378489
2017-03-28,24.6795,25.3736,24.6024,25.1615,2058804
2017-03-29,25.094,25.3688,25.0555,25.1615,1473083
2017-03-30,25.1808,25.3832,25.1422,25.3254,1727010
2017-03-31,25.1904,25.2627,25.0603,25.0651,1406404
2017-04-03,25.1422,25.1615,24.8337,25.0651,2046567
2017-04-04,24.9591,25.1326,24.9491,25.094,1237406
2017-04-05,25.335,25.6002,25.1037,25.1229,1990779
2017-04-06,25.094,25.4796,24.9494,25.4122,1570865
2017-04-07,25.2483,25.4893,25.1615,25.3447,920590
2017-04-10,25.3447,25.5037,25.094,25.2965,1006869
2017-04-11,25.1229,25.2386,24.9591,25.2386,1429851
2017-04-12,25.2097,25.2194,24.8771,24.9976,1206605
2017-04-13,24.8916,25.1229,24.5927,24.6024,1137387
2017-04-17,24.6313,24.7181,24.506,24.7181,1934134
2017-04-18,24.5638,24.6602,24.2071,24.3035,3093338
2017-04-19,24.5156,24.6891,24.3999,24.5349,1574189
2017-04-20,24.6795,24.9205,24.5734,24.8723,1058859
2017-04-21,24.853,24.9109,24.5156,24.5927,1071904
2017-04-24,25.0747,25.3543,24.9301,25.0265,1369050
2017-04-25,25.1904,25.4411,25.1037,25.229,1319936
2017-04-26,25.1904,25.3929,25.0844,25.2097,1302141
2017-04-27,25.2772,25.335,24.938,25.2001,1267636
2017-04-28,25.1326,25.3158,24.4578,24.477,1895718
2017-05-01,24.5542,24.9782,24.5349,24.9012,1427953
2017-05-02,24.9301,24.9591,24.6313,24.7663,1301387
2017-05-03,24.6409,24.9012,24.5832,24.7855,1617087
2017-05-04,24.9494,25.0073,24.3228,24.4288,1753210
2017-05-05,24.5638,24.853,24.477,24.8337,1228200
2017-05-08,24.8627,25.1712,24.7277,25.1615,1551167
2017-05-09,25.1229,25.1326,24.371,24.3903,1775577
