date,open,high,low,close,volume
2017-01-03,109.1438,109.3512,108.6253,109.2004,5953048
2017-01-04,108.8798,109.568,108.7007,109.0212,5828946
2017-01-05,109.3512,110.2656,108.8234,110.1619,6217214
2017-01-06,109.9828,110.2939,109.1249,109.634,5221381
2017-01-09,109.6811,109.9262,109.2475,109.6151,5457539
2017-01-10,109.3795,110.2939,109.2286,109.502,5312812
2017-01-11,109.4266,109.5869,107.4847,108.154,8887197
2017-01-12,107.7203,108.154,106.8719,108.0503,6627250
2017-01-13,108.3519,108.4274,107.8806,108.0314,4935188
2017-01-17,107.4093,108.4556,107.1547,108.2859,6255447
2017-01-18,108.3519,108.5028,107.8523,108.1257,5014570
2017-01-19,108.1068,108.3142,107.3904,107.6544,5540831
2017-01-20,107.9277,108.4368,107.5412,107.6072,7502425
2017-01-23,107.9466,108.1917,107.2773,107.381,7989760
2017-01-24,106.4383,106.8059,104.7792,105.3542,12450307
2017-01-25,105.5145,106.3346,104.4115,106.3346,9385502
2017-01-26,105.5804,106.3723,105.2034,105.4296,10164341
2017-01-27,105.5804,107.032,105.4862,106.8814,8885867
2017-01-30,106.9002,107.0887,106.3817,106.6457,6969430
2017-01-31,106.3252,106.9002,105.9858,106.7588,8713408
2017-02-01,106.0329,106.8248,106.0235,106.74,7082322
2017-02-02,106.3534,107.1076,106.3063,107.0605,7826308
2017-02-03,106.9945,107.1453,106.2026,107.1265,7267569
2017-02-06,106.9568,107.0793,106.1649,106.9002,6178433
2017-02-07,107.0887,107.1076,106.5703,106.9756,5507915
2017-02-08,106.8059,107.1736,106.6645,106.9002,5271951
2017-02-09,106.9662,108.0786,106.9002,107.5412,5854606
2017-02-10,107.7675,109.3418,107.6826,108.6347,6438536
2017-02-13,108.6724,109.4643,108.6159,109.2381,5710779
2017-02-14,108.8233,109.7283,108.7102,109.6905,5539136
2017-02-15,109.2569,110.7275,108.9647,110.4824,5979679
2017-02-16,110.2939,111.5005,110.2891,111.312,7119291
2017-02-17,111.4157,112.085,111.2837,112.0473,8691397
2017-02-21,111.6136,113.0182,111.5382,112.8014,8595110
2017-02-22,112.4432,112.9051,112.4149,112.6694,5103903
2017-02-23,112.6694,114.913,112.6317,114.7245,9980945
2017-02-24,115.2939,116.4705,114.7245,116.461,10834986
2017-02-27,115.8917,116.6034,115.8664,116.1479,5946157
2017-02-28,115.7778,116.3851,115.7114,115.9676,8885513
2017-03-01,116.2333,118.0932,116.1669,117.5333,9393869
2017-03-02,117.4289,118.0078,116.7362,117.3151,6950220
2017-03-03,117.1063,117.5998,116.9355,117.4669,5593811
2017-03-06,116.7267,118.0712,116.3377,117.391,6670681
2017-03-07,116.3187,118.1027,116.1384,117.5049,6643988
2017-03-08,117.4289,118.3114,117.1917,117.7611,7909858
2017-03-09,118.2166,119.7633,117.8275,119.5166,8571147
2017-03-10,119.602,120.029,119.1275,119.7633,7395375
2017-03-13,119.4027,120.4655,119.3647,120.2093,7162476
2017-03-14,120.3801,121.2246,120.2947,120.5604,7679707
2017-03-15,120.5604,122.4108,120.1334,122.3728,8360637
2017-03-16,121.8794,122.1261,121.2436,121.8984,7610720
2017-03-17,121.8889,122.3538,121.4144,121.5188,13300756
2017-03-20,121.4998,121.8604,121.4334,121.5283,5827497
2017-03-21,121.8225,121.8889,120.6458,120.7502,7578634
2017-03-22,120.5604,121.1297,119.7633,119.8107,10272668
2017-03-23,119.6589,120.5148,119.2414,119.4691,8508073
2017-03-24,119.4312,119.9056,118.7385,119.0706,6490304
2017-03-27,118.7669,119.6969,118.7574,119.3742,5004285
2017-03-28,119.2034,119.3553,118.4063,119.2414,5287559
2017-03-29,118.6625,118.9282,118.0078,118.5392,3971828
2017-03-30,118.3684,119.0231,117.9319,118.2925,4711693
2017-03-31,117.7706,118.449,117.6946,118.1881,5657560
2017-04-03,118.3589,118.9093,117.9346,118.3209,4956532
2017-04-04,118.1501,118.3921,117.8749,118.3114,5358474
2017-04-05,118.3494,119.186,118.0552,118.4253,5646251
2017-04-06,118.4728,119.0516,118.1406,118.6625,4324385
2017-04-07,118.729,119.0611,118.4538,118.5392,3615126
2017-04-10,118.4917,118.5677,117.8844,117.9888,4594234
2017-04-11,117.9129,118.4158,117.6187,117.8749,4161540
2017-04-12,118.1786,119.0516,118.0078,118.9947,5556604
2017-04-13,118.7385,119.2319,118.5771,118.6056,5396539
2017-04-17,118.6341,119.3837,118.5487,119.2983,5367465
2017-04-18,116.8881,117.0684,114.772,115.5975,13485682
2017-04-19,115.8632,116.034,114.9238,115.1705,6993098
2017-04-20,115.6355,115.9107,115.1515,115.645,6330136
2017-04-21,115.5596,115.8063,115.3318,115.5406,6021721
2017-04-24,116.2618,116.9165,115.9107,116.6129,5679021
2017-04-25,117.0399,117.4242,116.7267,117.1253,5089987
2017-04-26,117.4669,117.9129,117.1727,117.2012,5021839
2017-04-27,117.2676,117.9563,117.0968,117.4195,4225165
2017-04-28,117.5238,117.5713,116.8406,117.1633,4381766
2017-05-01,117.0968,117.4527,116.7173,117.0399,4556360
2017-05-02,117.2107,117.4195,116.6129,117.3815,4881641
2017-05-03,117.2771,117.3815,116.7552,117.0304,3736531
2017-05-04,117.372,117.6187,116.9355,117.6187,3753201
2017-05-05,117.4764,117.4764,116.5844,117.2012,4139755
2017-05-08,117.2202,117.4764,116.7362,116.9545,3609058
2017-05-09,116.9355,117.1633,116.6034,116.9165,3762488
2017-05-10,116.6319,116.7694,116.1289,116.537,4237412
2017-05-11,116.2428,116.9165,116.091,116.907,4095893
2017-05-12,116.8216,117.7611,116.7267,117.3246,4097060
2017-05-15,118.0552,120.8546,117.9793,120.5035,9854621
2017-05-16,120.8356,121.813,120.5699,121.2436,7233801
2017-05-17,120.1334,121.3575,119.991,120.1998,6480802
2017-05-18,120.0005,121.3385,119.5261,120.4845,6571254
2017-05-19,120.5414,120.883,119.9815,120.5129,6957196
2017-05-22,120.1618,121.1297,120.1618,120.7597,4858199
2017-05-23,120.8071,121.6042,120.8071,121.0064,3973025
2017-05-24,121.2626,121.4619,120.7881,120.9969,3968185
2017-05-25,121.0638,121.9044,120.6722,121.8184,5294263
2017-05-26,121.5318,121.9521,121.1498,121.2357,4005234
2017-05-30,121.0256,121.6848,120.5384,121.4172,3665353
2017-05-31,121.6465,123.0315,121.6465,122.5062,8813511
2017-06-01,122.573,123.0124,122.382,123.0124,5790899
2017-06-02,123.2703,124.3115,123.0602,124.2542,6562557
2017-06-05,124.1491,124.8464,123.9867,124.5217,4634663
2017-06-06,124.3497,125.4482,124.2064,124.9706,5619093
2017-06-07,125.133,125.5915,124.7318,124.8942,5765471
2017-06-08,125.133,125.5151,124.1396,124.7032,8101669
2017-06-09,124.5312,125.8016,124.4739,125.6393,5993031
2017-06-12,125.7443,126.1264,125.219,125.9163,8020951
2017-06-13,125.8494,126.7855,125.5151,126.1073,5733817
2017-06-14,126.5754,127.5783,126.5754,126.8237,7329376
2017-06-15,126.0882,127.3778,125.9019,127.0816,5264996
2017-06-16,127.7312,128.5765,127.0816,128.333,12639630
2017-06-19,128.1419,128.6482,127.5115,128.0655,7488704
2017-06-20,127.9031,128.7198,127.9031,128.2088,5201174
2017-06-21,128.2757,129.0589,128.0177,128.8679,5841053
