date,open,high,low,close,volume
2017-01-03,28.0069,28.5084,27.9282,28.1249,5170176
2017-01-04,27.9774,28.4986,27.8397,28.4199,2778174
2017-01-05,28.4002,28.6166,28.1445,28.3609,2136674
2017-01-06,28.3904,28.4297,28.1347,28.3805,1394700
2017-01-09,28.1445,28.2232,27.7905,27.9184,2217529
2017-01-10,27.9085,28.0659,27.7512,27.9282,2206908
2017-01-11,27.0431,27.4758,26.8661,27.3873,4789985
2017-01-12,27.407,27.4758,26.9448,27.3382,2502701
2017-01-13,27.3677,27.5152,27.2988,27.407,1503771
2017-01-17,27.2398,27.3332,26.8366,26.9546,2509953
2017-01-18,27.0923,27.1907,26.876,26.8858,3229695
2017-01-19,26.9546,27.1513,26.7629,26.9645,2972253
2017-01-20,27.0136,27.1513,26.6596,26.9743,3054770
2017-01-23,26.9153,27.112,26.8465,27.0431,3083305
2017-01-24,27.0726,27.4955,26.9743,27.3775,2293642
2017-01-25,27.5348,27.8692,27.4414,27.6725,3302600
2017-01-26,27.7708,27.8298,27.0972,27.2595,6920325
2017-01-27,24.683,26.5876,24.4863,26.2269,18319826
2017-01-30,26.1483,26.1581,25.7647,26.0106,5402182
2017-01-31,26.0106,26.3449,25.9122,26.3351,6013409
2017-02-01,26.2958,26.4433,26.1286,26.3646,5880131
2017-02-02,26.2466,26.817,26.1286,26.7875,6030109
2017-02-03,26.9448,27.0038,26.7432,26.8956,3521857
2017-02-06,26.7678,26.9055,26.6498,26.8268,3873689
2017-02-07,26.7678,26.7875,26.5318,26.7481,5245936
2017-02-08,26.7481,26.812,26.5711,26.7875,3036701
2017-02-09,26.8661,27.1611,26.8465,26.9448,2945850
2017-02-10,26.9743,27.2693,26.9251,27.1808,2316361
2017-02-13,27.2398,27.5643,27.2398,27.466,3700347
2017-02-14,27.3775,27.5053,27.289,27.4168,3576483
2017-02-15,27.4168,27.5742,27.3431,27.4955,2805572
2017-02-16,27.4857,27.7315,27.3972,27.6233,3302246
2017-02-17,27.5938,27.9577,27.5152,27.9184,3280644
2017-02-21,27.7905,28.292,27.7905,28.2134,2933172
2017-02-22,28.115,28.2232,27.9085,28.056,2817508
2017-02-23,28.0757,28.2429,27.8446,27.9577,2329519
2017-02-24,27.6922,27.9479,27.584,27.9479,1800490
2017-02-27,27.9972,28.1354,27.8294,27.9577,1489743
2017-02-28,27.8887,27.9183,27.5236,27.6321,3944861
2017-03-01,27.8294,27.9923,27.7752,27.8788,2760374
2017-03-02,27.7604,27.9084,27.6173,27.8887,3701097
2017-03-03,27.9183,27.9577,27.6814,27.9183,2446367
2017-03-06,27.79,27.8788,27.6419,27.79,3428551
2017-03-07,27.7308,27.859,27.6222,27.7801,2645045
2017-03-08,27.6617,27.6617,27.0794,27.336,6221634
2017-03-09,27.3755,27.5926,27.2867,27.4446,2385415
2017-03-10,27.5235,27.7209,27.4742,27.6419,4549425
2017-03-13,27.6518,27.7604,27.4643,27.6025,3630495
2017-03-14,27.5926,27.79,27.4643,27.7702,2708452
2017-03-15,27.8492,28.0219,27.6518,27.9281,2887013
2017-03-16,28.0466,28.1847,27.8837,28.1452,3494819
2017-03-17,28.2637,28.4413,28.1452,28.3031,4417913
2017-03-20,27.9084,28.0268,27.7012,27.8097,4389114
2017-03-21,27.6419,27.8196,27.3656,27.4446,7346387
2017-03-22,27.4446,27.7752,27.336,27.6419,2778795
2017-03-23,27.6321,27.8097,27.4051,27.4742,2707165
2017-03-24,27.563,27.7258,27.3558,27.4544,2656137
2017-03-27,27.2768,27.4544,27.1584,27.3854,2724254
2017-03-28,27.3854,27.6321,27.2768,27.4248,2277730
2017-03-29,27.3952,27.484,27.2077,27.2867,3905131
2017-03-30,27.3261,27.4544,27.2768,27.336,4283821
2017-03-31,27.3163,27.5235,27.2669,27.4643,5097704
2017-04-03,27.4939,27.563,27.0597,27.3558,2512392
2017-04-04,27.3656,27.8294,27.3558,27.5926,4391861
2017-04-05,27.6814,27.8393,27.4248,27.4544,3312417
2017-04-06,27.4643,27.6518,27.3558,27.4446,2468696
2017-04-07,27.4446,27.6913,27.3952,27.5038,3500128
2017-04-10,27.5827,27.6518,27.4298,27.5136,2347878
2017-04-11,27.4742,27.4939,27.2571,27.4248,3215398
2017-04-12,27.4643,27.4643,27.1337,27.2669,2944460
2017-04-13,27.336,27.4791,27.188,27.1979,3459323
2017-04-17,27.2373,27.3952,27.2176,27.3459,1992450
2017-04-18,27.2571,27.5235,27.2571,27.336,6493556
2017-04-19,27.415,27.5136,27.3459,27.3656,9401137
2017-04-20,27.5038,27.6321,27.3459,27.4347,5844277
2017-04-21,27.4051,27.5778,27.3952,27.415,3359866
2017-04-24,27.7702,28.0367,27.6715,27.8985,5327433
2017-04-25,27.938,28.0416,27.4051,27.415,13535449
2017-04-26,28.0959,29.6058,27.5531,29.0729,25291287
2017-04-27,29.2012,29.5959,29.0235,29.5959,11312333
2017-04-28,29.2604,29.9117,29.2407,29.6749,9756840
2017-05-01,29.744,30.2621,29.6551,30.1979,7849038
2017-05-02,30.2078,30.5532,30.1517,30.4841,5698695
2017-05-03,30.3854,30.4792,29.892,29.9018,6722326
2017-05-04,30.0203,30.1977,29.9216,30.0992,8795546
2017-05-05,30.2275,30.3163,29.9315,30.1486,5655563
2017-05-08,30.0894,30.2275,30.0301,30.0894,7182119
2017-05-09,30.0992,30.3361,30.0696,30.2769,5084671
2017-05-10,30.3361,30.489,30.1584,30.4446,3838994
2017-05-11,30.415,30.4545,30.1387,30.1584,6463491
2017-05-12,30.1486,30.2867,30.0548,30.188,7067097
2017-05-15,30.2275,30.2769,30.0992,30.2078,7148052
2017-05-16,30.2769,30.2769,30.04,30.188,6337937
2017-05-17,29.892,29.9315,29.3689,29.3689,5059293
2017-05-18,29.1222,29.4972,28.7867,29.2012,7004747
2017-05-19,29.2801,29.5466,29.1124,29.142,3285062
2017-05-22,29.0828,29.3443,29.0828,29.2407,4905761
2017-05-23,29.3887,29.4874,28.9841,29.063,4162805
2017-05-24,29.0334,29.0729,28.7966,28.9545,3359416
2017-05-25,29.0828,29.1814,28.9742,29.0531,8431352
2017-05-26,29.1716,29.1716,28.9002,28.9347,2904277
2017-05-30,28.8654,29.1377,28.8159,29.014,3073174
2017-05-31,29.0635,29.1526,28.8555,29.0437,4840982
2017-06-01,29.3605,29.8458,29.2912,29.7863,5158721
2017-06-02,29.8953,29.9349,29.4794,29.7368,3344690
2017-06-05,29.6675,29.9052,29.5635,29.8656,6384268
2017-06-06,29.816,30.1428,29.7022,29.7665,4675649
2017-06-07,29.717,29.8111,28.7218,28.905,6957746
2017-06-08,28.8555,29.3407,28.8159,29.2021,6488822
2017-06-09,29.1724,29.311,27.8356,28.3307,5710611
2017-06-12,28.1128,28.5981,27.7366,28.5783,9244460
2017-06-13,28.6773,28.9644,28.5188,28.9149,4420514
2017-06-14,28.9644,29.0041,28.1921,28.4297,6204810
2017-06-15,28.2119,28.707,28.1624,28.5783,4906007
2017-06-16,28.5882,28.6674,28.2465,28.3901,4716809
2017-06-19,28.5188,28.905,28.4431,28.905,2991168
2017-06-20,28.8654,28.9644,28.4495,28.4891,5153956
2017-06-21,28.1227,28.5783,28.0732,28.5783,5115509
2017-06-22,28.5683,28.6179,27.8603,28.0831,6640815
2017-06-23,28.1227,28.1524,27.9544,28.0138,16676752
2017-06-26,28.0237,28.0831,27.687,27.8356,8258302
2017-06-27,27.6969,28.1029,27.4989,27.6672,18018888
2017-06-28,27.895,28.0336,27.7465,27.895,3990906
2017-06-29,27.8158,27.895,27.3504,27.5484,5513296
2017-06-30,27.588,27.7663,27.489,27.6078,6127928
2017-07-03,27.7762,27.8752,27.4494,27.4692,1818494
2017-07-05,27.588,27.9643,27.489,27.9049,3979051
2017-07-06,27.7366,27.8554,27.4791,27.5187,4180933
2017-07-07,27.588,28.2119,27.588,28.1723,3434337
2017-07-10,28.6179,28.9942,28.499,28.9149,10964591
2017-07-11,28.9149,28.9842,28.6278,28.8258,3340983
2017-07-12,28.9842,29.0734,28.6971,28.8852,4221276
2017-07-13,28.9545,29.014,28.7862,28.806,2771070
2017-07-14,28.8258,28.8506,28.5981,28.7268,2615671
2017-07-17,28.7169,28.8753,28.6476,28.8456,3704971
2017-07-18,28.6575,28.8258,28.3406,28.5783,3199447
2017-07-19,28.7169,29.1625,28.6179,29.0833,6228699
2017-07-20,29.0932,29.1922,28.7218,28.9347,3361668
2017-07-21,29.3011,29.3605,28.9644,29.1427,4103278
2017-07-24,29.0932,29.2813,28.9743,29.1724,4279245
2017-07-25,29.2318,29.9943,29.212,29.6675,8213364
2017-07-26,27.9346,28.7763,27.4989,27.7861,13815349
2017-07-27,27.8752,27.9148,27.2711,27.5385,8122346
