date,open,high,low,close,volume
2017-01-03,36.6,37.16,36.03,36.28,630944
2017-01-04,36.25,37.18,36.25,36.88,693670
2017-01-05,36.98,37.18,36.31,36.45,1206081
2017-01-06,36.55,36.6,36.12,36.2,652922
2017-01-09,36.13,36.37,35.9,36.1,916603
2017-01-10,36.26,36.355,36.02,36.31,749150
2017-01-11,36.26,36.62,36.13,36.5,574183
2017-01-12,36.4,36.4,35.69,36.35,304493
2017-01-13,36.52,36.99,36.51,36.93,349216
2017-01-17,36.61,36.83,35.81,35.88,520433
2017-01-18,35.95,36.39,35.73,35.9,471441
2017-01-19,35.97,36.39,35.6,35.73,390867
2017-01-20,35.88,36.17,35.76,36.16,439423
2017-01-23,35.96,36.38,35.79,36.3,453923
2017-01-24,36.35,37.0,36.19,36.95,423549
2017-01-25,36.99,37.86,36.75,37.71,686742
2017-01-26,37.66,37.6805,37.15,37.24,544710
2017-01-27,37.19,37.426,36.86,37.01,409372
2017-01-30,37.56,37.56,36.5,36.99,1142147
2017-01-31,36.78,37.17,36.31,37.07,777977
2017-02-01,37.14,37.48,36.41,36.72,1514431
2017-02-02,36.85,37.0,36.1,36.13,1459218
2017-02-03,36.49,37.52,36.33,37.35,1704293
2017-02-06,37.0,37.0772,36.55,36.68,712079
2017-02-07,36.82,37.19,36.43,36.57,865912
2017-02-08,36.54,37.4,36.3,37.2,735844
2017-02-09,37.22,37.48,36.97,36.99,627163
2017-02-10,37.09,37.645,36.75,37.63,1516106
2017-02-13,37.72,37.835,37.42,37.42,404338
2017-02-14,37.23,37.6,37.05,37.45,512556
2017-02-15,37.3,38.34,37.27,38.1,960939
2017-02-16,38.15,38.47,37.84,38.22,831977
2017-02-17,38.41,38.48,36.69,37.92,1050447
2017-02-21,37.83,38.18,37.73,38.04,582640
2017-02-22,37.94,38.15,37.84,38.12,480120
2017-02-23,38.17,38.2,37.17,37.76,463694
2017-02-24,37.35,37.76,37.3,37.55,626374
2017-02-27,37.52,37.74,37.37,37.61,462136
2017-02-28,37.47,37.7,37.16,37.6,905819
2017-03-01,37.97,38.09,37.54,38.03,1136656
2017-03-02,37.95,38.1699,37.72,37.92,647537
2017-03-03,37.86,38.37,37.78,38.28,623517
2017-03-06,37.91,38.16,37.845,37.93,829637
2017-03-07,37.86,38.27,37.72,37.9,519727
2017-03-08,37.97,38.14,37.85,37.9,360888
2017-03-09,37.82,38.07,37.7808,38.02,361998
2017-03-10,38.28,38.94,38.16,38.86,781090
2017-03-13,38.79,38.91,38.35,38.44,505673
2017-03-14,38.24,38.39,38.05,38.3,411687
2017-03-15,38.46,39.15,38.3,39.06,642659
2017-03-16,39.09,39.36,38.98,39.12,404502
2017-03-17,39.19,39.24,38.8,39.02,1244888
2017-03-20,39.11,39.11,38.7,38.75,682164
2017-03-21,38.7,38.88,36.55,36.61,1103701
2017-03-22,36.45,36.56,35.895,36.17,964504
2017-03-23,35.51,37.51,35.5,37.2,9991570
2017-03-24,37.2,37.3499,36.665,36.81,1016072
2017-03-27,36.19,36.59,36.015,36.52,989697
2017-03-28,36.44,36.97,36.31,36.72,647428
2017-03-29,36.68,36.68,36.34,36.37,777123
2017-03-30,36.5,36.94,36.495,36.59,587751
2017-03-31,36.6,36.62,36.12,36.14,1044724
2017-04-03,36.24,36.49,35.91,36.2,836035
2017-04-04,36.13,36.68,36.05,36.24,1113211
2017-04-05,36.96,37.3,36.11,36.26,1506844
2017-04-06,36.52,36.75,36.15,36.44,617545
2017-04-07,36.23,36.46,35.76,35.94,736024
2017-04-10,35.98,36.15,35.66,35.69,717578
2017-04-11,35.6,35.81,35.25,35.79,794763
2017-04-12,35.98,35.98,35.34,35.38,850073
2017-04-13,35.37,35.79,35.051,35.3,778263
2017-04-17,35.57,35.99,35.33,35.95,639154
2017-04-18,35.85,35.99,35.52,35.77,742171
2017-04-19,36.35,36.63,35.981,36.62,931828
2017-04-20,36.81,36.87,36.24,36.7,832142
2017-04-21,36.62,36.66,35.87,35.88,627543
2017-04-24,36.43,37.03,36.21,37.01,1303388
2017-04-25,37.3,37.87,37.14,37.75,693682
2017-04-26,37.72,38.14,37.66,37.85,624020
2017-04-27,37.93,38.165,37.75,37.98,609317
2017-04-28,38.04,38.1,37.36,37.43,988281
2017-05-01,37.55,37.85,37.45,37.77,415839
2017-05-02,37.84,38.09,37.61,37.88,643360
2017-05-03,37.69,38.29,37.43,38.14,985820
2017-05-04,38.28,38.58,38.23,38.45,634909
2017-05-05,38.5,38.92,38.34,38.92,731444
2017-05-08,38.95,39.29,38.645,39.04,638425
2017-05-09,39.02,39.3,38.91,39.13,523628
2017-05-10,38.98,39.305,38.9101,39.21,501224
2017-05-11,38.96,39.08,38.59,39.08,399674
2017-05-12,39.0,39.01,38.72,38.98,440215
2017-05-15,38.98,39.49,38.955,39.23,478931
2017-05-16,39.3,39.3,38.87,39.08,523190
2017-05-17,38.53,38.93,37.76,37.84,1068461
2017-05-18,37.65,37.65,37.1,37.45,830525
2017-05-19,37.49,37.93,37.46,37.49,764216
2017-05-22,37.6,37.745,37.23,37.64,813547
2017-05-23,37.76,37.84,37.41,37.56,362541
2017-05-24,37.61,38.11,37.55,38.07,732174
2017-05-25,38.2,38.4,38.01,38.24,424273
2017-05-26,38.17,38.56,37.99,38.36,491626
2017-05-30,38.55,39.29,38.5,39.1,789606
2017-05-31,39.09,39.14,38.29,38.64,781924
2017-06-01,39.0,39.22,38.77,39.08,1284778
2017-06-02,39.33,39.95,39.21,39.76,1473354
2017-06-05,39.7,40.12,39.65,39.92,727445
2017-06-06,39.93,40.75,39.66,40.25,1963525
2017-06-07,41.85,41.99,38.13,38.62,3193176
2017-06-08,38.43,38.97,37.82,38.3,1446520
2017-06-09,38.29,38.55,37.08,37.64,1509095
2017-06-12,37.59,37.6,36.26,37.0,1294451
2017-06-13,37.26,37.26,36.37,36.6,1096773
2017-06-14,36.86,36.946,35.98,36.34,865541
2017-06-15,36.09,36.68,35.62,36.53,1401605
2017-06-16,37.9,38.46,37.31,37.98,3014568
2017-06-19,38.1,38.4,37.71,37.99,1133151
2017-06-20,37.91,38.03,37.62,37.95,1334151
2017-06-21,37.96,38.1,37.73,37.85,1183179
