date,open,high,low,close,volume
2017-01-03,74.5043,75.9006,74.042,74.9194,1330860
2017-01-04,74.7213,74.976,73.9948,74.6552,1165699
2017-01-05,74.3061,74.7873,73.457,73.9854,1317168
2017-01-06,74.1835,74.693,73.5136,74.6552,942696
2017-01-09,74.7307,75.5704,74.693,75.0892,1040649
2017-01-10,75.0986,75.193,74.3722,74.8439,561899
2017-01-11,74.759,75.91,74.5562,75.7308,1208074
2017-01-12,75.6458,75.6741,74.976,75.5704,903990
2017-01-13,75.5987,76.9667,75.5798,76.8346,1148201
2017-01-17,76.778,76.778,74.7213,75.476,1198991
2017-01-18,75.7968,77.0705,75.5043,77.0138,1297461
2017-01-19,77.0516,77.2591,76.2497,76.561,911245
2017-01-20,76.4195,77.2497,76.1176,76.9478,965097
2017-01-23,77.0705,77.4667,76.7874,77.4573,1029770
2017-01-24,77.5799,78.3535,77.2497,78.1177,1135093
2017-01-25,78.8724,80.3254,78.429,79.8819,2007413
2017-01-26,79.8631,80.0235,78.2781,78.5422,2715731
2017-01-27,81.1084,82.9859,80.4103,81.2877,3253500
2017-01-30,81.1273,81.6651,80.3631,81.3726,1635158
2017-01-31,81.3537,81.3537,79.7876,80.2971,1492809
2017-02-01,80.7027,81.1933,80.0989,81.1745,1399605
2017-02-02,81.0801,82.6179,80.5046,82.4198,1612911
2017-02-03,82.9387,83.1368,82.25,82.6368,1298064
2017-02-06,82.3349,82.9293,81.9858,82.0802,1160861
2017-02-07,81.9764,82.7595,81.9764,82.7029,1256964
2017-02-08,82.7972,82.8632,81.9575,81.9575,1031752
2017-02-09,81.9387,82.3538,81.599,81.8349,811672
2017-02-10,82.0424,82.3066,81.4481,81.7405,1422066
2017-02-13,82.4051,83.0507,82.3292,82.8038,698770
2017-02-14,82.7469,82.8703,81.9874,82.5855,1408884
2017-02-15,82.5855,83.4114,82.3007,83.2406,743737
2017-02-16,83.4589,84.095,82.7516,84.0475,1936323
2017-02-17,83.7912,83.9906,82.9842,83.9811,1431179
2017-02-21,84.2089,85.9178,83.8292,85.8703,1301332
2017-02-22,85.5855,85.8228,85.0254,85.6994,836588
2017-02-23,85.7754,86.2785,84.8165,85.3482,808626
2017-02-24,84.9304,85.7754,84.5982,85.7184,762448
2017-02-27,85.8798,85.8798,84.9779,85.652,437144
2017-02-28,85.6899,85.8798,85.2342,85.557,989938
2017-03-01,86.0697,87.0095,85.3102,86.8102,1314195
2017-03-02,86.7247,86.9431,86.0602,86.1361,1091305
2017-03-03,86.326,86.4114,85.3197,85.8418,751666
2017-03-06,85.4716,86.4494,85.0668,86.2216,774930
2017-03-07,85.9368,86.8007,84.9874,86.4304,879071
