date,open,high,low,close,volume
2017-01-03,105.7834,106.477,105.3664,106.154,1646283
2017-01-04,106.4783,106.9602,106.3353,106.7285,1846003
2017-01-05,106.7934,107.5718,106.1911,107.4976,1660276
2017-01-06,107.4976,108.0536,106.9602,107.8868,1829412
2017-01-09,107.0436,107.4884,106.2282,106.2282,1883899
2017-01-10,106.0984,106.2177,105.6073,105.9687,2521225
2017-01-11,105.737,106.4042,105.737,106.015,1489235
2017-01-12,105.876,106.1818,105.6166,106.0614,1236824
2017-01-13,105.8112,106.4598,105.8112,106.1818,1032371
2017-01-17,106.4505,107.544,106.1633,107.5162,1568677
2017-01-18,107.3401,108.2111,107.3401,107.859,2015349
2017-01-19,107.859,107.9053,107.1362,107.3957,2200209
2017-01-20,108.137,108.5679,107.0251,107.6922,2056144
2017-01-23,107.4142,108.4567,107.4142,108.3965,2626683
2017-01-24,109.7586,113.0759,109.5825,112.8535,4207066
2017-01-25,112.5014,113.8265,112.4921,113.0481,3447527
2017-01-26,112.9462,113.6411,112.5292,113.1871,2675491
2017-01-27,113.0481,113.1315,111.7972,112.1029,1634030
2017-01-30,112.5107,112.5107,111.3802,111.7416,2031945
2017-01-31,111.8157,112.7886,111.6674,112.2419,2862812
2017-02-01,111.6767,112.6589,111.547,112.1307,1952597
2017-02-02,112.5292,113.1686,112.2883,112.5014,1347921
2017-02-03,112.8257,113.3446,112.1493,112.6219,1591807
2017-02-06,112.1771,112.8813,111.9825,112.3439,1400019
2017-02-07,112.5848,113.8821,112.0196,113.4651,2243081
2017-02-08,113.4651,113.9933,113.1593,113.9099,1840293
2017-02-09,113.7431,115.2071,113.6133,114.5122,2440280
2017-02-10,114.2712,114.7531,114.0218,114.4844,1035986
2017-02-13,114.7346,114.767,114.1508,114.3732,1255149
2017-02-14,114.5214,114.5214,112.8442,113.8635,1872630
2017-02-15,114.401,115.5315,113.9377,115.2813,1710145
2017-02-16,115.2813,117.4218,114.6326,117.3291,2741578
2017-02-17,118.3299,122.4904,117.4774,122.2495,6657462
2017-02-21,121.2487,125.0756,121.2487,124.7606,3754984
2017-02-22,124.0657,126.2154,123.3614,124.9367,3160680
2017-02-23,125.0386,125.7336,124.1027,124.4826,1755562
2017-02-24,124.0471,124.6865,123.1112,123.8525,2785236
2017-02-27,123.0093,123.6487,121.6842,122.8981,1771565
2017-02-28,122.9444,123.5282,122.4811,122.824,2388700
2017-03-01,123.0927,123.6765,122.7591,123.4634,1581936
2017-03-02,123.278,124.8626,122.5553,124.6309,1609192
2017-03-03,124.2139,124.3717,123.1668,123.8433,1439377
2017-03-06,123.3429,123.9823,123.3151,123.5468,1820720
2017-03-07,123.6209,124.251,123.3892,123.5931,2143498
2017-03-08,123.145,123.9664,123.145,123.537,2152521
2017-03-09,123.4157,124.1251,123.285,123.8731,1471959
2017-03-10,123.8731,125.0025,123.509,124.9745,2159492
2017-03-13,124.6571,125.2078,124.1811,124.8345,2032020
2017-03-14,124.8065,125.3572,124.4238,124.6478,1139141
2017-03-15,124.7785,126.2159,124.6104,126.0106,1522987
2017-03-16,125.7119,126.0572,125.0865,125.5719,1847932
