date,open,high,low,close,volume
2017-01-03,19.342,19.9984,19.305,19.9799,16489432
2017-01-04,20.0354,20.1001,19.832,20.0816,8773316
2017-01-05,20.1463,20.1926,19.8412,20.0539,10612786
2017-01-06,20.0724,20.2573,19.9522,20.1648,9319312
2017-01-09,19.9337,20.2295,19.8042,20.0076,10413002
2017-01-10,20.1001,20.1556,19.869,19.9429,14680201
2017-01-11,19.9337,20.3128,19.8967,20.285,10211489
2017-01-12,20.3405,20.5439,20.1041,20.5162,14238979
2017-01-13,20.4237,20.7935,20.3405,20.7288,16135560
2017-01-17,20.8028,20.9646,20.7381,20.849,14012179
2017-01-18,20.7658,20.9137,20.6364,20.7473,14458264
2017-01-19,20.3405,21.0339,20.2111,20.775,16315259
2017-01-20,21.0154,21.2096,20.6733,20.7935,17148888
2017-01-23,20.8582,20.886,20.4145,20.4699,12711527
2017-01-24,20.6364,21.0154,20.5069,20.9137,12002569
2017-01-25,20.9137,20.9877,20.5439,20.8952,19065038
2017-01-26,20.9322,21.0339,20.7103,20.7288,9862823
2017-01-27,20.7288,20.7704,20.5254,20.6918,10606858
2017-01-30,20.6593,20.6965,20.2967,20.4361,11029297
2017-01-31,20.464,20.7801,20.3432,20.7708,9147317
2017-02-01,20.901,20.9707,20.5012,20.6686,9352841
2017-02-02,20.7523,21.0591,20.6546,21.0591,11032608
2017-02-03,21.0591,21.3938,20.9754,21.3287,10785175
2017-02-06,21.3101,21.3566,20.8917,20.9196,8540758
2017-02-07,20.8266,20.9568,20.4962,20.5663,10529625
2017-02-08,20.4733,20.8545,20.2874,20.8359,11419051
2017-02-09,20.8731,21.1521,20.7755,20.808,13105819
2017-02-10,20.994,21.1102,20.8638,20.901,20023809
2017-02-13,20.8545,20.9661,20.743,20.9661,10190380
2017-02-14,21.0219,21.0498,20.8127,20.9568,8569896
2017-02-15,20.8359,20.9103,20.65,20.7058,11872662
2017-02-16,20.7151,20.7151,20.2223,20.2595,17715717
2017-02-17,20.2223,20.3525,20.0642,20.2409,14646566
2017-02-21,20.2874,20.5477,20.2595,20.4454,10145536
2017-02-22,20.2688,20.3153,19.9527,19.9991,10998594
2017-02-23,20.213,20.2688,19.9434,20.027,11906548
2017-02-24,19.8969,20.0177,19.6365,19.7481,12515520
2017-02-27,19.8132,19.9434,19.7109,19.8969,11047845
2017-02-28,19.7946,19.9341,19.7202,19.8132,9969400
2017-03-01,19.9991,20.4082,19.9062,20.2409,11848137
2017-03-02,20.0456,20.3711,20.0177,20.3153,8926796
2017-03-03,20.3153,20.4361,20.1293,20.2223,8533973
2017-03-06,20.1665,20.3246,20.027,20.2316,7829728
2017-03-07,20.2316,20.2688,20.0456,20.1107,9535453
2017-03-08,20.1014,20.4175,19.7016,19.7946,18117878
2017-03-09,19.6551,19.869,19.3576,19.776,12122894
2017-03-10,19.8969,20.0828,19.8039,19.9899,10855908
2017-03-13,19.9434,20.1386,19.9081,19.9991,8594433
2017-03-14,19.7295,19.7946,19.4785,19.5622,9545594
2017-03-15,19.8039,20.1851,19.7063,20.1386,11011115
2017-03-16,20.1386,20.1758,19.8597,20.0456,7700444
2017-03-17,20.0921,20.213,19.7667,19.7853,14405548
2017-03-20,19.6179,19.7388,19.5157,19.7016,10023893
2017-03-21,19.7574,19.9155,19.2832,19.4692,16276832
2017-03-22,19.4506,19.6691,19.2553,19.5064,12288223
2017-03-23,19.5436,19.7667,19.5064,19.6644,10778064
2017-03-24,19.6644,19.9341,19.6086,19.6644,10210018
2017-03-27,19.4971,19.6551,19.3948,19.5529,8337076
2017-03-28,19.6458,19.9434,19.5715,19.9155,9820911
2017-03-29,19.8504,19.9852,19.7249,19.9062,12615115
2017-03-30,19.9806,20.1665,19.8783,19.9248,14187889
2017-03-31,19.9062,20.2409,19.8504,20.213,13907483
2017-04-03,20.213,20.2874,19.8225,20.0735,7552989
2017-04-04,20.1386,20.1572,19.9155,20.12,7458293
2017-04-05,20.2595,20.3757,19.9434,19.962,9573518
2017-04-06,20.0456,20.3385,19.9341,20.2223,11314937
2017-04-07,20.2223,20.2967,20.0177,20.0456,8390489
2017-04-10,20.1293,20.3153,20.1107,20.2223,7664032
2017-04-11,20.1944,20.2037,19.948,20.0921,8441461
2017-04-12,20.12,20.2037,19.9806,20.1386,9605198
2017-04-13,20.1479,20.3153,19.8504,19.8876,9865276
2017-04-17,19.8969,19.9806,19.8225,19.869,7357694
2017-04-18,19.7295,19.8969,19.6737,19.6737,16576429
2017-04-19,19.683,19.7989,19.4413,19.5064,11856227
2017-04-20,19.4227,19.6923,19.1159,19.2646,20558922
2017-04-21,19.2739,19.2925,18.7998,18.8462,18141527
2017-04-24,19.0043,19.2089,18.9485,19.181,13383563
2017-04-25,19.1717,19.4785,19.0229,19.432,11542330
2017-04-26,19.3576,19.7295,19.339,19.4506,10691676
2017-04-27,19.315,19.4843,19.184,19.2869,8616503
2017-04-28,19.3898,19.3991,19.2027,19.2963,10316615
2017-05-01,19.2775,19.3337,19.156,19.2121,8000881
2017-05-02,19.2588,19.3804,19.1092,19.1279,9383603
2017-05-03,19.0811,19.2401,18.9595,18.9689,12906979
2017-05-04,18.8941,18.9689,18.3328,18.4825,16440176
2017-05-05,18.5199,18.9221,18.4825,18.8847,9884555
2017-05-08,18.8847,18.9502,18.6415,18.8473,9881417
2017-05-09,18.8379,18.9782,18.5573,18.6135,14743650
2017-05-10,18.7163,19.1185,18.6415,18.8847,18083496
2017-05-11,18.9034,18.9642,18.707,18.8099,11107915
2017-05-12,18.8192,18.8379,18.5854,18.6228,10860677
2017-05-15,18.9034,18.9782,18.6041,18.6135,12215284
2017-05-16,18.6696,18.7444,18.4919,18.5199,9262396
2017-05-17,18.4544,18.5106,18.2393,18.2393,10978549
