date,open,high,low,close,volume
2017-01-03,33.0764,33.086,32.0409,32.3286,9555658
2017-01-04,32.3861,32.4436,31.8492,31.8684,9158528
2017-01-05,31.7725,31.8875,31.3411,31.8396,9937850
2017-01-06,31.7533,31.8108,31.3698,31.7437,9289687
2017-01-09,31.8013,31.8204,31.4465,31.5616,5922574
2017-01-10,31.4849,32.0697,31.4657,31.8204,7138543
2017-01-11,31.5903,31.9067,31.5424,31.7054,4616021
2017-01-12,31.6383,32.2471,31.5688,32.1368,6170505
2017-01-13,32.3381,33.0093,32.2135,32.6929,6886880
2017-01-17,32.6929,33.4982,32.597,33.4023,7246694
2017-01-18,33.4503,33.5462,32.923,33.4695,5396282
2017-01-19,33.3065,33.5462,32.8463,32.8463,6844953
2017-01-20,33.0093,33.1722,32.6162,32.6833,6841283
2017-01-23,32.6737,32.7312,32.0697,32.1464,5209667
2017-01-24,32.0697,32.2519,31.9163,32.0122,6923665
2017-01-25,32.1847,32.5395,31.8492,32.0889,6571719
2017-01-26,32.2327,32.6258,32.1847,32.3477,5547335
2017-01-27,32.3477,32.3477,31.6239,31.9834,5338665
2017-01-30,31.8684,32.2327,31.7341,32.2135,4091332
2017-01-31,32.2327,32.5682,32.0409,32.5587,5847437
2017-02-01,32.4148,32.5011,31.9067,32.0601,5005866
2017-02-02,32.319,32.7504,32.319,32.6929,6391816
2017-02-03,32.6354,32.9038,32.5587,32.6162,3943953
2017-02-06,32.5587,32.6833,32.2519,32.2998,4320085
2017-02-07,32.2614,32.3476,31.7006,31.715,7939853
2017-02-08,31.6958,31.7533,31.1014,31.4849,9268413
2017-02-09,31.2644,32.3238,31.1301,32.108,9795283
2017-02-10,32.1176,32.2806,31.806,32.0985,5974210
2017-02-13,32.1754,32.3967,31.8964,31.9541,5462159
2017-02-14,31.9253,32.0792,31.4345,31.8194,13931377
2017-02-15,31.9445,32.3294,31.8002,32.2428,7743643
2017-02-16,32.3775,32.974,32.339,32.6565,7731097
2017-02-17,32.618,33.2338,32.4929,32.7239,7385185
2017-02-21,32.8105,33.4359,32.772,32.9259,5313720
2017-02-22,32.7624,32.7624,31.6703,31.9734,8872713
2017-02-23,32.1273,32.1273,31.4153,31.7424,7784147
2017-02-24,31.5789,32.0311,31.5693,32.0311,6847955
