date,open,high,low,close,volume
2017-01-03,42.2532,42.2532,41.1141,41.7859,4161118
2017-01-04,41.9612,42.9639,41.8151,42.8179,2661628
2017-01-05,42.6232,43.2852,42.595,43.2463,1975451
2017-01-06,43.4702,43.5384,42.4966,42.5356,2094873
2017-01-09,42.4479,42.5064,41.9904,42.3993,1883948
2017-01-10,42.4772,42.8569,42.1267,42.5745,1718357
2017-01-11,42.4966,42.8666,42.2338,42.8666,1609254
2017-01-12,42.7595,43.3339,42.1267,43.256,2714006
2017-01-13,43.1781,43.5189,43.0029,43.2852,1911583
2017-01-17,43.071,43.4702,42.9055,43.2268,1764320
2017-01-18,43.3534,43.441,42.8471,43.1295,1771064
2017-01-19,43.1295,43.7623,42.5064,42.5745,2341318
2017-01-20,42.779,42.9347,42.4869,42.6913,2398021
2017-01-23,42.6816,43.0516,42.3068,42.594,2440414
2017-01-24,43.5481,45.2908,43.4703,45.1448,5253886
2017-01-25,45.4663,46.2361,45.2617,45.7294,3534684
2017-01-26,45.7976,46.3725,45.3981,45.5053,2947930
2017-01-27,45.3591,45.4468,44.4529,44.6186,2206237
2017-01-30,44.2581,44.3116,43.4688,44.297,2362683
2017-01-31,44.1314,44.1509,43.1375,43.5078,3173276
2017-02-01,43.5955,44.0144,42.9134,43.7416,4422418
2017-02-02,43.7806,44.0534,43.4006,43.6637,2023806
2017-02-03,43.956,44.0632,43.5175,43.9852,2037205
2017-02-06,43.8975,44.1996,43.5078,43.6247,1533405
2017-02-07,43.8196,43.8293,42.9426,43.4785,2119246
2017-02-08,43.4785,44.1898,43.3811,44.0339,2812021
2017-02-09,43.995,44.1898,43.5078,44.0339,2024535
2017-02-10,44.8524,45.7684,44.5211,45.6125,2985162
2017-02-13,45.7879,45.8999,45.3397,45.5053,2382029
2017-02-14,45.4079,45.5053,44.6088,45.0278,2124547
2017-02-15,45.0961,45.9194,45.0084,45.7002,2099653
2017-02-16,45.593,45.8658,44.9596,44.9986,1400187
2017-02-17,44.833,45.2714,44.5796,45.2714,1257987
2017-02-21,45.5248,45.8464,45.3348,45.8171,1929540
2017-02-22,46.6941,46.7136,45.7246,46.0997,2461067
2017-02-23,46.3725,46.3725,45.5151,45.9438,1723488
2017-02-24,45.7392,46.3141,45.4761,46.2166,1883222
2017-02-27,46.2166,47.2593,46.012,47.1326,2470172
2017-02-28,47.1034,47.7465,46.9572,47.5418,3568744
2017-03-01,47.8926,49.1496,47.8634,48.7306,3546400
2017-03-02,48.6234,48.8086,48.2727,48.4675,1633348
2017-03-03,48.3116,48.7988,47.8342,48.6234,3257977
2017-03-06,48.3604,48.9012,48.1655,48.6917,2616930
2017-03-07,48.7988,49.5102,48.526,49.4127,2906911
2017-03-08,49.3543,51.079,49.3055,50.9133,4618901
2017-03-09,50.9133,51.5467,49.9779,50.6015,4819960
2017-03-10,51.0692,52.4139,51.0595,51.3713,6220441
2017-03-13,51.498,51.6441,50.5625,50.5918,3873297
2017-03-14,50.4748,50.5138,49.7343,50.28,2422999
2017-03-15,50.5333,50.9523,49.9292,50.7964,2982758
2017-03-16,50.9815,51.9072,50.5528,51.6149,3747785
2017-03-17,51.5564,51.9218,51.2836,51.4785,4079989
2017-03-20,51.4493,51.4687,50.8207,51.3323,3516671
2017-03-21,50.8256,51.0595,49.5199,49.9584,4709447
2017-03-22,50.0656,50.0753,48.9547,49.4127,3270381
2017-03-23,49.4712,50.0266,49.3445,49.5589,1711763
2017-03-24,49.744,50.0169,49.403,49.7343,1901534
2017-03-27,49.0814,49.7927,48.9353,49.6758,1822166
2017-03-28,49.4517,50.3482,49.442,50.0461,1595330
2017-03-29,49.7245,50.3384,49.7245,50.1825,1379592
2017-03-30,50.0851,50.2459,49.7245,49.9876,1612002
2017-03-31,49.8902,50.0656,49.7099,49.8804,1233174
2017-04-03,49.9389,50.1728,49.1545,49.6076,1937769
2017-04-04,49.4127,49.6856,49.1399,49.3445,1302750
2017-04-05,49.5686,50.0948,49.2861,49.3445,1839898
2017-04-06,49.2568,49.9779,49.1594,49.6076,1476641
2017-04-07,49.4322,49.7538,49.3445,49.3835,1190898
2017-04-10,49.6563,50.8451,49.6076,50.163,2226771
2017-04-11,50.0948,50.6502,49.8804,50.5918,2634091
2017-04-12,50.2897,50.5723,49.8415,49.9779,1983502
2017-04-13,50.1046,51.0985,50.1046,50.4651,2655298
2017-04-17,50.6113,51.079,50.4554,51.0108,2095693
2017-04-18,50.7282,51.42,50.5041,51.0887,1855992
2017-04-19,51.3421,51.537,50.9815,51.2544,1858136
2017-04-20,51.537,51.6441,50.0656,50.5625,2888652
2017-04-21,50.3969,50.7477,50.0558,50.6795,2215767
2017-04-24,51.2154,51.3518,50.0948,50.2507,1879847
2017-04-25,49.9779,50.0558,49.0327,49.403,4000969
2017-04-26,49.5297,50.0169,49.325,49.6661,4513040
2017-04-27,49.6953,49.9535,49.3251,49.8025,2042496
2017-04-28,49.705,49.7537,48.6518,49.2467,2756340
2017-05-01,49.4709,49.6757,49.0224,49.0419,2130156
2017-05-02,49.0029,49.2077,48.6128,48.9346,2026509
2017-05-03,48.8761,49.1491,48.1154,48.4958,2323702
2017-05-04,48.5543,48.8761,48.447,48.5445,1282519
2017-05-05,48.7688,48.8566,48.4275,48.5543,1545322
2017-05-08,48.5445,48.7688,48.3397,48.6128,1109007
2017-05-09,48.5738,49.4807,48.5738,49.4027,2022243
2017-05-10,49.2759,49.3344,48.7786,49.3149,1512618
2017-05-11,49.2077,49.8025,48.9541,49.7245,1874241
2017-05-12,49.6855,49.6855,49.0419,49.1394,1029629
2017-05-15,49.3052,49.9683,49.2467,49.7635,1552584
2017-05-16,49.9683,50.1633,49.3539,50.1536,1290880
2017-05-17,49.744,50.0561,48.9053,49.0224,1827623
2017-05-18,49.0126,50.2218,48.6908,49.8318,1899148
2017-05-19,50.017,51.0215,49.8318,50.8557,2332064
2017-05-22,51.002,51.4116,50.8391,51.1483,1847962
2017-05-23,51.5188,51.9967,50.2316,50.3486,1743200
2017-05-24,50.2316,50.7533,49.744,50.6899,1359419
2017-05-25,50.9825,51.1044,50.1926,50.4461,1800382
2017-05-26,50.2413,50.4656,50.0853,50.2511,949851
2017-05-30,50.1633,50.3584,49.666,50.2121,1648115
2017-05-31,50.4266,50.4559,49.705,50.0366,1482005
2017-06-01,50.0853,50.7094,49.7342,50.6412,1578656
2017-06-02,50.6899,51.5773,50.6899,51.4213,1981622
