date,open,high,low,close,volume
2017-01-03,147.4294,148.5662,146.1482,146.7069,414695
2017-01-04,146.4276,147.7473,145.6665,146.6491,611374
2017-01-05,145.8881,148.0652,145.5798,146.7455,414805
2017-01-06,146.5721,148.7685,145.1367,148.4602,529266
2017-01-09,148.4987,148.4987,146.89,147.2657,363685
2017-01-10,147.256,147.4872,145.233,145.4257,511872
2017-01-11,145.4931,145.4931,141.4904,142.0925,883485
2017-01-12,140.9847,143.8843,138.2777,140.3682,624322
2017-01-13,140.5608,143.8554,140.2044,143.4316,646830
2017-01-17,142.2563,143.3834,141.7361,143.1522,530567
2017-01-18,142.7091,144.1926,141.4953,143.0462,566486
2017-01-19,143.5664,146.495,143.5664,146.3409,650528
2017-01-20,147.0152,147.0152,144.8284,145.8592,515588
2017-01-23,145.8592,145.8592,143.3063,144.2022,455398
2017-01-24,143.6146,144.8573,142.4008,144.1155,730024
2017-01-25,144.9922,145.5509,144.0674,145.3197,1084821
2017-01-26,148.3928,153.6719,147.5836,149.9437,1734251
2017-01-27,150.2713,153.8838,149.857,152.6026,875210
2017-01-30,152.487,152.487,150.3098,151.3695,543544
2017-01-31,151.2635,152.9205,148.8744,152.8723,870246
2017-02-01,153.0264,153.3732,151.3117,151.8319,684962
2017-02-02,151.7067,152.0535,150.5218,151.5333,510673
2017-02-03,152.5737,154.7412,151.3791,154.2499,700566
2017-02-06,153.7297,155.6564,153.2287,155.1072,733418
2017-02-07,155.666,155.954,154.254,154.8568,681524
2017-02-08,154.7604,155.5119,154.0861,154.3173,433503
2017-02-09,154.3751,155.7527,154.3751,155.5793,334185
2017-02-10,155.7142,157.4674,155.3384,157.1303,433656
2017-02-13,158.1803,159.7794,157.0339,159.4037,443753
2017-02-14,159.8469,160.7524,159.2592,159.6542,819689
2017-02-15,160.579,162.13,159.9047,161.9855,584244
2017-02-16,162.024,162.3419,160.0588,162.313,433096
2017-02-17,162.0529,162.5346,160.9258,162.0626,841312
2017-02-21,161.3497,163.1993,161.1281,162.6117,394953
2017-02-22,162.6598,162.997,161.4846,162.8332,437451
2017-02-23,162.9103,162.9103,160.0203,160.3478,480775
2017-02-24,159.7313,161.0125,158.9991,161.0125,404954
2017-02-27,161.535,163.8188,160.1029,163.4414,385448
2017-02-28,163.4414,163.6736,162.2801,162.8801,472840
2017-03-01,163.9542,165.609,163.6788,165.2896,507592
2017-03-02,165.7057,165.7057,162.1834,162.2027,505062
2017-03-03,162.164,163.2478,161.9028,162.135,333178
2017-03-06,161.6899,163.4026,161.4101,162.9091,529800
2017-03-07,162.6866,164.0994,162.6866,163.6059,535712
2017-03-08,163.8284,164.2252,161.806,162.135,486588
2017-03-09,162.3285,164.3994,162.3285,164.3219,582781
2017-03-10,164.9316,165.4154,164.0316,164.8155,545326
2017-03-13,164.8155,165.038,163.8768,164.7671,263013
2017-03-14,163.7994,164.9026,163.1123,164.8445,252155
2017-03-15,164.98,165.4928,164.4768,164.8638,391655
2017-03-16,164.98,165.3574,161.9898,162.4446,351905
2017-03-17,163.0156,164.9219,162.7253,163.9833,706435
2017-03-20,164.0994,164.5445,162.2511,162.5704,772460
2017-03-21,162.8995,162.8995,161.535,161.8447,775142
2017-03-22,161.835,164.2349,161.3899,163.6542,618253
2017-03-23,163.393,164.351,162.5027,162.822,663724
2017-03-24,162.6575,164.08,161.0028,161.5253,498371
2017-03-27,159.6384,160.2577,157.9256,159.9287,414622
2017-03-28,159.5222,161.8833,159.0868,161.3125,326894
2017-03-29,161.0415,161.6608,160.3545,161.4189,397136
2017-03-30,161.3802,161.8195,160.7028,161.2738,416836
2017-03-31,160.6544,161.177,159.2513,159.948,570946
2017-04-03,159.4835,160.4706,158.9126,159.5513,476647
2017-04-04,159.6577,160.4319,158.6997,159.4158,323731
2017-04-05,159.619,160.2093,156.9966,157.1611,436646
2017-04-06,157.1998,157.8627,156.8031,157.6353,626341
2017-04-07,159.5126,160.7802,158.1385,160.4415,872862
2017-04-10,160.4125,161.6511,160.127,160.7415,847151
2017-04-11,160.6448,161.864,160.2287,161.8544,381623
2017-04-12,161.7189,161.7963,160.4803,161.0705,326813
2017-04-13,160.4125,161.6028,160.4125,160.9157,350148
2017-04-17,161.1576,161.6318,160.4028,161.1576,591540
2017-04-18,159.9287,161.3947,159.9287,160.7415,447318
2017-04-19,161.4092,161.7382,160.5964,161.206,541067
2017-04-20,161.5447,163.1123,161.0222,162.7059,254943
2017-04-21,163.1511,163.8381,161.9414,162.464,677852
2017-04-24,164.38,164.9122,163.4123,164.651,652689
2017-04-25,164.4865,165.5606,163.7994,164.9509,457299
2017-04-26,164.9026,167.3121,164.1478,166.2089,643843
2017-04-27,167.9508,174.1341,163.8865,168.3185,674147
2017-04-28,169.0055,169.3249,165.5025,166.2186,568858
2017-05-01,164.4768,165.7928,163.5478,164.2832,463809
2017-05-02,164.5832,164.7671,163.1898,163.7413,460314
2017-05-03,163.6252,163.6252,162.4834,162.9478,418690
2017-05-04,163.3639,164.7187,162.3769,162.5608,652632
2017-05-05,162.6575,163.751,162.0866,163.5381,458277
2017-05-08,163.1317,163.1511,160.5577,160.6351,557484
2017-05-09,160.4319,162.3479,160.3545,162.3479,749144
2017-05-10,162.4059,163.1607,161.7092,163.0833,452228
2017-05-11,162.7253,163.0736,161.7286,162.5124,289745
2017-05-12,161.9802,162.2221,159.9384,159.9771,309960
2017-05-15,160.0448,160.6351,159.5391,159.9384,531198
2017-05-16,159.6287,159.9852,158.3707,158.3997,554870
2017-05-17,157.4179,158.1762,156.4749,156.8249,622055
2017-05-18,156.5333,156.6985,154.9876,156.2125,837411
2017-05-19,156.5916,159.0705,156.3486,158.1665,752309
2017-05-22,160.2857,162.2251,159.1337,160.8593,861876
2017-05-23,161.2092,161.6078,159.2552,159.6052,580189
2017-05-24,159.7996,160.5968,159.5177,160.2371,439961
2017-05-25,160.9079,163.9604,160.7912,163.309,553678
2017-05-26,163.2118,163.4889,161.4037,162.4827,640368
2017-05-30,162.4438,162.6772,160.4412,161.5106,802050
2017-05-31,162.2494,164.1354,160.4996,163.8923,640389
