date,open,high,low,close,volume
2017-01-03,63.7356,64.7738,62.7449,63.7356,1578206
2017-01-04,64.1833,64.8691,63.8213,64.5452,1394586
2017-01-05,64.2118,64.6004,62.6878,63.6498,1462777
2017-01-06,63.9368,64.6257,63.5924,64.4343,1096738
2017-01-09,63.2097,64.2717,63.2097,63.6403,1116773
2017-01-10,63.9081,64.9701,63.2863,64.2526,968217
2017-01-11,64.3004,64.7596,63.8029,64.7022,1327797
2017-01-12,63.8029,64.4152,62.3583,63.6594,948089
2017-01-13,64.3769,65.3336,64.0612,64.3004,1133903
2017-01-17,63.5255,63.8125,62.4635,62.6644,1454999
2017-01-18,63.0567,64.1952,62.4539,64.1569,1708324
2017-01-19,64.3865,64.9318,63.2193,63.8029,1704092
2017-01-20,64.2239,65.0562,63.4107,64.0325,1248857
2017-01-23,63.7838,64.5204,63.1715,63.8125,824903
2017-01-24,64.176,65.5537,63.956,64.8649,1190119
2017-01-25,65.5345,66.2425,65.4006,66.0225,1368308
2017-01-26,66.2999,67.3236,65.9555,66.6348,1274043
2017-01-27,66.7591,66.8261,66.1086,66.2999,1307361
2017-01-30,65.6685,65.812,64.3865,65.525,1424149
2017-01-31,65.1136,65.9938,63.9368,64.5874,1898362
2017-02-01,65.5345,66.3286,65.0658,65.9364,2362237
2017-02-02,65.8981,66.5487,63.7359,65.5632,2040136
2017-02-03,66.8931,67.3045,66.166,66.4913,2396025
2017-02-06,65.8503,66.9696,65.7163,66.099,1549320
2017-02-07,66.4339,66.96,65.8216,66.3382,1409404
2017-02-08,65.7737,65.812,65.0371,65.4006,1789844
2017-02-09,65.879,67.161,65.7355,67.0174,1307800
2017-02-10,67.4193,67.8019,67.0748,67.3236,1588433
2017-02-13,67.7828,68.5099,67.5637,68.0029,1746172
2017-02-14,67.8498,69.3805,67.8019,69.0074,2236610
2017-02-15,69.4092,69.9737,68.7682,69.9163,1499997
2017-02-16,69.5623,70.1363,68.8926,69.5145,2158210
2017-02-17,68.7682,69.1509,68.1081,68.5864,1829664
2017-02-21,68.9309,69.5432,68.7969,69.1413,1452981
2017-02-22,68.5673,68.993,68.022,68.596,1825340
2017-02-23,68.6439,68.9213,67.955,68.5864,1534096
2017-02-24,67.6202,67.8498,67.094,67.7541,1786996
2017-02-27,67.9359,67.9455,67.3523,67.7732,2007308
2017-02-28,67.5149,67.735,66.8452,67.1227,2362062
2017-03-01,69.1222,69.7728,68.6821,69.1987,2891145
2017-03-02,69.5527,69.5719,67.4575,67.5628,2315592
2017-03-03,67.5628,68.4047,67.448,68.0698,1438381
2017-03-06,67.314,67.6106,66.5487,66.7304,2300328
2017-03-07,66.6252,66.8452,65.9651,66.2521,2587620
2017-03-08,67.1897,67.6489,66.1947,66.2521,1329013
2017-03-09,66.4434,66.7209,65.7642,66.0799,1441272
2017-03-10,66.2329,66.6635,65.2762,66.0225,1546526
2017-03-13,66.1181,66.5391,65.7355,66.099,1434799
2017-03-14,65.7068,65.9842,64.9127,65.9651,1330360
2017-03-15,66.2329,66.52,65.4771,65.9842,2281204
2017-03-16,66.3956,66.9505,66.1373,66.3286,1320155
2017-03-17,66.4434,66.4626,64.9031,65.0179,2666919
2017-03-20,64.7787,64.9797,64.0804,64.1378,1586119
2017-03-21,64.6639,64.7979,60.531,60.751,3527134
2017-03-22,60.1865,61.392,59.1246,60.5979,2929025
2017-03-23,60.2535,61.8512,60.1291,61.0572,2389100
2017-03-24,61.4303,61.9278,60.5405,61.0476,2201590
2017-03-27,59.3351,60.9136,58.7898,60.7223,2451520
2017-03-28,60.3014,61.8799,59.3159,61.4016,2498452
2017-03-29,61.0667,61.4781,60.5214,61.172,2243372
2017-03-30,61.2007,62.8318,61.1337,62.5975,2164412
2017-03-31,62.1478,63.0088,61.9278,62.6166,2912439
2017-04-03,62.5783,62.7984,61.1911,62.4061,2032480
2017-04-04,62.1382,62.6453,61.8799,62.3487,1280615
2017-04-05,63.1045,63.5063,61.6599,61.746,2364371
2017-04-06,62.2745,63.447,61.6499,63.1394,2143368
2017-04-07,62.4571,63.4085,62.0919,63.053,1621275
2017-04-10,63.0145,63.5239,62.4187,62.7646,1671132
2017-04-11,62.3322,62.9376,61.967,62.8031,1690239
2017-04-12,62.755,62.9184,61.1213,61.4769,1747620
2017-04-13,61.006,61.8132,60.5927,60.7657,1527141
2017-04-17,61.1886,61.7315,60.5639,61.5922,1348011
2017-04-18,60.7465,61.4096,60.2275,60.8426,1601244
2017-04-19,61.5634,62.2553,61.0636,61.3423,1836043
2017-04-20,61.9574,62.8127,61.4577,62.5244,1811827
2017-04-21,62.2457,62.7743,61.9189,62.1976,1633308
