date,open,high,low,close,volume
2017-01-03,35.3188,35.4491,35.017,35.3095,866626
2017-01-04,35.384,35.6167,35.3514,35.5236,1032771
2017-01-05,35.5795,35.6446,35.0954,35.4771,1334735
2017-01-06,35.3374,35.4445,35.1605,35.1885,1331626
2017-01-09,35.2443,35.4305,34.6672,34.7044,807711
2017-01-10,34.6951,34.8068,34.4437,34.6672,572788
2017-01-11,34.7509,35.2071,34.602,35.1419,706912
2017-01-12,35.1419,35.1978,34.8068,35.0488,812395
2017-01-13,34.9837,35.0907,34.7416,34.8999,949624
2017-01-17,35.0209,35.3653,34.939,35.1419,1111619
2017-01-18,35.0954,35.2071,34.993,35.0954,937706
2017-01-19,34.8999,35.114,34.6485,34.7044,723689
2017-01-20,34.844,34.8906,34.5927,34.7789,718901
2017-01-23,34.7882,34.9557,34.453,34.4717,1096091
2017-01-24,34.2762,34.5275,34.1747,34.3972,1370726
2017-01-25,34.3227,34.453,34.09,34.3413,1015704
2017-01-26,34.332,34.6299,34.2296,34.3972,750516
2017-01-27,34.5897,34.646,34.3268,34.6366,1124044
2017-01-30,34.8056,34.815,34.4019,34.6084,911611
2017-01-31,34.6272,35.4064,34.5615,35.3502,1666782
2017-02-01,35.0873,35.2281,34.5521,34.7211,1191065
2017-02-02,34.7305,35.2281,34.6554,35.2187,748549
2017-02-03,35.2375,35.5896,35.2281,35.5098,1520614
2017-02-06,35.6694,35.6694,35.2751,35.3596,852561
2017-02-07,35.4159,35.491,35.2281,35.491,758533
2017-02-08,35.5755,35.8196,35.4535,35.8196,1542862
2017-02-09,35.7351,35.8666,35.3314,35.3502,1060808
2017-02-10,35.3502,35.5755,35.2845,35.5474,904021
2017-02-13,35.5755,35.6694,35.3408,35.6694,979097
2017-02-14,35.5755,35.6506,35.1342,35.369,887494
2017-02-15,34.9558,35.2845,34.7868,35.2469,1144488
2017-02-16,35.2563,35.6319,35.2563,35.6131,1478744
2017-02-17,35.6506,35.829,35.4347,35.7539,1254972
2017-02-21,35.5849,36.1295,35.491,36.0825,1184277
2017-02-22,36.0544,36.3548,35.9135,36.2891,1323811
2017-02-23,36.4675,36.7586,36.2891,36.721,1103622
2017-02-24,37.1717,37.2186,36.5896,37.106,1538820
2017-02-27,37.0496,37.1435,36.6083,36.6647,1746125
2017-02-28,36.6741,37.1717,36.6083,37.0684,1927283
2017-03-01,36.5708,37.0027,36.1858,36.6928,1454760
2017-03-02,36.5238,37.0966,36.4957,36.8525,1183871
2017-03-03,36.8618,36.8618,36.4957,36.7961,1175505
2017-03-06,36.7304,36.9651,36.7116,36.7867,1039086
2017-03-07,36.8055,37.106,36.6177,36.8806,1147039
2017-03-08,36.5989,36.6177,36.045,36.045,1019296
2017-03-09,36.0168,36.3079,35.9042,35.9605,1121875
2017-03-10,36.1389,36.3173,36.0074,36.2516,1102479
2017-03-13,36.2516,36.4675,36.0638,36.383,1656580
2017-03-14,36.4393,36.5614,36.2609,36.4957,1061896
2017-03-15,36.6459,37.3782,36.552,37.1623,1537103
2017-03-16,36.9276,37.1999,36.6365,36.7398,1612398
2017-03-17,36.9557,37.3501,36.89,37.1435,5360207
2017-03-20,37.1999,37.2562,36.6881,36.7116,917687
2017-03-21,36.6459,37.3407,36.6412,37.275,1250541
2017-03-22,37.5003,37.7444,37.2937,37.3501,1151104
2017-03-23,37.2844,37.7914,37.275,37.4064,877154
2017-03-24,37.4252,37.7632,37.3031,37.6505,777914
2017-03-27,37.782,37.8571,37.3876,37.613,1156604
2017-03-28,37.566,37.7022,37.4346,37.6693,915397
2017-03-29,37.5942,37.6505,37.3501,37.5379,988989
2017-03-30,37.4534,37.4534,37.0778,37.1529,847383
2017-03-31,37.1341,37.4064,37.1247,37.1905,1026697
2017-04-03,37.2092,37.2092,36.8712,37.1717,1045807
2017-04-04,37.1247,37.5473,37.1247,37.4346,1020528
2017-04-05,37.3031,37.566,37.1341,37.5379,1186147
2017-04-06,37.4158,37.5473,37.275,37.4346,657104
2017-04-07,37.566,37.6224,37.228,37.275,1063385
2017-04-10,37.2844,37.5285,37.0309,37.2844,739027
2017-04-11,37.2656,37.3595,36.9557,37.275,850879
2017-04-12,37.1717,37.4909,37.1154,37.4534,1445073
2017-04-13,37.4346,37.4628,37.0309,37.1999,1173269
2017-04-17,37.2937,37.4721,37.2562,37.444,912016
2017-04-18,37.4158,37.7632,37.4064,37.6975,1276850
2017-04-19,37.6787,37.7632,37.2562,37.3782,970954
2017-04-20,37.3313,37.3548,36.937,37.2937,1248526
2017-04-21,37.275,37.6881,37.2656,37.5191,1219772
2017-04-24,37.5848,37.6693,37.1341,37.6224,1351631
