date,open,high,low,close,volume
2017-01-03,83.3431,84.0902,82.2417,83.2091,2560315
2017-01-04,83.5634,85.5077,83.5443,85.0384,3022886
2017-01-05,84.6648,85.8046,84.1955,84.933,2330788
2017-01-06,85.0671,85.1246,83.688,84.4446,1937586
2017-01-09,84.0998,84.7606,83.1229,83.2186,3227377
2017-01-10,83.3431,83.8412,82.6536,83.2091,2708550
2017-01-11,83.4964,84.7223,82.9026,84.7031,2841033
2017-01-12,84.7127,86.1972,84.4733,85.8333,3429448
2017-01-13,85.9386,86.8677,85.4789,85.9386,1919963
2017-01-17,85.8524,86.4031,85.5938,86.1685,2778148
2017-01-18,86.1877,86.8772,85.8237,86.2451,2030502
2017-01-19,86.4271,86.6474,85.2969,85.9674,2095154
2017-01-20,87.0784,88.0648,86.3505,87.0496,3372712
2017-01-23,86.7623,87.3465,86.4175,87.3082,2396656
2017-01-24,87.9978,91.8384,87.8733,91.1105,4948449
2017-01-25,91.0817,92.7386,90.2102,92.3077,4606468
2017-01-26,91.7713,93.5144,90.871,91.3595,4841358
2017-01-27,91.2924,91.6372,90.4879,91.2733,2579307
2017-01-30,90.9572,90.9572,89.6834,90.3155,2846636
2017-01-31,89.8079,89.9085,88.8885,89.3291,3850142
2017-02-01,89.7888,91.3499,89.7169,91.053,2506287
2017-02-02,90.8519,91.1679,89.4536,89.7888,4174766
2017-02-03,89.7888,91.8671,89.0705,90.6891,5093829
2017-02-06,90.2293,91.3882,90.1431,90.9285,2788422
2017-02-07,89.2333,90.2293,87.5381,88.4479,4434997
2017-02-08,88.4958,88.5916,87.471,87.7871,4523051
2017-02-09,88.1127,88.8885,88.0744,88.3426,3110458
2017-02-10,88.1127,88.8693,87.5093,87.9786,3765237
2017-02-13,88.7544,88.8598,87.8829,88.3234,2646709
2017-02-14,88.4,89.3099,88.1702,89.2141,1990962
2017-02-15,89.0896,89.3386,88.4479,89.1567,1764970
2017-02-16,89.0705,89.5877,88.515,88.7736,1698637
2017-02-17,88.5629,89.5493,88.3522,88.9843,2401810
2017-02-21,89.3003,90.7082,88.9364,90.5262,2704489
2017-02-22,90.0474,90.7848,89.7122,90.0378,2244402
2017-02-23,90.2389,90.6508,88.6874,89.195,2015375
2017-02-24,88.333,88.5879,87.4998,88.5246,2639153
2017-02-27,87.4615,88.7257,86.7527,87.471,2683922
