date,open,high,low,close,volume
2017-01-03,30.9688,31.3571,30.7842,31.2989,2660933
2017-01-04,31.4155,32.1535,31.3407,31.9884,3589850
2017-01-05,31.8913,32.2312,31.5806,31.7165,2513259
2017-01-06,31.9302,32.105,31.5611,31.5903,3157648
2017-01-09,31.5223,31.6582,31.231,31.2504,2573842
2017-01-10,31.231,31.5126,31.129,31.2795,2705707
2017-01-11,31.3769,31.6594,31.2698,31.6205,2602213
2017-01-12,31.4841,31.4841,30.773,31.2211,3490544
2017-01-13,31.2698,31.5036,31.1626,31.2211,2417008
2017-01-17,31.1042,31.3769,30.8801,31.2016,1614011
2017-01-18,31.338,31.4743,31.0262,31.2698,2248583
2017-01-19,31.2795,31.6302,31.0652,31.1042,2160488
2017-01-20,31.2113,31.3477,30.8801,31.1529,3139724
2017-01-23,31.1626,31.3769,30.8655,31.2016,2648617
2017-01-24,31.4451,32.1855,31.4256,32.0686,2648446
2017-01-25,32.3218,32.8479,32.3218,32.7505,4217380
2017-01-26,32.9648,33.1693,32.6336,32.7699,3732564
2017-01-27,32.8479,32.8479,32.3218,32.4582,2228107
2017-01-30,32.3706,32.4485,31.864,32.4485,2157186
2017-01-31,32.3316,32.4582,31.864,32.0978,3024252
2017-02-01,32.0783,32.6482,32.0004,32.3998,3089017
2017-02-02,32.3413,32.4095,32.0442,32.1465,3447120
2017-02-03,32.3024,32.6725,32.2926,32.3706,3837302
2017-02-06,32.2829,32.6043,32.1368,32.3218,5896090
2017-02-07,32.4095,32.7602,32.3024,32.7407,2989978
2017-02-08,32.7018,32.9356,32.4777,32.9161,4793484
2017-02-09,30.7048,32.6774,30.4807,32.2049,10892620
2017-02-10,32.2926,33.1109,32.2147,32.8771,4714585
2017-02-13,33.1012,33.2375,32.5946,32.6336,3789285
2017-02-14,32.5362,32.5946,32.0296,32.2537,3425448
2017-02-15,32.2049,32.6482,32.1855,32.5751,2477684
2017-02-16,32.6043,32.8771,32.4486,32.7992,3012393
2017-02-17,32.731,32.731,32.3511,32.6531,2072921
2017-02-21,32.7602,33.2765,32.7115,33.1499,2559909
2017-02-22,33.1499,33.3252,32.9063,32.9745,2805153
2017-02-23,33.1206,33.4129,32.8138,33.2278,4360016
2017-02-24,33.0037,33.1401,32.7407,33.1401,3782271
2017-02-27,33.1206,33.5687,33.0622,33.5395,2018914
2017-02-28,33.4518,33.52,32.8868,32.9063,3244152
2017-03-01,33.4421,34.0168,33.4324,33.6662,3527383
2017-03-02,33.6467,33.6467,33.1596,33.4421,3231069
2017-03-03,33.5006,33.5882,33.1401,33.1791,3360979
2017-03-06,32.994,33.0817,32.2342,32.5946,8926943
2017-03-07,32.6043,32.7602,32.2147,32.39,3391507
2017-03-08,32.429,33.0524,32.3803,32.9453,3222919
2017-03-09,32.9063,33.3057,32.7602,32.8381,2560903
2017-03-10,32.7797,33.2473,32.7407,33.0524,1870871
2017-03-13,32.994,33.1742,32.6482,32.8089,2928867
2017-03-14,32.6433,32.9745,32.5362,32.8089,2372046
2017-03-15,33.033,33.6272,32.9063,33.4908,3735125
2017-03-16,33.5687,33.861,33.4811,33.7538,3186435
2017-03-17,33.7538,33.8707,33.4908,33.7636,4146420
2017-03-20,33.8025,33.8025,33.4616,33.598,1715431
2017-03-21,33.7051,33.7149,32.8893,32.955,2800952
2017-03-22,33.0037,33.1401,32.7505,33.0427,1973609
2017-03-23,33.0037,33.4324,32.9258,33.3252,2064663
2017-03-24,33.3155,33.5298,32.9745,33.1109,1653638
2017-03-27,32.692,32.9843,32.4241,32.8674,2381279
2017-03-28,32.731,33.296,32.7066,33.0914,2226900
2017-03-29,32.955,33.3203,32.9161,33.0914,2616255
2017-03-30,33.0817,33.2375,32.8284,32.9453,1916691
2017-03-31,32.9258,33.2375,32.7699,33.1109,3437123
2017-04-03,33.1499,33.3057,32.2001,32.5459,3193849
2017-04-04,32.5167,32.6433,32.3511,32.4095,3122046
2017-04-05,32.6141,32.9648,32.1124,32.2244,5413742
2017-04-06,32.7212,33.2765,32.5946,32.955,3773931
2017-04-07,32.8479,32.994,32.6238,32.6336,3972746
2017-04-10,32.6238,33.0622,32.6238,32.7018,2415931
2017-04-11,32.6531,33.0914,32.6044,33.0817,2494655
2017-04-12,33.0621,33.1403,32.5346,32.5443,3083802
2017-04-13,32.4759,32.73,32.2903,32.3294,2467614
2017-04-17,32.4369,32.7593,32.3978,32.7202,1886408
2017-04-18,32.4955,32.7104,32.3098,32.6127,3024918
2017-04-19,32.7397,33.2478,32.7397,32.9449,3703681
2017-04-20,33.1794,33.4627,33.0426,33.1501,4588213
2017-04-21,33.1501,33.7851,33.0817,33.5507,4432322
2017-04-24,33.9805,34.2834,33.8633,34.2248,4320489
2017-04-25,35.6708,36.1593,35.2995,36.0518,8220052
2017-04-26,36.1984,36.7162,36.0518,36.5892,6001602
2017-04-27,36.5892,36.5892,36.2277,36.3938,3459831
2017-04-28,36.3449,36.4622,36.1007,36.169,4057008
2017-05-01,36.2863,36.2863,35.8759,35.8759,3053238
2017-05-02,35.8271,35.9834,35.5926,35.8955,3242104
2017-05-03,35.7001,35.8662,35.6317,35.7978,2011879
2017-05-04,35.8466,36.0518,35.705,35.9443,1428453
2017-05-05,36.0225,36.1446,35.8369,36.0713,1480437
2017-05-08,35.9736,36.2961,35.8955,36.0811,4022449
2017-05-09,36.1104,36.2619,35.9932,36.1007,2255753
2017-05-10,35.9443,36.1593,35.8076,35.915,2185529
2017-05-11,35.6805,35.8564,35.407,35.8076,1828436
2017-05-12,35.7196,35.8564,35.4558,35.6219,1696161
2017-05-15,35.7782,36.1788,35.7587,36.1593,3189210
2017-05-16,36.2472,36.5501,35.9932,36.4035,3868709
2017-05-17,36.0811,36.3645,35.9736,36.003,4327974
2017-05-18,35.9541,36.5354,35.915,36.169,5160118
2017-05-19,36.3058,36.3058,36.042,36.1495,2313118
2017-05-22,36.2277,36.4133,36.1495,36.3351,1561534
2017-05-23,36.4915,36.6087,35.9346,35.9834,1427363
2017-05-24,35.9834,36.2912,35.8466,36.2374,1963055
2017-05-25,36.4426,36.6282,36.257,36.2765,2320436
2017-05-26,36.2667,36.34,36.0469,36.1495,2765795
2017-05-30,36.0616,36.2277,35.8857,36.1397,1631613
2017-05-31,36.003,36.4524,36.003,36.3938,2943680
2017-06-01,36.511,36.6331,36.257,36.5599,1909229
2017-06-02,36.5892,37.0386,36.5892,36.7748,2277559
2017-06-05,36.7748,36.8627,36.4035,36.4133,1609470
2017-06-06,36.1788,36.4622,36.0616,36.2961,2013297
2017-06-07,36.2667,36.4573,36.1007,36.1495,2342552
2017-06-08,36.1495,36.3254,35.9736,36.1886,2238000
2017-06-09,36.2472,36.5012,36.1397,36.3645,1730732
2017-06-12,36.2374,36.5892,35.9053,36.5599,2069654
2017-06-13,36.6282,37.4489,36.511,37.2633,3282698
2017-06-14,37.4294,37.6443,37.2828,37.5369,2264062
2017-06-15,37.2145,37.7909,36.9995,37.703,3272172
2017-06-16,37.5955,37.9765,37.5173,37.6932,3651933
2017-06-19,37.8788,38.2989,37.7811,38.2403,2026187
2017-06-20,38.2208,38.465,38.0742,38.0742,2644482
2017-06-21,38.0645,38.2061,37.7713,37.8691,1991826
2017-06-22,37.8691,38.1328,37.6639,37.9277,2349315
2017-06-23,37.9472,38.0938,37.6346,38.0156,4187860
2017-06-26,38.0645,38.2403,37.9863,38.0156,1492003
2017-06-27,37.9668,38.0058,37.3268,37.3708,2314506
2017-06-28,37.6248,37.9277,37.3415,37.8691,2288884
2017-06-29,37.7909,37.8593,36.8236,37.1265,1906745
2017-06-30,37.1265,37.6492,37.1265,37.3317,1972339
2017-07-03,37.5369,37.615,37.0777,37.0874,1268644
2017-07-05,37.0777,37.3512,36.7846,37.2731,2750420
2017-07-06,37.0288,37.1754,36.7455,36.8139,1979881
2017-07-07,36.9507,37.7762,36.9507,37.5466,2496600
2017-07-10,37.5466,37.9472,37.3024,37.8495,2051509
2017-07-11,37.8007,38.0156,37.6443,37.9081,1926291
2017-07-12,38.2216,38.3489,37.7514,37.8689,1331596
2017-07-13,37.8004,38.0942,37.7514,38.0453,1388428
2017-07-14,38.0942,38.2803,38.0453,38.1236,1303547
2017-07-17,38.1236,38.1972,37.9326,37.9473,1435874
2017-07-18,37.8885,38.0257,37.5653,37.7808,1229359
2017-07-19,37.9669,38.251,37.9179,38.2216,1223835
2017-07-20,38.0551,38.1628,37.2616,37.5163,3631935
2017-07-21,37.3694,37.7808,37.3302,37.5163,1516337
2017-07-24,37.5457,37.5604,36.9286,36.9482,2353102
2017-07-25,37.1833,37.3008,36.8796,36.9678,1981264
2017-07-26,36.9874,37.1539,36.7327,36.8698,2976373
2017-07-27,37.2224,38.0453,36.9384,37.5065,4423774
2017-07-28,37.5555,38.2999,37.5261,37.7808,3477025
2017-07-31,37.9277,37.9865,37.3498,37.3498,1714371
2017-08-01,37.3204,37.5947,37.2322,37.5457,1115687
2017-08-02,37.4967,37.8004,37.3694,37.4967,1735286
2017-08-03,37.5065,37.6485,37.0559,37.2126,3530010
2017-08-04,37.3204,37.5947,37.2322,37.5457,1115687
2017-08-07,37.4673,37.58,37.2812,37.4281,1042832
2017-08-08,37.3596,37.3792,36.811,36.86,2074787
2017-08-09,36.8404,36.909,36.3898,36.4388,1868496
2017-08-10,36.1841,36.2331,35.6895,35.7042,1827304
2017-08-11,35.5964,36.1058,35.567,35.9392,1241341
2017-08-14,36.3409,36.6935,36.1547,36.5368,1283312
2017-08-15,36.5857,36.811,36.4486,36.6543,1963156
2017-08-16,36.6935,36.9286,36.6739,36.7131,2232076
2017-08-17,36.5662,36.7327,35.7091,35.7237,2609410
2017-08-18,35.6062,35.7923,35.4005,35.6552,2001486
2017-08-21,35.6062,35.8413,35.5229,35.7825,1213362
2017-08-22,35.8315,36.2429,35.6846,36.2331,2871843
2017-08-23,36.047,36.2331,35.8805,35.9686,1743371
2017-08-24,36.1058,36.2037,35.7042,35.7335,2227154
2017-08-25,35.8805,35.9197,35.3809,35.567,2201369
2017-08-28,35.7923,35.8707,35.3907,35.5572,2283837
2017-08-29,35.4201,35.6807,35.3417,35.567,1797222
2017-08-30,35.6258,35.8119,35.5278,35.6258,2264839
2017-08-31,35.8511,36.1156,35.7335,36.0176,2970483
2017-09-01,36.1058,36.3898,36.0274,36.3017,1644718
2017-09-05,36.2723,36.3105,35.6748,35.9001,1665805
2017-09-06,36.1645,36.3017,35.9295,36.047,1807769
2017-09-07,36.1939,36.2919,35.8707,36.2429,1785805
2017-09-08,36.2723,36.8502,36.1742,36.8012,2322349
2017-09-11,36.8698,36.9776,36.2919,36.8698,2501541
2017-09-12,36.9678,37.3988,36.86,37.3302,1580633
2017-09-13,37.3302,37.3337,36.7033,36.7425,2089307
2017-09-14,36.6053,36.6837,36.2233,36.6151,1704590
2017-09-15,36.5074,36.7327,36.3702,36.5466,2178802
