date,open,high,low,close,volume
2017-01-03,26.5677,27.3743,26.5005,27.3454,5158504
2017-01-04,27.4415,28.2288,27.3743,28.0944,4972658
2017-01-05,27.9023,29.7651,27.7871,29.7075,9672413
2017-01-06,29.7555,29.8611,29.1986,29.2562,5796369
2017-01-09,29.1698,29.573,29.0354,29.3042,5243085
2017-01-10,29.285,29.285,28.6993,28.7185,4978440
2017-01-11,28.7473,28.8625,28.1088,28.3344,3658674
2017-01-12,28.1808,28.5649,27.8207,28.4112,3172398
2017-01-13,28.44,28.5891,28.2384,28.344,2322764
2017-01-17,28.6129,29.9763,28.4304,29.6786,5222422
2017-01-18,29.7651,29.9571,29.0977,29.2562,4145060
2017-01-19,29.333,29.5202,28.8529,28.8721,2654683
2017-01-20,28.9969,29.2466,28.6945,28.8241,3325533
2017-01-23,28.8913,29.2946,28.5072,29.0353,2647611
2017-01-24,29.0545,29.9859,29.0449,29.9475,3839242
2017-01-25,29.9859,30.3412,29.9763,30.3028,4480553
2017-01-26,26.1837,26.7309,24.7626,24.9546,36063554
2017-01-27,25.0123,25.8188,24.9162,25.4347,11030734
2017-01-30,25.646,25.646,24.801,25.2715,7435932
2017-01-31,25.2427,25.2811,24.9354,25.1659,10503199
2017-02-01,25.2331,25.2331,24.3401,24.4938,7508840
2017-02-02,24.5706,24.8394,24.1707,24.7434,5950186
2017-02-03,24.8202,24.9066,24.5226,24.7914,5456849
2017-02-06,25.1371,25.2427,24.8778,24.8874,5387707
2017-02-07,24.9834,25.7324,24.801,24.849,8394798
2017-02-08,24.9066,25.1083,24.7088,24.9162,5728838
2017-02-09,24.9642,25.1851,24.753,24.801,8169451
2017-02-10,24.9258,24.9546,24.5418,24.705,6232135
2017-02-13,24.8682,25.0123,24.5322,24.8778,5785490
2017-02-14,25.6087,25.6282,24.8876,25.0337,6512154
2017-02-15,24.9753,25.4235,24.9558,25.3358,5486838
2017-02-16,25.3358,25.4625,24.9265,25.0143,5088342
2017-02-17,25.0143,25.482,24.9168,25.4333,7937211
2017-02-21,25.4333,25.6282,24.9948,25.1312,4651977
2017-02-22,25.2189,25.2189,24.7609,25.1117,5720309
2017-02-23,25.1897,25.1994,24.8194,24.8778,6572881
2017-02-24,24.8194,25.1555,24.6537,25.1019,3837186
2017-02-27,25.0045,25.4528,24.8291,25.3358,5490723
2017-02-28,25.3358,25.3748,25.0143,25.0727,5800261
2017-03-01,25.2676,25.3553,24.7999,24.8973,5345042
2017-03-02,24.8876,25.024,24.6927,24.7122,4137124
2017-03-03,24.7219,24.8388,24.5465,24.7999,3426525
2017-03-06,24.7609,24.8876,24.6342,24.8194,2825100
2017-03-07,24.7511,24.8388,24.3565,24.3809,3856052
2017-03-08,24.4101,24.6245,24.3516,24.488,2107992
2017-03-09,24.5173,24.5952,24.2834,24.5563,3182619
2017-03-10,24.7609,24.9168,24.5855,24.8876,4226809
2017-03-13,24.9558,24.9753,24.6634,24.8096,4049188
2017-03-14,24.6829,24.7999,24.4686,24.5368,2901959
2017-03-15,24.6245,24.9948,24.3614,24.9363,3127493
2017-03-16,24.9363,25.024,24.4393,24.7219,4015372
2017-03-17,24.9071,25.1214,24.7901,25.0045,7630849
2017-03-20,24.9948,25.0094,24.5465,24.6634,4001467
2017-03-21,24.8291,24.8876,24.2347,24.3224,8784755
2017-03-22,24.3224,24.4491,23.9716,24.4198,6100622
2017-03-23,24.4003,24.5465,24.3126,24.4393,3240821
2017-03-24,24.4686,24.6196,24.3224,24.5173,2947288
2017-03-27,24.3906,24.566,24.0885,24.5173,3839065
2017-03-28,24.4101,24.946,24.4101,24.7901,5066750
2017-03-29,24.7317,24.7999,24.4247,24.7122,4252632
2017-03-30,24.7024,24.8486,24.5757,24.7511,3662519
2017-03-31,24.7804,25.1117,24.7609,24.9558,3357150
2017-04-03,24.9948,25.175,24.795,24.8876,4213037
2017-04-04,24.8194,24.946,24.2347,24.3321,3940206
2017-04-05,24.3614,24.8973,24.3224,24.4978,3687940
2017-04-06,24.5173,24.8681,24.4588,24.6829,3071869
2017-04-07,24.7024,24.7414,24.2396,24.2834,3906430
2017-04-10,24.2834,24.7609,24.2834,24.7414,3063256
2017-04-11,24.7414,25.0825,24.5563,25.0727,2671672
2017-04-12,25.024,25.3066,24.9655,25.0727,4888728
2017-04-13,25.0825,25.1214,24.3711,24.3711,4047281
2017-04-17,24.4491,24.6196,24.3126,24.5952,3135276
2017-04-18,24.488,24.7024,24.4296,24.5952,2574588
2017-04-19,24.7219,24.9168,24.3906,24.4686,3873650
2017-04-20,24.5855,24.7706,24.4003,24.566,5697284
2017-04-21,23.1433,23.4649,21.2236,21.2334,36906553
2017-04-24,21.4672,21.4867,20.9995,21.0482,13033284
2017-04-25,21.058,21.6426,21.0482,21.5647,11136627
2017-04-26,21.5354,22.0519,21.5111,21.818,7424686
2017-04-27,21.8668,22.0227,21.7011,21.9934,5534777
2017-04-28,21.8765,22.0324,21.6329,21.8473,5191792
2017-05-01,21.935,21.935,21.4185,21.4283,6162342
2017-05-02,21.438,21.5744,21.3406,21.4965,5732073
2017-05-03,21.5257,21.5549,21.019,21.1846,5745742
2017-05-04,21.2139,21.399,21.058,21.2236,4867726
2017-05-05,21.3016,21.5939,21.2334,21.5549,3195011
2017-05-08,21.5647,21.7108,21.4477,21.6524,3566110
