date,open,high,low,close,volume
2017-01-03,92.5667,94.1451,92.3134,93.0149,1181283
2017-01-04,93.0929,94.7394,92.8883,94.5933,859865
2017-01-05,94.3107,95.4409,94.2133,95.3435,1274502
2017-01-06,95.4993,96.2202,95.4409,95.7721,1065246
2017-01-09,95.4506,95.8014,94.3302,94.3692,682216
2017-01-10,92.0845,93.0441,91.1053,92.2355,1423022
2017-01-11,92.0017,92.9272,91.875,92.5765,1122197
2017-01-12,92.0893,94.6907,91.4561,94.0184,1472598
2017-01-13,94.3789,95.4993,94.2112,94.4666,847464
2017-01-17,94.603,98.159,94.4861,96.6003,1928906
2017-01-18,97.0679,97.1264,95.3678,96.7757,1242445
2017-01-19,96.5126,97.7012,96.5126,97.3895,1755331
2017-01-20,97.8376,98.5683,97.5551,98.4222,1491512
2017-01-23,98.1786,99.2406,98.0715,99.1529,1322632
2017-01-24,99.3088,99.8154,98.656,99.3283,1039228
2017-01-25,100.1467,101.3061,99.6254,101.0625,1334660
2017-01-26,100.9553,101.9394,100.9553,101.3938,1355830
2017-01-27,101.4425,101.5691,100.8969,101.3061,790396
2017-01-30,101.3158,101.3158,100.4779,101.0917,1075241
2017-01-31,100.8482,101.121,100.3074,101.0041,1046671
2017-02-01,101.2866,101.4522,100.3805,100.8871,1352388
2017-02-02,95.7234,101.8907,95.7234,101.7348,798757
2017-02-03,102.2901,103.8879,102.217,103.4398,1061821
2017-02-06,102.8357,104.2387,102.8357,104.0146,1033420
2017-02-07,105.0863,106.7523,104.1705,104.3069,1847667
2017-02-08,104.3946,104.6966,103.7418,104.073,995429
2017-02-09,104.6089,104.8817,103.9269,104.8135,782440
2017-02-10,104.7356,105.5247,104.5066,105.2227,693858
2017-02-13,105.8657,106.3626,105.437,106.2262,579987
2017-02-14,105.4565,106.4503,105.3396,106.4503,741324
2017-02-15,106.597,107.5844,106.5676,107.3987,661416
2017-02-16,107.4769,107.8973,106.8316,107.7604,1031616
2017-02-17,107.1933,110.4588,107.1054,110.3806,2024112
2017-02-21,109.6376,110.6152,109.0998,110.3513,1870730
2017-02-22,109.9211,111.4854,109.9211,111.0259,1476985
2017-02-23,111.2019,111.4756,110.146,110.7032,1117481
2017-02-24,110.2535,110.7619,108.6697,110.7619,923774
2017-02-27,110.7619,110.7619,108.2981,109.5496,1958434
2017-02-28,109.4127,109.8042,108.5426,108.8847,1387398
2017-03-01,110.1362,110.977,109.8038,110.6739,1208685
2017-03-02,110.0873,110.2633,109.4274,109.9602,870459
2017-03-03,109.9602,110.3659,109.6571,110.1068,814903
2017-03-06,109.2856,110.1948,109.1292,109.7647,733588
2017-03-07,109.3834,110.4784,109.3834,110.146,737699
2017-03-08,110.2437,110.625,109.8233,110.1655,938191
2017-03-09,110.4686,110.4784,109.6278,109.97,864970
2017-03-10,110.3024,110.4197,109.3345,109.4322,1010930
2017-03-13,109.5691,109.9895,108.963,109.6473,961826
2017-03-14,109.5007,109.8331,108.9434,109.6082,605908
2017-03-15,110.1948,110.7717,109.4616,110.3708,846750
2017-03-16,110.4881,111.2605,110.4295,111.0063,765246
2017-03-17,111.0748,111.2116,109.4225,109.442,967744
2017-03-20,109.4029,110.537,109.1683,109.7549,647163
2017-03-21,110.3317,110.5859,108.0928,108.4057,838463
2017-03-22,108.3666,108.7479,107.6529,108.6501,1058991
2017-03-23,108.6892,110.4295,108.5621,109.6669,972443
2017-03-24,109.9211,110.9477,109.5593,109.9602,907172
