date,open,high,low,close,volume
2017-01-03,45.0493,45.4295,44.2973,44.8592,5612991
2017-01-04,44.9006,45.413,44.7601,45.1072,6839013
2017-01-05,44.9006,45.132,43.9584,44.4873,5832325
2017-01-06,44.7187,45.1048,44.5865,44.7766,3966200
2017-01-09,44.57,45.2063,44.3221,44.3799,6954629
2017-01-10,44.446,45.0659,44.0907,44.57,9190903
2017-01-11,44.8014,45.165,44.3551,44.9832,6244847
2017-01-12,44.6692,44.7022,43.8593,44.5535,4926275
2017-01-13,44.8758,45.2725,44.7435,44.884,5213456
2017-01-17,44.4956,44.665,44.0535,44.2559,5371948
2017-01-18,44.3716,44.694,43.8427,44.6774,5236366
2017-01-19,44.8427,44.9749,44.3221,44.6444,4851418
2017-01-20,44.8097,45.2229,44.57,44.9006,5586628
2017-01-23,45.0163,45.2063,44.5121,44.7105,4556852
2017-01-24,44.9254,45.7766,44.9254,45.3799,4201453
2017-01-25,45.8097,46.4873,45.7849,46.4047,5548798
2017-01-26,45.9336,46.5782,45.8675,46.3055,5066756
2017-01-27,46.0906,46.2311,45.7601,45.9584,5007495
2017-01-30,45.6526,45.6526,44.7766,45.3716,5317491
2017-01-31,45.2229,45.5865,44.4708,44.9667,5144517
2017-02-01,45.5452,45.7022,44.6361,44.8923,7882348
2017-02-02,43.3937,43.7017,41.92,42.8442,15661341
2017-02-03,43.5852,43.6851,42.9358,43.1023,10456512
2017-02-06,42.6444,43.452,42.6444,43.1939,5885588
2017-02-07,43.4353,43.6102,43.019,43.0273,5642349
2017-02-08,42.8858,42.994,42.5361,42.7859,6310457
2017-02-09,43.069,44.0306,42.9857,43.7767,5909686
2017-02-10,44.0431,44.372,43.8433,44.0514,4998238
2017-02-13,44.4011,45.0505,44.4011,44.5426,4940116
2017-02-14,44.3761,45.0338,44.2762,44.859,4936590
2017-02-15,45.0338,45.0838,44.6009,44.9006,6785537
2017-02-16,44.9006,45.1171,44.5759,44.6675,7509080
2017-02-17,44.3012,44.4177,43.8487,44.1014,7975887
2017-02-21,44.4594,44.7091,44.2346,44.4177,5717407
2017-02-22,44.1014,44.7008,44.0681,44.526,5460877
2017-02-23,44.6092,44.7258,44.3491,44.5926,5594394
2017-02-24,43.9682,44.1513,43.631,43.7017,6718392
2017-02-27,43.8349,43.964,43.6435,43.8433,7325699
2017-02-28,43.6601,43.9099,43.5019,43.6601,7491977
2017-03-01,44.4511,45.6583,44.3761,45.2337,10909438
2017-03-02,45.2836,45.4171,44.4177,44.4844,6564076
2017-03-03,44.6842,45.8456,44.6425,45.65,8365972
2017-03-06,44.6509,45.1587,44.4927,44.9006,6571912
2017-03-07,44.7258,44.8007,44.2596,44.4177,5285531
2017-03-08,44.909,45.1837,44.476,44.5093,5312105
2017-03-09,44.6509,44.9548,44.476,44.6425,5026814
2017-03-10,44.9006,45.1754,44.7008,44.9756,5302152
2017-03-13,44.9839,45.2919,44.859,45.0921,5358646
2017-03-14,44.834,44.9339,44.4677,44.8673,3865190
2017-03-15,45.0338,45.1088,44.4802,44.6925,5908746
2017-03-16,44.7508,45.2337,44.7341,44.9756,4891835
2017-03-17,45.1338,45.1338,44.2263,44.4261,6909679
2017-03-20,44.2845,44.4844,44.0181,44.2346,3934540
2017-03-21,44.4844,44.5843,43.1356,43.2272,6332712
2017-03-22,42.7443,43.3229,42.3613,43.1023,5288684
2017-03-23,42.9607,43.835,42.7776,43.3354,5034991
2017-03-24,43.4936,43.8932,43.0149,43.3021,4987576
2017-03-27,42.3696,43.1189,41.8368,43.0357,6254885
2017-03-28,42.7942,43.9848,42.7443,43.6934,5252216
2017-03-29,43.5186,43.8266,43.3354,43.4436,4899323
2017-03-30,43.4353,44.4844,43.3849,44.2263,6826078
2017-03-31,44.0431,44.2679,43.9515,43.9765,4519142
2017-04-03,44.0431,44.193,42.9441,43.6268,5253820
2017-04-04,43.5352,43.6684,43.1939,43.5602,4983890
2017-04-05,43.8932,44.143,43.1522,43.2105,4891153
2017-04-06,43.2188,43.9765,42.9191,43.8516,6307530
2017-04-07,43.4686,44.0535,43.2688,43.8016,6548103
2017-04-10,43.7933,44.2845,43.7101,43.9515,5215948
2017-04-11,43.6518,43.9931,43.3104,43.9349,4536582
2017-04-12,43.7017,43.81,43.0607,43.2688,4524688
2017-04-13,43.0357,43.3437,42.5278,42.5611,6518576
2017-04-17,42.6777,43.3354,42.5361,43.2105,5612262
2017-04-18,42.7859,42.9274,42.2531,42.6194,6369530
2017-04-19,42.9274,43.2272,42.4612,42.5944,5341141
2017-04-20,42.8941,43.2938,42.6569,43.1106,4468401
2017-04-21,42.994,43.17,42.6194,42.686,7470012
2017-04-24,43.6601,43.9349,43.2272,43.3104,7096758
2017-04-25,43.7101,44.1263,43.5852,43.6018,7326085
2017-04-26,43.6018,43.8349,43.1356,43.2022,7364299
2017-04-27,43.3021,43.5852,43.0607,43.4103,5623325
2017-04-28,43.3687,43.4936,43.1023,43.1356,5635613
2017-05-01,43.3188,43.452,43.019,43.2688,5485294
2017-05-02,43.3188,43.427,43.069,43.3104,4549130
2017-05-03,43.0773,43.5602,43.0523,43.377,5924295
2017-05-04,44.258,45.0047,43.9308,44.1741,8646515
2017-05-05,44.3587,44.4342,43.8217,44.1489,4753812
2017-05-08,44.0734,44.5768,44.0399,44.5181,6923718
2017-05-09,44.5852,44.6775,43.8217,43.8888,4757254
2017-05-10,43.6875,43.9308,43.6036,43.8049,5164565
2017-05-11,43.6036,43.9308,43.2512,43.3015,4956496
2017-05-12,42.9911,43.1841,42.6303,42.7226,4629900
2017-05-15,42.8317,43.5532,42.7646,43.4526,4616244
2017-05-16,43.5029,43.6875,43.2638,43.5029,3378634
2017-05-17,42.7897,43.0163,41.6319,41.9172,7970456
2017-05-18,41.7997,42.1605,41.5908,41.7913,5342374
2017-05-19,41.9172,42.6639,41.8752,42.3535,6349276
2017-05-22,42.5213,42.6639,42.0304,42.0766,4159771
2017-05-23,42.0766,42.6387,41.9591,42.3786,5936218
2017-05-24,42.4038,42.58,42.236,42.387,3429578
2017-05-25,42.8149,43.1505,42.6219,42.9492,4352825
2017-05-26,42.8904,43.0331,42.752,42.8317,3278674
2017-05-30,42.6052,42.7226,42.3367,42.538,4120760
2017-05-31,42.5968,42.6303,41.9339,42.4457,5659027
2017-06-01,42.6639,43.461,42.2947,43.3435,5231497
2017-06-02,42.9408,43.4022,42.8065,43.1589,3705383
2017-06-05,43.1673,43.3519,42.8233,42.8988,3885169
2017-06-06,42.538,42.6471,42.0598,42.3367,4711557
2017-06-07,42.4793,42.6723,42.1689,42.4374,4648138
2017-06-08,42.5045,43.6288,42.4464,43.2848,7664287
2017-06-09,43.4945,44.433,43.3687,44.3335,7075710
2017-06-12,44.3587,44.9796,44.1741,44.6691,6454836
2017-06-13,44.8705,44.9627,44.6104,44.7279,5382290
2017-06-14,44.2496,44.8369,43.9759,44.7279,5364619
2017-06-15,44.4174,44.9712,44.3923,44.6272,5214687
2017-06-16,44.7446,44.9124,44.3615,44.9041,6343497
2017-06-19,45.1138,45.4872,45.0131,45.2984,4774147
2017-06-20,45.0635,45.3068,44.7279,44.7698,4361641
2017-06-21,45.0047,45.0802,43.8721,44.0734,5450996
2017-06-22,43.8805,44.1154,43.7546,43.8049,4398728
2017-06-23,44.0399,44.0986,43.6749,43.8469,4674316
2017-06-26,43.9644,44.4426,43.7546,44.1322,3724399
2017-06-27,44.2245,45.0551,44.2245,44.451,5649881
2017-06-28,44.8705,45.8354,44.8453,45.7599,7289270
2017-06-29,46.2549,47.2281,45.9193,46.1961,9007683
2017-06-30,46.5317,46.6912,46.0283,46.0955,4406988
2017-07-03,46.4478,47.4379,46.4227,47.1191,3717989
2017-07-05,47.0939,47.4043,46.666,46.8925,4164366
2017-07-06,46.9764,47.4714,46.7289,46.8841,5150213
2017-07-07,47.0268,47.3624,46.7331,47.1274,3933914
2017-07-10,46.9848,47.2365,46.7918,47.0268,4284516
2017-07-11,46.8841,46.9848,46.473,46.5905,4335222
2017-07-12,46.5401,46.7331,46.2129,46.6156,3936610
2017-07-13,46.5905,46.9101,46.5401,46.7415,3417295
2017-07-14,46.2717,46.624,45.8941,46.4311,6669873
2017-07-17,46.3472,46.5428,45.9025,46.4395,3802509
2017-07-18,46.0871,46.3136,45.7682,45.9444,3806369
2017-07-19,46.0787,46.2717,45.8941,46.1038,3977171
2017-07-20,46.171,46.2213,45.7766,45.7934,5465219
2017-07-21,45.8438,46.0032,45.4998,45.8521,3585397
2017-07-24,45.8689,46.0451,45.7348,45.8857,3458398
2017-07-25,46.4478,46.838,46.3052,46.7331,5304612
2017-07-26,46.7415,46.8254,45.7599,45.9193,4266209
2017-07-27,45.9864,46.4017,45.827,46.1794,3339011
2017-07-28,46.171,46.4898,45.7557,46.3556,2602914
2017-07-31,46.5569,46.6324,46.1038,46.1458,3946329
2017-08-01,45.4414,45.8386,45.0104,45.5682,6401613
2017-08-02,46.6912,46.7901,45.8646,46.5485,4566222
2017-08-03,45.2893,46.0077,45.0442,45.2133,8682344
2017-08-04,45.4414,45.8386,45.0104,45.5682,6401613
2017-08-07,45.682,46.251,45.6725,46.0234,9326103
2017-08-08,45.9665,46.6209,45.9096,46.251,7963540
2017-08-09,45.9191,46.1183,45.4449,45.8148,6215260
2017-08-10,45.3027,45.4829,43.9939,44.3259,7666348
2017-08-11,44.2974,44.581,44.1741,44.3923,6437764
2017-08-14,44.9328,45.2742,44.8475,45.1225,6710979
2017-08-15,45.5113,46.1467,45.2031,45.3122,6335488
2017-08-16,45.426,45.8432,45.2505,45.4734,7287638
2017-08-17,45.2173,45.4734,44.4492,44.525,7748809
2017-08-18,44.2879,45.0134,44.1647,44.5914,7662137
2017-08-21,44.5345,44.5582,44.1267,44.269,4899647
2017-08-22,44.3448,44.7621,44.2216,44.7337,4128821
2017-08-23,44.3448,44.8854,44.2785,44.6199,4402363
2017-08-24,44.7811,45.1604,44.563,45.1415,4927740
2017-08-25,45.2647,45.6915,45.1984,45.5113,5658282
2017-08-28,45.407,45.4734,44.9423,45.113,5223892
2017-08-29,44.5724,44.5724,44.0698,44.3164,6216907
2017-08-30,44.4207,44.7716,44.2216,44.6293,4954847
2017-08-31,44.7906,44.9328,44.3923,44.4112,5991149
2017-09-01,44.6199,45.5398,44.4681,45.3311,6888299
2017-09-05,45.0087,45.0893,44.563,44.8664,9368908
2017-09-06,45.0846,45.7342,44.9992,45.4734,8067406
2017-09-07,45.4165,45.5433,44.2595,44.3923,5836596
2017-09-08,44.3543,44.8332,44.1647,44.7052,4894875
2017-09-11,45.3027,45.4639,44.7716,45.132,6341956
2017-09-12,45.3406,46.0519,45.3216,45.995,5322951
2017-09-13,45.7958,46.1372,45.5967,46.1372,4833263
2017-09-14,46.1277,46.3269,45.7958,45.8527,3783617
2017-09-15,45.7674,46.0614,45.6251,46.0329,7371451
2017-09-18,46.2226,46.545,46.0993,46.3743,4099973
2017-09-19,46.4312,47.0856,46.3459,46.9149,5171585
2017-09-20,47.0002,47.6973,46.8058,47.5408,4684743
2017-09-21,47.5218,47.9581,47.3132,47.8442,5309099
2017-09-22,47.5313,48.3137,47.4943,47.9296,5754267
2017-09-25,47.7779,48.3753,47.6546,48.2236,5778857
2017-09-26,48.1382,48.8779,47.9581,48.8116,5872475
2017-09-27,49.4185,49.5371,49.1245,49.1814,7506947
2017-09-28,49.2763,49.3426,48.4038,48.6693,4526190
2017-09-29,48.6029,49.2857,48.5176,49.2668,4403202
2017-10-02,49.2573,49.5987,48.84,49.447,4593867
2017-10-03,49.428,49.7125,49.2194,49.6935,3337033
2017-10-04,49.7125,50.0025,49.6793,49.8073,2971974
2017-10-05,49.7884,50.272,49.6129,49.8642,3601050
2017-10-06,50.1013,50.5186,49.8927,50.2815,5112059
2017-10-09,50.2625,50.3811,50.0729,50.2531,2812357
2017-10-10,50.2531,50.547,50.0207,50.3953,4003575
2017-10-11,50.2815,50.3384,49.8443,50.1203,3214039
2017-10-12,50.2341,50.2341,49.9211,50.0065,3533294
2017-10-13,49.9117,50.2625,49.8358,49.997,3837314
2017-10-16,50.1108,50.6229,50.0207,50.1393,3240207
2017-10-17,50.4807,50.4807,49.5039,49.6746,4853674
2017-10-18,50.0065,50.1819,49.722,50.0729,3368368
2017-10-19,49.684,50.3289,49.684,50.2531,2503971
2017-10-20,50.7936,50.8126,50.3384,50.5376,4300265
2017-10-23,50.4522,50.879,50.4522,50.6798,4035094
2017-10-24,51.0686,51.5191,51.0592,51.3437,4186193
2017-10-25,51.3958,51.4195,50.9454,51.1398,3307651
2017-10-26,51.3152,51.5774,51.2488,51.41,3374417
2017-10-27,51.2583,51.5049,50.9833,51.4859,2464198
2017-10-30,51.0686,51.2868,50.879,51.1824,4043933
2017-10-31,51.1824,51.4527,50.7936,50.8126,3779566
2017-11-01,51.2014,51.3513,50.7557,51.0876,4361069
2017-11-02,51.9791,53.0222,51.3911,52.8515,6915909
