date,open,high,low,close,volume
2017-01-03,90.04,90.0784,89.3486,89.8768,513876
2017-01-04,90.1361,90.2321,89.5599,89.6175,667863
2017-01-05,89.5407,89.6223,87.8025,87.8601,1394900
2017-01-06,87.9177,88.225,87.428,87.7737,1280218
2017-01-09,87.7833,87.9945,86.3908,86.5637,836094
2017-01-10,86.2756,86.5925,86.1891,86.2275,934371
2017-01-11,86.2468,86.9766,86.0931,86.6501,500812
2017-01-12,86.4388,87.1687,86.277,87.1014,707951
2017-01-13,86.9478,88.0522,86.9478,87.7449,1024601
2017-01-17,87.716,89.0029,87.3991,89.0029,737087
2017-01-18,89.1373,89.4158,88.9741,89.3678,465295
2017-01-19,89.2526,89.4158,89.0701,89.3198,779926
2017-01-20,89.7327,90.0784,89.1565,89.6079,586534
2017-01-23,89.5983,89.6079,89.1181,89.4734,461626
2017-01-24,89.5215,90.7411,89.5119,90.3185,1223093
2017-01-25,90.1073,92.4024,89.9536,91.9895,1388876
2017-01-26,91.9607,92.3256,91.567,91.807,954890
2017-01-27,92.2392,92.3064,91.4325,92.0759,896966
2017-01-30,92.0375,92.1431,91.0772,91.6918,822953
2017-01-31,91.7494,91.9991,91.202,91.759,1230283
2017-02-01,91.4901,91.8551,90.5106,90.7987,902849
2017-02-02,91.0196,91.7926,90.8515,91.3077,766487
2017-02-03,91.9223,92.6329,91.4978,92.0567,584305
2017-02-06,91.9799,91.9799,90.7411,90.7603,747058
2017-02-07,90.8563,92.0183,90.8563,91.7686,739069
2017-02-08,91.663,92.9498,91.663,92.6713,942378
2017-02-09,92.3256,93.6797,92.3256,93.1995,691467
2017-02-10,93.1227,93.9774,92.5849,93.3916,638944
2017-02-13,93.3916,93.6509,92.921,93.4204,720026
2017-02-14,93.2187,93.4204,92.4312,93.0074,560775
2017-02-15,92.8346,93.2187,91.3077,93.1899,915488
2017-02-16,92.8922,93.6317,92.0759,92.6137,888693
2017-02-17,92.0663,93.91,91.8743,93.7181,1288120
2017-02-21,93.9486,94.8128,93.6701,94.6112,1055170
2017-02-22,94.2367,94.4671,93.8621,94.1214,669804
2017-02-23,94.2751,95.4659,93.9966,94.9857,1315208
2017-02-24,94.9761,95.5139,94.544,95.389,771201
2017-02-27,95.293,95.706,93.4972,93.6317,884860
2017-02-28,93.7181,94.9089,93.7181,94.5151,809114
2017-03-01,94.4383,95.3986,93.6509,95.1298,690445
2017-03-02,95.0337,95.7252,94.736,95.4179,565151
2017-03-03,95.3794,95.5139,94.9185,95.4851,516858
2017-03-06,95.0913,95.5139,94.784,95.3026,515645
2017-03-07,95.3026,95.7252,95.0145,95.0721,547007
2017-03-08,94.7936,95.3698,94.64,95.0241,595620
2017-03-09,95.245,96.1477,95.1442,96.0229,658148
2017-03-10,96.4934,96.8007,95.946,96.3398,593089
2017-03-13,96.0805,96.407,95.9182,96.3974,620239
2017-03-14,96.1861,96.7815,96.1669,96.6663,494079
2017-03-15,96.8007,98.0299,96.6183,97.8283,742010
2017-03-16,97.8667,98.0298,97.2147,97.4537,567626
2017-03-17,97.6554,98.2124,97.2809,97.9531,864141
2017-03-20,97.9339,98.1644,97.5978,97.9723,566247
2017-03-21,97.7995,98.3516,97.4826,97.6362,709309
2017-03-22,97.5978,97.9915,96.7767,97.3385,593088
2017-03-23,97.2521,97.8475,97.06,97.2041,504311
2017-03-24,97.4057,97.6554,96.9064,97.0024,527134
2017-03-27,96.5991,97.4922,96.503,97.3385,871175
2017-03-28,96.0325,96.916,94.3423,94.5248,1527492
2017-03-29,94.1214,94.7648,93.7853,94.1598,1457565
2017-03-30,93.8717,94.0926,93.2475,93.6605,864125
2017-03-31,93.5068,94.0254,93.3916,93.6797,864724
2017-04-03,94.3039,94.9953,93.7373,94.2559,982963
2017-04-04,94.3711,94.5632,93.478,94.5151,859951
2017-04-05,95.2738,96.8775,95.1298,96.6471,1396561
2017-04-06,96.9847,96.9847,96.2032,96.5602,885487
2017-04-07,96.7532,96.7532,96.0585,96.0875,888625
2017-04-10,96.155,96.5892,95.8077,96.2611,613162
2017-04-11,95.9427,96.4251,95.4989,96.1646,882677
2017-04-12,96.1936,97.0282,95.8366,96.3287,1274516
2017-04-13,96.2322,96.6471,95.6243,95.7015,466377
2017-04-17,95.9234,96.6085,95.5664,96.5892,690349
2017-04-18,96.6374,97.7856,96.6374,97.1488,621977
2017-04-19,97.1295,97.4189,96.6085,96.9847,489658
2017-04-20,96.9751,97.2453,96.7435,96.9076,529389
2017-04-21,96.8304,97.0426,96.7339,96.869,472506
2017-04-24,97.226,97.5588,96.8497,97.5251,794993
2017-04-25,97.5347,97.6408,96.6615,97.1391,568227
2017-04-26,97.1874,97.3514,96.2032,96.2129,604378
2017-04-27,96.4059,96.9269,96.1068,96.5023,330770
2017-04-28,96.483,96.5216,96.0199,96.3866,660460
2017-05-01,96.512,96.7049,95.7015,95.7015,305787
2017-05-02,95.7498,96.1357,95.4217,95.8655,514827
2017-05-03,95.9524,96.2515,95.5761,95.8752,410222
2017-05-04,96.0585,98.4416,96.0585,96.8014,733458
2017-05-05,96.9655,97.4961,96.3094,96.6374,493938
2017-05-08,96.5988,97.226,96.2804,96.8883,427016
2017-05-09,96.8593,97.004,96.0778,96.2129,371282
2017-05-10,96.2032,96.4734,96.0296,96.4541,402173
2017-05-11,96.0875,96.5699,95.9041,96.5216,412921
2017-05-12,96.3962,96.5313,95.8173,95.9041,382950
2017-05-15,95.8848,96.8786,95.827,96.7821,645541
2017-05-16,96.8883,96.9462,95.9524,95.991,412718
2017-05-17,96.0199,97.3417,95.7208,96.8207,594611
2017-05-18,96.8786,96.9365,96.1164,96.5892,528287
2017-05-19,96.5892,97.5347,96.1646,97.4382,512600
2017-05-22,97.4479,98.789,97.0909,98.6732,373915
2017-05-23,98.7697,99.5608,98.4127,98.9241,427051
2017-05-24,99.1267,99.8985,98.8372,99.8696,347945
2017-05-25,99.9564,100.8055,99.6863,100.516,380720
2017-05-26,100.6029,101.1335,100.3424,100.8055,334795
2017-05-30,100.6704,100.6704,99.6573,100.0722,306078
2017-05-31,100.2266,100.8634,100.1397,100.4871,469341
2017-06-01,100.8537,101.7607,100.4002,101.7607,510529
2017-06-02,101.8571,102.1273,100.8634,101.7124,462992
2017-06-05,101.5773,101.8475,100.9984,101.6931,328118
2017-06-06,101.6931,102.0212,101.3169,101.5773,335325
2017-06-07,101.8475,102.4939,101.4809,102.1948,441835
2017-06-08,102.2527,102.2527,100.4774,100.8344,437960
2017-06-09,100.545,101.037,100.352,100.7283,386810
2017-06-12,100.6318,101.2107,100.0819,100.8634,380469
2017-06-13,100.8248,101.6158,99.9805,101.2879,316403
2017-06-14,101.5291,102.7544,101.2011,101.7028,434712
2017-06-15,101.587,102.0887,101.0853,101.8185,462605
2017-06-16,101.1239,101.1986,97.2838,98.2487,1305781
2017-06-19,98.6153,98.8951,97.226,98.5671,592427
2017-06-20,98.5671,98.6636,97.4189,97.5444,577197
2017-06-21,97.9592,98.2294,96.4059,96.5023,621133
2017-06-22,96.5023,96.676,95.8077,96.2032,640075
2017-06-23,96.4734,97.1198,96.237,96.7049,607694
2017-06-26,97.1198,97.5347,96.7532,96.8786,498860
2017-06-27,95.9524,96.7435,95.0551,95.0647,640568
2017-06-28,95.605,96.2708,94.6981,95.47,1077240
2017-06-29,94.6209,94.9779,91.7554,92.0062,1815216
2017-06-30,92.8746,94.7753,92.5272,94.0806,1284908
2017-07-03,94.4279,94.5534,93.6947,93.878,525755
2017-07-05,94.0034,94.8042,93.3473,93.3473,1001186
2017-07-06,93.0177,93.3183,92.6202,92.8238,708665
2017-07-07,93.105,93.803,92.785,92.8335,622027
2017-07-10,93.1922,93.1922,92.0579,92.0773,505836
2017-07-11,92.0094,93.4443,91.6603,93.3183,1257201
2017-07-12,93.9485,94.6756,93.7547,94.2393,1324211
2017-07-13,94.4138,94.4138,93.4734,93.9872,1021751
2017-07-14,94.2684,94.8889,94.2199,94.695,737341
2017-07-17,94.6368,94.6368,94.0842,94.3169,633449
2017-07-18,94.4041,94.6078,94.0551,94.1812,915498
2017-07-19,87.7434,89.983,87.501,89.2656,4895020
2017-07-20,89.4886,90.4969,89.4013,89.6631,1865903
2017-07-21,89.6049,90.8265,89.6049,90.8168,1752273
2017-07-24,90.8072,91.5731,90.4872,91.0883,1077857
2017-07-25,91.321,91.9609,90.972,91.9221,1046822
2017-07-26,91.9221,92.6202,91.4858,91.8155,1116224
2017-07-27,92.0191,92.3487,91.2628,92.3487,747714
2017-07-28,93.6188,93.6576,91.6313,92.6105,1012920
2017-07-31,92.6396,92.9789,92.1548,92.3972,1049063
2017-08-01,92.4457,92.4457,91.3016,91.6313,470827
2017-08-02,92.2712,93.0274,91.4471,92.7171,957558
2017-08-03,92.7365,93.2504,92.1451,92.2809,568153
2017-08-04,92.4457,92.4457,91.3016,91.6313,470827
2017-08-07,91.67,92.3584,91.6439,92.1548,428987
2017-08-08,91.0883,91.9803,90.0994,90.177,1629639
2017-08-09,90.7005,94.471,90.7005,92.8432,5726519
2017-08-10,92.4651,93.2116,91.893,92.3002,1425304
2017-08-11,92.6299,94.7483,92.3293,94.0745,1962586
2017-08-14,94.4623,96.6826,94.3751,95.044,1151064
2017-08-15,95.1507,95.2476,93.4734,93.803,1287108
2017-08-16,93.803,95.4513,93.7303,94.9859,1025767
2017-08-17,94.6465,95.2719,93.6188,93.6867,881977
2017-08-18,93.58,93.8418,92.7753,93.1631,688504
2017-08-21,93.4443,93.5606,92.785,93.2989,956905
2017-08-22,93.4637,94.5205,93.1922,94.3363,800006
2017-08-23,94.1424,94.43,93.803,94.1036,437193
2017-08-24,94.0066,94.3072,91.8833,91.893,1027161
2017-08-25,92.2033,92.3487,91.5644,92.0191,812107
2017-08-28,92.3196,92.3196,91.6216,91.767,731806
2017-08-29,91.7573,92.6396,91.6216,92.4554,684352
2017-08-30,92.2906,92.9595,92.0288,92.6687,573008
2017-08-31,92.213,92.6978,91.9027,92.2324,806131
2017-09-01,92.7075,93.3377,92.3002,93.2116,780185
2017-09-05,93.0759,93.9194,92.6687,93.3377,737146
2017-09-06,93.6382,94.5884,93.1631,94.569,805959
2017-09-07,94.7338,95.1992,92.9353,93.6867,1099857
2017-09-08,93.4055,94.695,93.1244,94.6271,1029975
