date,open,high,low,close,volume
2017-01-03,219.1914,221.3001,215.2782,219.0345,752929
2017-01-04,218.9462,223.3008,218.5245,222.0062,664936
2017-01-05,221.8003,225.2281,220.7803,222.1632,649765
2017-01-06,221.7316,221.8885,215.3056,215.6116,818360
2017-01-09,215.6509,217.3378,214.2974,215.1409,643739
2017-01-10,215.8372,218.1911,215.0232,216.3178,587951
2017-01-11,217.377,217.9655,215.5626,217.6811,415827
2017-01-12,217.8674,218.2205,212.6301,215.6901,611699
2017-01-13,215.3959,217.3486,214.8368,216.4257,478796
2017-01-17,216.7003,216.7003,212.9341,215.6313,635397
2017-01-18,215.9157,221.5453,215.1801,221.0255,622901
2017-01-19,221.5845,222.9478,220.692,221.4178,727553
2017-01-20,222.7516,224.7426,222.1239,223.3695,612657
2017-01-23,224.2031,225.434,221.1726,222.987,607310
2017-01-24,224.7916,231.0391,223.9972,229.9897,727481
2017-01-25,233.0006,238.6106,232.9908,237.3454,1432844
2017-01-26,237.365,239.2873,235.2172,236.9727,796069
2017-01-27,237.9045,238.0712,234.1383,235.1681,420399
2017-01-30,233.4224,233.4224,228.7931,230.7841,606820
2017-01-31,230.3722,232.1376,222.3789,225.1839,1151143
2017-02-01,226.8414,227.7633,224.1541,226.0666,649322
2017-02-02,225.0662,225.9391,222.6928,224.1933,602927
2017-02-03,225.4389,228.8451,224.2131,226.4687,491136
2017-02-06,226.4197,227.1062,225.2722,226.1451,524170
2017-02-07,219.5641,224.5955,217.073,222.2612,1086699
2017-02-08,222.2612,224.2522,219.0346,221.8984,500439
2017-02-09,222.6339,222.9576,220.5253,220.9862,520109
2017-02-10,222.526,226.7139,222.0945,225.8901,519689
2017-02-13,228.1851,229.921,225.6056,226.9395,664374
2017-02-14,222.2612,224.7033,217.1024,222.0553,1557078
2017-02-15,220.3291,221.9376,215.7293,217.7301,1739565
2017-02-16,217.6811,218.4313,215.7686,217.2691,772553
2017-02-17,216.5728,216.7493,211.1197,213.3657,835054
2017-02-21,214.0522,217.4261,213.8561,215.7489,727138
2017-02-22,215.6607,217.1122,214.5132,214.7289,749239
2017-02-23,215.4743,216.0138,202.3713,204.6663,1913454
2017-02-24,203.0971,207.2555,202.1359,206.0099,985751
2017-02-27,206.4415,215.4743,204.9311,211.1197,825399
2017-02-28,211.5022,215.1114,209.8055,211.7965,1167833
