date,open,high,low,close,volume
2017-01-03,169.0427,170.1487,167.5208,168.3054,2510055
2017-01-04,168.2865,169.1089,167.8895,168.5606,1541985
2017-01-05,168.5039,169.3357,167.2089,167.984,1447848
2017-01-06,167.587,168.8253,166.1785,168.4755,1625049
2017-01-09,168.6079,168.6173,167.5019,167.5681,1622625
2017-01-10,167.6532,167.776,166.6607,166.9158,2030149
2017-01-11,166.9631,168.6835,166.7362,168.1542,1579593
2017-01-12,167.2845,167.9746,166.1313,167.7288,1321766
2017-01-13,167.8611,168.1731,167.1522,167.6815,1265593
2017-01-17,167.3129,167.9556,166.6039,167.5586,1557453
2017-01-18,168.1636,169.6193,167.6721,168.7213,1804904
2017-01-19,169.4397,169.9596,168.0313,168.9009,1464364
2017-01-20,169.3925,169.6382,168.0974,168.7213,1761850
2017-01-23,168.1731,169.194,167.4357,168.7402,1986788
2017-01-24,167.7855,168.0313,164.8741,166.3392,3473183
2017-01-25,167.3979,168.8537,166.9064,167.0576,3462633
2017-01-26,166.6606,167.5303,166.4054,167.1427,2235889
2017-01-27,167.7666,168.2392,167.1522,167.7666,1623666
2017-01-30,167.5492,168.0029,165.2994,165.8193,1823128
2017-01-31,165.1765,165.8571,164.2974,165.2522,1845543
2017-02-01,165.583,166.1785,164.7606,165.583,2272854
2017-02-02,164.5999,165.2096,164.0517,164.6472,3106798
2017-02-03,164.496,165.7059,164.3353,165.4601,2820960
2017-02-06,164.5905,166.5566,164.3825,165.5168,1622756
2017-02-07,166.4432,166.7457,165.5678,166.1407,1247389
2017-02-08,166.0084,167.88,165.8855,167.379,2145683
2017-02-09,167.19,168.778,167.19,168.4283,2009742
2017-02-10,168.5417,169.7517,168.4377,169.2034,1392438
2017-02-13,170.0163,171.4531,169.4492,171.1129,1929821
2017-02-14,170.9616,172.0392,170.7631,171.6611,2036188
2017-02-15,171.5421,173.0007,171.4003,172.8741,1762914
2017-02-16,172.9217,174.5486,172.7933,174.5011,2164045
2017-02-17,174.5201,174.6818,173.6638,174.0634,1961456
2017-02-21,173.9112,174.7009,173.1976,174.463,1736345
2017-02-22,174.4916,177.0794,174.1871,177.0033,2850946
2017-02-23,176.8796,178.3496,176.6893,178.0975,2401641
2017-02-24,177.7454,179.2582,177.2507,178.3068,2126326
2017-02-27,178.3924,178.44,177.322,177.8311,1393808
2017-02-28,177.6598,178.3924,177.2602,177.2983,1932120
2017-03-01,178.9442,181.2847,178.8776,180.6378,2226206
2017-03-02,180.2572,180.8661,179.8481,180.6663,1763962
2017-03-03,180.6283,180.9993,179.3819,180.1145,1627706
2017-03-06,179.7529,180.0479,179.125,179.7244,1668743
2017-03-07,179.144,180.0669,179.106,179.9052,1662286
2017-03-08,180.5046,180.9671,179.791,180.3048,1565272
2017-03-09,180.0574,181.1419,179.9813,180.6758,1556675
2017-03-10,181.3799,181.9507,180.8007,181.9222,2514991
2017-03-13,182.455,182.6358,181.2086,182.2171,1972733
2017-03-14,181.6558,182.141,179.9242,181.0849,1893619
2017-03-15,180.9422,182.5406,180.5046,181.9127,2046978
2017-03-16,181.7795,182.3313,180.4265,181.0659,1937139
2017-03-17,181.5511,183.0163,181.104,183.0163,4228102
2017-03-20,183.1686,184.101,182.9402,183.6348,2085593
2017-03-21,184.0914,184.0914,182.2076,182.7975,1895059
2017-03-22,182.9592,183.5111,181.2086,182.8831,1627326
2017-03-23,182.788,183.5967,181.9412,182.807,1481951
2017-03-24,182.788,183.2637,181.6282,182.2076,1435374
2017-03-27,181.437,181.7224,179.9718,181.1801,1984622
2017-03-28,180.7139,182.1886,180.3904,181.7129,2330159
2017-03-29,181.3323,181.9888,181.0183,181.4179,1692204
2017-03-30,181.475,182.1886,180.8661,181.9888,1835414
2017-03-31,182.0078,183.0544,181.7129,182.0364,1730048
2017-04-03,182.5501,182.8356,180.7234,181.456,1546695
2017-04-04,181.3133,181.7034,180.5617,180.9517,1349899
2017-04-05,181.437,183.0734,180.809,180.9993,1448737
2017-04-06,181.161,181.7414,180.2953,180.6663,1627375
2017-04-07,180.7995,181.3038,180.3143,180.7615,1025166
2017-04-10,180.9232,181.2615,180.1145,180.4951,1682689
2017-04-11,179.9432,180.8566,179.81,180.8376,1459582
2017-04-12,181.0659,181.2372,180.2001,180.4855,1416141
2017-04-13,180.0574,180.6378,179.458,179.4865,1274376
2017-04-17,180.1145,181.1135,180.0955,181.1135,1543558
2017-04-18,180.5426,181.5702,180.3002,180.9803,1176884
2017-04-19,181.5321,181.8461,180.3143,180.6092,1340386
2017-04-20,180.79,182.7785,180.6796,181.8746,1748179
2017-04-21,181.8651,182.3123,181.3323,182.1981,2584194
2017-04-24,183.6252,185.0048,183.5586,184.7955,2709554
2017-04-25,184.5672,186.1085,183.0163,185.6518,4182229
2017-04-26,186.1941,187.3358,185.5186,185.5281,2641226
2017-04-27,185.9372,186.9933,185.6328,186.5842,1770896
2017-04-28,186.6222,187.5451,186.0419,186.3178,2467076
2017-05-01,186.0038,186.2226,185.0248,185.3473,1498630
2017-05-02,185.6803,186.9838,185.1285,186.9838,2467164
2017-05-03,187.0504,188.2587,186.2036,188.0303,2339647
2017-05-04,188.6678,189.8476,188.154,189.819,2321297
2017-05-05,189.9713,190.1901,189.3148,189.7144,1688558
2017-05-08,189.1816,189.4765,188.6678,189.0008,1576134
2017-05-09,189.6763,189.6763,187.9352,188.3443,1747761
2017-05-10,187.783,187.9923,186.9838,187.0884,2248260
2017-05-11,186.5176,187.3739,185.7755,187.1931,1704992
2017-05-12,186.3844,187.5451,186.3463,187.0218,1323128
2017-05-15,187.117,188.135,186.6984,188.0303,1474490
2017-05-16,187.8876,188.3253,187.2977,188.2967,1183560
2017-05-17,187.0094,187.5071,186.3682,186.483,1881826
2017-05-18,186.1576,187.421,185.2388,186.8659,1928994
2017-05-19,187.8804,187.8804,186.1097,187.4018,1894690
2017-05-22,187.9283,190.1507,187.9283,189.9956,1836024
2017-05-23,190.2062,190.4359,189.0481,189.2491,1514199
2017-05-24,189.9765,190.0147,188.8184,189.0194,1291463
2017-05-25,189.8999,191.0484,189.2682,190.9814,1508025
2017-05-26,190.5986,192.0821,190.438,192.063,1410620
2017-05-30,191.7184,194.3217,191.3834,193.757,2171094
2017-05-31,194.0346,195.7,193.5943,195.7,3096767
2017-06-01,195.4894,196.1115,194.9439,195.5851,2352733
2017-06-02,196.2647,198.4947,196.0062,197.8343,1831928
2017-06-05,197.9013,198.4373,197.3749,197.3749,1253148
2017-06-06,197.1739,197.796,196.5997,196.5997,1458772
2017-06-07,196.9059,197.0399,195.3458,196.2168,1885635
2017-06-08,196.0541,197.1931,195.3363,197.1069,2451348
2017-06-09,197.1643,198.0927,196.8198,198.0545,1893492
2017-06-12,198.1789,199.4806,196.6858,198.4947,2388199
2017-06-13,198.6766,200.6722,198.6565,200.141,1688785
2017-06-14,200.7822,201.7441,200.5429,201.0024,1585260
2017-06-15,200.5142,202.2562,200.4568,202.2275,1594060
2017-06-16,202.6486,204.3044,202.371,204.0938,3420608
2017-06-19,204.8212,204.8212,203.577,204.2087,1667649
2017-06-20,204.2948,205.3668,203.912,204.2087,1531242
2017-06-21,204.8404,204.8404,202.9931,203.7301,1812903
2017-06-22,203.6057,203.979,202.9931,203.1176,1400401
2017-06-23,202.907,204.0268,202.6294,203.7684,1584876
2017-06-26,203.6631,204.3139,203.2037,203.4908,1352092
2017-06-27,202.907,203.3856,200.3994,200.7822,2240166
2017-06-28,201.7393,202.1174,201.0789,201.5862,1542943
2017-06-29,201.9977,201.9977,198.198,198.935,1809919
2017-06-30,200.9066,200.9066,198.935,199.2604,1769958
2017-07-03,200.1697,201.3182,199.7964,200.8301,1040334
2017-07-05,200.9928,201.2225,200.4281,200.7631,1065328
2017-07-06,200.0835,200.7248,198.9733,199.0977,1189853
2017-07-07,199.5571,201.1363,199.1216,200.6004,1531004
2017-07-10,200.6099,202.6582,200.0261,201.4618,1308603
2017-07-11,201.3852,202.1413,199.0786,200.6674,1268059
2017-07-12,201.8638,203.6535,201.2512,202.237,1447890
2017-07-13,202.1413,202.907,201.1651,202.036,1138838
2017-07-14,202.4476,203.1367,201.5958,202.6869,1061971
2017-07-17,203.0984,203.0984,201.5575,202.6007,1311262
2017-07-18,201.6436,202.4476,201.2799,202.2466,1562553
2017-07-19,202.438,203.0075,202.1126,203.0027,825309
2017-07-20,203.108,204.2565,202.9644,203.3377,1347433
2017-07-21,202.572,202.7539,200.4951,202.103,2246238
2017-07-24,202.1413,202.5806,200.9928,200.9928,2165186
2017-07-25,193.958,195.7287,188.7156,190.8379,6593035
2017-07-26,191.8524,192.5224,190.0339,190.4933,2922097
2017-07-27,190.5986,191.9577,189.1916,191.4696,2175148
2017-07-28,192.1778,192.4171,190.1679,191.1537,1488022
2017-07-31,191.4217,193.0105,191.2399,192.5415,1833625
2017-08-01,199.0307,199.6624,197.2696,198.7436,1522667
2017-08-02,194.4749,196.7815,194.1207,196.5997,2029646
2017-08-03,197.0782,198.734,196.3221,198.7149,2054236
2017-08-04,199.0307,199.6624,197.2696,198.7436,1522668
2017-08-07,198.9829,199.4611,197.8152,198.5426,1172563
2017-08-08,197.9587,198.9733,196.8713,197.5759,1856282
2017-08-09,197.8248,198.9924,196.7719,197.6238,1622213
2017-08-10,196.8006,198.2746,196.3795,197.3845,1571545
2017-08-11,197.9779,197.9779,196.8102,197.1452,1452811
2017-08-14,197.796,198.7244,197.2313,198.4756,1264439
2017-08-15,198.1215,198.9254,197.6525,198.2937,1048508
2017-08-16,198.3224,199.6815,197.753,199.002,1704265
2017-08-17,198.8776,199.1952,196.4752,196.5422,1396492
2017-08-18,196.5422,196.8102,194.7237,194.8003,1838640
2017-08-21,195.0587,196.1115,194.3026,195.7765,1567560
2017-08-22,196.3987,197.0304,195.8531,196.6475,2091246
2017-08-23,196.4213,196.4695,194.756,195.0929,1267265
2017-08-24,196.2673,196.2673,194.4095,194.5635,1230772
2017-08-25,195.8341,195.8438,194.4961,194.5731,1238228
2017-08-28,195.1988,195.6705,194.3036,194.8908,1174724
2017-08-29,194.6405,195.4876,193.8051,195.3336,991291
2017-08-30,195.3336,196.0748,194.448,196.0748,1196205
2017-08-31,196.6812,196.9699,195.4298,196.6812,1567911
2017-09-01,196.9604,197.2492,195.632,195.9496,1413014
2017-09-05,194.6886,194.9581,193.0137,193.4661,1936090
2017-09-06,194.2073,194.6886,193.7164,194.4961,2236180
2017-09-07,193.9378,197.0566,193.9378,196.816,1701542
2017-09-08,196.7101,198.4139,195.5646,198.0,1473989
2017-09-11,198.7412,201.9323,198.3851,201.7253,1806743
2017-09-12,202.0622,203.073,201.4365,201.8023,1441453
2017-09-13,201.3018,202.428,200.7723,201.6579,1129646
2017-09-14,201.3306,203.9875,200.936,203.5254,1984226
