date,open,high,low,close,volume
2017-01-03,50.4709,51.3073,49.2866,49.7472,13329197
2017-01-04,49.766,50.2829,47.9614,48.1588,10980420
2017-01-05,48.4032,48.6757,47.0216,47.9802,9534922
2017-01-06,48.0366,48.1682,47.2659,47.3411,4748268
2017-01-09,47.0404,47.2001,46.3918,46.4858,8037726
2017-01-10,46.5234,46.9558,46.0253,46.0253,5124394
2017-01-11,46.4294,46.9934,46.1475,46.6738,6681549
2017-01-12,46.6268,46.7396,45.7997,46.2885,3952609
2017-01-13,45.9689,46.1896,44.9726,45.4708,5758470
2017-01-17,45.7151,46.6174,45.358,45.7997,5121278
2017-01-18,45.4332,46.373,45.3016,45.9595,3752211
2017-01-19,45.9971,46.0723,45.0478,45.4614,4185741
2017-01-20,45.8655,46.0911,45.4943,45.8279,5033334
2017-01-23,45.6399,45.8373,45.2264,45.7903,8149227
2017-01-24,46.1663,47.4445,46.0253,47.0779,7319677
2017-01-25,47.2659,47.2847,46.2039,46.6832,7580229
2017-01-26,47.0779,47.0779,46.3167,46.467,4333326
2017-01-27,46.608,46.9934,45.7433,46.1287,5083777
2017-01-30,46.1663,46.2415,45.2264,45.452,5473874
2017-01-31,45.6212,45.6775,44.061,45.1606,5308936
2017-02-01,46.6926,46.9652,44.2677,44.8411,7659253
2017-02-02,45.5272,45.5836,44.5779,45.0196,4151292
2017-02-03,44.9632,45.5836,44.3335,45.264,3778917
2017-02-06,45.2922,45.8185,44.9257,45.4614,7976535
2017-02-07,45.2358,45.593,44.7142,45.0478,3999699
2017-02-08,44.7095,46.1804,44.5403,46.1663,4461304
2017-02-09,46.6644,47.0686,46.265,46.9276,4232154
2017-02-10,47.3411,47.4343,46.6925,47.1249,2788007
2017-02-13,47.1155,47.6325,46.9182,47.2565,3256517
2017-02-14,47.3607,48.2505,47.0483,48.241,4359308
2017-02-15,48.0801,48.4256,47.5879,47.9381,4396124
2017-02-16,48.2694,48.2789,47.1997,47.2944,2955418
2017-02-17,47.0199,47.3796,46.7737,47.3512,3352675
2017-02-21,47.7866,47.9097,47.3228,47.692,3963511
2017-02-22,47.4269,47.6825,46.9252,47.1524,3157880
2017-02-23,47.7015,47.9476,47.2565,47.6636,2673896
2017-02-24,47.3323,47.3701,46.7927,47.3607,3118658
2017-02-27,47.3512,48.2174,47.3228,48.0517,5134802
2017-02-28,47.8056,48.4398,46.8447,46.9536,5659388
2017-03-01,47.3323,48.7522,47.3039,48.2694,5952844
2017-03-02,48.1842,48.6667,47.7109,48.3168,4947428
2017-03-03,48.4493,48.6386,48.0896,48.5345,3997345
2017-03-06,48.3168,48.5724,47.815,48.4209,6826664
2017-03-07,48.4114,48.7049,47.4364,47.4743,3413679
2017-03-08,47.4743,48.2221,47.4033,47.5405,5849211
2017-03-09,47.3512,47.5027,46.3099,46.6507,4952235
2017-03-10,46.9347,47.2802,46.3572,47.2092,4704383
2017-03-13,47.2092,48.3641,47.1997,48.2694,5771626
2017-03-14,47.7298,47.8908,47.0199,47.3417,5882976
2017-03-15,47.7866,48.8469,47.4837,48.809,6299222
2017-03-16,48.8942,49.4527,48.383,48.4493,5216118
2017-03-17,48.7238,48.9889,47.8529,48.0801,5309613
2017-03-20,47.957,48.099,47.479,47.8056,5599342
2017-03-21,47.7866,47.9097,46.5276,46.6317,5192683
2017-03-22,46.4897,47.1713,46.3193,46.9252,4048680
2017-03-23,46.9063,47.2849,46.556,46.6696,2721533
2017-03-24,46.8684,46.8779,46.2058,46.2625,3563205
2017-03-27,45.7987,46.4424,45.6094,46.2247,3191787
2017-03-28,46.3193,46.5323,46.0164,46.414,4069800
2017-03-29,46.4045,47.9192,46.3572,47.8529,3867402
2017-03-30,47.9002,48.099,47.3323,47.4648,5893493
2017-03-31,47.2281,48.1274,47.1713,47.8434,4851509
2017-04-03,47.976,48.1274,46.982,47.2755,2746672
2017-04-04,47.5405,47.6352,46.8968,47.6163,2445737
2017-04-05,47.957,48.4493,46.7643,46.8021,4060346
2017-04-06,47.0199,47.7582,46.8495,47.1808,4536125
2017-04-07,47.0956,47.7393,46.8684,47.3512,3526839
2017-04-10,47.6352,48.0896,47.4459,47.4648,3773903
2017-04-11,47.5121,47.8434,47.2471,47.7393,4537252
2017-04-12,47.8813,48.2221,47.1713,47.2755,2986648
2017-04-13,47.1997,47.3306,46.4803,46.6128,3373789
2017-04-17,46.6507,47.2849,46.6412,47.2376,3563187
2017-04-18,46.9536,47.3417,46.0448,46.3288,3526540
2017-04-19,46.1963,46.5371,45.2307,45.6188,5526760
2017-04-20,45.704,46.4045,45.562,45.9502,3066780
2017-04-21,45.9218,46.3856,45.7798,45.9691,4201443
2017-04-24,46.7264,47.7488,46.4897,47.5121,5269881
2017-04-25,47.5879,47.7251,47.2281,47.3607,3813621
2017-04-26,47.0861,47.4364,46.6885,46.9536,4885477
2017-04-27,46.8305,48.8658,46.8211,48.2978,6786629
2017-04-28,48.5818,48.5913,47.976,48.2221,3648520
2017-05-01,48.4209,48.4493,47.7866,48.1464,3340937
2017-05-02,48.3546,48.8658,48.2978,48.6765,4864113
2017-05-03,48.383,48.9321,48.1653,48.5061,4533448
2017-05-04,48.383,48.383,46.7359,46.9157,5862446
2017-05-05,47.124,48.0233,46.8211,47.957,5806274
2017-05-08,47.9192,48.7522,47.7204,48.6008,5924063
2017-05-09,48.7522,48.9226,48.2458,48.7144,3965002
2017-05-10,49.0646,49.8551,48.5724,49.5474,5966006
2017-05-11,49.6989,50.3994,49.4811,49.7083,4701640
2017-05-12,49.6231,50.2101,49.5853,49.8598,2946460
2017-05-15,50.4889,51.0131,50.06,50.5079,4787722
2017-05-16,50.2601,50.2601,49.3451,50.0218,5047024
