date,open,high,low,close,volume
2017-01-03,55.3087,56.4588,55.2152,56.2437,11988657
2017-01-04,56.571,56.8422,56.1409,56.225,9411941
2017-01-05,56.3092,56.6458,56.1035,56.2063,10096779
2017-01-06,56.1876,56.5336,55.664,56.3559,10238738
2017-01-09,56.384,57.4874,56.1783,57.132,9734637
2017-01-10,57.2255,57.2629,56.0006,56.0287,15302218
2017-01-11,58.2915,59.0583,56.8048,57.6276,32711722
2017-01-12,58.4692,59.1331,58.0858,58.17,24885363
2017-01-13,58.2822,58.6094,58.0671,58.2915,9969105
2017-01-17,57.8988,58.039,57.2255,57.4874,10592686
2017-01-18,57.3939,57.7679,57.1133,57.1975,8131662
2017-01-19,57.0853,57.1133,56.1689,56.412,11397928
2017-01-20,58.3476,58.8338,58.1138,58.4692,25240347
2017-01-23,57.7959,58.3476,57.6276,57.7959,10201696
2017-01-24,57.5902,57.6837,56.7897,57.2349,10487452
2017-01-25,57.3378,57.3939,56.8141,57.1133,14556969
2017-01-26,57.0572,57.3705,56.6084,57.2255,12707468
2017-01-27,57.3939,57.9642,57.319,57.7398,6652609
2017-01-30,57.5248,57.7024,56.9684,57.4406,7853564
2017-01-31,57.0946,58.198,56.9637,57.9642,9821054
2017-02-01,58.0297,58.2261,57.5622,58.0671,11018765
2017-02-02,58.572,60.0401,58.4692,60.012,18990180
2017-02-03,59.7128,60.1523,59.1611,60.1149,11650528
2017-02-06,59.7689,60.732,59.7502,60.7227,9158767
2017-02-07,60.5543,60.7133,59.8905,60.0307,8435269
2017-02-08,59.7502,60.2925,59.6847,60.1429,5906828
2017-02-09,60.1616,60.6105,60.1195,60.2084,7052880
2017-02-10,60.1429,60.3767,59.8063,59.984,8531370
2017-02-13,60.0775,60.6198,60.0494,60.5637,7151139
2017-02-14,60.4421,61.452,60.2458,61.3959,10142722
2017-02-15,60.6853,61.5923,60.6385,60.9284,17807287
2017-02-16,60.9097,61.1621,60.2738,61.0219,12346265
2017-02-17,60.9658,61.3024,60.6479,61.1434,9048256
2017-02-21,60.6853,61.5081,60.6853,61.2276,7386072
2017-02-22,61.2463,61.4801,60.8629,61.0499,8679633
2017-02-23,61.265,61.8167,61.1014,61.5736,6855571
