date,open,high,low,close,volume
2017-01-03,79.7863,80.2934,79.4323,79.9872,1028958
2017-01-04,79.9394,80.3029,79.5279,79.8819,778225
2017-01-05,79.6428,80.0159,78.4563,79.0687,735134
2017-01-06,79.2983,79.8054,78.9443,79.3079,587858
2017-01-09,79.3079,79.5184,79.0065,79.4323,853340
2017-01-10,79.3749,79.4897,78.5807,79.0591,627094
2017-01-11,78.7434,79.327,78.7434,79.2983,522754
2017-01-12,79.04,79.04,78.1023,78.6286,624444
2017-01-13,78.8295,79.4992,78.5233,78.7147,542541
2017-01-17,78.2745,78.552,77.0881,77.2412,865736
2017-01-18,77.4708,78.1502,77.069,78.1215,709339
2017-01-19,78.1597,78.7051,77.7675,78.3224,566706
2017-01-20,78.5233,78.9443,78.2937,78.8008,616416
2017-01-23,79.0687,79.8915,78.4085,78.8773,855697
2017-01-24,79.0113,81.1545,78.7625,80.7048,1126392
2017-01-25,81.0301,81.7477,80.8387,81.6042,994824
2017-01-26,81.4319,81.6042,79.748,79.7576,1298859
2017-01-27,79.7767,79.7767,78.1502,79.394,1238580
2017-01-30,78.8295,79.4801,77.6718,78.1693,1685585
2017-01-31,77.8344,78.1693,76.4471,77.2221,1381219
2017-02-01,77.6526,78.2458,76.3036,76.5715,1528793
2017-02-02,76.4088,77.557,76.1888,77.4996,1961604
2017-02-03,79.3414,80.1307,75.5381,78.0736,3440225
2017-02-06,77.8536,78.7529,76.7341,78.198,3032567
2017-02-07,78.1884,78.4372,73.5959,73.9977,11474969
2017-02-08,74.457,76.0165,74.457,74.8684,2484900
2017-02-09,75.1076,75.3755,74.39,74.4474,1740391
2017-02-10,74.5335,75.1267,73.8925,74.9832,1596090
2017-02-13,75.3851,75.9591,75.0311,75.0885,1412554
2017-02-14,74.8875,75.2989,74.5527,75.2798,1271173
2017-02-15,75.2128,76.1505,74.9832,75.9687,1379371
2017-02-16,76.0357,76.1601,75.0502,75.2607,1131037
2017-02-17,75.0311,75.9304,74.8493,75.8826,796273
2017-02-21,75.806,76.9446,75.7773,76.6863,1073162
2017-02-22,76.6097,77.2986,76.1696,76.2079,994732
2017-02-23,76.5523,76.8872,75.3659,75.9304,1071312
2017-02-24,75.5573,76.8585,75.0311,76.8011,1118880
2017-02-27,76.782,76.9016,75.7678,75.8539,874406
2017-02-28,75.586,76.1122,75.4999,75.5573,1427031
2017-03-01,76.3227,76.8011,75.5668,76.5236,1157977
2017-03-02,76.2844,76.6384,75.653,76.5619,903782
2017-03-03,76.5619,77.2317,76.1314,77.069,1051352
2017-03-06,76.5141,76.8298,76.2462,76.5141,1292748
2017-03-07,76.2079,76.7054,75.3468,76.2175,1459936
2017-03-08,76.3131,77.0307,76.1983,76.7341,1408592
2017-03-09,76.6672,77.8727,76.5571,77.8536,1209969
2017-03-10,77.7675,78.8869,77.7675,78.552,1221380
2017-03-13,78.3403,79.0236,78.0613,78.5713,1213540
2017-03-14,78.3307,80.698,78.1383,80.2168,2022766
2017-03-15,80.313,82.2088,80.3034,82.0259,1927922
2017-03-16,82.1221,82.9786,81.6025,81.9393,1755847
2017-03-17,82.0837,82.5167,81.4774,81.5255,1485104
2017-03-20,81.3427,81.5736,80.4959,81.1214,1277471
2017-03-21,83.479,83.7196,80.4093,80.6017,2523356
2017-03-22,80.9578,81.6891,80.1494,80.4381,1868701
