date,open,high,low,close,volume
2017-01-03,151.3113,153.7646,148.9584,149.9149,1259082
2017-01-04,150.0679,151.3591,149.6279,150.833,765932
2017-01-05,150.4122,150.5557,147.6289,148.6141,952105
2017-01-06,149.121,150.2783,148.7288,149.7427,932048
2017-01-09,148.7288,149.9722,147.9254,149.1688,696104
2017-01-10,149.3218,150.6035,148.681,149.8766,674870
2017-01-11,149.6375,150.2496,148.5481,150.1731,679676
2017-01-12,149.5801,149.5801,147.5141,148.5854,827861
2017-01-13,149.4749,151.8373,148.7097,149.274,934906
2017-01-17,147.3133,147.5691,145.8212,146.0316,1078377
2017-01-18,146.8542,148.1167,145.5725,147.9063,1065832
2017-01-19,148.2506,150.5461,145.9695,148.5854,889980
2017-01-20,148.9584,150.8412,148.7193,150.1922,632860
2017-01-23,149.121,150.2974,148.5567,149.1497,1143752
2017-01-24,149.9435,153.2433,149.494,152.6407,832019
2017-01-25,153.7981,155.7875,153.0998,155.1371,1065600
2017-01-26,155.3093,156.83,154.8406,156.5048,894358
2017-01-27,156.2848,157.3656,155.9214,156.897,640053
2017-01-30,156.8013,156.8013,154.3624,156.1414,708810
2017-01-31,155.0988,156.1414,154.3624,155.491,982271
2017-02-01,156.8492,159.0968,155.5388,155.6345,1136770
2017-02-02,154.3815,155.8544,153.5303,155.051,820304
2017-02-03,156.7535,157.3083,155.6345,156.7535,1272589
2017-02-06,155.5388,156.8396,154.5345,156.3327,692978
2017-02-07,157.0978,157.0978,155.2614,155.424,847432
2017-02-08,154.6302,156.084,153.7694,155.711,845739
2017-02-09,155.8449,157.9778,154.9936,157.3178,788083
2017-02-10,157.9491,158.7525,157.2509,158.1117,633956
2017-02-13,158.8673,160.9619,158.7047,159.5368,959180
2017-02-14,159.709,161.7175,159.2212,160.895,1077614
2017-02-15,161.5932,163.3674,160.6606,161.7653,950654
2017-02-16,161.5167,161.794,159.2116,160.2828,1182956
2017-02-17,159.2307,160.7037,159.0107,160.5985,731495
2017-02-21,160.9237,161.9566,160.1011,160.6176,809448
2017-02-22,159.6133,161.268,159.4316,160.7132,929017
2017-02-23,161.0193,162.6835,160.1011,162.387,877627
2017-02-24,161.2202,161.7653,160.1394,161.3254,1257583
2017-02-27,161.3923,161.794,160.5411,160.6367,991343
2017-02-28,159.9098,160.7611,158.8673,159.6994,1042172
2017-03-01,162.2531,166.1555,162.0714,164.7112,1050100
2017-03-02,165.2395,165.2395,160.0137,160.542,877890
2017-03-03,160.6765,161.7236,160.5132,161.397,621768
2017-03-06,160.0041,161.2721,158.5151,160.3979,804980
2017-03-07,160.225,161.3682,159.1107,160.1674,614586
2017-03-08,161.4546,161.8581,159.5862,160.1001,539344
2017-03-09,160.7053,161.1664,159.4085,159.9752,608358
2017-03-10,161.0319,161.0319,158.2105,159.6486,913456
2017-03-13,159.5526,159.9752,158.5871,158.9666,988841
2017-03-14,158.419,159.7351,157.0741,159.4277,534467
2017-03-15,159.9752,160.1674,157.1318,157.3047,789506
2017-03-16,157.3047,159.0626,156.8243,158.0155,718157
2017-03-17,157.8522,158.3806,155.0952,155.71,2603070
2017-03-20,155.3065,156.5698,154.3363,154.6053,875803
2017-03-21,155.5851,155.9021,148.7069,148.9471,1337197
2017-03-22,148.2074,150.0038,145.7098,148.6685,1004284
2017-03-23,148.5628,151.3007,147.5158,148.8703,965669
2017-03-24,149.7925,150.6859,147.5254,148.8703,875472
2017-03-27,145.3351,148.3803,143.6252,148.1017,810952
2017-03-28,148.2266,150.5514,147.6842,149.9174,877433
2017-03-29,149.1488,149.706,147.9673,148.3515,457089
2017-03-30,148.0633,151.1758,148.0633,150.4745,756205
2017-03-31,149.754,150.4073,148.4284,148.6397,504668
2017-04-03,149.1584,149.7444,146.4879,148.4091,820714
2017-04-04,147.7559,149.1104,147.3909,148.121,659930
2017-04-05,149.5523,150.1095,146.1132,146.3822,575316
2017-04-06,146.3726,147.6406,145.2486,147.3332,798075
2017-04-07,146.3822,147.8424,145.7517,146.997,589266
2017-04-10,146.7376,147.7559,145.0181,145.5849,548176
2017-04-11,144.8356,145.5176,143.7693,145.5176,616014
2017-04-12,144.7107,145.5849,142.9815,143.923,1071228
2017-04-13,143.3274,144.4417,141.7423,142.1074,1516497
2017-04-17,143.6252,147.8039,143.2505,147.6598,1406042
2017-04-18,147.1507,148.4091,144.7011,145.8731,1264928
2017-04-19,147.0739,147.7079,145.2198,145.5176,802204
2017-04-20,146.8529,148.7358,146.1805,148.2074,613370
2017-04-21,147.8136,149.1392,147.4197,147.852,630569
2017-04-24,151.3679,152.6167,150.537,150.7915,693298
2017-04-25,152.1268,153.6158,151.4544,151.5216,862584
2017-04-26,151.1085,153.2892,151.1085,152.4438,726714
2017-04-27,152.5591,153.1691,150.1671,150.7723,357200
2017-04-28,150.5898,151.4256,149.2353,149.2929,432782
2017-05-01,150.7051,151.6753,149.2737,150.7819,594303
2017-05-02,151.2911,151.6561,149.8117,150.6282,459345
2017-05-03,149.7733,153.6062,149.5043,153.0298,620561
2017-05-04,153.9809,154.5476,151.9635,152.8281,949776
2017-05-05,153.0682,153.3276,151.5696,152.6744,365928
2017-05-08,152.4919,153.7119,151.8963,153.6062,422717
2017-05-09,153.7695,155.4698,152.5783,153.0394,486132
2017-05-10,152.4919,153.1931,151.9635,153.0298,442127
2017-05-11,152.415,153.0183,150.6811,152.1941,426618
2017-05-12,151.0797,151.8098,150.1475,151.5985,564463
2017-05-15,151.7234,154.3171,151.3391,154.221,1171347
2017-05-16,154.4324,157.0645,153.9712,155.979,1275384
2017-05-17,151.8194,153.4621,149.3496,150.3689,1082616
2017-05-18,150.1191,151.9635,149.5139,150.8972,892279
2017-05-19,150.9452,152.6648,150.5898,151.1085,843375
2017-05-22,151.6753,152.6936,149.658,152.5015,641143
2017-05-23,152.5207,155.7773,152.1845,154.9511,580919
2017-05-24,155.3065,155.4026,153.5294,154.0961,956042
2017-05-25,154.4035,155.4506,153.6638,154.855,782062
2017-05-26,154.2306,155.2585,153.6927,153.8944,410699
2017-05-30,153.4698,153.5276,151.0183,152.5625,475713
2017-05-31,152.688,153.0451,149.7829,151.0183,1072479
2017-06-01,152.0703,153.4698,150.1014,153.1706,625835
2017-06-02,152.0317,153.1995,151.0569,152.0993,645217
2017-06-05,152.1379,153.6049,151.414,151.7035,639161
2017-06-06,150.4488,151.0858,149.696,150.4392,589477
2017-06-07,150.777,151.993,150.2172,151.2596,705087
2017-06-08,151.2499,155.1202,150.4199,153.5373,832320
2017-06-09,154.5025,158.3149,154.5025,157.6682,698801
2017-06-12,157.8033,158.2473,156.2012,156.7803,915180
2017-06-13,157.4269,158.142,156.3556,157.0119,709479
2017-06-14,155.0623,157.0071,153.6174,156.8864,638212
2017-06-15,156.1336,157.3111,154.5315,155.8827,406979
