date,open,high,low,close,volume
2017-01-03,36.1923,36.5477,35.8416,36.1175,1614289
2017-01-04,36.1362,36.5103,35.9959,36.501,1892258
2017-01-05,36.5571,36.6038,35.865,35.9492,2142102
2017-01-06,35.9585,37.2585,35.706,37.1649,2377656
2017-01-09,37.1649,38.0721,37.0153,38.016,3124483
2017-01-10,38.044,38.3714,37.8392,38.2404,2443496
2017-01-11,38.1937,38.2124,37.8944,38.0627,1297274
2017-01-12,38.016,38.016,37.1743,37.8476,2135639
2017-01-13,37.9318,39.1195,37.8197,38.7828,3088140
2017-01-17,38.6052,38.6579,38.002,38.0908,1579166
2017-01-18,38.1189,38.6988,38.0721,38.549,2229590
2017-01-19,38.5116,38.7641,37.8196,37.9505,3116845
2017-01-20,38.2311,38.9605,38.2311,38.708,3433827
2017-01-23,38.549,38.8296,38.4088,38.708,2032158
2017-01-24,38.3714,39.3627,38.3714,39.3066,2410781
2017-01-25,39.5591,39.8864,39.1756,39.4936,3419945
2017-01-26,39.5217,39.5591,38.9605,39.2504,2588731
2017-01-27,41.7661,42.3366,41.3827,41.8129,7456120
2017-01-30,41.6726,42.1168,40.2885,42.0935,3314327
2017-01-31,41.9532,41.9532,41.3617,41.5978,2424874
2017-02-01,41.8223,42.0654,41.4201,41.8597,2253771
2017-02-02,41.5604,41.7568,41.1816,41.6539,1742609
2017-02-03,41.8223,41.841,41.5651,41.7755,1556425
2017-02-06,41.71,41.9812,41.5136,41.9345,2598838
2017-02-07,41.9812,42.5891,41.8971,42.5237,2573784
2017-02-08,42.5985,42.6265,42.1776,42.215,2667927
2017-02-09,42.1402,42.5096,41.8784,41.9719,1905666
2017-02-10,42.0935,42.3226,41.4716,42.1496,1915370
2017-02-13,42.2899,42.4862,42.014,42.1122,1504414
2017-02-14,41.9625,42.2057,41.682,41.7381,1327163
2017-02-15,41.8597,42.1122,41.523,42.0841,2288851
2017-02-16,41.9625,42.4582,41.9158,42.1122,1109377
2017-02-17,42.0093,42.1963,41.7287,42.187,1593389
2017-02-21,42.1309,42.4956,42.1215,42.4301,1317455
