date,open,high,low,close,volume
2017-01-03,32.0133,32.0753,30.826,31.2159,9777618
2017-01-04,31.464,32.2481,31.4329,31.7564,9508705
2017-01-05,27.9729,28.221,27.0337,27.3438,29249122
2017-01-06,27.3083,27.9286,27.0691,27.3083,11484816
2017-01-09,27.3615,27.459,26.8919,26.9894,9250337
2017-01-10,27.1489,27.1874,26.6881,26.8476,10683650
2017-01-11,27.0248,27.0514,26.3603,26.5375,8963993
2017-01-12,26.4311,26.7501,26.316,26.5641,6352366
2017-01-13,26.5109,26.5818,26.2805,26.4754,5858026
2017-01-17,26.502,27.1134,26.4666,26.4932,8772950
2017-01-18,26.5906,26.5906,25.297,26.0856,13242207
2017-01-19,26.1387,26.4312,25.935,26.0944,7456093
2017-01-20,26.2008,26.4489,26.1042,26.316,7018816
2017-01-23,26.121,26.5109,26.0058,26.2539,4666007
2017-01-24,26.1565,26.6084,26.1565,26.5641,5049677
2017-01-25,26.7235,26.9362,26.5197,26.7147,6088329
2017-01-26,26.7413,26.879,26.4134,26.5109,4353916
2017-01-27,26.5375,26.5552,25.4299,25.7932,9943381
2017-01-30,25.7577,26.1653,25.7223,26.1565,5403592
2017-01-31,25.5628,26.2096,25.4653,26.1742,9050676
2017-02-01,25.9793,26.2008,25.802,25.8818,5061199
2017-02-02,26.8653,27.521,26.4932,27.2197,16462848
2017-02-03,27.1932,30.4539,26.6792,28.9653,47958389
2017-02-06,28.921,29.0539,28.0349,28.1678,14485846
2017-02-07,28.1235,28.4868,27.4856,27.645,10415505
2017-02-08,27.5121,28.3362,27.2995,28.3362,6918209
2017-02-09,28.2564,28.9298,28.0349,28.6817,7609562
2017-02-10,28.7438,29.1336,27.9552,28.345,7894939
2017-02-13,29.302,29.4437,28.7349,28.8678,14054991
2017-02-14,28.8944,29.2311,28.7969,28.9564,7542160
2017-02-15,29.1425,29.2577,28.7172,29.0096,7324994
2017-02-16,28.9741,29.1248,28.1058,28.1944,8813671
2017-02-17,28.3185,28.6286,28.2298,28.6197,8197221
2017-02-21,29.3197,29.6741,28.4691,28.6109,16118493
2017-02-22,28.6197,29.0982,28.4514,28.6729,9381632
2017-02-23,28.7792,29.3197,28.5931,28.7438,8962227
2017-02-24,28.7792,29.7361,28.5931,29.3906,8149239
2017-02-27,29.3729,29.8868,29.3374,29.745,6298928
2017-02-28,29.3729,29.4526,28.9387,29.4349,10276353
2017-03-01,29.6653,29.8336,29.1336,29.1957,6063343
2017-03-02,29.3551,29.5235,29.2045,29.4349,4489398
2017-03-03,29.1868,29.3906,27.6273,28.1501,13210246
2017-03-06,27.7514,27.778,26.7634,27.1932,10976066
2017-03-07,27.2552,27.4856,27.078,27.2995,6091991
2017-03-08,27.3261,28.4957,27.2375,28.1501,7859794
2017-03-09,28.1855,28.2387,27.7691,27.9374,4471724
2017-03-10,28.1412,28.3273,27.8799,28.1147,3914649
2017-03-13,28.0855,28.1931,27.6192,27.7089,6127422
2017-03-14,27.8613,28.4711,27.3502,27.7537,4737058
2017-03-15,27.6013,27.6013,26.8032,27.1888,8595619
2017-03-16,26.9018,27.4219,26.6776,27.2695,6385561
2017-03-17,27.404,27.5116,27.0991,27.3861,11769077
2017-03-20,27.4309,27.4309,26.2831,26.3369,7840370
2017-03-21,26.301,26.3638,24.9649,25.485,11558153
2017-03-22,25.4581,25.5029,24.9583,25.4402,6532502
2017-03-23,25.4671,25.9692,25.2832,25.3505,5434531
2017-03-24,25.1263,25.3864,24.947,25.2608,4292479
2017-03-27,24.947,25.3684,24.8573,25.0456,5857743
2017-03-28,24.8842,25.6285,24.8732,25.6016,4538714
2017-03-29,25.6016,26.449,25.4671,26.2472,6315503
2017-03-30,26.1306,26.5835,26.0589,26.4176,4662809
2017-03-31,26.4176,26.8122,26.4086,26.579,5931670
2017-04-03,26.5431,26.7404,26.1441,26.579,5185953
2017-04-04,26.4355,26.4445,25.5926,25.9065,6905048
2017-04-05,25.9782,26.5073,25.745,25.8437,6649267
2017-04-06,25.9782,26.9736,25.9782,26.3817,5994476
2017-04-07,26.3369,26.5611,26.0499,26.0948,4897667
2017-04-10,26.2562,26.727,26.1037,26.4714,4849522
2017-04-11,26.5073,26.6776,26.1306,26.6418,3316103
2017-04-12,26.588,26.7045,26.0948,26.1575,5431079
2017-04-13,26.2472,26.3593,25.8437,26.1575,4184298
2017-04-17,26.1575,26.2113,25.6195,25.8437,4144049
2017-04-18,25.7989,25.8616,25.5209,25.745,3459596
2017-04-19,25.8258,26.4176,25.8258,26.0858,4257574
2017-04-20,26.2921,27.0632,26.2921,26.9108,5348654
2017-04-21,26.7673,26.9467,26.2921,26.4355,3549439
2017-04-24,26.7135,26.7584,26.0499,26.1755,4288603
2017-04-25,26.319,26.4848,26.0141,26.2562,4465105
2017-04-26,26.3459,26.6507,26.2831,26.3907,3009055
2017-04-27,26.4266,26.57,26.1844,26.4624,2959266
2017-04-28,26.4266,26.4624,26.0311,26.2024,4259615
2017-05-01,26.2113,26.2741,25.7002,25.8796,4011902
2017-05-02,25.8975,26.5431,25.7899,26.4535,3440492
2017-05-03,26.4535,26.6516,26.0051,26.1486,3781542
2017-05-04,26.2562,26.5073,25.9244,25.9334,3582996
2017-05-05,26.0141,26.2741,25.9244,25.9782,4764841
2017-05-08,26.1396,26.1844,25.6554,25.7092,4041405
2017-05-09,25.7002,26.4445,25.6195,26.2741,10916973
2017-05-10,26.2562,26.7494,26.1934,26.31,7930450
2017-05-11,23.7453,24.2116,21.7456,21.8353,47285624
2017-05-12,21.8891,21.925,21.1359,21.1717,20009108
2017-05-15,21.2435,21.4318,20.7144,20.813,19967099
2017-05-16,20.9117,20.9117,20.3647,20.4633,16890813
2017-05-17,20.5082,20.822,20.3737,20.6337,11340574
2017-05-18,20.6785,20.9476,20.275,20.4095,9039543
2017-05-19,20.4544,20.7682,20.1136,20.6337,8608216
2017-05-22,20.6516,21.2614,20.553,20.9924,9339226
2017-05-23,21.0731,21.0821,20.6606,20.6696,5531328
2017-05-24,20.6696,20.8848,20.553,20.7861,4448877
2017-05-25,20.9834,21.2704,20.9117,20.9476,5601931
2017-05-26,20.9476,21.1179,20.7413,21.0193,4094515
2017-05-30,21.0193,21.3645,20.9834,21.1628,6781284
2017-05-31,21.1628,21.1852,20.7189,21.0731,11249901
2017-06-01,21.0462,21.6649,21.0462,21.5932,6063364
2017-06-02,21.7905,22.024,21.3062,21.3511,6796555
2017-06-05,21.2704,21.4946,21.0372,21.3959,4765918
2017-06-06,21.4318,21.8981,19.6025,19.6383,30079766
2017-06-07,19.7101,19.7728,19.2886,19.5576,14050188
2017-06-08,20.0598,20.4992,19.5128,19.5218,18786921
2017-06-09,19.5666,20.4095,19.4231,20.3557,13500754
2017-06-12,20.4185,20.9207,20.1136,20.3288,12620753
2017-06-13,20.1989,20.6639,20.1715,20.2992,8510531
2017-06-14,20.3357,20.8007,19.9891,20.7551,9440460
2017-06-15,20.6913,21.0834,20.5454,20.7278,6371747
2017-06-16,20.6183,20.9147,20.2171,20.9102,8967767
2017-06-19,21.0196,21.0196,20.4451,20.7095,8765901
2017-06-20,20.6913,20.6913,20.135,20.1533,6548561
2017-06-21,20.0803,20.1578,19.638,19.6973,8550265
2017-06-22,19.7247,20.2718,19.6152,20.1442,6466804
2017-06-23,20.1806,20.3539,19.98,20.3083,6753598
2017-06-26,20.3265,20.591,20.2217,20.4907,6424220
2017-06-27,20.5089,21.1837,20.5089,21.0561,10412950
2017-06-28,21.1655,21.4573,21.0013,21.1381,11342201
2017-06-29,21.2293,21.3114,20.7187,20.9284,7060666
2017-06-30,21.0469,21.2157,20.7643,21.1929,6154709
2017-07-03,21.2749,21.8221,21.2476,21.74,3895411
2017-07-05,22.0409,22.4817,21.4391,21.4482,12113751
2017-07-06,21.2111,21.3388,20.8098,20.8372,5704721
2017-07-07,20.901,21.0196,20.6092,20.6822,7629963
2017-07-10,20.6822,20.7004,19.2094,19.2231,21696311
2017-07-11,19.287,19.4055,19.0134,19.3052,10020727
2017-07-12,19.3508,19.4611,19.1593,19.3599,7457271
2017-07-13,19.6791,20.4816,19.6608,20.1533,14105889
2017-07-14,20.2353,20.518,20.0256,20.3904,8571396
2017-07-17,20.3904,21.3023,20.3539,21.0196,11494864
2017-07-18,20.974,21.0925,20.518,20.6822,5779982
2017-07-19,20.819,21.0469,20.6822,20.9649,4045634
2017-07-20,20.8281,21.2384,20.819,21.0378,6034299
2017-07-21,21.0834,21.357,20.8418,21.3023,4822162
2017-07-24,21.1746,21.2932,20.6366,20.6913,5453848
2017-07-25,20.8281,21.6032,20.7825,21.4208,6531017
2017-07-26,21.4755,21.5576,21.1153,21.4664,5482200
2017-07-27,21.512,22.2233,21.2749,22.0683,8594787
2017-07-28,22.0227,22.0592,21.5303,21.8221,5342021
2017-07-31,22.2233,22.2963,21.4755,21.6579,5862623
2017-08-01,21.6579,21.8403,21.0652,21.129,6529194
2017-08-02,21.6579,21.8403,21.0652,21.129,6529800
2017-08-03,21.2384,21.9224,21.1746,21.512,6046994
2017-08-04,21.4938,21.5667,21.1336,21.2476,8755562
2017-08-07,21.2202,21.6032,21.0105,21.4847,6071493
2017-08-08,21.9862,22.1048,21.4026,21.4482,6386380
2017-08-09,21.3388,21.5759,20.7734,21.0013,9981189
2017-08-10,20.6275,20.8372,18.7398,18.8492,39690281
2017-08-11,18.5848,19.1775,18.3842,18.8036,12503939
2017-08-14,18.9404,19.059,18.5209,18.5574,8824225
2017-08-15,18.603,18.7307,18.4298,18.5027,7943004
2017-08-16,18.6669,18.9587,18.3386,18.3659,8763103
2017-08-17,18.3203,18.3568,17.8826,17.8917,20363448
2017-08-18,17.837,17.91,17.6455,17.7732,10487634
2017-08-21,17.7641,17.9556,17.6218,17.8097,9380781
2017-08-22,18.2474,18.7672,18.1835,18.6213,17550697
2017-08-23,18.5301,18.8857,18.4298,18.6942,8871131
2017-08-24,19.0499,19.3873,18.79,18.8675,12329836
2017-08-25,18.831,19.3964,18.831,19.2505,8701564
2017-08-28,19.3325,19.3781,19.0955,19.2961,5801144
2017-08-29,19.0316,19.1228,18.8675,19.0955,7143685
2017-08-30,19.0955,19.1958,18.9222,18.9951,4482950
2017-08-31,18.9951,19.1228,18.8492,18.9404,7947877
2017-09-01,19.0407,19.5696,19.0316,19.5241,6952206
2017-09-05,19.4693,19.4693,18.9587,19.1593,7462954
2017-09-06,19.287,20.2901,19.287,20.2171,14297898
