date,open,high,low,close,volume
2017-01-03,37.3909,38.0102,36.4909,37.1877,3738612
2017-01-04,37.0619,37.2941,36.3555,37.0909,3190734
2017-01-05,37.1393,37.4393,36.6554,36.9264,3182882
2017-01-06,37.0715,37.1393,36.4909,36.907,2255369
2017-01-09,36.549,36.6651,36.0361,36.191,4008518
2017-01-10,36.3555,36.4135,35.7749,35.7942,2916844
2017-01-11,36.3845,36.3845,35.7458,36.1329,3766926
2017-01-12,36.4522,36.4522,35.742,35.9781,3322073
2017-01-13,35.7749,36.3555,35.6104,36.1813,4352400
2017-01-17,37.0909,39.5198,37.0619,38.7553,17521487
2017-01-18,38.4069,39.2295,38.1263,38.5037,6414852
2017-01-19,38.465,39.2827,38.2908,38.9682,5363657
2017-01-20,39.394,39.5681,38.8617,38.9101,4074287
2017-01-23,38.494,39.0745,38.3779,38.4843,3594875
2017-01-24,38.6972,39.2876,38.4263,38.7359,4057511
2017-01-25,38.7263,38.9875,38.2473,38.5037,5352984
2017-01-26,38.7747,39.1907,38.465,38.9295,4669283
2017-01-27,38.8037,39.1617,38.6584,38.9682,5356632
2017-01-30,38.8424,38.8521,37.5844,38.2424,5917460
2017-01-31,38.436,38.6198,37.8844,38.4747,4182985
2017-02-01,38.6682,38.9295,37.8747,38.1844,3844629
2017-02-02,38.3396,38.65,37.6411,38.5433,4002814
2017-02-03,38.5045,39.3582,38.1359,39.0963,3869113
2017-02-06,39.0866,39.3097,38.4269,38.6694,2769844
2017-02-07,38.3396,38.5336,37.2967,37.6411,3969544
2017-02-08,37.3209,37.5441,36.5351,37.1075,4992779
2017-02-09,37.515,37.9127,37.0978,37.2433,3811126
2017-02-10,37.7866,38.1165,37.253,37.709,3083591
2017-02-13,37.5441,37.5635,36.9038,37.3112,4755861
2017-02-14,38.3202,38.4172,35.8269,36.5254,6909725
2017-02-15,36.3508,36.6807,36.0792,36.3508,4666100
2017-02-16,36.5351,36.7777,36.021,36.0986,3521864
2017-02-17,36.0501,36.2829,35.89,35.9434,2770058
2017-02-21,36.4284,36.6904,36.1956,36.4187,3471943
2017-02-22,36.0501,36.215,35.5456,35.5747,2972344
2017-02-23,36.2538,36.6467,35.9143,36.3023,5826344
2017-02-24,36.0889,36.5739,35.4146,35.6814,3665335
2017-02-27,35.8172,35.9919,35.4584,35.6523,3970368
2017-02-28,35.3322,35.5747,35.1187,35.3225,4078386
2017-03-01,35.7687,36.215,35.5747,36.1568,3161249
2017-03-02,35.8949,36.1471,35.6814,35.7202,3452640
2017-03-03,35.8172,36.118,35.5553,35.6135,2430343
2017-03-06,35.4098,35.856,35.2546,35.7105,3758393
2017-03-07,35.759,35.8657,34.7695,34.8083,3590605
2017-03-08,34.5561,34.6822,33.0524,33.0718,5928436
2017-03-09,32.8874,33.6927,32.5673,33.5956,5864137
2017-03-10,33.8576,33.8867,32.9166,33.0524,3347922
2017-03-13,33.0524,33.421,32.8389,33.033,5425237
2017-03-14,32.5673,32.868,32.2485,32.6837,5597101
2017-03-15,33.1203,33.4557,32.6983,33.3822,4360633
2017-03-16,33.4016,33.5568,32.7419,32.8971,3163260
2017-03-17,33.1009,33.2464,32.674,32.8486,6209915
2017-03-20,32.5867,33.0039,32.3442,32.9068,2833709
2017-03-21,32.9845,33.0718,32.1307,32.3345,3341002
2017-03-22,32.1792,32.6352,32.0725,32.5091,3548139
2017-03-23,32.3248,32.383,31.927,31.9852,6147227
2017-03-24,32.1404,32.1987,31.733,31.8397,3722723
2017-03-27,31.3934,31.9464,31.3643,31.8688,2937713
2017-03-28,31.9367,33.1979,31.9076,33.13,5804669
2017-03-29,33.0427,33.8673,33.033,33.7121,5327064
2017-03-30,33.9158,33.9594,33.2755,33.2852,7355474
2017-03-31,33.2852,33.6733,32.9068,33.3143,4417019
2017-04-03,33.2076,33.2852,32.7904,32.9554,3397395
2017-04-04,33.0912,33.3919,32.7419,33.3725,3017128
2017-04-05,33.8576,34.1583,32.9554,33.0233,4475838
2017-04-06,33.324,33.8091,33.1591,33.6538,2475521
2017-04-07,33.6538,33.8867,33.4744,33.5471,3003515
2017-04-10,33.7315,34.5173,33.683,34.2553,3931930
2017-04-11,34.2262,34.2262,33.6247,34.1874,2970489
2017-04-12,34.1389,34.6725,33.9837,34.1874,3954392
2017-04-13,34.1001,34.4591,33.7266,33.877,4848116
2017-04-17,34.0128,34.4494,33.7994,34.3038,4786182
2017-04-18,33.8673,34.1292,33.0766,33.1009,5262739
2017-04-19,33.2658,33.324,32.5285,32.6158,4616416
2017-04-20,32.7904,33.4453,32.6449,33.1591,5062275
2017-04-21,32.9166,33.4501,32.8535,33.13,3926902
2017-04-24,33.3919,33.5859,33.0669,33.1494,9717004
2017-04-25,33.2755,33.5083,33.1009,33.4016,3831105
2017-04-26,33.1688,33.9061,33.1009,33.1397,2855564
2017-04-27,32.8389,32.8389,31.4128,31.5972,10692924
