date,open,high,low,close,volume
2017-01-03,64.5642,64.679,63.4063,63.8082,614725
2017-01-04,63.7795,64.88,63.77,64.8034,612459
2017-01-05,64.5833,65.2149,64.3441,64.7269,626320
2017-01-06,64.7077,65.8465,64.6121,65.5116,615215
2017-01-09,65.4254,65.502,64.4302,64.8513,639872
2017-01-10,64.7077,64.947,64.2771,64.3058,834144
2017-01-11,64.2963,64.88,64.0092,64.8034,484379
2017-01-12,64.5355,64.6408,63.2532,64.4972,502578
2017-01-13,64.4302,64.9948,64.3441,64.7939,461043
2017-01-17,64.4589,64.7652,64.0092,64.1049,909566
2017-01-18,63.8369,64.392,63.7508,64.3537,777554
2017-01-19,64.1719,64.4398,63.6264,64.1719,624998
2017-01-20,64.4015,64.6695,63.9613,64.4589,637830
2017-01-23,64.1719,64.7652,63.7987,64.4207,630066
2017-01-24,64.3345,65.346,63.9709,65.0235,647025
2017-01-25,65.1575,65.502,64.7843,65.3967,613782
2017-01-26,65.5499,65.9326,65.3393,65.8656,623615
2017-01-27,65.9518,65.9613,65.1671,65.4159,727573
2017-01-30,65.1097,65.3202,64.5259,65.2436,763118
2017-01-31,65.4159,67.569,64.3633,67.502,1482725
2017-02-01,67.435,68.7938,67.2628,67.7029,1340638
2017-02-02,67.6264,68.1431,67.014,67.6264,829709
2017-02-03,67.9422,67.9422,67.0235,67.3106,974234
2017-02-06,67.0331,67.2819,66.6025,66.7364,869754
2017-02-07,66.9661,67.1192,65.9613,66.3728,1371235
2017-02-08,66.3154,66.3919,65.6647,65.9135,995968
2017-02-09,66.3345,66.4781,65.8465,66.124,558273
2017-02-10,66.1336,66.9805,66.1049,66.7652,877606
2017-02-13,66.7843,67.8082,66.4494,67.6551,840415
2017-02-14,67.6551,67.9805,67.4637,67.7317,682582
2017-02-15,67.9709,68.545,67.4733,68.1814,877006
2017-02-16,68.258,68.5068,67.6742,68.2675,879385
2017-02-17,68.0666,68.5642,67.7508,68.4302,2710388
2017-02-21,68.5163,68.7651,68.1958,68.2962,973268
2017-02-22,68.1718,68.6694,67.9996,68.1718,825811
2017-02-23,68.3537,68.6407,68.1049,68.3728,547290
2017-02-24,68.0187,68.6982,67.9888,68.3728,871809
2017-02-27,68.4876,68.4876,67.8656,68.0857,767239
2017-02-28,68.1144,68.2628,67.6455,68.0474,1355994
2017-03-01,68.8991,69.3967,68.7173,69.0714,1293738
2017-03-02,69.0714,69.2245,68.0857,68.1814,892916
2017-03-03,68.1431,68.4972,67.636,68.0283,1104091
2017-03-06,67.7604,68.4781,67.5881,68.2867,877437
2017-03-07,68.3632,68.3632,67.6838,67.8752,739423
2017-03-08,67.9326,68.258,67.6168,67.6838,827207
2017-03-09,67.9805,68.2006,67.6647,68.0187,720817
2017-03-10,68.2388,68.4876,67.2436,67.9039,1085240
2017-03-13,67.8273,67.9613,67.3967,67.7317,1056170
2017-03-14,67.6073,67.8848,67.4733,67.6647,691532
2017-03-15,67.9531,68.1646,67.6359,68.0781,956009
2017-03-16,68.0396,68.501,67.6455,68.4049,1099199
2017-03-17,68.3664,68.6933,68.1069,68.1357,1551705
2017-03-20,67.9146,68.2799,67.8089,68.03,632619
2017-03-21,68.2991,68.453,66.987,67.0399,1142597
2017-03-22,67.1072,67.2514,66.7034,67.0014,712921
2017-03-23,67.0687,67.5013,66.9149,67.0303,839891
2017-03-24,67.2129,67.8088,66.9822,67.1456,844700
2017-03-27,66.5881,66.7106,66.1266,66.3381,525916
2017-03-28,66.3093,66.6992,65.944,66.4631,969425
2017-03-29,66.2997,66.3381,65.7758,66.0113,601358
2017-03-30,66.0401,66.8188,65.8671,66.7034,895025
2017-03-31,66.4919,66.9437,66.2132,66.7611,900484
2017-04-03,66.5977,66.9053,66.1646,66.242,677790
2017-04-04,66.1651,66.2708,65.4345,65.9728,799976
2017-04-05,66.3477,67.1937,65.8959,66.415,799727
2017-04-06,66.367,66.9437,66.0594,66.4535,538227
2017-04-07,66.1074,66.8861,66.0786,66.54,822334
2017-04-10,66.5977,67.011,66.4343,66.6746,676638
2017-04-11,66.3958,66.6457,65.8575,66.3285,702320
2017-04-12,66.2324,66.242,65.7806,66.0209,685790
2017-04-13,65.9248,66.0305,65.2903,65.473,784126
2017-04-17,65.5883,66.4246,65.4537,66.4054,597413
2017-04-18,66.1459,66.5592,65.7806,66.4246,1041732
2017-04-19,66.7323,66.9437,66.3958,66.4919,488647
2017-04-20,66.8861,67.4869,66.4535,67.4052,684982
2017-04-21,67.261,67.5782,66.963,67.2033,833624
2017-04-24,68.0877,68.2415,67.3955,67.7224,1117194
2017-04-25,68.1357,68.2222,67.7128,67.7993,760633
2017-04-26,67.5013,67.8089,66.2612,66.8476,1874193
2017-04-27,66.7323,66.8284,65.6316,66.0113,1561212
2017-04-28,65.9921,66.3477,65.7133,66.2036,1026795
