date,open,high,low,close,volume
2017-01-03,20.7222,20.7596,20.554,20.7409,1925191
2017-01-04,20.797,21.1522,20.797,20.8998,2235547
2017-01-05,20.9559,21.2503,20.8064,21.1989,5483521
2017-01-06,21.1242,21.1802,20.8064,20.8998,4398555
2017-01-09,21.0587,21.0868,20.526,20.6194,3023212
2017-01-10,20.6101,20.6989,20.4138,20.5073,2181608
2017-01-11,20.5166,20.7409,20.3671,20.6755,3292406
2017-01-12,20.6475,20.6475,20.3297,20.5914,2538079
2017-01-13,20.526,20.6802,20.3764,20.526,1749776
2017-01-17,20.6007,20.9746,20.5727,20.8905,2960578
2017-01-18,20.8718,21.0587,20.8157,21.0494,2469972
2017-01-19,20.9653,21.0307,20.7783,20.8811,1806675
2017-01-20,20.9559,21.0541,20.8905,21.04,2533322
2017-01-23,21.0681,21.0961,20.6428,20.7503,2271421
2017-01-24,20.7503,20.8624,20.6849,20.797,1861524
2017-01-25,20.7409,20.8064,20.6755,20.7503,1956864
2017-01-26,20.7596,20.9419,20.6942,20.769,2298005
2017-01-27,20.8251,20.8351,20.5353,20.5914,1862910
2017-01-30,20.6568,20.6662,20.2362,20.4138,2565836
2017-01-31,20.3951,20.9279,20.3858,20.9092,2723170
2017-02-01,20.7129,20.7643,20.4699,20.5447,3088471
2017-02-02,20.5166,20.7269,20.4839,20.7129,2893017
2017-02-03,20.7877,20.8952,20.6849,20.8064,2492580
2017-02-06,20.8905,20.9241,20.7316,20.7877,2789991
2017-02-07,20.8064,20.8624,20.7035,20.7129,2851040
2017-02-08,20.7647,20.972,20.727,20.8966,3283966
2017-02-09,20.8966,21.0756,20.826,20.9437,2839953
2017-02-10,20.8683,21.2311,20.8307,21.1133,2713930
2017-02-13,21.1227,21.2264,20.972,21.2169,2640184
2017-02-14,21.1416,21.1698,20.8636,20.9626,2102270
2017-02-15,20.793,20.9531,20.6611,20.9437,2465593
2017-02-16,20.9626,21.3583,20.8778,21.3583,3382368
2017-02-17,21.3959,21.4148,21.2028,21.3865,11287198
2017-02-21,21.3394,21.7068,21.2264,21.6597,4043866
2017-02-22,21.7068,21.834,21.4148,21.8293,3573006
2017-02-23,21.9518,22.4417,21.9518,22.3946,4395805
2017-02-24,22.3946,22.649,22.3805,22.6207,3693833
2017-02-27,22.5925,22.5925,22.3946,22.4229,2080303
2017-02-28,22.3663,22.6396,22.3381,22.5265,3099322
2017-03-01,22.2156,22.6113,22.1968,22.5171,6108919
2017-03-02,22.4323,22.8798,22.3946,22.6961,2920328
2017-03-03,22.7149,22.7149,22.1873,22.3475,4921918
2017-03-06,22.3381,22.3946,22.1685,22.2156,3383279
2017-03-07,22.225,22.2816,22.1073,22.1402,3056784
2017-03-08,21.9612,21.9989,21.688,21.688,2963367
2017-03-09,21.7351,21.8859,21.6315,21.6597,3495942
2017-03-10,21.8199,21.9989,21.7634,21.9801,2448009
2017-03-13,21.9612,22.1591,21.9235,22.1402,3154568
2017-03-14,22.112,22.1638,21.9659,22.0083,2256655
2017-03-15,22.112,22.8468,21.9706,22.3381,3931790
2017-03-16,22.2533,22.2533,21.9612,22.0178,2431462
2017-03-17,22.0837,22.2439,22.0178,22.1402,3826198
2017-03-20,22.0931,22.2062,21.8388,21.8764,2362548
2017-03-21,21.9424,22.3192,21.8482,22.2062,4059287
2017-03-22,22.291,22.4888,22.291,22.4323,3455325
2017-03-23,22.3946,22.6773,22.3145,22.3758,2432568
2017-03-24,22.4135,22.5548,22.3192,22.4888,2340129
2017-03-27,22.6207,22.649,22.2816,22.4323,2046024
2017-03-28,22.4229,22.4229,22.1968,22.3381,1973364
2017-03-29,22.3287,22.3569,22.1591,22.3381,1589020
2017-03-30,22.2156,22.2816,22.1214,22.225,2031652
2017-03-31,22.2156,22.4982,22.2156,22.4135,2072368
2017-04-03,22.3663,22.3946,22.1686,22.3098,2264312
2017-04-04,22.291,22.4135,22.2062,22.291,2694518
2017-04-05,22.2816,22.4323,22.2062,22.404,2952283
2017-04-06,22.3946,22.5548,22.2721,22.4606,2768984
2017-04-07,22.5077,22.5642,22.3004,22.3098,5453086
2017-04-10,22.3569,22.4229,22.225,22.3663,2275496
2017-04-11,22.3381,22.5077,22.1779,22.47,2682704
2017-04-12,22.47,22.583,22.3287,22.5548,1817646
2017-04-13,22.5454,22.5454,22.2062,22.404,2077778
2017-04-17,22.4511,22.6396,22.3946,22.6301,1916024
2017-04-18,22.6301,22.8468,22.5642,22.8092,3760935
2017-04-19,22.7997,22.8798,22.6867,22.828,4656060
2017-04-20,22.7526,22.762,22.6207,22.7244,2927820
2017-04-21,22.7244,22.8845,22.7149,22.7903,5713570
2017-04-24,22.6113,22.9316,22.5548,22.8563,4274549
2017-04-25,22.7809,23.0258,22.762,23.0164,2914967
2017-04-26,22.9832,23.0781,22.8219,22.8598,2969039
2017-04-27,22.8693,23.192,22.8693,23.1161,3862935
2017-04-28,23.0781,23.0876,22.9263,23.0117,2420869
2017-05-01,23.0496,23.0591,22.8124,22.8598,2047918
2017-05-02,22.8409,23.0212,22.8124,23.0022,2836735
2017-05-03,23.0781,23.0971,22.7128,22.7839,3091354
2017-05-04,22.7744,23.0781,22.7365,23.0401,4655084
2017-05-05,23.1255,23.3723,23.0781,23.2774,2851867
2017-05-08,23.3153,23.3485,23.0686,23.135,1726525
2017-05-09,23.1066,23.2204,22.8124,22.8693,2015542
2017-05-10,22.8788,23.0022,22.8076,22.9073,1944447
2017-05-11,22.8788,22.9358,22.7365,22.9073,1897447
2017-05-12,22.9927,23.1255,22.9358,23.0591,1872459
2017-05-15,23.0591,23.3058,23.0591,23.2679,2689093
2017-05-16,23.2964,23.358,22.9737,22.9737,2473793
2017-05-17,23.0686,23.1255,22.8551,23.0117,2160997
2017-05-18,23.0971,23.3058,22.8788,23.2489,4158215
2017-05-19,23.3058,23.4482,23.1161,23.4387,2547672
2017-05-22,23.4102,23.7708,23.3912,23.7329,3006919
2017-05-23,23.7803,24.0365,23.6854,23.8562,2433901
2017-05-24,23.8847,23.9416,23.7993,23.9321,2374609
2017-05-25,23.9796,24.2548,23.9511,24.2263,1445382
2017-05-26,24.1504,24.2832,24.1504,24.2548,2544067
2017-05-30,24.2548,24.53,24.1978,24.5015,3321918
2017-05-31,24.5584,24.8146,24.5489,24.7387,3414718
2017-06-01,24.7387,24.9001,24.6154,24.9001,3261963
2017-06-02,24.9855,25.0898,24.8526,25.0044,2223035
2017-06-05,24.9949,25.0898,24.8906,25.0329,3854658
2017-06-06,25.0709,25.2037,24.9095,24.919,3153181
2017-06-07,24.957,25.2037,24.9095,25.0898,3433902
2017-06-08,25.0234,25.0234,24.3781,24.511,3301366
