date,open,high,low,close,volume
2017-01-03,37.9649,38.4012,37.776,38.0279,1611265
2017-01-04,38.0368,38.3967,37.8479,38.2348,1566397
2017-01-05,38.2168,38.4417,38.1268,38.2528,1567547
2017-01-06,38.0818,38.5946,38.0458,38.2438,2420998
2017-01-09,38.3337,38.4147,38.0818,38.1088,2035980
2017-01-10,37.731,37.9019,37.3171,37.56,3943728
2017-01-11,37.722,37.74,37.1552,37.4161,3224617
2017-01-12,37.2632,37.8389,36.8493,37.7939,6284378
2017-01-13,37.8749,38.3427,37.8749,38.1088,1811516
2017-01-17,37.8389,38.3922,37.8389,38.1178,1663904
2017-01-18,38.0099,38.4237,37.686,37.686,1830044
2017-01-19,37.65,37.8209,37.2362,37.2901,3476041
2017-01-20,37.3081,37.596,36.7773,36.8403,3236655
2017-01-23,36.7773,36.8493,36.3725,36.4715,4065943
2017-01-24,36.5974,36.7773,36.4355,36.6154,3551521
2017-01-25,36.8583,37.3171,36.7144,36.8853,8174276
2017-01-26,36.8943,37.1552,36.5434,36.6244,2538554
2017-01-27,36.7234,36.9033,36.4985,36.7863,2000063
2017-01-30,36.7863,36.9888,36.2358,36.9483,3263684
2017-01-31,37.0203,37.0472,36.5974,36.8043,3227659
2017-02-01,36.8223,37.1912,36.5884,37.1732,2968800
2017-02-02,37.0382,37.614,36.7773,37.4701,2613188
2017-02-03,37.641,38.2887,37.623,38.1988,2369793
2017-02-06,38.1988,38.3337,37.74,37.776,2168504
2017-02-07,37.7849,37.8929,37.596,37.659,2317489
2017-02-08,37.533,38.0189,37.2182,37.8389,2949545
2017-02-09,37.9559,39.1434,37.3351,38.8465,3809286
2017-02-10,38.9275,40.133,38.9185,39.8631,5052777
2017-02-13,40.043,40.6278,39.9891,40.4659,5224256
2017-02-14,40.4029,40.5379,40.214,40.277,3477890
2017-02-15,40.088,40.5289,39.9891,40.3129,2785566
2017-02-16,40.3219,40.4389,40.052,40.3489,2334366
2017-02-17,40.097,40.5828,40.097,40.5558,2867902
2017-02-21,40.4389,41.1406,40.187,40.9337,2854091
2017-02-22,40.9517,41.0506,40.3309,40.3759,1806341
2017-02-23,40.5019,41.0147,40.4029,40.6728,2223027
2017-02-24,40.5918,40.6728,40.3399,40.6278,1777519
2017-02-27,40.5738,40.8527,40.1465,40.232,2706073
2017-02-28,40.232,40.9205,40.001,40.1867,3421930
2017-03-01,40.2954,41.0337,40.1233,40.8299,3682437
2017-03-02,40.8027,41.002,40.5037,40.8571,1952070
2017-03-03,40.7755,40.8389,40.4132,40.5581,1272366
2017-03-06,40.3044,40.4766,40.0961,40.2229,947777
2017-03-07,40.1686,40.4313,40.0961,40.3135,1437194
2017-03-08,40.2954,40.4856,40.1686,40.2139,1432914
2017-03-09,40.2048,40.3226,40.0146,40.1504,1776266
2017-03-10,40.3135,40.3588,39.3351,39.5888,2588340
2017-03-13,39.7156,39.7428,39.2581,39.3532,1728620
2017-03-14,39.163,39.5525,39.0633,39.5344,1776591
2017-03-15,39.625,40.0146,39.5072,39.9149,2496187
2017-03-16,38.094,40.078,38.094,39.8787,2471911
2017-03-17,40.0055,40.0055,38.6013,38.6285,4843496
2017-03-20,38.6919,38.7916,38.2208,38.6466,3102193
2017-03-21,38.7916,38.8278,37.6592,37.7316,3342263
2017-03-22,37.8856,37.8856,37.3421,37.4055,2187029
2017-03-23,37.3693,37.5957,37.2696,37.3783,2882316
2017-03-24,37.4599,37.6592,37.2424,37.3964,1997377
2017-03-27,37.1337,37.4146,36.8121,37.17,2068901
2017-03-28,37.1428,37.5052,36.8891,37.4508,2768418
2017-03-29,37.3693,37.5595,37.1065,37.2515,2594666
2017-03-30,37.1337,37.3149,36.8982,37.2153,2568578
2017-03-31,37.2334,37.5323,37.1428,37.4236,2366295
2017-04-03,37.3874,38.0487,37.333,37.9309,4181632
2017-04-04,37.9853,38.0578,37.5595,37.795,2670535
2017-04-05,37.9219,38.2752,37.8222,37.9038,1506472
2017-04-06,37.8766,38.1936,37.6592,38.0487,1624795
2017-04-07,37.8132,38.0034,37.6999,37.7588,1841879
2017-04-10,37.7769,37.9219,37.5504,37.5776,1347927
2017-04-11,37.4961,37.555,37.0341,37.478,2162793
2017-04-12,37.2696,37.4327,36.7351,37.1428,3761274
2017-04-13,37.1518,37.2651,36.8982,37.17,2465560
2017-04-17,37.2877,37.5323,37.1518,37.3602,1933748
2017-04-18,37.1518,37.3511,37.0703,37.3421,2400178
2017-04-19,37.4689,38.0529,37.4055,37.8313,2896159
2017-04-20,37.8313,37.9853,37.2515,37.2606,3346015
2017-04-21,37.2334,37.4146,37.025,37.1428,3482673
2017-04-24,37.6773,37.9943,37.4055,37.6773,3475065
2017-04-25,36.3184,36.4362,34.7059,36.2187,9370825
2017-04-26,35.8292,36.2731,35.6027,35.7024,5239443
2017-04-27,35.6571,36.4633,35.5574,36.418,4950438
2017-04-28,36.4815,37.5504,36.2912,37.2606,6448237
2017-05-01,37.2696,37.4417,36.717,36.717,3620730
2017-05-02,36.8166,36.9163,36.255,36.4543,3852221
2017-05-03,36.4905,36.5449,36.2369,36.409,3386869
2017-05-04,36.4452,36.4633,36.1191,36.1372,3048687
2017-05-05,36.2912,36.5177,36.1553,36.418,2219006
2017-05-08,36.4815,36.8302,36.2187,36.6717,2448380
2017-05-09,36.6445,37.1609,36.5358,36.9525,1887774
2017-05-10,36.871,37.0159,36.3274,36.4362,2125386
2017-05-11,36.3637,36.871,36.0919,36.8348,3078951
2017-05-12,36.8891,36.8891,36.3093,36.5992,2977047
2017-05-15,36.717,37.3149,36.6536,37.2515,3041579
2017-05-16,37.324,37.324,36.563,36.717,3682619
2017-05-17,36.4815,36.6943,36.0194,36.4271,2704635
2017-05-18,36.4996,36.5721,35.3491,35.3672,4658182
2017-05-19,35.4125,35.9741,35.2947,35.8383,2482029
2017-05-22,35.802,36.0919,35.7295,35.8835,1272242
2017-05-23,35.8564,35.9107,35.4306,35.4306,1684059
2017-05-24,35.4849,35.5212,34.9414,35.1588,3107827
2017-05-25,35.2403,35.2819,34.4341,34.7874,2655432
2017-05-26,34.6424,34.9686,34.3797,34.9142,3597366
2017-05-30,34.9233,35.4487,34.8689,35.2675,3547316
2017-05-31,35.3772,35.7154,34.9111,35.167,3421947
2017-06-01,35.1853,36.0398,35.0391,35.624,3419823
2017-06-02,35.6422,35.7976,35.3041,35.6879,2324081
2017-06-05,35.4595,35.8707,35.1487,35.2127,5151840
2017-06-06,35.1396,35.5417,34.9751,35.3772,3571052
2017-06-07,35.3681,35.4001,34.573,34.6004,4068440
2017-06-08,34.5547,34.5638,33.8053,34.0155,6592801
2017-06-09,34.0063,34.4633,33.8784,34.4267,3694172
2017-06-12,34.3719,35.0391,34.2805,34.9385,4245604
2017-06-13,35.0391,35.5965,34.902,35.496,2895478
2017-06-14,35.6879,35.8159,35.1761,35.3315,1917664
2017-06-15,35.0848,35.231,34.838,35.1396,1870669
2017-06-16,35.0391,35.1853,34.8106,35.0482,2923682
2017-06-19,35.1944,35.5508,35.1396,35.432,1586594
2017-06-20,35.1853,35.231,34.8563,34.8654,1087122
2017-06-21,34.9568,35.0299,33.915,34.0246,3876524
2017-06-22,34.0429,34.2257,33.7779,33.9424,2478825
2017-06-23,33.9515,34.2577,33.8144,34.2348,7114160
2017-06-26,34.3902,35.624,34.116,35.4229,4652933
2017-06-27,35.3132,35.7062,35.1579,35.5874,3563655
2017-06-28,35.8342,36.0535,35.4503,35.624,1989771
2017-06-29,35.624,35.6788,35.0116,35.2493,1597864
2017-06-30,35.3955,35.4777,35.1579,35.3315,1701509
2017-07-03,35.3498,35.5508,35.0573,35.1396,1173960
2017-07-05,35.0665,35.2767,34.6369,34.7009,2343949
2017-07-06,34.5912,34.6644,34.2165,34.2622,2283664
2017-07-07,34.3628,34.4267,33.9332,34.2714,2099246
2017-07-10,34.2714,34.4085,34.0612,34.2714,1831930
2017-07-11,34.2257,34.4816,33.7962,33.9607,1975870
2017-07-12,34.2622,34.655,34.1617,34.6095,2848920
2017-07-13,34.5912,35.0391,34.4907,34.9751,2253889
2017-07-14,34.9934,35.5691,34.8928,35.3224,1607293
2017-07-17,35.2675,35.7976,35.2218,35.6514,2146332
2017-07-18,35.7062,35.8159,35.4046,35.6331,2285893
2017-07-19,35.5965,35.6788,35.2584,35.2675,3040897
2017-07-20,35.2036,35.7519,35.0573,35.56,2480781
2017-07-21,35.5234,36.09,35.4823,36.0261,1787536
2017-07-24,35.9987,36.5196,35.7336,36.4008,3005858
2017-07-25,36.4465,36.4465,35.2218,35.295,4120348
2017-07-26,35.4595,36.7481,35.3772,36.4556,5207074
2017-07-27,35.9987,37.7214,35.953,37.662,6365180
2017-07-28,37.7259,38.352,37.3695,38.2012,5656213
2017-07-31,38.3748,39.5766,38.3017,39.307,5989535
2017-08-01,39.4989,39.8553,39.1973,39.2613,4835969
2017-08-02,39.2156,39.5446,38.9871,39.5263,3514488
2017-08-03,39.5446,39.6908,39.1928,39.2887,2138387
2017-08-04,39.4167,39.572,38.6535,38.7221,2932720
2017-08-07,38.8409,39.4304,38.2286,39.371,2803103
2017-08-08,39.371,39.4258,38.2286,38.3291,2849451
2017-08-09,38.256,38.7404,38.2012,38.7312,2200167
2017-08-10,38.6673,38.8318,37.6071,37.6254,2368477
