date,open,high,low,close,volume
2017-01-03,37.6334,38.2356,36.7152,37.3273,4086276
2017-01-04,37.2878,38.3047,37.199,38.0381,3242043
2017-01-05,38.1665,38.4824,37.8308,38.1763,2946145
2017-01-06,38.1763,38.6996,37.6334,38.4922,2916247
2017-01-09,38.0776,38.6354,37.4655,37.584,3266864
2017-01-10,37.663,37.6827,37.1447,37.2779,2112551
2017-01-11,37.3569,38.4133,37.3273,38.0381,2484313
2017-01-12,38.1763,38.2258,37.1595,37.6728,3266472
2017-01-13,37.2483,37.7479,36.8831,36.9225,2444606
2017-01-17,37.1792,37.3372,36.8337,37.1891,2917742
2017-01-18,36.8139,37.0311,36.3499,36.9423,3467047
2017-01-19,37.2681,37.8999,37.2286,37.4162,3708402
2017-01-20,37.8407,38.7489,37.8012,38.5811,3677928
2017-01-23,38.1566,38.2356,37.3865,37.9394,4367511
2017-01-24,38.2454,38.7489,37.8604,38.5416,1944033
2017-01-25,38.5712,39.282,38.5712,39.2129,2418770
2017-01-26,39.282,39.4301,38.665,38.7489,2442943
2017-01-27,38.6502,39.0254,38.1961,38.3738,1608918
2017-01-30,38.0184,38.127,36.7251,37.0706,3175634
2017-01-31,37.12,37.4063,36.577,37.3273,3068650
2017-02-01,37.7025,39.1734,37.2187,38.0579,14113242
2017-02-02,37.9591,38.201,37.0608,37.3174,3455952
2017-02-03,37.3471,38.2121,37.2582,38.0776,2631716
2017-02-06,38.0875,38.2256,36.9225,36.9818,4376004
2017-02-07,37.5346,40.2298,36.7843,38.7884,12138626
2017-02-08,39.0846,39.0846,37.6136,38.7094,5106861
2017-02-09,39.1438,39.3265,38.4439,38.4922,3877680
2017-02-10,38.9859,39.4416,38.7193,38.9168,3120540
2017-02-13,38.897,39.3906,38.818,39.0945,1726784
2017-02-14,39.2425,40.2298,39.0056,40.1409,3057478
2017-02-15,39.6769,40.1113,39.4943,39.904,3163523
2017-02-16,40.0422,40.2791,39.5486,39.7263,2651375
2017-02-17,39.519,39.6671,38.433,38.8082,3115540
2017-02-21,39.3314,39.7855,39.0254,39.055,2407491
2017-02-22,38.5614,38.9069,38.2751,38.3639,3023949
2017-02-23,39.8744,40.0817,38.8773,39.2031,4138181
