date,open,high,low,close,volume
2017-01-03,104.1217,104.7049,101.483,102.2861,1770074
2017-01-04,102.8406,106.1007,102.4391,105.7756,2705481
2017-01-05,105.3359,106.7412,105.3167,105.441,3135306
2017-01-06,105.3359,108.0223,105.0873,106.7508,2009206
2017-01-09,106.0147,106.0147,103.5194,104.3798,2081833
2017-01-10,104.4276,105.2117,103.5672,104.4563,1814466
2017-01-11,104.5424,105.7852,103.9879,105.6896,1180155
2017-01-12,105.747,106.5405,104.5519,106.1294,1239557
2017-01-13,106.1294,106.9324,105.6896,106.6839,1702774
2017-01-17,106.2919,106.55,103.701,104.1121,1876295
2017-01-18,102.2574,105.202,101.2345,105.1351,2589626
2017-01-19,110.4889,110.9,107.6112,109.3895,5853193
2017-01-20,108.682,108.7967,106.8368,108.5959,2656391
2017-01-23,108.7011,108.9019,107.4391,108.5577,1951223
2017-01-24,108.9879,111.9421,108.3187,111.4927,3460726
2017-01-25,112.248,115.967,111.6696,115.2308,3833711
2017-01-26,113.5673,116.7987,113.118,114.2557,2586717
2017-01-27,114.8962,115.3169,113.7203,115.0587,2190038
2017-01-30,114.0262,114.8197,112.3962,114.3704,2510277
2017-01-31,114.1887,114.4851,111.9612,112.2958,3474908
2017-02-01,112.7955,115.323,112.6802,115.2557,2913818
2017-02-02,114.4773,115.323,113.0261,114.8137,2305295
2017-02-03,115.0251,116.4954,114.3043,115.7651,1683921
2017-02-06,115.4479,116.0342,113.9776,115.1981,2205772
2017-02-07,115.4768,117.7256,115.323,116.1687,2004271
2017-02-08,115.7651,116.3753,114.4485,116.2264,1440814
2017-02-09,116.7261,117.2354,115.8131,115.9477,1817437
2017-02-10,116.284,117.0048,115.2749,116.3993,1930539
2017-02-13,116.6012,118.4944,116.4474,117.4469,1565002
2017-02-14,117.0817,118.2061,116.8799,117.716,1326279
2017-02-15,117.6679,118.6097,116.4378,117.9274,2285818
2017-02-16,117.8505,118.5136,116.976,118.1388,1482536
2017-02-17,117.8601,118.3791,117.024,117.9946,1266960
2017-02-21,118.2926,120.1281,118.0235,118.7154,1485959
2017-02-22,118.0715,118.2926,117.1489,117.5526,1734849
2017-02-23,118.1965,118.2541,114.5157,115.3518,2379006
2017-02-24,114.362,115.4191,114.0256,115.3999,2370620
2017-02-27,115.5152,116.4954,114.2947,116.3993,1872125
2017-02-28,116.5339,117.4228,115.8804,116.3129,1305577
2017-03-01,117.4373,119.6476,117.0625,118.5424,1582193
2017-03-02,118.4271,118.4752,116.9567,117.024,1108061
2017-03-03,117.1778,117.7352,116.1206,117.6295,1792825
2017-03-06,116.6108,118.3118,116.4954,118.1388,1542800
2017-03-07,118.1484,118.3694,116.8895,117.245,1961203
2017-03-08,117.245,117.3796,114.977,115.1981,1816992
2017-03-09,115.2077,115.9092,114.2563,114.7464,1658728
2017-03-10,115.1885,116.0822,114.3331,114.9962,1362916
2017-03-13,115.0731,115.5714,114.2851,114.8713,1536236
2017-03-14,114.9194,114.9194,113.1991,113.7373,1665149
2017-03-15,112.4015,113.3289,111.402,112.93,3160283
2017-03-16,112.8243,113.0838,110.6428,110.8542,3952754
2017-03-17,110.9215,111.229,109.7587,110.2392,4796585
2017-03-20,110.4122,111.0176,109.79,110.3641,2530167
2017-03-21,110.6236,111.1233,106.3759,107.1543,3362567
2017-03-22,107.3849,108.2595,106.7699,107.4138,2378243
2017-03-23,106.3278,107.5771,106.0107,106.2413,2412645
2017-03-24,106.4816,107.1639,105.8473,106.347,1276656
2017-03-27,105.2418,107.3465,105.0112,106.7987,1776961
2017-03-28,106.6738,109.922,106.4623,108.9034,2243779
2017-03-29,108.4613,109.2878,108.1393,108.7976,1148890
2017-03-30,108.9802,110.8927,108.9802,109.7971,1283761
2017-03-31,109.134,109.2945,107.5771,107.606,2209564
2017-04-03,107.8558,109.4896,107.5387,109.0763,2288010
2017-04-04,109.2974,110.7581,108.8457,110.7005,2089460
2017-04-05,111.0849,113.0454,109.9893,110.2584,1726477
2017-04-06,110.1911,111.6519,110.1911,111.3636,1526428
2017-04-07,111.4501,112.3823,110.8254,111.3828,2126447
2017-04-10,111.4693,112.4399,110.5371,110.9888,2187310
2017-04-11,110.7581,110.8638,108.4613,110.7293,1823350
2017-04-12,110.9503,110.9503,107.1927,107.433,1774344
2017-04-13,107.2888,108.4132,106.741,107.2312,1340634
2017-04-17,107.5291,108.7784,107.039,108.7784,1092818
2017-04-18,107.8847,109.3743,107.4858,108.4517,1899999
2017-04-19,109.182,109.6529,108.0192,108.1538,1274956
2017-04-20,110.2968,112.4399,110.2968,111.2963,2444627
2017-04-21,111.3347,112.1132,110.662,111.8345,2081261
2017-04-24,113.4009,113.5739,112.2862,112.488,1613891
2017-04-25,112.6898,113.0742,112.0459,112.2285,1967225
2017-04-26,111.6038,114.4677,110.9888,113.228,4000203
2017-04-27,113.9487,116.0342,113.8911,114.1698,2274073
