date,open,high,low,close,volume
2017-01-03,33.7674,34.482,33.434,33.8913,3218929
2017-01-04,33.8817,34.4373,33.7093,34.15,2481351
2017-01-05,34.1595,34.3224,33.6997,33.8722,1875539
2017-01-06,33.8722,34.2074,33.6806,33.7476,1711770
2017-01-09,33.8338,33.9775,33.6518,33.7476,2140763
2017-01-10,33.7955,34.217,33.6806,33.7668,3026010
2017-01-11,33.7668,34.3703,33.7668,34.15,3006831
2017-01-12,34.0254,34.3703,33.6039,34.3032,2069787
2017-01-13,34.3032,34.5906,34.2841,34.4182,1251218
2017-01-17,34.0446,34.4565,33.968,34.0637,1329667
2017-01-18,34.1979,34.4852,33.9201,34.4757,1313155
2017-01-19,34.3799,34.6672,34.1116,34.3224,2625928
2017-01-20,34.3799,34.9642,34.332,34.8397,2358949
2017-01-23,34.7726,34.9546,34.2649,34.6481,2762479
2017-01-24,34.7726,36.0706,34.7196,35.9413,3172752
2017-01-25,36.334,36.88,36.1808,36.3532,3174696
2017-01-26,36.4202,36.5256,35.6826,36.0179,2144022
2017-01-27,36.1233,36.2718,35.7305,36.1712,1915534
2017-01-30,36.88,37.3303,36.2765,36.4681,3517443
2017-01-31,36.2574,36.8034,35.903,36.7076,2377821
2017-02-01,36.9279,37.0716,36.3005,36.449,1892012
2017-02-02,36.2957,36.7459,35.9988,36.631,1565284
2017-02-03,36.7076,36.8896,36.4969,36.6693,1459413
2017-02-06,36.5735,37.0065,36.5256,36.7459,2583719
2017-02-07,36.88,37.2345,36.8178,37.1962,2459059
2017-02-08,37.0812,37.359,36.813,37.3207,2152667
2017-02-09,37.2632,37.9338,37.1387,37.656,3378449
2017-02-10,37.7709,38.0487,37.3303,37.7901,2835483
2017-02-13,37.9433,38.1637,37.8284,37.9146,2844536
2017-02-14,38.2211,38.2211,37.7039,37.8571,2930378
2017-02-15,37.7039,37.838,37.2153,37.2919,4894368
2017-02-16,39.0833,40.4052,38.6618,38.8534,8173090
2017-02-17,38.6043,39.2557,38.3265,38.4798,3930630
2017-02-21,38.4702,38.9683,38.4232,38.815,3000602
2017-02-22,38.7001,39.0545,38.6235,38.9875,2839641
2017-02-23,39.0833,39.3802,38.748,39.2174,3177104
2017-02-24,38.9492,39.3227,38.7672,39.227,3146068
2017-02-27,39.1503,39.6389,39.0545,39.5335,3203180
2017-02-28,39.6293,40.1945,39.5526,40.0699,4647802
2017-03-01,40.2519,41.3248,40.0699,41.2003,4715125
2017-03-02,41.3152,41.3248,40.4675,40.4818,4063158
2017-03-03,40.5489,41.0279,40.4627,40.9991,2572248
2017-03-06,40.7884,40.8985,40.4723,40.7788,2283175
2017-03-07,40.6447,41.2673,40.568,40.865,3476786
2017-03-08,40.8554,41.0279,40.3477,40.3765,3888550
2017-03-09,40.1945,40.4675,39.9933,40.2136,2007440
2017-03-10,40.2615,40.6159,40.1274,40.3765,2301324
2017-03-13,40.4914,40.6064,40.1657,40.2232,3139779
2017-03-14,40.2232,40.386,39.9885,40.2615,2593749
2017-03-15,40.5297,40.6543,40.1274,40.4435,2210410
2017-03-16,40.4531,40.6543,40.2519,40.4244,3181239
2017-03-17,40.4723,40.6447,40.2902,40.2902,4226872
2017-03-20,40.4244,40.5297,40.1657,40.1849,2330226
2017-03-21,40.2424,40.319,39.1216,39.1886,2917869
2017-03-22,39.2461,39.3419,38.9204,39.2557,2597882
2017-03-23,39.2365,39.5526,39.0737,39.1791,3417342
2017-03-24,39.5143,39.8496,38.9875,39.1599,2686549
2017-03-27,38.815,39.3802,38.6044,39.1791,2538881
2017-03-28,39.0833,39.6197,39.0065,39.4185,2309053
2017-03-29,39.1791,39.8544,39.1072,39.84,3069244
2017-03-30,39.7826,40.2615,39.658,40.137,3119600
2017-03-31,40.0891,40.28,39.6915,40.0891,4608207
2017-04-03,40.1082,40.2998,39.3467,39.8975,3464912
2017-04-04,39.6772,39.955,39.3275,39.4569,3234269
2017-04-05,39.7744,40.7464,39.2933,39.3606,5029762
2017-04-06,39.5916,39.7167,39.1585,39.505,4348062
2017-04-07,39.428,39.5387,39.2018,39.2644,3102779
2017-04-10,39.351,39.4569,38.841,38.8891,2287319
2017-04-11,38.8891,39.1297,38.5619,39.0142,3109563
2017-04-12,39.1585,39.1874,38.1192,38.1577,3138332
2017-04-13,38.1577,38.5715,37.9844,38.0037,2768794
2017-04-17,38.1384,38.3501,37.946,38.2924,2157886
2017-04-18,38.1288,38.379,37.9277,38.2347,1512981
2017-04-19,38.3501,38.7928,38.1625,38.2539,2283619
2017-04-20,38.4271,38.8794,38.302,38.7928,2488670
2017-04-21,38.8121,38.8313,37.9941,38.0037,1859418
2017-04-24,38.5811,38.7832,38.4175,38.4368,2286797
2017-04-25,38.6677,38.6774,38.4416,38.4656,1842838
2017-04-26,38.2828,38.3983,37.9363,38.1384,2257505
2017-04-27,38.2347,38.3598,37.8497,38.2635,2315045
2017-04-28,38.3213,38.4368,37.946,38.3501,2176694
2017-05-01,38.5041,38.7543,38.0229,38.6485,1819776
2017-05-02,38.6677,38.7976,38.4849,38.6196,1715491
2017-05-03,38.379,38.5907,38.2347,38.533,1157523
2017-05-04,38.6004,38.8121,38.1962,38.2732,1868301
2017-05-05,38.3309,38.6581,38.1577,38.6485,2211525
2017-05-08,38.5811,38.7062,38.3983,38.6196,2053265
2017-05-09,38.7062,39.0767,38.5041,38.6196,2218645
2017-05-10,38.7062,39.0238,38.533,38.9083,2759677
2017-05-11,38.8217,38.9083,38.2934,38.5522,2026658
2017-05-12,38.4753,38.5426,38.2443,38.2443,1299665
2017-05-15,38.5041,39.9477,38.5041,39.938,3487563
2017-05-16,40.0728,40.2268,39.8226,40.0535,3830172
2017-05-17,39.6975,39.7119,38.7832,38.8217,2403867
2017-05-18,38.61,39.3029,38.1962,38.6389,3854998
2017-05-19,38.8987,39.0142,38.0037,38.0422,3045369
2017-05-22,38.1384,38.5907,38.1054,38.4753,4241395
2017-05-23,38.6677,38.7014,37.7968,38.0037,3257705
2017-05-24,38.2443,38.371,37.5899,38.0711,7056701
2017-05-25,38.456,39.7401,37.9748,39.4184,6446013
2017-05-26,39.6397,39.6397,38.5907,38.7255,3637559
2017-05-30,38.61,39.2836,38.5811,38.9468,3005325
2017-05-31,38.9661,39.3414,38.6485,38.9661,3418131
2017-06-01,38.3501,38.7351,38.0518,38.1192,4178074
2017-06-02,38.0229,38.2539,37.7631,37.9267,3236314
2017-06-05,37.715,38.2058,37.484,37.5129,2651854
2017-06-06,37.2434,37.7535,37.2146,37.2434,2533154
2017-06-07,37.3974,38.0807,37.2531,37.792,2479938
2017-06-08,37.7342,38.61,37.6188,38.5041,3581990
2017-06-09,38.3694,38.8746,37.6572,38.0326,3003787
2017-06-12,37.6669,38.1673,37.1953,37.3974,4254954
2017-06-13,37.484,37.8882,37.2434,37.484,2887536
2017-06-14,37.4744,37.5418,36.3581,36.666,2916988
2017-06-15,36.3003,36.666,36.0212,36.5409,2231235
2017-06-16,36.512,36.6756,36.3581,36.5505,2744049
2017-06-19,36.7334,37.0461,36.6083,36.974,2612588
2017-06-20,36.8296,37.1953,36.8104,36.82,2249916
2017-06-21,36.9162,37.3974,36.9067,37.1568,2470638
2017-06-22,37.1376,37.8786,37.1279,37.638,3109403
2017-06-23,37.6572,38.5619,37.5418,38.3694,8417822
2017-06-26,38.3694,38.9901,38.3694,38.7736,3334619
2017-06-27,38.6292,38.8313,38.1288,38.1384,2779761
2017-06-28,38.302,39.0623,38.1096,38.8891,2659526
2017-06-29,38.764,38.8602,38.0614,38.5907,3244932
2017-06-30,38.6677,38.8602,38.2347,38.5426,3951971
2017-07-03,38.9179,38.9757,38.0422,38.0807,1568751
2017-07-05,38.2548,38.9319,38.1822,38.3612,2572225
2017-07-06,38.042,38.1,36.949,37.0457,2587020
2017-07-07,37.1811,37.5584,37.0651,37.3746,1918225
2017-07-10,37.2392,37.6357,37.0941,37.3069,2294559
2017-07-11,37.2875,37.8292,37.2488,37.7905,2240165
2017-07-12,38.1581,38.8738,37.8873,38.8545,2622573
2017-07-13,38.8545,40.1409,38.7287,40.0248,4018179
2017-07-14,40.6632,42.4623,40.6245,42.2108,8559241
2017-07-17,41.7852,42.3269,41.5918,42.1915,5416468
2017-07-18,41.8336,42.443,41.7659,42.3366,3116655
2017-07-19,42.443,43.0716,42.3946,42.7138,3700623
2017-07-20,42.7332,43.2264,42.6461,43.1394,3926177
2017-07-21,43.1007,43.7584,42.7332,43.2942,4566565
2017-07-24,42.9459,43.7488,42.9459,43.3909,3104331
2017-07-25,43.1201,43.4683,42.7622,43.2942,3700921
2017-07-26,43.4006,43.4006,42.5832,42.9073,3385307
2017-07-27,42.8686,43.4973,42.2205,42.5687,4254821
2017-07-28,42.2302,42.4236,41.6788,42.0657,2692997
2017-07-31,42.2399,42.3849,41.6982,41.998,2473339
2017-08-01,42.2882,42.3946,41.7466,42.1238,2709883
2017-08-02,42.2205,42.3559,41.6305,41.9884,1539187
2017-08-03,41.9207,41.9207,41.3403,41.5047,2420867
2017-08-04,41.6595,41.6982,41.2146,41.3403,1937416
2017-08-07,41.4274,41.4799,41.0501,41.3403,1707809
2017-08-08,41.2629,41.7466,41.1275,41.2823,2016350
2017-08-09,41.0985,41.2146,40.7986,40.8567,1685736
2017-08-10,40.6342,40.847,39.8798,39.9281,2169340
2017-08-11,40.0829,40.4795,39.8798,40.1312,1456639
2017-08-14,40.9824,41.1372,40.3827,40.6536,3810269
2017-08-15,41.5531,41.6402,40.5955,40.5955,3827006
2017-08-16,40.6245,41.1556,40.6245,41.0211,4148903
2017-08-17,39.0479,40.1312,38.1822,38.2644,11785306
2017-08-18,38.3225,38.5643,37.9743,38.0613,4957257
2017-08-21,38.4579,38.5643,37.2488,37.6744,4478378
2017-08-22,37.8872,37.9259,37.3262,37.4326,3859777
2017-08-23,37.2295,37.6744,37.0941,37.4036,2646449
2017-08-24,37.4907,37.6551,37.2488,37.539,2212374
2017-08-25,37.6938,37.7131,37.2585,37.2779,1987261
2017-08-28,37.4616,37.539,36.9296,37.0844,1464696
2017-08-29,36.6782,37.0602,36.6491,36.7846,1444536
2017-08-30,36.7362,37.007,36.6008,36.9683,1629484
2017-08-31,37.2005,37.4302,36.8232,37.3939,2719921
2017-09-01,37.5487,37.6261,37.2972,37.3843,1786746
2017-09-05,37.2295,37.4713,36.3203,36.7362,2322381
2017-09-06,36.8426,37.6938,36.6153,37.5777,3794300
2017-09-07,37.6261,37.6261,36.8716,37.4229,2609579
2017-09-08,37.3456,37.5632,37.123,37.3649,2784918
2017-09-11,37.6357,38.2644,37.5293,38.1677,2822416
2017-09-12,38.3225,38.9222,37.8775,38.6223,4108834
2017-09-13,38.5159,39.2124,38.2548,38.9512,3021344
2017-09-14,38.8545,39.3574,38.6417,39.3188,2896131
2017-09-15,39.3865,39.7153,39.0092,39.6863,3640517
2017-09-18,39.696,39.8121,39.1833,39.2994,2771723
