date,open,high,low,close,volume
2017-01-03,80.0556,80.0556,78.8069,79.2729,2368945
2017-01-04,79.7108,80.27,79.1517,79.8599,1622179
2017-01-05,79.5804,79.8413,78.6299,79.2636,1439791
2017-01-06,79.4779,80.4656,79.1331,79.9624,982105
2017-01-09,79.804,80.1115,79.3847,79.5711,1184588
2017-01-10,79.5897,80.0463,79.0026,79.4313,971709
2017-01-11,79.3847,79.9997,79.1704,79.9904,756739
2017-01-12,79.4872,79.8506,79.1517,79.627,1253371
2017-01-13,79.6642,80.2513,79.2263,79.4965,743899
2017-01-17,79.0492,79.7108,78.7138,79.0399,1630011
2017-01-18,79.1331,79.5245,79.0399,79.3661,1138657
2017-01-19,79.2542,79.4872,78.6858,78.7976,1206788
2017-01-20,79.0679,79.6363,78.7417,79.3288,950432
2017-01-23,79.2822,79.3847,78.8256,79.1517,1151859
2017-01-24,79.3195,80.3538,79.3101,80.0463,988848
2017-01-25,80.2886,80.9735,80.0556,80.4936,1220573
2017-01-26,80.1954,81.2577,79.9531,81.0993,988630
2017-01-27,81.2391,81.295,80.5681,81.0527,1423355
2017-01-30,81.2391,81.2391,80.5775,81.1552,1274611
2017-01-31,80.9129,81.2298,79.5711,79.8133,1865219
2017-02-01,79.832,79.9904,78.7138,79.2356,1748126
2017-02-02,79.1797,79.7621,78.8815,79.4033,1256292
2017-02-03,79.6456,80.3352,79.394,79.8599,1407645
2017-02-06,79.7108,81.472,79.6829,81.4348,3227572
2017-02-07,79.0026,80.3352,78.1081,78.5181,3898453
2017-02-08,78.5088,79.4266,78.4901,79.1797,1861529
2017-02-09,78.6392,79.3474,78.6019,78.8815,1921203
2017-02-10,79.3661,79.8693,78.9281,79.5152,1447751
2017-02-13,79.9252,80.27,79.5058,80.0743,1103853
2017-02-14,79.4313,80.0137,79.1704,79.2356,1771429
2017-02-15,79.2076,79.8786,79.2076,79.804,1484244
2017-02-16,79.6642,79.9718,79.3577,79.5058,1113853
2017-02-17,79.4592,79.9718,78.984,79.5245,1090334
2017-02-21,79.4872,80.0743,79.2822,79.5152,1098268
2017-02-22,78.9094,79.6922,78.4994,79.4592,1763520
2017-02-23,79.4872,79.7388,79.1331,79.5245,765200
2017-02-24,79.0958,80.2979,79.0958,80.2886,1218292
2017-02-27,80.3445,80.3725,79.8693,80.3072,996087
2017-02-28,80.1861,80.1861,79.2263,79.3008,1486552
2017-03-01,79.9718,80.8011,79.8693,80.447,1185879
2017-03-02,80.2793,80.6707,80.0184,80.4191,1111984
2017-03-03,79.9811,79.9811,78.7044,79.5711,1752794
2017-03-06,79.0958,79.0958,78.4342,78.751,2595716
2017-03-07,78.7885,79.3513,78.6572,78.873,1682019
2017-03-08,79.7265,80.43,79.4076,79.8203,1627332
2017-03-09,79.8766,80.3362,79.3888,79.7734,1138205
2017-03-10,79.9141,80.0829,79.0043,79.2481,1805923
2017-03-13,79.4264,79.5389,78.7885,79.0793,2672943
2017-03-14,79.0418,79.4545,78.7979,79.1168,1316059
2017-03-15,79.3232,79.8391,79.0606,79.5952,1429211
2017-03-16,79.6421,80.0735,79.3935,79.5764,1688498
2017-03-17,79.886,80.1392,79.3888,79.6702,1594967
2017-03-20,79.7265,79.9234,79.0512,79.3795,958477
2017-03-21,79.8015,80.1861,78.7885,79.1168,2155321
2017-03-22,79.023,79.5201,78.8261,79.4076,1111526
2017-03-23,79.3982,80.1017,79.0137,79.2763,1383420
2017-03-24,79.4357,79.7077,78.751,79.0981,1785493
2017-03-27,78.7885,79.2763,78.479,78.9761,1955026
2017-03-28,79.0699,80.5894,79.0699,80.0173,1549601
2017-03-29,79.7171,80.0548,79.4639,79.8297,1036573
2017-03-30,79.8109,80.7676,79.8109,80.5707,1475454
2017-03-31,80.3268,81.1147,80.3268,80.8614,1453181
2017-04-03,80.9177,81.3117,79.8578,80.3831,1731760
2017-04-04,80.3549,80.5988,80.0266,80.4769,1348438
2017-04-05,80.8052,81.0584,80.1767,80.2799,1106226
2017-04-06,80.1392,80.2987,79.3138,80.2518,1844524
2017-04-07,80.158,80.6269,79.9798,80.4018,1889304
2017-04-10,80.3549,80.7489,79.7077,79.7265,1559437
2017-04-11,79.7077,79.8953,78.9105,79.5108,2133872
2017-04-12,79.0793,79.9516,78.9668,79.417,2033341
2017-04-13,79.417,79.9235,79.2012,79.22,1504330
2017-04-17,79.6139,81.3304,79.5577,80.8239,3318680
2017-04-18,79.4826,79.7265,77.5692,78.3196,4970914
2017-04-19,78.1601,78.6385,77.9725,78.3665,2073590
2017-04-20,78.7229,78.9949,78.3289,78.8636,1425620
2017-04-21,78.6103,78.6103,78.0007,78.0851,1913105
2017-04-24,78.9949,79.2388,77.9725,78.0851,2211899
2017-04-25,78.3571,78.676,78.1414,78.3571,1461161
2017-04-26,78.4134,78.9199,77.7662,77.8318,2210284
2017-04-27,77.9631,78.1695,77.0908,77.935,2747885
2017-04-28,77.9069,78.0288,76.6594,77.0252,2701372
2017-05-01,77.2878,77.8975,77.0158,77.5504,2279035
2017-05-02,77.7849,77.9913,77.5833,77.8131,1968625
2017-05-03,77.7943,78.2727,77.5411,77.8131,2340274
2017-05-04,77.7662,78.1882,77.5035,77.7849,1857405
2017-05-05,78.0851,78.5447,77.738,78.4978,1416317
2017-05-08,78.5259,78.8354,78.1976,78.5353,1489680
2017-05-09,78.6666,79.0043,78.1414,78.7885,1473998
2017-05-10,78.5165,79.2528,78.4227,78.8542,1772117
2017-05-11,78.5165,78.9199,77.935,78.7604,2161411
2017-05-12,78.6572,78.6572,77.5692,77.9631,1735614
2017-05-15,77.8318,77.9819,77.0158,77.194,2055474
2017-05-16,77.4097,77.4848,76.8001,76.8282,1690967
2017-05-17,76.5281,77.3159,76.2373,76.6125,2032870
2017-05-18,76.6125,77.7287,76.5281,77.2597,1740989
2017-05-19,77.4379,78.4415,77.1565,78.1882,1397509
2017-05-22,78.3383,78.7229,78.2164,78.5165,1202615
2017-05-23,78.6103,78.6103,77.663,77.7755,1081677
2017-05-24,77.8318,78.1507,77.6724,77.9913,1130990
2017-05-25,77.9913,78.7041,77.9913,78.4134,1047849
2017-05-26,78.404,78.7698,77.9256,78.0945,1201211
2017-05-30,78.1695,78.5728,77.8037,78.2258,2215336
2017-05-31,78.3758,78.7135,78.0569,78.5259,1766796
2017-06-01,78.4978,79.9704,78.2445,79.9704,1521958
2017-06-02,80.036,80.1392,79.4264,79.8391,1273739
2017-06-05,79.3232,79.4733,78.8073,79.1825,1402944
2017-06-06,78.3196,78.3196,77.5411,77.5504,2118485
2017-06-07,77.4473,77.6911,75.7027,75.7402,2884458
2017-06-08,75.6182,75.6839,74.9148,75.2993,2576382
2017-06-09,75.3181,76.9032,74.9054,76.4436,3213263
2017-06-12,76.6797,77.4729,76.538,76.9158,1901257
2017-06-13,77.0102,77.3879,76.5947,77.218,1479059
2017-06-14,77.2274,77.9451,77.133,77.8223,1644011
2017-06-15,77.7846,78.4834,77.5296,78.2473,2249000
2017-06-16,78.4173,79.1916,78.2001,78.6722,2317570
2017-06-19,79.05,79.4748,78.795,79.0122,2304063
2017-06-20,78.965,79.1161,77.6901,77.8223,1873963
2017-06-21,77.6712,78.3323,77.5485,78.0301,1345370
2017-06-22,78.0206,78.5967,77.6618,77.6712,1134722
2017-06-23,77.8129,78.455,77.5296,77.7846,1472883
2017-06-26,77.879,78.2284,77.3785,78.1245,1401917
2017-06-27,78.1056,78.7006,78.1056,78.4267,1191710
2017-06-28,78.7667,79.2766,78.7006,79.0877,1142531
2017-06-29,79.0689,79.2294,78.37,78.6911,1496040
2017-06-30,79.0311,79.0311,77.8223,78.2851,1753975
2017-07-03,78.0867,78.9839,77.6618,78.5117,1096910
2017-07-05,78.7761,78.9178,78.3039,78.6061,1543687
2017-07-06,78.3228,78.7194,76.7836,77.0008,2521523
2017-07-07,76.963,77.1991,76.1509,76.963,1660079
2017-07-10,76.8497,77.1802,76.3681,76.5853,1474149
2017-07-11,76.5664,76.7458,75.6409,76.1981,2605950
2017-07-12,76.6419,77.0574,75.8109,75.9242,2239314
2017-07-13,75.9053,76.5569,75.7165,76.3681,1426259
2017-07-14,76.4247,76.8591,76.1225,76.7552,1428444
2017-07-17,76.3775,77.1991,76.3775,76.9819,1609810
2017-07-18,76.9347,76.9724,76.1225,76.5758,1555914
2017-07-19,77.0385,77.3123,75.962,76.2453,2563871
2017-07-20,74.9043,78.5872,74.7816,78.0962,3819946
2017-07-21,77.5107,78.2095,77.2935,78.1245,2126652
2017-07-24,78.0018,78.3417,77.218,77.5485,1694248
2017-07-25,76.4153,76.7552,74.3708,75.0743,4808581
2017-07-26,75.2821,75.4804,74.3283,74.4416,2174921
2017-07-27,74.2055,74.7816,73.1857,74.4794,3836018
2017-07-28,74.4133,74.8099,74.2764,74.5077,1273634
2017-07-31,74.6305,74.8788,73.9883,74.3566,1525866
2017-08-01,74.6305,74.7627,73.8561,74.4322,1285393
2017-08-02,74.6305,74.7627,73.8561,74.4322,1285446
2017-08-03,74.6211,75.792,74.2434,75.1782,2081624
2017-08-04,75.1782,75.3765,74.6494,74.791,1404363
2017-08-07,74.7721,74.9232,74.13,74.6588,1163641
2017-08-08,74.5833,74.8382,74.0922,74.215,1436217
2017-08-09,73.9222,74.5125,73.6909,74.4322,1426503
