date,open,high,low,close,volume
2017-01-03,52.1749,52.202,51.4249,51.949,1973258
2017-01-04,52.0936,52.8165,51.8677,52.7261,1808582
2017-01-05,52.5544,54.5062,52.2291,54.1448,2276476
2017-01-06,53.8918,54.4972,53.4852,54.0725,1856824
2017-01-09,53.5846,54.1809,53.4852,53.6749,1938349
2017-01-10,53.6659,53.9099,52.952,53.0334,1753437
2017-01-11,52.943,53.6026,52.8526,52.8888,1575322
2017-01-12,52.8526,53.9279,52.6412,53.8285,1409692
2017-01-13,53.8105,53.8105,53.0876,53.3767,1046568
2017-01-17,53.4761,54.5062,53.4671,54.3346,1465159
2017-01-18,54.3346,54.4972,53.8873,54.0183,1908317
2017-01-19,53.8195,53.9189,53.2321,53.4761,1442260
2017-01-20,53.5484,54.0454,53.4942,53.937,1562299
2017-01-23,53.9912,54.7502,53.8954,54.452,1790643
2017-01-24,54.3165,54.5243,53.8105,54.0183,1593266
2017-01-25,54.1267,54.2984,53.4942,53.8737,1641644
2017-01-26,53.8195,54.2442,53.7291,54.0454,1794259
2017-01-27,54.1719,54.2532,53.4358,53.7111,1933983
2017-01-30,53.6571,54.1014,53.376,53.7659,2200928
2017-01-31,53.8475,54.4052,53.5845,54.0742,4800729
2017-02-01,53.8929,54.1649,52.6414,52.8772,5653126
2017-02-02,52.8772,54.0108,52.8319,53.8838,1634646
2017-02-03,54.3009,54.7725,53.9201,54.2465,1770376
2017-02-06,54.3281,54.4914,53.9474,54.2465,1271071
2017-02-07,54.2465,54.8632,54.2465,54.5458,1690443
2017-02-08,54.4642,55.244,54.3825,54.8632,1360234
2017-02-09,54.8632,55.2712,54.6546,54.9357,891123
2017-02-10,54.7725,55.7791,54.6727,55.5705,1091259
2017-02-13,55.4526,56.0194,55.3166,55.8788,1167322
2017-02-14,55.7156,55.8516,54.6183,55.1171,1602293
2017-02-15,54.8541,54.9085,54.1468,54.6999,1436414
2017-02-16,54.7725,55.1896,54.6999,54.9357,1629417
2017-02-17,54.9629,55.5342,54.7997,55.1352,1192045
2017-02-21,55.1806,55.9817,54.9539,55.7881,1256262
2017-02-22,55.8425,56.0693,55.1624,55.4435,1132470
2017-02-23,55.9695,57.0668,55.5206,57.0033,1287423
2017-02-24,56.9942,57.3025,56.6224,57.3025,1658220
2017-02-27,57.3303,57.8671,56.8481,57.4486,1846341
2017-02-28,55.7835,56.1657,55.7198,55.7562,9907137
2017-03-01,55.556,55.6834,54.8919,55.1375,3427983
2017-03-02,55.1011,55.7471,54.9737,55.1011,2902958
2017-03-03,55.1375,55.3013,53.9092,54.901,2932032
2017-03-06,54.719,54.719,53.618,54.2913,2482838
2017-03-07,54.1094,54.4915,53.9729,54.446,1424573
2017-03-08,53.8819,54.0366,52.4261,52.4989,2528472
2017-03-09,52.508,53.1995,51.8184,51.9985,1941443
2017-03-10,52.3078,53.0084,51.953,52.2169,1630708
2017-03-13,52.2624,52.9811,52.226,52.6081,1797666
2017-03-14,52.4716,52.7537,52.2078,52.5353,1698575
2017-03-15,52.8993,54.3095,52.8538,53.891,2304753
2017-03-16,53.891,54.255,53.6544,53.7363,1659110
2017-03-17,53.9183,54.5461,53.6635,54.4642,4593957
2017-03-20,54.4551,54.6462,54.073,54.1003,1122690
2017-03-21,54.3459,54.9191,54.1376,54.628,1913187
2017-03-22,54.9373,54.9828,53.9638,54.537,1504874
2017-03-23,54.2368,54.9646,54.164,54.3004,1856761
2017-03-24,54.3004,54.6644,53.8637,54.1003,1896848
2017-03-27,54.073,54.9555,53.548,53.7454,1996955
2017-03-28,53.709,53.8364,52.8902,53.5817,2278939
2017-03-29,53.5908,53.891,53.3087,53.7454,1541795
2017-03-30,53.7007,53.9016,53.1163,53.8103,1284483
2017-03-31,53.7463,54.4494,53.7463,54.3581,2074651
2017-04-03,54.1481,54.5818,53.8285,54.5225,1556286
2017-04-04,54.5134,54.9425,54.2942,54.5316,1347170
2017-04-05,54.6047,54.7599,54.2942,54.559,988181
2017-04-06,54.486,55.1617,54.2303,54.9425,1347004
2017-04-07,54.9791,55.463,54.9791,55.0247,1284110
2017-04-10,55.0064,55.5452,54.7791,55.4721,885379
2017-04-11,55.5543,56.2939,55.3901,56.0748,1788663
2017-04-12,55.7187,56.2392,55.7004,56.0474,1077133
2017-04-13,55.9287,56.3524,55.8922,56.1113,1117159
2017-04-17,56.367,56.5314,56.1387,56.44,1350004
2017-04-18,56.3305,56.7414,56.2848,56.6683,1437066
2017-04-19,56.6409,56.8966,56.4355,56.5953,1201246
2017-04-20,56.4857,56.7003,56.1916,56.6775,1328508
2017-04-21,56.5588,56.7049,56.3487,56.3853,1183637
2017-04-24,56.4674,56.6135,54.5681,54.8603,2854695
2017-04-25,54.9699,54.9699,54.4221,54.6321,1862948
2017-04-26,54.6686,54.7325,53.7281,54.0659,1824185
2017-04-27,54.1952,54.7358,54.0169,54.4792,1435653
2017-04-28,54.3968,54.3968,53.4162,53.4712,1489272
2017-05-01,53.6087,54.2043,53.2146,53.9019,1499499
2017-05-02,54.0119,54.4243,53.9248,54.1035,1562823
2017-05-03,54.2135,54.2685,52.7839,52.9947,1813505
2017-05-04,52.7289,52.7289,50.328,51.1161,5064350
2017-05-05,51.3269,51.9775,51.1344,51.8859,2056269
2017-05-08,52.0875,52.2982,50.887,51.0245,2410188
2017-05-09,51.0886,51.2352,49.9523,50.3647,2434211
2017-05-10,50.493,51.446,50.3738,50.9328,2783267
2017-05-11,50.6579,50.6946,49.5637,49.8881,2557712
2017-05-12,49.9706,50.3647,49.9156,50.1539,1704730
2017-05-15,50.1722,50.8045,49.7324,49.7599,2096193
2017-05-16,49.7873,50.0531,48.4311,48.761,3003396
2017-05-17,48.871,49.5033,48.5685,49.265,2394920
2017-05-18,49.2192,49.5399,48.8435,49.32,2143575
2017-05-19,49.3658,49.8607,48.871,49.6682,1872793
2017-05-22,49.7324,50.328,49.5491,49.6041,1656041
2017-05-23,49.6132,49.989,49.4391,49.6132,1502034
2017-05-24,49.6957,50.2639,49.6407,50.0897,1391354
2017-05-25,50.1722,50.7951,50.1172,50.5388,1579816
2017-05-26,50.5479,51.0428,50.3922,50.5663,2049552
2017-05-30,50.6776,51.0731,50.5488,50.5948,1450228
2017-05-31,50.5948,50.9766,50.4108,50.5304,1646464
2017-06-01,50.512,51.2387,50.1625,51.0915,1698667
2017-06-02,51.4687,52.2046,51.4687,52.0482,2352328
2017-06-05,51.8551,51.9195,50.7788,50.9352,1630471
2017-06-06,50.9352,51.2479,50.512,50.9812,1568752
2017-06-07,50.9812,51.4595,50.8708,51.1651,1615483
2017-06-08,51.2479,51.3951,50.4108,50.4936,2008533
2017-06-09,50.466,51.018,49.9141,50.88,1726999
2017-06-12,51.018,51.7079,50.9076,51.6435,1378960
2017-06-13,51.5331,51.9103,51.3307,51.7723,1026977
2017-06-14,52.269,52.5266,51.9655,52.3886,1465162
2017-06-15,52.085,52.6554,51.9471,52.3518,1227603
2017-06-16,52.5082,52.545,51.7355,52.131,2831773
2017-06-19,52.131,52.1954,51.4687,51.7171,1802953
2017-06-20,51.6803,51.8595,51.4227,51.6711,2455498
2017-06-21,51.7079,51.8091,50.6785,50.9812,2212549
2017-06-22,50.8708,50.972,50.282,50.4292,2009475
2017-06-23,50.4384,50.9168,50.3648,50.8524,2428114
2017-06-26,51.1559,52.7014,51.1559,51.9563,2400304
2017-06-27,51.8643,51.9379,51.2847,51.5055,1922544
2017-06-28,51.6343,52.407,51.4227,52.2598,1526161
2017-06-29,52.0673,52.1227,51.1901,51.4948,1628634
2017-06-30,51.6426,51.8642,50.7377,50.9501,1449800
2017-07-03,51.1347,51.9657,51.1347,51.7534,1030164
2017-07-05,51.7164,51.8919,50.7469,50.9778,1586170
2017-07-06,50.7931,50.9685,49.9806,49.9806,1596401
2017-07-07,50.1191,50.5161,49.8051,50.4976,1048127
2017-07-10,50.5253,50.553,49.4819,49.4912,1702231
2017-07-11,49.7036,49.9529,49.2511,49.759,1182231
2017-07-12,50.1375,50.8762,50.1098,50.4792,1372628
2017-07-13,50.553,50.9778,50.3776,50.9039,948533
2017-07-14,51.144,52.0488,51.144,51.938,1594003
2017-07-17,51.8919,52.3442,51.7995,52.1504,1388752
2017-07-18,52.3258,52.5751,52.1319,52.2427,1160374
2017-07-19,52.2612,52.9076,52.1504,52.7783,980824
2017-07-20,52.8522,53.3923,52.6653,52.926,1013372
2017-07-21,52.9999,53.169,52.4643,52.9168,859255
2017-07-24,52.9076,52.9999,52.3327,52.7875,1379914
2017-07-25,52.6583,53.083,52.3074,53.0276,1632552
2017-07-26,53.0091,53.5262,52.8706,53.48,1545670
2017-07-27,53.3969,53.9878,52.8152,53.5077,2026877
2017-07-28,53.6481,53.9274,52.9253,53.0087,1418678
2017-07-31,53.018,53.1199,52.5824,52.879,3398729
2017-08-01,52.6658,53.2897,52.6009,53.2404,1694663
2017-08-02,53.3609,53.3609,52.5731,52.916,1186811
2017-08-03,52.74,53.0087,52.5546,52.8604,959518
2017-08-04,52.6658,53.2897,52.6009,53.2404,1694663
2017-08-07,53.2404,53.435,52.8141,53.2404,998213
2017-08-08,53.0736,53.3933,52.7585,53.1014,1202857
2017-08-09,53.0921,53.5925,52.7316,53.2682,1640607
2017-08-10,53.2682,53.3516,52.8419,52.8419,965042
2017-08-11,52.6658,52.8437,52.119,52.3415,1274561
2017-08-14,52.5824,53.3794,52.2951,53.1199,1534274
2017-08-15,52.8697,52.9716,52.2302,52.7956,2152785
2017-08-16,52.8882,53.7315,52.8419,53.3887,2132702
