date,open,high,low,close,volume
2017-01-03,17.9466,18.0658,17.5525,17.6808,3897647
2017-01-04,17.6716,18.0108,17.5158,17.9649,3477514
2017-01-05,17.8825,17.9099,17.4975,17.6716,3229527
2017-01-06,17.7541,17.9054,17.6625,17.8,2095573
2017-01-09,17.7358,17.7541,17.4883,17.6625,2808262
2017-01-10,17.745,18.0108,17.6946,17.8733,3110788
2017-01-11,17.9374,18.0108,17.7633,18.0108,2518795
2017-01-12,17.9466,17.9695,17.635,17.8275,3786864
2017-01-13,17.9283,18.1941,17.9145,18.0199,2720873
2017-01-17,17.8733,17.8916,17.4608,17.5112,3546053
2017-01-18,17.5708,17.7037,17.36,17.6808,3360594
2017-01-19,17.6808,17.6808,17.3783,17.5342,3833306
2017-01-20,17.3783,17.525,17.0575,17.1309,7815016
2017-01-23,17.0759,17.1767,16.9292,17.1034,4712436
2017-01-24,17.1584,17.36,17.1125,17.3096,4513707
2017-01-25,17.4058,17.5616,17.3325,17.4975,5401506
2017-01-26,17.5158,17.6991,17.4883,17.6716,3842252
2017-01-27,17.6441,17.6991,17.4058,17.4517,3441392
2017-01-30,17.4054,17.4054,17.1095,17.2574,4032509
2017-01-31,17.2852,17.3777,17.1557,17.3407,12742827
2017-02-01,17.4702,17.6736,17.2574,17.3222,3907565
2017-02-02,17.2205,17.3037,17.1002,17.165,2865523
2017-02-03,17.3592,17.5488,17.2944,17.4609,3253348
2017-02-06,17.3684,17.6089,17.3407,17.3684,3311222
2017-02-07,17.4239,17.4332,17.2066,17.2482,4188082
2017-02-08,17.1557,17.1835,16.98,17.0817,4109097
2017-02-09,17.1002,17.3592,17.0748,17.3222,3159876
2017-02-10,17.4054,17.4424,17.2898,17.3314,2738385
2017-02-13,17.4332,17.5534,17.3962,17.4424,2413984
2017-02-14,17.4702,17.6829,17.3777,17.6736,2800409
2017-02-15,17.6921,17.7291,17.5257,17.7199,3972362
2017-02-16,17.6829,17.8401,17.6089,17.8309,3961626
