date,open,high,low,close,volume
2017-01-03,62.2771,63.5396,62.2674,62.9517,2115795
2017-01-04,63.3179,63.9829,63.2697,63.8191,2448430
2017-01-05,63.5107,63.8287,62.6144,62.7782,1658250
2017-01-06,63.1734,63.9443,62.5951,63.4914,1741057
2017-01-09,63.3661,63.5974,62.412,62.7108,1483803
2017-01-10,62.9035,63.9058,62.7493,63.848,2035508
2017-01-11,63.848,64.3973,63.6263,64.378,1602024
2017-01-12,64.378,64.378,63.3083,63.9251,1480635
2017-01-13,64.6382,65.1972,64.3539,65.0719,1512772
2017-01-17,64.5708,65.0141,64.1949,64.4937,1238555
2017-01-18,64.4744,64.484,63.7805,63.9058,2454089
2017-01-19,64.1275,64.2817,63.1059,63.3565,2068205
2017-01-20,63.607,63.9058,63.0481,63.607,1880617
2017-01-23,63.5974,63.607,62.865,63.0963,2356529
2017-01-24,63.2697,64.484,63.2697,64.2817,1639076
2017-01-25,64.5708,66.1995,64.3973,65.92,2295294
2017-01-26,65.8044,65.9586,65.2692,65.6116,1614351
2017-01-27,65.6984,65.7176,64.6961,65.1394,1601188
2017-01-30,64.9177,65.2936,63.9925,65.1683,3627583
2017-01-31,63.5299,66.1513,62.6047,64.8695,6319054
2017-02-01,65.1876,67.2693,64.9274,66.1417,3058770
2017-02-02,65.7658,66.4694,64.937,65.1394,1875749
2017-02-03,64.8792,66.373,64.8792,66.0068,1981162
2017-02-06,65.5827,66.0839,65.1201,65.602,1623691
2017-02-07,65.602,66.1031,65.0816,65.1779,1237192
2017-02-08,65.1298,65.1298,64.2527,64.4166,1911572
2017-02-09,64.5708,65.8429,64.2817,65.7176,2137244
2017-02-10,65.9691,66.6074,65.65,66.472,1899608
2017-02-13,66.7332,67.5939,66.6751,67.5746,1835160
2017-02-14,67.4489,67.8164,67.2458,67.768,2006624
2017-02-15,67.3908,67.768,66.9943,67.5069,1416240
2017-02-16,67.5843,67.6229,66.1964,66.4624,1492971
2017-02-17,66.2496,66.6171,65.4275,66.5881,1455370
2017-02-21,66.6655,66.9073,66.1335,66.5107,1870661
2017-02-22,66.1529,66.2883,65.4855,65.8047,1420377
2017-02-23,66.0948,66.2399,64.9053,65.2244,1362297
2017-02-24,65.1857,65.3598,64.47,65.2051,1646585
2017-02-27,65.0987,65.4662,64.8085,65.3888,1747506
2017-02-28,65.3115,65.4275,64.4604,64.6151,1827122
2017-03-01,65.679,67.2264,65.2728,66.9169,2703574
2017-03-02,66.6751,66.7138,65.0697,65.1664,2739201
2017-03-03,65.3598,66.4575,65.1954,66.3753,2127145
2017-03-06,65.9885,66.5011,65.2921,66.0271,1761044
2017-03-07,65.679,66.3753,65.3018,65.3501,1688532
2017-03-08,65.5049,65.74,64.9053,65.0987,1490635
2017-03-09,64.8182,65.253,64.0542,64.5281,2287329
2017-03-10,65.1567,65.6209,64.8279,65.4855,1621530
2017-03-13,65.5339,65.9208,65.4855,65.6403,1295407
2017-03-14,65.4469,65.4469,64.4507,65.1374,1160471
2017-03-15,65.5823,66.8589,65.5242,66.6074,1859469
2017-03-16,66.6848,66.9314,66.4334,66.6268,1679351
2017-03-17,66.9073,67.3231,66.5397,67.2361,5316568
2017-03-20,67.1587,67.3135,66.5301,66.8396,2038010
2017-03-21,66.9653,67.149,65.1374,65.4275,2888546
2017-03-22,65.3018,65.6693,64.8521,65.3115,1412631
2017-03-23,65.3308,65.6355,64.8376,65.3695,1584289
2017-03-24,65.5146,65.8289,65.0793,65.3985,1432881
2017-03-27,64.7892,65.0407,63.5996,64.3056,1662284
2017-03-28,64.1896,65.1567,64.0735,64.8859,1167219
2017-03-29,64.7022,65.7058,64.6928,65.4275,1347731
2017-03-30,65.147,65.6016,64.9923,65.4178,884630
2017-03-31,65.0793,65.5629,64.8279,64.9923,1336709
2017-04-03,65.0987,65.1277,63.677,64.6441,1522179
2017-04-04,64.4314,64.7602,64.1025,64.4314,1653448
2017-04-05,64.7505,65.8821,64.4797,64.5571,2326769
2017-04-06,64.7215,65.1664,64.5087,64.9536,1243846
2017-04-07,64.8762,65.5629,64.6345,64.9536,1603917
2017-04-10,64.7795,65.795,64.3936,65.4275,1441319
2017-04-11,65.118,65.4471,64.4604,65.3115,1531612
2017-04-12,65.2438,65.3018,63.3965,63.4932,1844177
2017-04-13,63.4642,63.793,62.468,62.5067,1891263
2017-04-17,62.8452,63.2418,62.3133,63.1934,1678277
2017-04-18,62.1489,62.8452,61.9071,62.0909,2442489
2017-04-19,62.4294,62.8646,62.1876,62.439,1948555
2017-04-20,62.8646,63.9091,62.3713,63.7157,1401067
2017-04-21,63.9188,64.2186,63.2901,63.5996,2285595
2017-04-24,65.0503,65.8724,64.8956,65.5049,2878458
2017-04-25,64.1702,65.002,62.8646,63.5996,3950676
2017-04-26,63.5513,64.4023,63.0,63.1934,3118685
2017-04-27,63.2514,64.2573,62.8549,64.2283,2247255
2017-04-28,64.3153,64.7457,63.619,64.5377,1895201
2017-05-01,64.7699,64.7699,63.7544,64.0058,1671293
2017-05-02,65.118,65.9208,64.8666,65.824,2411387
2017-05-03,66.8976,66.8976,64.8762,65.147,1378956
2017-05-04,65.2438,65.65,64.2186,64.7022,1509080
2017-05-05,64.7989,65.2051,64.412,64.8376,1112147
2017-05-08,64.8472,64.8762,63.6625,64.1412,2136830
2017-05-09,64.0735,64.4023,63.8607,64.1122,1251544
2017-05-10,63.9091,64.2283,63.5319,63.8027,1468427
2017-05-11,62.2359,62.7582,61.4235,62.2553,4377985
2017-05-12,62.0328,62.1199,61.0463,61.2881,2344448
2017-05-15,61.3075,61.8007,61.2785,61.6847,1905900
2017-05-16,61.9168,62.3423,61.4816,62.323,2541523
2017-05-17,61.8181,62.0997,61.4103,61.5366,1981370
2017-05-18,61.2065,61.4201,60.288,60.5171,2235700
2017-05-19,60.6045,61.4346,60.5171,61.0026,2348368
2017-05-22,61.2259,61.5366,60.8958,61.0511,2025674
2017-05-23,61.2356,61.2647,60.4686,60.9831,1122444
2017-05-24,61.1191,61.1773,60.42,60.8666,1462160
2017-05-25,60.9443,61.2841,60.3423,60.8666,1288379
2017-05-26,60.8666,61.1676,60.6239,60.8084,988061
2017-05-30,60.7016,61.0802,60.5754,60.8181,942750
2017-05-31,60.9831,61.1482,60.2064,61.1288,1730361
2017-06-01,61.323,62.1774,60.8239,61.8375,1330456
2017-06-02,61.8084,62.556,61.1385,61.3133,3535149
2017-06-05,61.0899,61.1676,60.1287,60.5074,2570168
2017-06-06,62.4783,63.2454,61.7307,62.255,3692271
2017-06-07,62.3424,62.6337,61.0414,61.6045,1872095
2017-06-08,61.7502,62.4007,61.5657,62.1094,1646360
2017-06-09,62.1482,62.5949,61.9638,62.1482,1076510
2017-06-12,61.8667,63.0415,61.8667,62.6919,1624723
2017-06-13,62.8473,63.0488,62.3327,62.4589,1327244
2017-06-14,62.2647,62.8813,61.6239,62.0317,1418007
2017-06-15,62.6143,63.3522,62.2842,63.2162,1744607
2017-06-16,63.1386,63.3328,62.5754,63.3133,2251988
2017-06-19,63.5464,63.5464,62.9153,63.2939,1617961
2017-06-20,63.09,63.1192,62.1094,62.1288,1040674
2017-06-21,62.0609,62.0803,60.7647,60.9249,1470696
2017-06-22,60.7404,61.255,60.5074,60.9249,1090231
2017-06-23,60.9443,61.3327,60.6724,60.6919,1724475
2017-06-26,60.9443,61.4783,60.7551,61.3521,1218390
