date,open,high,low,close,volume
2017-01-03,54.2447,54.874,53.7079,54.2169,1276133
2017-01-04,54.4575,54.7815,54.3187,54.7074,995223
2017-01-05,54.7352,54.8925,53.6431,54.1521,1308307
2017-01-06,54.476,54.7444,54.2076,54.476,1356243
2017-01-09,54.0966,54.7444,53.8559,53.8559,1177557
2017-01-10,54.0133,54.8277,53.7264,54.2817,851538
2017-01-11,54.2169,54.8925,54.1243,54.5871,944746
2017-01-12,54.2354,54.6426,53.6894,54.4853,1552795
2017-01-13,54.7907,55.1887,54.476,54.6334,709746
2017-01-17,54.0133,54.5223,53.6801,53.93,1487190
2017-01-18,54.1799,55.1054,53.7634,55.0499,987436
2017-01-19,55.0961,55.2257,53.7264,53.9578,1517768
2017-01-20,54.0781,54.5501,53.6338,53.9022,1238684
2017-01-23,53.7726,54.0688,53.2729,53.4395,1088416
2017-01-24,53.6431,54.5038,53.4395,54.2169,1596130
2017-01-25,54.763,55.3183,54.6704,55.2072,1014237
2017-01-26,55.0591,55.1054,53.3284,54.2076,1772287
2017-01-27,54.2076,54.3465,53.0045,53.6801,2334045
2017-01-30,53.5505,53.5505,52.4492,53.4395,1757301
2017-01-31,53.9115,53.9115,52.1437,52.8379,2998917
2017-02-01,53.3562,54.2076,52.7268,52.9397,1940439
2017-02-02,52.5232,53.5505,51.9401,53.2266,1648440
2017-02-03,54.3187,55.0128,54.2632,54.9943,1590832
2017-02-06,54.4853,55.3645,54.4853,55.0406,1205072
2017-02-07,55.2812,55.4108,55.0221,55.272,1243773
2017-02-08,54.911,55.4478,54.5502,55.3831,1396002
2017-02-09,55.5682,56.2623,55.346,56.0679,1329830
2017-02-10,56.3363,56.5029,56.0309,56.3271,1183072
2017-02-13,56.577,57.6783,56.5214,57.4655,1699396
2017-02-14,57.3914,57.9282,57.3359,57.4377,1277243
2017-02-15,57.6321,58.1087,57.2804,58.0578,1270517
2017-02-16,57.9005,58.2013,57.6876,57.9375,1178657
2017-02-17,57.2341,57.5117,56.8546,57.4932,990232
2017-02-21,57.6043,58.03,57.521,57.7709,883940
2017-02-22,57.5025,58.4188,57.3729,58.1504,2041430
2017-02-23,58.2151,58.2799,57.7894,58.1874,1015518
2017-02-24,57.4192,58.1596,57.4192,58.0763,1342903
2017-02-27,58.0115,58.3077,57.6413,58.1041,1103870
2017-02-28,57.8264,58.0208,57.3637,57.882,1225280
2017-03-01,58.7982,59.5201,58.7612,59.2517,1765218
2017-03-02,59.1212,59.2983,58.3942,58.4501,1461680
2017-03-03,58.6086,59.3822,58.6086,59.2517,1678112
2017-03-06,58.8323,59.289,58.7484,59.0653,992539
2017-03-07,58.8696,58.9488,58.5154,58.7577,1036415
2017-03-08,59.3822,59.55,58.7204,58.7857,857802
2017-03-09,58.8323,59.2983,58.5433,58.7857,961219
2017-03-10,58.8136,59.5779,58.6272,59.2238,914053
2017-03-13,59.2051,59.4148,59.056,59.261,945636
2017-03-14,58.9535,59.0467,58.4781,58.7298,904946
2017-03-15,58.8509,59.55,58.7764,59.4941,1256341
2017-03-16,59.6525,60.2584,59.6245,59.8389,1147293
2017-03-17,59.9042,59.9228,59.0746,59.1305,1464656
2017-03-20,59.0373,59.1585,58.5993,58.823,574859
2017-03-21,59.2424,59.3356,57.0148,57.0986,1435340
2017-03-22,56.7724,57.835,56.1759,57.6952,1158101
2017-03-23,57.6858,58.5713,57.4528,57.9561,746978
2017-03-24,57.9561,58.5899,57.6206,57.9468,969545
2017-03-27,56.4835,57.9841,56.092,57.8909,869658
2017-03-28,57.8629,59.1026,57.7414,58.7298,966529
2017-03-29,58.6086,58.6086,57.9282,58.2264,667634
2017-03-30,58.2451,59.289,58.0121,58.823,1081029
2017-03-31,58.4688,59.1772,58.3221,58.823,1152582
2017-04-03,59.0001,59.1585,57.8163,58.8043,1034849
2017-04-04,58.4874,58.8509,58.3849,58.5806,925108
2017-04-05,59.028,59.3729,57.8816,57.9375,1133078
2017-04-06,57.9002,58.8602,57.5554,58.4688,1029735
2017-04-07,57.9748,58.6366,57.8443,58.3196,837114
2017-04-10,58.3849,58.7391,58.04,58.4129,711253
2017-04-11,58.1985,58.7857,57.9468,58.6272,712381
2017-04-12,58.6272,58.6832,57.4808,57.7231,918189
2017-04-13,57.5367,58.1332,57.2105,57.3317,703279
2017-04-17,57.6206,58.4315,57.3037,58.3756,612999
2017-04-18,57.8257,58.3569,57.779,58.1519,832435
2017-04-19,58.6552,58.6832,57.7977,57.8629,991167
2017-04-20,58.2451,58.9348,58.04,58.6459,1169022
2017-04-21,58.6272,58.8975,58.3476,58.5433,736033
2017-04-24,59.9787,60.044,59.3542,59.5779,1244865
2017-04-25,60.1185,60.4075,59.9228,59.9787,1166858
2017-04-26,59.9508,60.3329,59.8762,59.9415,1010383
2017-04-27,60.1092,60.8176,60.0813,60.7524,1463251
2017-04-28,60.0347,61.1065,59.3915,60.7057,1441966
2017-05-01,61.2091,61.2091,60.2211,60.5566,1452867
2017-05-02,60.6032,60.6778,60.016,60.5007,850816
2017-05-03,60.3702,60.6964,60.2398,60.4914,1357131
2017-05-04,60.8176,61.004,59.9881,60.0533,1425957
2017-05-05,60.2677,60.3562,59.7737,59.9694,882273
2017-05-08,59.9974,60.1558,59.4195,59.6059,1092247
2017-05-09,59.7178,59.9601,58.9441,59.1492,1052652
2017-05-10,59.0373,59.5779,58.8509,59.522,1228087
2017-05-11,59.3356,59.5593,58.5806,59.2238,1078727
2017-05-12,58.8602,59.2983,58.5713,58.7204,840422
2017-05-15,58.9535,59.522,58.795,59.3822,1358147
2017-05-16,59.5127,59.7364,59.1212,59.6339,1015343
2017-05-17,58.5899,58.9162,57.1639,57.2291,1297894
2017-05-18,56.847,57.0334,56.2505,56.4369,2002924
2017-05-19,56.558,56.9402,56.4369,56.6978,2922159
2017-05-22,57.0707,57.7231,56.7724,57.2571,1330883
2017-05-23,57.313,57.7697,56.9309,57.5181,1409643
2017-05-24,57.5926,57.7744,57.2711,57.7511,1053671
2017-05-25,57.9282,58.4967,57.7884,58.4035,1324143
2017-05-26,58.2358,58.8323,58.2358,58.4874,1045431
2017-05-30,58.301,58.4501,57.8909,58.273,672312
2017-05-31,58.3942,58.6738,57.7884,58.6366,1536824
2017-06-01,58.9182,60.167,58.6178,60.167,1002844
2017-06-02,59.8196,60.2703,59.5285,60.0543,886633
2017-06-05,60.0074,60.1482,59.3501,59.4253,899354
2017-06-06,58.9464,59.0872,58.2328,58.2798,1145569
2017-06-07,58.4394,58.8525,58.1671,58.599,906541
2017-06-08,58.7304,60.2609,58.5896,59.7445,1568572
2017-06-09,60.045,61.0214,60.045,60.9463,1025495
2017-06-12,60.7679,61.444,60.7679,61.0027,1245158
2017-06-13,61.1435,61.8383,61.0121,61.5379,1058222
2017-06-14,61.0778,61.4815,60.4956,61.3689,1123207
2017-06-15,60.7867,61.2374,60.6928,61.2186,1234528
2017-06-16,61.3313,61.5191,61.0872,61.3595,1649338
2017-06-19,61.7632,62.0824,61.5003,61.8571,838007
2017-06-20,61.6318,61.721,61.0121,61.0496,866260
2017-06-21,61.1623,61.1623,59.8947,59.9605,1000704
2017-06-22,59.6037,59.6037,58.5051,58.8619,1397661
2017-06-23,59.0685,59.2234,58.5896,58.7586,1761521
2017-06-26,59.0121,59.613,58.7868,59.2093,863822
2017-06-27,59.4534,60.1388,59.2469,59.5285,970103
2017-06-28,60.0825,60.8618,60.0356,60.7398,928473
2017-06-29,61.5379,61.6224,60.2327,60.5895,1383321
2017-06-30,60.8994,61.0308,60.1482,60.1576,1376226
2017-07-03,60.6271,61.3454,60.4566,60.8055,752691
2017-07-05,60.843,60.89,60.2515,60.3266,1590581
2017-07-06,60.3548,60.8618,60.0262,60.2046,1624466
2017-07-07,60.4487,60.9369,60.2515,60.6647,1270195
2017-07-10,60.6271,61.566,60.5238,61.3689,1101867
2017-07-11,61.4252,61.6693,60.9651,61.1811,743892
2017-07-12,61.2844,61.5379,61.1247,61.5097,718749
2017-07-13,61.5754,62.0167,61.4346,61.9228,795064
2017-07-14,61.3689,62.2608,61.2139,62.0637,806978
2017-07-17,61.9604,62.4111,61.6,62.289,1097402
2017-07-18,61.9228,62.505,61.8571,62.3547,520948
2017-07-19,62.4299,62.8618,62.1857,62.627,859414
2017-07-20,62.7303,62.7866,61.8383,61.8665,1029427
2017-07-21,61.7726,62.4017,61.7726,62.3641,681718
2017-07-24,62.2327,62.5519,62.0918,62.3266,676907
2017-07-25,62.9087,63.3782,62.5989,63.0589,880915
2017-07-26,63.1528,63.1716,62.3923,62.5895,648308
2017-07-27,62.8336,63.2561,62.1857,62.5613,810606
2017-07-28,63.012,63.4533,61.4627,63.2561,1094971
2017-07-31,63.5941,63.5941,62.6599,62.674,1245829
2017-08-01,62.9087,63.0871,62.5519,62.9463,769764
2017-08-02,62.5519,62.7842,61.9604,62.5895,743142
2017-08-03,62.3641,62.674,62.2233,62.4862,788196
2017-08-04,62.9087,63.0871,62.5519,62.9463,769764
2017-08-07,62.9369,62.9979,62.4299,62.4486,588420
2017-08-08,62.3923,63.1294,62.1106,62.1857,954627
2017-08-09,61.7726,62.1388,61.5566,61.9604,924906
2017-08-10,61.5566,61.6036,60.4863,60.4956,1023176
2017-08-11,60.4111,61.1153,60.2938,60.3924,851668
2017-08-14,60.9745,61.3782,60.9182,61.0402,678599
2017-08-15,61.5942,61.6787,61.0168,61.0308,945813
2017-08-16,61.3407,61.5379,61.0966,61.1811,1003827
2017-08-17,60.9463,61.1341,58.984,59.0872,1263348
2017-08-18,58.8713,59.4065,58.5802,59.0872,1204709
2017-08-21,59.153,59.214,58.6647,58.8995,752972
2017-08-22,59.1154,59.2844,58.8431,59.0309,1101142
2017-08-23,58.5145,59.2281,58.3831,59.1248,888472
2017-08-24,59.5192,59.6271,59.1811,59.2187,679343
2017-08-25,59.4816,59.7069,59.4159,59.4628,857261
2017-08-28,59.5004,59.613,59.1999,59.4534,613963
2017-08-29,58.8149,58.9699,58.1014,58.8337,970676
2017-08-30,58.9662,59.3351,58.9473,59.1838,772338
2017-08-31,59.4392,59.4865,58.7581,59.1459,1056820
2017-09-01,59.2689,60.0825,59.1838,59.8933,793950
2017-09-05,59.4297,59.6284,58.2283,58.4837,1070619
2017-09-06,58.7581,59.0608,57.9729,57.9823,1943640
2017-09-07,58.0107,58.0675,56.4687,56.6862,1304685
2017-09-08,56.6862,57.5661,56.4024,57.3958,1084742
2017-09-11,58.1715,58.6729,57.8688,58.5405,1096794
2017-09-12,58.9,59.2878,58.7675,59.0986,667484
2017-09-13,58.9094,59.0419,58.6918,58.8905,726539
