date,open,high,low,close,volume
2017-01-03,33.0316,33.0686,32.5602,32.8375,2993700
2017-01-04,32.9299,33.2257,32.9299,33.1333,2915716
2017-01-05,33.2072,33.2257,32.8514,33.124,2348829
2017-01-06,33.087,33.4382,33.0547,33.2996,2147029
2017-01-09,33.2534,33.2534,33.0131,33.0131,1876385
2017-01-10,33.2534,33.734,33.0963,33.5676,3641700
2017-01-11,33.4845,33.8172,33.4752,33.7063,3412024
2017-01-12,33.5491,33.5491,33.2349,33.4567,2388047
2017-01-13,33.5676,33.734,33.4783,33.5029,1208163
2017-01-17,33.3643,33.5307,33.1333,33.2534,2367830
2017-01-18,33.3828,33.6693,33.2257,33.5954,2113435
2017-01-19,33.6508,33.697,33.4475,33.6231,2310121
2017-01-20,33.6323,33.8726,33.6138,33.771,2233743
2017-01-23,33.7525,33.7525,33.429,33.6785,3011327
2017-01-24,33.7525,33.8819,33.526,33.8357,2946465
2017-01-25,33.9835,35.0371,33.8911,34.9078,5169778
2017-01-26,35.0002,35.1665,34.8708,35.1573,2772975
2017-01-27,35.1665,35.2774,35.0002,35.1203,2140888
2017-01-30,35.0926,35.0926,34.575,34.649,3223105
2017-01-31,34.6582,34.7229,34.3994,34.6028,3354851
2017-02-01,34.6788,35.0648,34.5847,34.773,3494555
2017-02-02,34.7259,35.0648,34.6223,34.9142,3522608
2017-02-03,35.2154,35.2907,34.8153,34.9518,4121430
2017-02-06,34.7918,34.9989,34.7635,34.8389,2124869
2017-02-07,34.9236,34.9759,34.6223,34.8671,2643412
2017-02-08,34.8389,34.9236,34.6788,34.8012,2070423
2017-02-09,34.8294,35.1683,34.7165,35.1307,2149441
2017-02-10,35.0365,35.5072,35.0365,35.4507,2575320
2017-02-13,35.5072,35.5354,35.253,35.3942,2515339
2017-02-14,35.3942,35.4037,35.1024,35.253,2320373
2017-02-15,35.5354,36.1803,35.5354,36.1379,4086933
2017-02-16,36.1567,36.345,36.025,36.345,2445778
2017-02-17,36.2697,36.3356,36.1097,36.3073,1976978
2017-02-21,36.3638,36.6839,36.3262,36.6462,2315842
2017-02-22,36.4674,36.5709,36.2791,36.5615,2127603
2017-02-23,36.5333,36.9098,36.4674,36.7968,3470815
2017-02-24,36.618,36.8981,36.5427,36.7592,1976252
2017-02-27,36.8157,36.9098,36.4956,36.618,1663410
2017-02-28,36.5144,36.9569,36.4862,36.8816,4195047
2017-03-01,37.3616,37.5687,37.2016,37.5311,4113835
2017-03-02,37.4934,37.597,37.3004,37.3522,2345125
2017-03-03,37.2675,37.5028,37.211,37.4934,1858994
2017-03-06,37.2769,37.3993,37.0886,37.0981,2079717
2017-03-07,37.1357,37.2487,36.9663,37.0133,2215247
2017-03-08,37.1263,37.1451,36.938,37.0039,2478969
2017-03-09,37.0886,37.0886,36.938,37.0416,2696595
2017-03-10,37.2204,37.2487,37.0322,37.2204,3515917
2017-03-13,37.2016,37.3616,37.1451,37.3522,2786232
2017-03-14,37.2769,37.5405,37.2118,37.4275,2135136
2017-03-15,37.5217,37.8464,37.4369,37.8041,2558298
2017-03-16,37.7664,37.9547,37.6487,37.6817,2148086
2017-03-17,37.7288,38.0959,37.6487,37.9453,3869835
2017-03-20,38.2277,38.3312,37.6283,37.8605,6642605
2017-03-21,38.35,38.35,37.5687,37.6723,5255787
2017-03-22,37.7852,37.8982,37.3334,37.4652,2823260
2017-03-23,37.4181,37.6911,37.2393,37.2487,3769723
2017-03-24,37.3052,37.5217,37.0416,37.211,2557911
2017-03-27,36.8251,37.2204,36.7686,37.164,2048689
2017-03-28,37.0792,37.5687,37.0322,37.5122,4823474
2017-03-29,37.3993,37.3993,36.9851,37.0698,2758805
2017-03-30,37.0416,37.2571,36.9851,37.164,2369792
2017-03-31,37.0698,37.0698,36.6462,36.8816,3413206
2017-04-03,36.938,37.0604,36.6462,36.9757,3749537
2017-04-04,36.9945,37.0369,36.7498,36.9569,2876739
2017-04-05,37.1357,37.2487,36.9098,36.9474,2324861
