date,open,high,low,close,volume
2017-01-03,136.9059,138.8796,135.5869,137.2429,1115090
2017-01-04,137.1948,137.8687,136.6171,137.3296,637928
2017-01-05,137.0504,137.3584,134.7108,136.1068,557915
2017-01-06,136.6267,137.0985,135.8084,136.2224,727481
2017-01-09,136.2705,136.8578,135.1441,135.5388,519298
2017-01-10,135.9047,136.7615,135.5003,136.5497,721880
2017-01-11,136.723,139.929,136.0298,139.8039,1441611
2017-01-12,139.1203,139.2262,136.4053,138.3982,1231389
2017-01-13,139.3129,140.8918,138.9374,140.8052,947210
2017-01-17,139.9868,140.0446,138.2057,138.2731,1624213
2017-01-18,138.4656,140.0253,138.2923,139.024,801974
2017-01-19,139.0144,140.1023,137.8398,138.3982,1174563
2017-01-20,139.0818,139.1203,137.137,137.214,1350264
2017-01-23,137.1948,137.5029,135.8084,137.1948,998379
2017-01-24,137.5799,140.7281,137.4162,140.0638,781069
2017-01-25,140.603,144.3,140.3623,143.9534,1634587
2017-01-26,143.5202,144.3982,142.5189,143.549,1117255
2017-01-27,143.963,144.5503,143.4239,143.7127,717201
2017-01-30,143.3565,143.3565,140.42,141.8449,983040
2017-01-31,141.3924,142.0279,139.4284,141.6524,1345900
2017-02-01,141.6716,142.5815,139.6883,140.0349,1423224
2017-02-02,143.4335,147.1787,142.5285,144.1749,2040301
2017-02-03,145.0799,145.5227,143.5972,144.6177,1072979
2017-02-06,144.0497,144.5214,142.5381,143.1158,945038
2017-02-07,144.8295,144.8295,142.0953,142.4611,1342330
2017-02-08,142.0549,142.7705,140.5946,142.5965,1372409
2017-02-09,142.9253,144.5983,142.5143,144.4533,1002748
2017-02-10,144.8304,145.3817,144.1438,145.3043,1058958
2017-02-13,146.0393,148.0856,146.0296,147.4415,1625161
2017-02-14,146.9483,147.7994,145.9813,147.606,836285
2017-02-15,148.5827,151.2905,148.0315,150.3718,1762902
2017-02-16,150.3525,150.6233,148.3796,149.3274,823166
2017-02-17,148.6407,149.2983,147.5092,148.8245,1079012
2017-02-21,149.0469,150.8263,148.9309,150.4975,921215
2017-02-22,151.3389,151.6774,150.3718,150.7296,1058473
2017-02-23,151.3292,151.3292,147.8574,148.6407,702170
2017-02-24,147.4899,150.0043,146.7743,149.9366,647660
2017-02-27,149.7432,151.1266,149.1243,151.0004,690805
2017-02-28,150.6716,151.4646,149.6078,149.7432,1090318
2017-03-01,151.7741,153.8146,149.927,153.2247,1410446
2017-03-02,153.099,153.8049,151.6677,151.9191,1159294
2017-03-03,151.8418,152.1512,150.8167,151.8901,765980
2017-03-06,150.807,152.8862,150.7393,152.7315,965269
2017-03-07,152.7992,153.215,151.6774,152.306,1044375
2017-03-08,152.4801,154.1144,152.3737,152.4607,1164925
2017-03-09,152.1803,152.9539,150.1349,151.1455,879802
2017-03-10,152.5574,153.5197,151.0198,152.1416,1392518
2017-03-13,152.6831,153.834,151.8901,152.8766,1055574
2017-03-14,152.1319,152.5671,151.0004,151.8805,742445
2017-03-15,152.7025,154.8107,152.5284,154.3272,822128
2017-03-16,154.8107,154.9557,152.5187,153.0313,1182429
2017-03-17,153.1377,154.2595,152.6831,153.863,1806854
2017-03-20,153.9403,154.1338,152.6251,153.0313,833700
2017-03-21,153.9597,154.4336,151.3284,151.7354,1262438
2017-03-22,151.9578,152.5768,150.9617,152.364,1019448
2017-03-23,152.4414,153.4858,151.542,152.7992,872406
2017-03-24,152.8282,153.3311,150.9134,151.5323,1111095
2017-03-27,149.7625,151.1745,147.5963,150.5265,976323
2017-03-28,150.4492,153.7953,149.985,153.215,958728
2017-03-29,153.3311,154.598,152.7267,153.7373,921038
2017-03-30,153.5052,155.3716,153.3504,154.7817,582838
2017-03-31,154.1048,155.9229,153.7856,155.0428,739624
2017-04-03,154.8978,155.9906,152.9539,154.3562,1007657
2017-04-04,154.2401,155.6327,153.6115,154.9751,712251
2017-04-05,155.6811,157.77,154.3465,154.5496,856240
2017-04-06,154.8591,156.0977,154.3755,154.9558,756666
2017-04-07,155.0041,156.3,154.9171,155.7198,911832
